Time (sec),Preproc Start Time (ns),Preproc End Time (ns),Preproc Time Elapsed (ms),Class Start Time (ns),Class End Time (ns),Class Time Elapsed (ms),Result,Confidence
11,186875603054463,186875684177857,81.123394,186875684263846,186875750123801,65.859955,roses,0.4370443
11,186875769618074,186875845473602,75.855528,186875845546467,186875901847201,56.300734,roses,0.4478791
11,186875903560952,186875980480907,76.919955,186875980570647,186876042090653,61.520006,daisy,0.48483878
11,186876069569926,186876148317122,78.747196,186876148408997,186876210819680,62.410683,daisy,0.53674114
11,186876237069370,186876313802242,76.732872,186876313895315,186876375053186,61.157871,roses,0.4577854
12,186876403683918,186876485602520,81.918602,186876485693041,186876549156901,63.46386,daisy,0.48908442
12,186876570124143,186876649665609,79.541466,186876649743057,186876713001449,63.258392,daisy,0.44942278
12,186876736344003,186876816134011,79.790008,186876816236199,186876881288497,65.052298,daisy,0.5149924
12,186876903184593,186876987036893,83.8523,186876987132414,186877049914607,62.782193,daisy,0.60319036
12,186877069587214,186877145401388,75.814174,186877145497482,186877205987123,60.489641,daisy,0.5296908
12,186877235606240,186877312405154,76.798914,186877312514529,186877378780734,66.266205,daisy,0.4652097
13,186877402162767,186877479451109,77.288342,186877479543609,186877535253822,55.710213,daisy,0.44836304
13,186877537040281,186877612342632,75.302351,186877612437528,186877673585086,61.147558,daisy,0.5154255
13,186877702385193,186877782437232,80.052039,186877782534472,186877844197916,61.663444,daisy,0.48685494
13,186877868961304,186877948932457,79.971153,186877949022353,186878011947412,62.925059,daisy,0.56060517
13,186878035268091,186878115951537,80.683446,186878116049089,186878171952271,55.903182,daisy,0.4450485
13,186878202475191,186878285251345,82.776154,186878285344366,186878345642966,60.2986,daisy,0.5102383
14,186878368352916,186878449263705,80.910789,186878449357872,186878510660534,61.302662,daisy,0.5214129
14,186878535740172,186878614998930,79.258758,186878615096065,186878671606331,56.510266,daisy,0.5678102
14,186878701783730,186878785683062,83.899332,186878785773426,186878846112286,60.33886,daisy,0.49644518
14,186878868622028,186878947686463,79.064435,186878947782140,186879009098136,61.315996,daisy,0.54825294
14,186879035461628,186879122121272,86.659644,186879122333616,186879180028934,57.695318,roses,0.4627267
14,186879203250239,186879287081445,83.831206,186879287190872,186879343526450,56.335578,roses,0.4607091
15,186879369347182,186879445031773,75.684591,186879445126304,186879511810790,66.684486,daisy,0.40780687
15,186879534810532,186879618896947,84.086415,186879618990592,186879676561119,57.570527,roses,0.41418982
15,186879701350913,186879783838786,82.487873,186879783919411,186879851997178,68.077767,daisy,0.52526
15,186879867746294,186879944954583,77.208289,186879945045000,186880004853808,59.808808,daisy,0.460098
15,186880035920374,186880124463924,88.54355,186880125055226,186880183038045,57.982819,roses,0.58787966
15,186880201057473,186880282179877,81.122404,186880282275867,186880342671758,60.395891,daisy,0.45109835
16,186880367763063,186880449747290,81.984227,186880449877707,186880512907452,63.029745,roses,0.56957436
16,186880534508757,186880612484285,77.975528,186880612577150,186880676548042,63.970892,roses,0.4238869
16,186880700817107,186880785319459,84.502352,186880785427584,186880848452121,63.024537,roses,0.56835
16,186880867429102,186880945133954,77.704852,186880945222443,186881009964012,64.741569,roses,0.4526617
16,186881034463806,186881114754387,80.290581,186881114851992,186881171852414,57.000422,daisy,0.48361513
16,186881201138927,186881278876852,77.737925,186881278970185,186881338069566,59.099381,roses,0.56729823
17,186881368159725,186881448309629,80.149904,186881448408900,186881507481458,59.072558,roses,0.48981556
17,186881533991512,186881620915115,86.923603,186881621128552,186881706769915,85.641363,daisy,0.50412506
17,186881735331480,186881819823103,84.491623,186881819919353,186881873183369,53.264016,roses,0.4724984
17,186881900413580,186881982959630,82.54605,186881983054943,186882042506563,59.45162,daisy,0.48265463
17,186882067444847,186882151978866,84.534019,186882152069543,186882214984028,62.914485,roses,0.5519127
17,186882234725749,186882313318882,78.593133,186882313392580,186882377286909,63.894329,daisy,0.4459745
18,186882400298682,186882481926607,81.627925,186882482045305,186882553617239,71.571934,roses,0.53616655
18,186882566914949,186882645284019,78.36907,186882645380529,186882701542827,56.162298,roses,0.47690016
18,186882734515538,186882824151797,89.636259,186882824383620,186882886651491,62.267871,roses,0.6116216
18,186882900025034,186882981063323,81.038289,186882981158688,186883038517235,57.358547,roses,0.5138535
18,186883066380623,186883143445996,77.065373,186883143537402,186883196421470,52.884068,roses,0.5087706
18,186883201444126,186883276148978,74.704852,186883276240436,186883335651588,59.411152,roses,0.5252273
19,186883366379455,186883444053005,77.67355,186883444145765,186883509427907,65.282142,roses,0.51771164
19,186883533048482,186883610301667,77.253185,186883610391511,186883673037403,62.645892,roses,0.45652273
19,186883699995322,186883783993195,83.997873,186883784083351,186883845525180,61.441829,roses,0.5329291
19,186883866077422,186883943863784,77.786362,186883943954513,186883998789675,54.835162,daisy,0.49700066
19,186883999875300,186884074407338,74.532038,186884074504891,186884132695938,58.191047,roses,0.52670467
19,186884165873650,186884245672772,79.799122,186884245765689,186884316209394,70.443705,roses,0.4885523
20,186884334011375,186884410843049,76.831674,186884410936487,186884474963889,64.027402,roses,0.4695536
20,186884499272902,186884576819211,77.546309,186884576908482,186884634353019,57.444537,roses,0.46222633
20,186884666041408,186884748787458,82.74605,186884748889906,186884812171162,63.281256,daisy,0.44648945
20,186884833227466,186884913364974,80.137508,186884913462162,186884989600398,76.138236,roses,0.505149
20,186884999137274,186885076178011,77.040737,186885076271397,186885141807288,65.535891,roses,0.49557465
20,186885166163176,186885253724279,87.561103,186885253827039,186885311963399,58.13636,roses,0.46057644
21,186885332284807,186885407954242,75.669435,186885408050440,186885474093311,66.042871,roses,0.56093866
21,186885498938470,186885575805509,76.867039,186885575893582,186885634386921,58.493339,roses,0.4360094
21,186885665555257,186885748536516,82.981259,186885748611828,186885810654751,62.042923,roses,0.66830003
21,186885831934805,186885908216271,76.281466,186885908306896,186885970157527,61.850631,roses,0.5555253
21,186885998522738,186886075913527,77.390789,186886076007538,186886136042908,60.03537,daisy,0.4757437
21,186886165392651,186886247755992,82.363341,186886247852711,186886312885999,65.033288,roses,0.42645913
22,186886333389855,186886410709550,77.319695,186886410800123,186886469319556,58.519433,roses,0.44674936
22,186886498951434,186886585000974,86.04954,186886585108057,186886666133742,81.025685,roses,0.44381112
22,186886699426454,186886787227088,87.800634,186886787305577,186886851081157,63.77558,daisy,0.44135308
22,186886864842668,186886940028301,75.185633,186886940120228,186886996120963,56.000735,roses,0.5164293
22,186886998679453,186887074579460,75.900007,186887074676596,186887134919779,60.243183,daisy,0.526136
22,186887164701657,186887247416092,82.714435,186887247512238,186887309396827,61.884589,roses,0.5067796
23,186887331278132,186887408060483,76.782351,186887408144858,186887467805072,59.660214,daisy,0.47221538
23,186887501049034,186887589784095,88.735061,186887589912272,186887649734309,59.822037,roses,0.6631854
23,186887665307279,186887741835308,76.528029,186887741925360,186887803585470,61.66011,roses,0.56637466
23,186887831943650,186887910234283,78.290633,186887910332408,186887969296268,58.96386,roses,0.46886352
23,186887998028563,186888081368779,83.340216,186888081458311,186888141203473,59.745162,roses,0.39772546
23,186888164413163,186888246992337,82.579174,186888247082754,186888309399896,62.317142,roses,0.4375391
24,186888331384325,186888407413708,76.029383,186888407507718,186888467434078,59.92636,roses,0.50298053
24,186888497728612,186888578319402,80.59079,186888578415339,186888641196283,62.780944,roses,0.5667308
24,186888664155608,186888746104054,81.948446,186888746202231,186888808942445,62.740214,roses,0.49676806
24,186888830988698,186888905991830,75.003132,186888906086049,186888972707410,66.621361,roses,0.5383617
24,186888997207152,186889079470233,82.263081,186889079580337,186889137956072,58.375735,roses,0.48169103
24,186889163952429,186889245723218,81.770789,186889245819468,186889313065360,67.245892,roses,0.4564329
25,186889330460518,186889406617609,76.157091,186889406711776,186889488042982,81.331206,roses,0.5927373
25,186889497481004,186889573453876,75.972872,186889573543824,186889639785757,66.241933,roses,0.573378
25,186889664100135,186889749024258,84.924123,186889749121862,186889809203326,60.081464,roses,0.5279239
25,186889831210308,186889910627503,79.417195,186889910725211,186889971665895,60.940684,roses,0.63669825
25,186889997152876,186890078416582,81.263706,186890078512989,186890135409765,56.896776,roses,0.5190242
25,186890163560080,186890241964880,78.4048,186890242058057,186890300369521,58.311464,roses,0.47880206
26,186890330344055,186890407807969,77.463914,186890407945782,186890469443913,61.498131,roses,0.4993191
26,186890497539124,186890581322778,83.783654,186890581423924,186890649888671,68.464747,roses,0.5766444
26,186890663664974,186890741026544,77.36157,186890741118315,186890802291654,61.173339,roses,0.36409616
26,186890830356397,186890913359270,83.002873,186890913450832,186890968541202,55.09037,roses,0.30816093
26,186890996779278,186891079002359,82.223081,186891079092463,186891135408979,56.316516,roses,0.48764932
26,186891163923930,186891242834459,78.910529,186891242937688,186891300052902,57.115214,roses,0.4526668
27,186891330441655,186891413749007,83.307352,186891413835361,186891488287608,74.452247,roses,0.36883774
27,186891497248495,186891572743450,75.494955,186891572835637,186891635615852,62.780215,roses,0.45213184
27,186891662719969,186891745853519,83.13355,186891745947165,186891812062849,66.115684,roses,0.5060677
27,186891829839986,186891909285202,79.445216,186891909384525,186891975111875,65.72735,roses,0.45979962
27,186891996169690,186892079195532,83.025842,186892079289282,186892137750381,58.461099,roses,0.5508067
27,186892163435228,186892250529455,87.094227,186892251099247,186892313561701,62.462454,roses,0.3957518
28,186892329394411,186892404049054,74.654643,186892404148272,186892475140988,70.992716,roses,0.45839998
28,186892496170782,186892573847300,77.676518,186892573942768,186892641635484,67.692716,roses,0.41870224
28,186892663623454,186892750111432,86.487978,186892750548671,186892813163886,62.615215,roses,0.43623164
28,186892829156283,186892904751239,75.594956,186892904851291,186892974430517,69.579226,roses,0.5716883
28,186892995622706,186893074906152,79.283446,186893075009693,186893141324960,66.315267,roses,0.54472405
28,186893162662827,186893242790960,80.128133,186893242886481,186893300644143,57.757662,roses,0.5311753
29,186893329321542,186893408989883,79.668341,186893409082487,186893469552754,60.470267,roses,0.51471114
29,186893496237340,186893578404535,82.167195,186893578494171,186893635743603,57.249432,roses,0.50468695
29,186893662346627,186893743945958,81.599331,186893744035125,186893829524925,85.4898,roses,0.46215272
29,186893862827636,186893943010144,80.182508,186893943097332,186894004744317,61.646985,roses,0.48126677
29,186894029170413,186894106738182,77.567769,186894106829015,186894173356365,66.52735,roses,0.52529407
29,186894195249545,186894273929240,78.679695,186894274028198,186894336066434,62.038236,roses,0.48030454
30,186894361836540,186894445790299,83.953759,186894445875507,186894505349263,59.473756,roses,0.505694
30,186894528840724,186894613426513,84.585789,186894613502711,186894675142457,61.639746,roses,0.5688869
30,186894694823032,186894774514550,79.691518,186894774610488,186894832794087,58.183599,roses,0.42098048
30,186894861401225,186894942258890,80.857665,186894942352171,186895004482750,62.130579,roses,0.61329186
30,186895028168430,186895107212500,79.04407,186895107309687,186895170164902,62.855215,roses,0.56868434
30,186895195057352,186895274458558,79.401206,186895274556996,186895335986117,61.429121,roses,0.47859716
31,186895361237525,186895443638836,82.401311,186895443807690,186895511454519,67.646829,roses,0.48182228
31,186895527966396,186895602426247,74.459851,186895602513747,186895670760942,68.247195,roses,0.526477
31,186895694970736,186895776607619,81.636883,186895776699285,186895838433614,61.734329,roses,0.4424614
31,186895862204867,186895947133729,84.928862,186895947231855,186896004976652,57.744797,daisy,0.41646278
31,186896027731498,186896105934891,78.203393,186896106032652,186896170839585,64.806933,roses,0.37038752
31,186896195250525,186896273742252,78.491727,186896273836575,186896332328507,58.491932,roses,0.4429397
32,186896361464604,186896439002476,77.537872,186896439166070,186896493978055,54.811985,roses,0.4003481
32,186896495185763,186896570407489,75.221726,186896570491344,186896632122027,61.630683,roses,0.4546814
32,186896661562655,186896740271361,78.708706,186896740355788,186896803845690,63.489902,roses,0.50822526
32,186896828509390,186896905841481,77.332091,186896905929658,186896974394196,68.464538,roses,0.4803919
32,186896994106959,186897073092175,78.985216,186897073217123,186897131570722,58.353599,roses,0.44355768
32,186897160788798,186897236104118,75.31532,186897236189952,186897301153187,64.963235,roses,0.4772437
33,186897327066784,186897409587469,82.520685,186897409680802,186897471025183,61.344381,roses,0.61532116
33,186897494081019,186897572199412,78.118393,186897572287121,186897634255668,61.968547,roses,0.51436317
33,186897660854838,186897737500783,76.645945,186897737587345,186897795147455,57.56011,roses,0.6152489
33,186897829307094,186897912866529,83.559435,186897912962207,186897973121848,60.159641,roses,0.5648172
33,186897994301694,186898072712952,78.411258,186898072797431,186898132018843,59.221412,roses,0.53802377
33,186898160171710,186898236857239,76.685529,186898236943437,186898292643234,55.699797,daisy,0.44227427
