Time (sec),Previous Frame (ns),Current Frame (ns),Time Elapsed (ms),Dropped Frame Count,,Num,FPS,,Min FPS,Max FPS,Avg FPS
1,1.71041E+14,1.71041E+14,16.757096,0,,91,60,,,,
1,1.71041E+14,1.71041E+14,16.757452,0,,92,60,,,,
1,1.71041E+14,1.71041E+14,16.757185,0,,93,59,,,,
1,1.71041E+14,1.71041E+14,16.755301,0,,94,60,,,,
1,1.71041E+14,1.71041E+14,16.757851,0,,95,60,,,,
1,1.71041E+14,1.71041E+14,16.758396,0,,96,59,,,,
1,1.71041E+14,1.71041E+14,16.758437,0,,97,60,,,,
1,1.71041E+14,1.71041E+14,16.75777,0,,98,60,,,,
1,1.71041E+14,1.71041E+14,16.756452,0,,99,59,,,,
1,1.71041E+14,1.71041E+14,16.758185,0,,100,60,,,,
1,1.71041E+14,1.71041E+14,16.758079,0,,101,60,,,,
1,1.71041E+14,1.71041E+14,16.758589,0,,102,59,,,,
1,1.71041E+14,1.71041E+14,16.758458,0,,103,60,,,,
1,1.71041E+14,1.71041E+14,16.757989,0,,104,60,,,,
1,1.71041E+14,1.71041E+14,16.757078,0,,105,59,,,,
1,1.71041E+14,1.71041E+14,16.758161,0,,106,60,,,,
1,1.71041E+14,1.71041E+14,16.758428,0,,107,60,,,,
1,1.71041E+14,1.71041E+14,16.758561,0,,108,59,,,,
1,1.71041E+14,1.71041E+14,16.757922,0,,109,60,,,,
1,1.71041E+14,1.71041E+14,16.757801,0,,110,60,,,,
1,1.71041E+14,1.71041E+14,16.757764,0,,111,59,,,,
1,1.71041E+14,1.71041E+14,16.757804,0,,112,60,,,,
1,1.71041E+14,1.71041E+14,16.75893,0,,113,60,,,,
1,1.71041E+14,1.71042E+14,16.758167,0,,114,59,,,,
1,1.71042E+14,1.71042E+14,16.757978,0,,115,60,,,,
1,1.71042E+14,1.71042E+14,16.752286,0,,116,60,,,,
2,1.71042E+14,1.71042E+14,16.753253,0,,117,59,,,,
2,1.71042E+14,1.71042E+14,16.754846,0,,118,60,,,,
2,1.71042E+14,1.71042E+14,16.757292,0,,119,60,,,,
2,1.71042E+14,1.71042E+14,16.755145,0,,120,59,,,,
2,1.71042E+14,1.71042E+14,16.75834,0,,121,60,,,,
2,1.71042E+14,1.71042E+14,16.758066,0,,122,60,,,,
2,1.71042E+14,1.71042E+14,16.757811,0,,123,59,,,,
2,1.71042E+14,1.71042E+14,16.755145,0,,124,60,,,,
2,1.71042E+14,1.71042E+14,16.756657,0,,125,60,,,,
2,1.71042E+14,1.71042E+14,16.75807,0,,126,59,,,,
2,1.71042E+14,1.71042E+14,16.758882,0,,127,60,,,,
2,1.71042E+14,1.71042E+14,16.758411,0,,128,60,,,,
2,1.71042E+14,1.71042E+14,16.757702,0,,129,59,,,,
2,1.71042E+14,1.71042E+14,16.75698,0,,130,60,,,,
2,1.71042E+14,1.71042E+14,16.746767,0,,131,60,,,,
2,1.71042E+14,1.71042E+14,16.752714,0,,132,59,,,,
2,1.71042E+14,1.71042E+14,16.75867,0,,133,60,,,,
2,1.71042E+14,1.71042E+14,16.75468,0,,134,60,,,,
2,1.71042E+14,1.71042E+14,16.753477,0,,135,59,,,,
2,1.71042E+14,1.71042E+14,16.758367,0,,136,60,,,,
2,1.71042E+14,1.71042E+14,16.754069,0,,137,60,,,,
2,1.71042E+14,1.71042E+14,16.755269,0,,138,60,,,,
2,1.71042E+14,1.71042E+14,16.754547,0,,139,59,,,,
2,1.71042E+14,1.71042E+14,16.75315,0,,140,60,,,,
2,1.71042E+14,1.71042E+14,16.755217,0,,141,60,,,,
2,1.71042E+14,1.71042E+14,16.754788,0,,142,59,,,,
2,1.71042E+14,1.71042E+14,16.755651,0,,143,60,,,,
2,1.71042E+14,1.71042E+14,16.759317,0,,144,60,,,,
2,1.71042E+14,1.71042E+14,16.754886,0,,145,59,,,,
2,1.71042E+14,1.71042E+14,16.755787,0,,146,60,,,,
2,1.71042E+14,1.71042E+14,16.753451,0,,147,60,,,,
2,1.71042E+14,1.71042E+14,16.757632,0,,148,59,,,,
2,1.71042E+14,1.71042E+14,16.758058,0,,149,60,,,,
2,1.71042E+14,1.71042E+14,16.755386,0,,150,60,,,,
2,1.71042E+14,1.71042E+14,16.759118,0,,151,59,,,,
2,1.71042E+14,1.71042E+14,16.756272,0,,152,60,,,,
2,1.71042E+14,1.71042E+14,16.758697,0,,153,60,,,,
2,1.71042E+14,1.71042E+14,16.75843,0,,154,59,,,,
2,1.71042E+14,1.71042E+14,16.757416,0,,155,60,,,,
2,1.71042E+14,1.71042E+14,16.755054,0,,156,60,,,,
2,1.71042E+14,1.71042E+14,16.759519,0,,157,59,,,,
2,1.71042E+14,1.71042E+14,16.755884,0,,158,60,,,,
2,1.71042E+14,1.71042E+14,16.754116,0,,159,60,,,,
2,1.71042E+14,1.71042E+14,16.754263,0,,160,59,,,,
