T,Attempt No,Time to Preprocess (millis),Time to Classify (millis),,,,
,23,49,0,,,,49
,49,33,1,,,,34
,74,31,1,,,,32
,99,35,0,,,,35
,123,38,2,,,,40
,142,38,0,,,,38
,161,63,1,,,,64
,179,38,5,,,,43
,201,43,1,,,,44
,218,37,0,,,,37
,237,54,0,,,,54
,256,49,0,,,,49
,272,41,1,,,,42
,291,65,0,,,,65
,309,68,0,,,,68
,329,43,0,,,,43
,347,45,1,,,,46
,367,37,0,,,,37
,387,59,2,,,,61
,405,46,0,,,,46
,425,98,1,,,,99
,443,45,0,,,,45
,463,37,6,,,,43
,480,42,1,,,,43
,498,33,0,,,,33
,518,37,0,,,,37
,536,54,0,,,,54
,554,83,0,,,,83
,572,53,1,,,,54
,591,47,0,,,,47
,609,48,1,,,,49
,625,86,0,,,,86
,643,68,0,,,,68
,661,56,0,,,,56
,683,58,0,,,,58
,704,45,0,,,,45
,722,62,0,,,,62
,741,32,4,,,,36
,759,39,0,,,,39
,780,38,0,,,,38
,798,45,1,,,,46
,818,46,5,,,,51
,836,75,0,,,,75
,855,44,0,,,,44
,874,63,0,,,,63
,895,37,0,,,,37
,916,38,5,,,,43
,935,38,1,,,,39
,954,50,1,,,,51
,972,80,1,,,,81
,990,85,1,,,,86
,1007,44,0,,,,44
,1025,52,1,,,,53
,1043,51,0,,,,51
,1061,45,1,,,,46
,1079,48,0,,,,48
,1096,45,0,,,,45
,1114,47,0,,,,47
,1130,51,0,,,,51
,1146,54,0,,,,54
,1164,49,0,,,,49
,1180,51,1,,,,52
,1196,94,2,,,,96
,1212,109,0,,,,109
,1227,54,1,,,,55
,1244,60,0,,,,60
,1262,51,0,,,,51
,1278,47,5,,,,52
,1295,46,3,,,,49
,1312,102,0,,,,102
,1329,46,1,,,,47
,1346,52,0,,,,52
,1363,52,0,,,,52
,1380,69,2,,,,71
,1397,85,0,,,,85
,1414,46,2,,,,48
,1432,46,0,,,,46
,1446,87,1,,,,88
,1464,43,1,,,,44
,1481,45,0,,,,45
,1500,48,0,,,,48
,1520,41,1,,,,42
,1538,49,2,,,,51
,1558,41,0,,,,41
,1578,37,0,,,,37
,1601,34,5,,,,39
,1622,39,0,,,,39
,1642,41,5,,,,46
,1662,42,1,,,,43
,1682,45,0,,,,45
,1703,41,5,,,,46
,1723,75,1,,,,76
,1744,59,0,,,,59
,1761,38,0,,,,38
,1781,57,1,,,,58
,1800,35,0,,,,35
,1820,37,1,,,,38
,1839,51,0,,,,51
,1855,49,1,,,,50
,1874,41,0,,,,41
,1894,41,0,,,,41
,1915,96,2,,,,98
,1935,41,1,,,,42
,1953,43,0,,,,43
,1972,45,0,,,,45
,1989,68,1,,,,69
,2007,41,0,,,,41
,2024,50,1,,,,51
,2043,44,0,,,,44
,2061,42,1,,,,43
,2077,50,1,,,,51
,2094,59,0,,,,59
,2111,52,0,,,,52
,2127,48,1,,,,49
,2143,84,0,,,,84
,2161,49,1,,,,50
,2180,45,1,,,,46
,2198,64,0,,,,64
,2216,54,0,,,,54
,2231,48,2,,,,50
,2248,48,0,,,,48
,2265,44,0,,,,44
,2282,78,1,,,,79
,2299,44,2,,,,46
,2316,49,0,,,,49
,2333,40,1,,,,41
,2349,48,0,,,,48
,2366,46,0,,,,46
,2383,42,0,,,,42
,2402,44,0,,,,44
,2420,53,2,,,,55
,2437,44,1,,,,45
,2454,42,2,,,,44
,2472,42,1,,,,43
,2490,42,1,,,,43
,2507,42,0,,,,42
,2526,41,2,,,,43
,2544,58,0,,,,58
,2564,53,1,,,,54
,2584,77,0,,,,77
,2604,37,0,,,,37
,2624,39,1,,,,40
,2643,41,0,,,,41
,2664,38,0,,,,38
,2683,108,1,,,,109
,2702,38,1,,,,39
,2723,42,0,,,,42
,2741,40,0,,,,40
,2761,35,5,,,,40
,2783,39,0,,,,39
,2802,42,1,,,,43
,2818,41,0,,,,41
,2839,61,1,,,,62
,2859,41,5,,,,46
,2880,55,0,,,,55
,2901,51,1,,,,52
,2922,47,0,,,,47
,2940,45,0,,,,45
,2960,46,0,,,,46
,2978,49,2,,,,51
,2993,44,1,,,,45
,3008,51,1,,,,52
,3026,48,0,,,,48
,3044,59,0,,,,59
,3060,44,0,,,,44
,3077,48,1,,,,49
,3095,50,0,,,,50
,3114,50,1,,,,51
,3131,50,0,,,,50
,3147,52,1,,,,53
,3162,85,0,,,,85
,3179,69,1,,,,70
,3197,52,4,,,,56
,3213,68,0,,,,68
,3229,65,0,,,,65
,3249,42,0,,,,42
,3268,38,0,,,,38
,3284,47,0,,,,47
,3300,59,1,,,,60
,3318,50,0,,,,50
,3334,64,1,,,,65
,3352,47,1,,,,48
,3368,81,1,,,,82
,3385,49,0,,,,49
,3400,74,1,,,,75
,3419,43,1,,,,44
,3438,49,0,,,,49
,3454,63,1,,,,64
,3474,37,0,,,,37
,3493,70,0,,,,70
,3511,73,0,,,,73
,3531,59,0,,,,59
,3549,43,5,,,,48
,3571,40,0,,,,40
,3591,41,1,,,,42
,3612,40,1,,,,41
,3635,44,0,,,,44
,3653,50,0,,,,50
,3671,61,1,,,,62
,3690,66,3,,,,69
,3710,40,1,,,,41
,3730,59,1,,,,60
,3746,45,5,,,,50
,3764,49,1,,,,50
,3783,43,0,,,,43
,3800,59,0,,,,59
,3815,62,2,,,,64
,3832,46,1,,,,47
,3848,52,1,,,,53
,3865,45,2,,,,47
,3882,50,0,,,,50
,3900,57,1,,,,58
,3918,50,2,,,,52
,3936,51,3,,,,54
,3952,44,1,,,,45
,3968,70,1,,,,71
,3985,46,3,,,,49
,4001,51,0,,,,51
,4017,50,0,,,,50
,4031,89,0,,,,89
,4048,88,0,,,,88
,4064,70,0,,,,70
,4080,47,1,,,,48
,4096,66,2,,,,68
,4114,57,0,,,,57
,4130,76,3,,,,79
,4148,42,0,,,,42
,4164,42,5,,,,47
,4183,42,0,,,,42
,4200,46,1,,,,47
,4218,89,0,,,,89
,4236,58,0,,,,58
,4254,52,0,,,,52
,4273,39,0,,,,39
,4294,57,1,,,,58
,4313,75,0,,,,75
,4333,46,1,,,,47
,4353,43,1,,,,44
,4375,66,0,,,,66
,4394,77,0,,,,77
,4413,42,0,,,,42
,4432,59,0,,,,59
,4447,46,1,,,,47
,4466,35,1,,,,36
,4489,43,1,,,,44
,4508,74,1,,,,75
,4526,40,0,,,,40
,4547,42,0,,,,42
,4568,55,1,,,,56
,4585,46,0,,,,46
,4605,39,0,,,,39
,4625,71,0,,,,71
,4644,38,5,,,,43
,4662,52,1,,,,53
,4680,68,1,,,,69
,4696,44,0,,,,44
,4713,55,0,,,,55
,4730,79,1,,,,80
,4747,48,0,,,,48
,4762,62,0,,,,62
,4780,50,5,,,,55
,4797,54,1,,,,55
,4814,68,1,,,,69
,4831,92,1,,,,93
,4848,46,0,,,,46
,4864,52,1,,,,53
,4881,60,1,,,,61
,4897,57,0,,,,57
,4916,45,0,,,,45
,4932,53,0,,,,53
,4948,44,0,,,,44
,4965,43,0,,,,43
,4982,79,1,,,,80
,4998,75,2,,,,77
,5017,63,0,,,,63
,5033,58,0,,,,58
,5050,56,0,,,,56
,5067,47,0,,,,47
,5083,67,0,,,,67
,5100,50,1,,,,51
,5118,41,0,,,,41
,5136,52,1,,,,53
,5153,99,1,,,,100
,5170,62,0,,,,62
,5188,60,0,,,,60
,5207,46,1,,,,47
,5225,41,0,,,,41
,5244,41,0,,,,41
,5263,67,1,,,,68
,5283,38,0,,,,38
,5302,46,1,,,,47
,5321,42,1,,,,43
,5342,38,0,,,,38
,5362,38,1,,,,39
,5381,85,0,,,,85
,5401,54,0,,,,54
,5420,51,1,,,,52
