Time (sec),Preproc Start Time (ns),Preproc End Time (ns),Preproc Time Elapsed (ms),Class Start Time (ns),Class End Time (ns),Class Time Elapsed (ms),
0,3.69E+14,3.69E+14,-24.301617,3.69E+14,3.69E+14,61.30985,8.56E+01
0,3.69E+14,3.69E+14,-12.39047,3.69E+14,3.69E+14,41.837244,5.42E+01
0,3.69E+14,3.69E+14,-20.122763,3.69E+14,3.69E+14,35.789796,5.59E+01
0,3.69E+14,3.69E+14,-33.844482,3.69E+14,3.69E+14,42.472452,7.63E+01
0,3.69E+14,3.69E+14,-40.888545,3.69E+14,3.69E+14,42.783285,8.37E+01
0,3.69E+14,3.69E+14,-7.57099,3.69E+14,3.69E+14,37.965317,4.55E+01
0,3.69E+14,3.69E+14,-19.155419,3.69E+14,3.69E+14,35.461983,5.46E+01
0,3.69E+14,3.69E+14,-33.179066,3.69E+14,3.69E+14,35.049066,6.82E+01
0,3.69E+14,3.69E+14,-7.697241,3.69E+14,3.69E+14,37.839535,4.55E+01
0,3.69E+14,3.69E+14,-19.431772,3.69E+14,3.69E+14,37.120993,5.66E+01
0,3.69E+14,3.69E+14,-31.845628,3.69E+14,3.69E+14,35.284274,6.71E+01
0,3.69E+14,3.69E+14,-6.060365,3.69E+14,3.69E+14,35.072556,4.11E+01
0,3.69E+14,3.69E+14,-20.515523,3.69E+14,3.69E+14,41.091827,6.16E+01
0,3.69E+14,3.69E+14,-28.98292,3.69E+14,3.69E+14,34.670993,6.37E+01
1,3.69E+14,3.69E+14,-3.791303,3.69E+14,3.69E+14,35.048961,3.88E+01
1,3.69E+14,3.69E+14,-18.311565,3.69E+14,3.69E+14,34.878858,5.32E+01
1,3.69E+14,3.69E+14,-33.343336,3.69E+14,3.69E+14,35.064847,6.84E+01
1,3.69E+14,3.69E+14,-47.583702,3.69E+14,3.69E+14,51.379328,9.90E+01
1,3.69E+14,3.69E+14,-45.922036,3.69E+14,3.69E+14,74.844226,1.21E+02
1,3.69E+14,3.69E+14,-20.294481,3.69E+14,3.69E+14,43.11063,6.34E+01
1,3.69E+14,3.69E+14,-26.939898,3.69E+14,3.69E+14,46.655734,7.36E+01
1,3.69E+14,3.69E+14,-29.764795,3.69E+14,3.69E+14,49.166047,7.89E+01
1,3.69E+14,3.69E+14,-30.037191,3.69E+14,3.69E+14,48.475891,7.85E+01
1,3.69E+14,3.69E+14,-31.003909,3.69E+14,3.69E+14,46.774692,7.78E+01
1,3.69E+14,3.69E+14,-33.49917,3.69E+14,3.69E+14,69.375111,1.03E+02
1,3.69E+14,3.69E+14,-53.30188,3.69E+14,3.69E+14,78.333342,1.32E+02
2,3.69E+14,3.69E+14,-65.582559,3.69E+14,3.69E+14,76.94131,1.43E+02
2,3.69E+14,3.69E+14,-74.312143,3.69E+14,3.69E+14,89.236467,1.64E+02
2,3.69E+14,3.69E+14,-75.334747,3.69E+14,3.69E+14,87.617717,1.63E+02
2,3.69E+14,3.69E+14,-75.559122,3.69E+14,3.69E+14,86.187821,1.62E+02
2,3.69E+14,3.69E+14,-78.645841,3.69E+14,3.69E+14,94.050322,1.73E+02
2,3.69E+14,3.69E+14,-72.931465,3.69E+14,3.69E+14,90.238082,1.63E+02
2,3.69E+14,3.69E+14,-72.184121,3.69E+14,3.69E+14,84.663707,1.57E+02
2,3.69E+14,3.69E+14,-36.759431,3.69E+14,3.69E+14,63.39709,1.00E+02
3,3.69E+14,3.69E+14,-61.622662,3.69E+14,3.69E+14,89.765269,1.51E+02
3,3.69E+14,3.69E+14,-60.076413,3.69E+14,3.69E+14,87.762873,1.48E+02
3,3.69E+14,3.69E+14,-62.710579,3.69E+14,3.69E+14,70.96933,1.34E+02
3,3.69E+14,3.69E+14,-79.437768,3.69E+14,3.69E+14,87.716051,1.67E+02
3,3.69E+14,3.69E+14,-40.278962,3.69E+14,3.69E+14,55.727402,9.60E+01
3,3.69E+14,3.69E+14,-74.301518,3.69E+14,3.69E+14,82.879852,1.57E+02
3,3.69E+14,3.69E+14,-39.355576,3.69E+14,3.69E+14,76.253446,1.16E+02
3,3.69E+14,3.69E+14,-52.437662,3.69E+14,3.69E+14,81.556154,1.34E+02
3,3.69E+14,3.69E+14,-58.693287,3.69E+14,3.69E+14,64.119017,1.23E+02
3,3.69E+14,3.69E+14,-43.722921,3.69E+14,3.69E+14,57.093808,1.01E+02
4,3.69E+14,3.69E+14,-36.787712,3.69E+14,3.69E+14,65.8986,1.03E+02
4,3.69E+14,3.69E+14,-19.920523,3.69E+14,3.69E+14,52.089744,7.20E+01
4,3.69E+14,3.69E+14,-56.661412,3.69E+14,3.69E+14,59.34235,1.16E+02
4,3.69E+14,3.69E+14,-48.012349,3.69E+14,3.69E+14,75.886362,1.24E+02
4,3.69E+14,3.69E+14,-59.753964,3.69E+14,3.69E+14,67.753236,1.28E+02
