Record, Frame Rate,,,,,,,,Min FPS,Max FPS,Avg FPS
186,59.63316,,,,,,,,,,
187,59.63304,,,,,,,,,,
188,59.63359,,,,,,,,,,
189,59.58794,,,,,,,,,,
190,59.63419,,,,,,,,,,
191,59.63504,,,,,,,,,,
192,59.63481,,,,,,,,,,
193,59.63542,,,,,,,,,,
194,59.63458,,,,,,,,,,
195,59.63573,,,,,,,,,,
196,59.63573,,,,,,,,,,
197,59.63554,,,,,,,,,,
198,59.63484,,,,,,,,,,
199,59.63491,,,,,,,,,,
200,59.63583,,,,,,,,,,
201,59.63578,,,,,,,,,,
202,59.6353,,,,,,,,,,
203,59.58847,,,,,,,,,,
204,59.63534,,,,,,,,,,
205,59.63504,,,,,,,,,,
206,59.63596,,,,,,,,,,
207,59.63587,,,,,,,,,,
208,59.6338,,,,,,,,,,
209,59.58286,,,,,,,,,,
210,59.62593,,,,,,,,,,
211,59.62601,,,,,,,,,,
212,59.62625,,,,,,,,,,
213,59.62588,,,,,,,,,,
214,59.62628,,,,,,,,,,
215,59.62717,,,,,,,,,,
216,59.62688,,,,,,,,,,
217,59.62566,,,,,,,,,,
218,59.62613,,,,,,,,,,
219,59.6268,,,,,,,,,,
220,59.67929,,,,,,,,,,
221,59.62789,,,,,,,,,,
222,59.62823,,,,,,,,,,
223,59.62845,,,,,,,,,,
224,59.62842,,,,,,,,,,
225,59.62798,,,,,,,,,,
226,59.62685,,,,,,,,,,
227,59.62815,,,,,,,,,,
228,59.62798,,,,,,,,,,
229,59.6283,,,,,,,,,,
230,59.62846,,,,,,,,,,
231,59.62601,,,,,,,,,,
232,59.62823,,,,,,,,,,
233,59.6286,,,,,,,,,,
234,59.62728,,,,,,,,,,
235,59.69081,,,,,,,,,,
236,59.64106,,,,,,,,,,
237,59.64113,,,,,,,,,,
238,59.64039,,,,,,,,,,
239,59.64045,,,,,,,,,,
240,59.64097,,,,,,,,,,
241,59.64077,,,,,,,,,,
242,59.59642,,,,,,,,,,
243,59.62884,,,,,,,,,,
244,59.62888,,,,,,,,,,
245,59.62931,,,,,,,,,,
246,59.62952,,,,,,,,,,
247,59.62984,,,,,,,,,,
248,59.62877,,,,,,,,,,
249,59.62825,,,,,,,,,,
250,59.62962,,,,,,,,,,
251,59.62974,,,,,,,,,,
252,59.68103,,,,,,,,,,
253,59.64179,,,,,,,,,,
254,59.63914,,,,,,,,,,
255,59.6413,,,,,,,,,,
256,59.64002,,,,,,,,,,
257,59.64102,,,,,,,,,,
258,59.64035,,,,,,,,,,
259,59.63938,,,,,,,,,,
260,59.64144,,,,,,,,,,
261,59.64113,,,,,,,,,,
262,59.64515,,,,,,,,,,
263,59.64027,,,,,,,,,,
264,59.64011,,,,,,,,,,
265,59.64058,,,,,,,,,,
266,59.58873,,,,,,,,,,
267,59.63366,,,,,,,,,,
268,59.63295,,,,,,,,,,
269,59.63311,,,,,,,,,,
270,59.63298,,,,,,,,,,
271,59.63198,,,,,,,,,,
272,59.63232,,,,,,,,,,
273,59.63435,,,,,,,,,,
274,59.63295,,,,,,,,,,
275,59.63246,,,,,,,,,,
276,59.63323,,,,,,,,,,
277,59.63219,,,,,,,,,,
278,59.63326,,,,,,,,,,
279,59.63213,,,,,,,,,,
280,59.63387,,,,,,,,,,
281,59.6328,,,,,,,,,,
282,59.63239,,,,,,,,,,
283,59.63355,,,,,,,,,,
284,59.63309,,,,,,,,,,
285,59.63256,,,,,,,,,,
286,59.63283,,,,,,,,,,
287,59.63276,,,,,,,,,,
288,59.63285,,,,,,,,,,
289,59.6335,,,,,,,,,,
290,59.63246,,,,,,,,,,
291,59.63318,,,,,,,,,,
292,59.63293,,,,,,,,,,
293,59.63341,,,,,,,,,,
294,59.63442,,,,,,,,,,
295,59.63295,,,,,,,,,,
296,59.63214,,,,,,,,,,
297,59.63383,,,,,,,,,,
298,59.58923,,,,,,,,,,
299,59.62868,,,,,,,,,,
300,59.62703,,,,,,,,,,
301,59.62878,,,,,,,,,,
302,59.62888,,,,,,,,,,
303,59.62844,,,,,,,,,,
304,59.6265,,,,,,,,,,
305,59.62513,,,,,,,,,,
306,59.62791,,,,,,,,,,
307,59.62854,,,,,,,,,,
308,59.62825,,,,,,,,,,
309,59.62712,,,,,,,,,,
310,59.62793,,,,,,,,,,
311,59.62846,,,,,,,,,,
312,59.62859,,,,,,,,,,
313,59.62811,,,,,,,,,,
314,59.62815,,,,,,,,,,
315,59.62847,,,,,,,,,,
316,59.62894,,,,,,,,,,
317,59.62917,,,,,,,,,,
318,59.62743,,,,,,,,,,
319,59.62767,,,,,,,,,,
320,59.62874,,,,,,,,,,
321,59.68615,,,,,,,,,,
322,59.63676,,,,,,,,,,
323,59.63562,,,,,,,,,,
324,59.63718,,,,,,,,,,
325,59.63651,,,,,,,,,,
326,59.6368,,,,,,,,,,
327,59.59087,,,,,,,,,,
328,59.63297,,,,,,,,,,
329,59.63438,,,,,,,,,,
330,59.6338,,,,,,,,,,
331,59.63395,,,,,,,,,,
332,59.63407,,,,,,,,,,
333,59.63421,,,,,,,,,,
334,59.63422,,,,,,,,,,
335,59.63435,,,,,,,,,,
336,59.63371,,,,,,,,,,
337,59.6344,,,,,,,,,,
338,59.63403,,,,,,,,,,
339,59.63461,,,,,,,,,,
340,59.63436,,,,,,,,,,
341,59.63356,,,,,,,,,,
342,59.63413,,,,,,,,,,
343,59.63482,,,,,,,,,,
344,59.63467,,,,,,,,,,
345,59.6352,,,,,,,,,,
346,59.63247,,,,,,,,,,
347,59.59136,,,,,,,,,,
348,59.63152,,,,,,,,,,
349,59.63189,,,,,,,,,,
350,59.63209,,,,,,,,,,
351,59.63147,,,,,,,,,,
352,59.63196,,,,,,,,,,
353,59.63184,,,,,,,,,,
354,59.63179,,,,,,,,,,
355,59.63146,,,,,,,,,,
356,59.63084,,,,,,,,,,
357,59.6324,,,,,,,,,,
358,59.631,,,,,,,,,,
359,59.63203,,,,,,,,,,
360,59.63204,,,,,,,,,,
361,59.63308,,,,,,,,,,
362,59.63169,,,,,,,,,,
363,59.63213,,,,,,,,,,
364,59.63184,,,,,,,,,,
365,59.632,,,,,,,,,,
366,59.63263,,,,,,,,,,
367,59.63256,,,,,,,,,,
368,59.632,,,,,,,,,,
369,59.63083,,,,,,,,,,
370,59.63213,,,,,,,,,,
371,59.63198,,,,,,,,,,
372,59.63167,,,,,,,,,,
373,59.58921,,,,,,,,,,
374,59.63098,,,,,,,,,,
375,59.63204,,,,,,,,,,
376,59.63184,,,,,,,,,,
377,59.63064,,,,,,,,,,
378,59.63105,,,,,,,,,,
379,59.63236,,,,,,,,,,
380,59.63146,,,,,,,,,,
381,59.63102,,,,,,,,,,
382,59.63113,,,,,,,,,,
383,59.63153,,,,,,,,,,
384,59.63158,,,,,,,,,,
385,59.63242,,,,,,,,,,
386,59.6307,,,,,,,,,,
387,59.63143,,,,,,,,,,
388,59.63179,,,,,,,,,,
389,59.68617,,,,,,,,,,
390,59.63636,,,,,,,,,,
391,59.63631,,,,,,,,,,
392,59.63611,,,,,,,,,,
393,59.63852,,,,,,,,,,
394,59.63591,,,,,,,,,,
395,59.6365,,,,,,,,,,
396,59.63543,,,,,,,,,,
397,59.63513,,,,,,,,,,
398,59.63615,,,,,,,,,,
399,59.63566,,,,,,,,,,
400,59.63612,,,,,,,,,,
401,59.63444,,,,,,,,,,
402,59.63498,,,,,,,,,,
403,59.63534,,,,,,,,,,
404,59.6351,,,,,,,,,,
405,59.63617,,,,,,,,,,
406,59.6355,,,,,,,,,,
407,59.636,,,,,,,,,,
408,59.6362,,,,,,,,,,
409,59.63557,,,,,,,,,,
410,59.63575,,,,,,,,,,
411,59.63531,,,,,,,,,,
412,59.63687,,,,,,,,,,
413,59.63611,,,,,,,,,,
414,59.59138,,,,,,,,,,
415,59.63913,,,,,,,,,,
416,59.63977,,,,,,,,,,
417,59.6395,,,,,,,,,,
418,59.6401,,,,,,,,,,
419,59.63921,,,,,,,,,,
420,59.63898,,,,,,,,,,
421,59.63951,,,,,,,,,,
422,59.58746,,,,,,,,,,
423,59.63332,,,,,,,,,,
424,59.63282,,,,,,,,,,
425,59.63215,,,,,,,,,,
426,59.63323,,,,,,,,,,
427,59.6331,,,,,,,,,,
428,59.63301,,,,,,,,,,
429,59.63267,,,,,,,,,,
430,59.63247,,,,,,,,,,
431,59.63307,,,,,,,,,,
432,59.63268,,,,,,,,,,
433,59.63306,,,,,,,,,,
434,59.63319,,,,,,,,,,
435,59.63309,,,,,,,,,,
436,59.63313,,,,,,,,,,
437,59.63359,,,,,,,,,,
438,59.63299,,,,,,,,,,
439,59.63321,,,,,,,,,,
440,59.63379,,,,,,,,,,
441,59.63276,,,,,,,,,,
442,59.63298,,,,,,,,,,
443,59.63229,,,,,,,,,,
444,59.63367,,,,,,,,,,
445,59.63287,,,,,,,,,,
446,59.63335,,,,,,,,,,
447,59.63262,,,,,,,,,,
448,59.63156,,,,,,,,,,
449,59.63287,,,,,,,,,,
450,59.6339,,,,,,,,,,
451,59.63345,,,,,,,,,,
452,59.63264,,,,,,,,,,
453,59.63183,,,,,,,,,,
454,59.63295,,,,,,,,,,
455,59.63297,,,,,,,,,,
456,59.63307,,,,,,,,,,
457,59.63328,,,,,,,,,,
458,59.63322,,,,,,,,,,
459,59.63301,,,,,,,,,,
460,59.63815,,,,,,,,,,
461,59.63287,,,,,,,,,,
462,59.63349,,,,,,,,,,
463,59.63338,,,,,,,,,,
464,59.63301,,,,,,,,,,
465,59.63271,,,,,,,,,,
466,59.63263,,,,,,,,,,
467,59.63351,,,,,,,,,,
468,59.63316,,,,,,,,,,
469,59.6334,,,,,,,,,,
470,59.6328,,,,,,,,,,
471,59.63195,,,,,,,,,,
472,59.63311,,,,,,,,,,
473,59.63239,,,,,,,,,,
474,59.63318,,,,,,,,,,
475,59.63251,,,,,,,,,,
476,59.63236,,,,,,,,,,
477,59.63303,,,,,,,,,,
478,59.63297,,,,,,,,,,
479,59.63281,,,,,,,,,,
480,59.63292,,,,,,,,,,
481,59.63268,,,,,,,,,,
482,59.63269,,,,,,,,,,
483,59.63395,,,,,,,,,,
484,59.6331,,,,,,,,,,
485,59.6333,,,,,,,,,,
486,59.63317,,,,,,,,,,
487,59.63321,,,,,,,,,,
488,59.63338,,,,,,,,,,
489,59.63295,,,,,,,,,,
490,59.63359,,,,,,,,,,
491,59.63299,,,,,,,,,,
492,59.63393,,,,,,,,,,
493,59.63299,,,,,,,,,,
494,59.63171,,,,,,,,,,
495,59.63349,,,,,,,,,,
496,59.63277,,,,,,,,,,
497,59.63307,,,,,,,,,,
498,59.63385,,,,,,,,,,
499,59.63233,,,,,,,,,,
500,59.6328,,,,,,,,,,
501,59.62611,,,,,,,,,,
502,59.63336,,,,,,,,,,
503,59.63211,,,,,,,,,,
504,59.63242,,,,,,,,,,
505,59.63301,,,,,,,,,,
506,59.63357,,,,,,,,,,
507,59.63312,,,,,,,,,,
508,59.63262,,,,,,,,,,
509,59.63311,,,,,,,,,,
510,59.63247,,,,,,,,,,
511,59.63371,,,,,,,,,,
512,59.63318,,,,,,,,,,
513,59.63334,,,,,,,,,,
514,59.63376,,,,,,,,,,
515,59.68223,,,,,,,,,,
516,59.63183,,,,,,,,,,
517,59.63119,,,,,,,,,,
518,59.63212,,,,,,,,,,
519,59.63239,,,,,,,,,,
520,59.63239,,,,,,,,,,
521,59.63209,,,,,,,,,,
522,59.6311,,,,,,,,,,
523,59.63216,,,,,,,,,,
524,59.63338,,,,,,,,,,
525,59.63161,,,,,,,,,,
526,59.63126,,,,,,,,,,
527,59.6307,,,,,,,,,,
528,59.63223,,,,,,,,,,
529,59.63167,,,,,,,,,,
530,59.6324,,,,,,,,,,
531,59.63161,,,,,,,,,,
532,59.63205,,,,,,,,,,
533,59.6325,,,,,,,,,,
534,59.63238,,,,,,,,,,
535,59.63103,,,,,,,,,,
536,59.63243,,,,,,,,,,
537,59.63254,,,,,,,,,,
538,59.63262,,,,,,,,,,
539,59.63207,,,,,,,,,,
540,59.63045,,,,,,,,,,
541,59.63227,,,,,,,,,,
542,59.63221,,,,,,,,,,
543,59.63189,,,,,,,,,,
544,59.63194,,,,,,,,,,
545,59.63124,,,,,,,,,,
546,59.63216,,,,,,,,,,
547,59.63232,,,,,,,,,,
548,59.63297,,,,,,,,,,
549,59.63151,,,,,,,,,,
550,59.63152,,,,,,,,,,
551,59.63156,,,,,,,,,,
