Time (sec),Previous Frame (ns),Current Frame (ns),Time Elapsed (ms),Dropped Frame Count,,,Time (sec),FPS,
0,6.57E+12,6.57E+12,33.790838,1,,,0,51," =COUNTIF(A:A,H2)"
0,6.57E+12,6.57E+12,183.425273,10,,,1,60,
0,6.57E+12,6.57E+12,17.671568,0,,,2,59,
0,6.57E+12,6.57E+12,16.757739,0,,,3,60,
0,6.57E+12,6.57E+12,16.757089,0,,,4,60,
0,6.57E+12,6.57E+12,16.757615,0,,,5,59,
0,6.57E+12,6.57E+12,16.757532,0,,,6,60,
0,6.57E+12,6.57E+12,16.757575,0,,,7,60,
0,6.57E+12,6.57E+12,16.757515,0,,,8,59,
0,6.57E+12,6.57E+12,16.757566,0,,,9,60,
0,6.57E+12,6.57E+12,16.757629,0,,,10,60,
0,6.57E+12,6.57E+12,16.757192,0,,,11,59,
0,6.57E+12,6.57E+12,16.757425,0,,,12,60,
0,6.57E+12,6.57E+12,16.757234,0,,,13,60,
0,6.57E+12,6.57E+12,16.757514,0,,,14,59,
0,6.57E+12,6.57E+12,16.757395,0,,,15,60,
0,6.57E+12,6.57E+12,16.757482,0,,,16,60,
0,6.57E+12,6.57E+12,16.757207,0,,,17,59,
0,6.57E+12,6.57E+12,16.757236,0,,,18,60,
0,6.57E+12,6.57E+12,16.757008,0,,,19,60,
0,6.57E+12,6.57E+12,16.757062,0,,,20,59,
0,6.57E+12,6.57E+12,16.757191,0,,,21,60,
0,6.57E+12,6.57E+12,16.757246,0,,,22,60,
0,6.57E+12,6.57E+12,16.757189,0,,,23,59,
0,6.57E+12,6.57E+12,16.757249,0,,,24,60,
0,6.57E+12,6.57E+12,16.757035,0,,,25,60,
0,6.57E+12,6.57E+12,16.756976,0,,,26,59,
0,6.57E+12,6.57E+12,16.756896,0,,,27,60,
0,6.57E+12,6.57E+12,16.756908,0,,,28,60,
0,6.57E+12,6.57E+12,16.756834,0,,,29,59,
0,6.57E+12,6.57E+12,16.756959,0,,,30,60,
0,6.57E+12,6.57E+12,16.756893,0,,,31,60,
0,6.57E+12,6.57E+12,16.756598,0,,,32,59,
0,6.57E+12,6.57E+12,16.757054,0,,,33,60,
0,6.57E+12,6.57E+12,16.756713,0,,,34,60,
0,6.57E+12,6.57E+12,16.757146,0,,,35,59,
0,6.57E+12,6.57E+12,16.756809,0,,,36,60,
0,6.57E+12,6.57E+12,16.757125,0,,,37,60,
0,6.57E+12,6.57E+12,16.756831,0,,,38,59,
0,6.57E+12,6.57E+12,16.756706,0,,,39,60,
0,6.57E+12,6.57E+12,16.756624,0,,,40,60,
0,6.57E+12,6.57E+12,16.75673,0,,,41,60,
0,6.57E+12,6.57E+12,16.756795,0,,,42,59,
0,6.57E+12,6.57E+12,16.75649,0,,,43,60,
0,6.57E+12,6.57E+12,16.756747,0,,,44,60,
0,6.57E+12,6.57E+12,16.756929,0,,,45,59,
0,6.57E+12,6.57E+12,16.756927,0,,,46,60,
0,6.57E+12,6.57E+12,16.756559,0,,,47,60,
0,6.57E+12,6.57E+12,16.756586,0,,,48,59,
0,6.57E+12,6.57E+12,16.756845,0,,,49,60,
0,6.57E+12,6.57E+12,16.756778,0,,,50,60,
1,6.57E+12,6.57E+12,16.756704,0,,,51,59,
1,6.57E+12,6.57E+12,16.756638,0,,,52,60,
1,6.57E+12,6.57E+12,16.756765,0,,,53,60,
1,6.57E+12,6.57E+12,16.756736,0,,,54,59,
1,6.57E+12,6.57E+12,16.756533,0,,,55,60,
1,6.57E+12,6.57E+12,16.756529,0,,,56,60,
1,6.57E+12,6.57E+12,16.756706,0,,,57,59,
1,6.57E+12,6.57E+12,16.756815,0,,,58,60,
1,6.57E+12,6.57E+12,16.75662,0,,,59,60,
1,6.57E+12,6.57E+12,16.756729,0,,,60,59,
1,6.57E+12,6.57E+12,16.756752,0,,,61,60,
1,6.57E+12,6.57E+12,16.756472,0,,,62,60,
1,6.57E+12,6.57E+12,16.756596,0,,,63,59,
1,6.57E+12,6.57E+12,16.756664,0,,,64,60,
1,6.57E+12,6.57E+12,16.756682,0,,,65,60,
1,6.57E+12,6.57E+12,16.756565,0,,,66,59,
1,6.57E+12,6.57E+12,16.756542,0,,,67,60,
1,6.57E+12,6.57E+12,16.756703,0,,,68,60,
1,6.57E+12,6.57E+12,16.756685,0,,,69,59,
1,6.57E+12,6.57E+12,16.75642,0,,,70,60,
1,6.57E+12,6.57E+12,16.756475,0,,,71,60,
1,6.57E+12,6.57E+12,16.756487,0,,,72,59,
1,6.57E+12,6.57E+12,16.75669,0,,,73,60,
1,6.57E+12,6.57E+12,16.75664,0,,,74,60,
1,6.57E+12,6.57E+12,16.756593,0,,,75,59,
1,6.57E+12,6.57E+12,16.756684,0,,,76,60,
1,6.57E+12,6.57E+12,16.756134,0,,,77,60,
1,6.57E+12,6.57E+12,16.756573,0,,,78,59,
1,6.57E+12,6.57E+12,16.756692,0,,,79,60,
1,6.57E+12,6.57E+12,16.756563,0,,,80,60,
1,6.57E+12,6.57E+12,16.756467,0,,,81,59,
1,6.57E+12,6.57E+12,16.756484,0,,,82,60,
1,6.57E+12,6.57E+12,16.756504,0,,,83,60,
1,6.57E+12,6.57E+12,16.756637,0,,,84,59,
1,6.57E+12,6.57E+12,16.756532,0,,,85,60,
1,6.57E+12,6.57E+12,16.756585,0,,,86,60,
1,6.57E+12,6.57E+12,16.756387,0,,,87,59,
1,6.57E+12,6.57E+12,16.75663,0,,,88,60,
1,6.57E+12,6.57E+12,16.7566,0,,,89,60,
1,6.57E+12,6.57E+12,16.756651,0,,,90,59,
1,6.57E+12,6.57E+12,16.756278,0,,,91,60,
1,6.57E+12,6.57E+12,16.756604,0,,,92,60,
1,6.57E+12,6.57E+12,16.75649,0,,,93,59,
1,6.57E+12,6.57E+12,16.756364,0,,,94,60,
1,6.57E+12,6.57E+12,16.75625,0,,,95,60,
1,6.57E+12,6.57E+12,16.756493,0,,,96,59,
1,6.57E+12,6.57E+12,16.756444,0,,,97,60,
1,6.57E+12,6.57E+12,16.756673,0,,,98,60,
1,6.57E+12,6.57E+12,16.756583,0,,,99,59,
1,6.57E+12,6.57E+12,16.756671,0,,,100,60,
1,6.57E+12,6.57E+12,16.756528,0,,,101,60,
1,6.57E+12,6.57E+12,16.756752,0,,,102,59,
1,6.57E+12,6.57E+12,16.756626,0,,,103,60,
1,6.57E+12,6.57E+12,16.756586,0,,,104,60,
1,6.57E+12,6.57E+12,16.755981,0,,,105,60,
1,6.57E+12,6.57E+12,16.756405,0,,,106,59,
1,6.57E+12,6.57E+12,16.756459,0,,,107,60,
1,6.57E+12,6.57E+12,16.756269,0,,,108,60,
1,6.57E+12,6.57E+12,16.756052,0,,,109,59,
1,6.57E+12,6.57E+12,16.756317,0,,,110,60,
2,6.57E+12,6.57E+12,16.756728,0,,,111,60,
2,6.57E+12,6.57E+12,16.756648,0,,,112,59,
2,6.57E+12,6.57E+12,16.756686,0,,,113,60,
2,6.57E+12,6.57E+12,16.756263,0,,,114,60,
2,6.57E+12,6.57E+12,16.755808,0,,,115,59,
2,6.57E+12,6.57E+12,16.756692,0,,,116,60,
2,6.57E+12,6.57E+12,16.757041,0,,,117,60,
2,6.57E+12,6.57E+12,16.756487,0,,,118,59,
2,6.57E+12,6.57E+12,16.756661,0,,,119,60,
2,6.57E+12,6.57E+12,16.756766,0,,,120,60,
2,6.57E+12,6.57E+12,16.75662,0,,,121,59,
2,6.57E+12,6.57E+12,16.756544,0,,,122,60,
2,6.57E+12,6.57E+12,16.75661,0,,,123,60,
2,6.57E+12,6.57E+12,16.756556,0,,,124,59,
2,6.57E+12,6.57E+12,16.756397,0,,,125,60,
2,6.57E+12,6.57E+12,16.756735,0,,,126,60,
2,6.57E+12,6.57E+12,16.756616,0,,,127,59,
2,6.57E+12,6.57E+12,16.75662,0,,,128,60,
2,6.57E+12,6.57E+12,16.756196,0,,,129,60,
2,6.57E+12,6.57E+12,16.755881,0,,,130,59,
2,6.57E+12,6.57E+12,16.755141,0,,,131,60,
2,6.57E+12,6.57E+12,16.755964,0,,,132,60,
2,6.57E+12,6.57E+12,16.756408,0,,,133,59,
2,6.57E+12,6.57E+12,16.756392,0,,,134,60,
2,6.57E+12,6.57E+12,16.756286,0,,,135,60,
2,6.57E+12,6.57E+12,16.756145,0,,,136,59,
2,6.57E+12,6.57E+12,16.755318,0,,,137,60,
2,6.57E+12,6.57E+12,16.755538,0,,,138,60,
2,6.57E+12,6.57E+12,16.755654,0,,,139,59,
2,6.57E+12,6.57E+12,16.755897,0,,,140,60,
2,6.57E+12,6.57E+12,16.756482,0,,,141,60,
2,6.57E+12,6.57E+12,16.756534,0,,,142,59,
