Previous Frame (ns),Current Frame (ns),Time Elapsed (ms),Dropped Frame Count,,,,Num,FPS
0,2.28997E+13,2.28997E+13,34.288958,2,,,0,45
0,2.28997E+13,2.29E+13,283.546968,16,,,1,60
0,2.29E+13,2.29E+13,18.472577,1,,,2,59
0,2.29E+13,2.29001E+13,16.772164,0,,,3,60
0,2.29001E+13,2.29001E+13,16.772264,0,,,4,59
0,2.29001E+13,2.29001E+13,16.772333,0,,,5,60
0,2.29001E+13,2.29001E+13,16.772322,0,,,6,60
0,2.29001E+13,2.29001E+13,16.772378,0,,,7,59
0,2.29001E+13,2.29001E+13,16.772469,0,,,8,60
0,2.29001E+13,2.29002E+13,16.772437,0,,,9,60
0,2.29002E+13,2.29002E+13,16.772311,0,,,10,59
0,2.29002E+13,2.29002E+13,16.77213,0,,,11,60
0,2.29002E+13,2.29002E+13,16.771946,0,,,12,59
0,2.29002E+13,2.29002E+13,16.772041,0,,,13,60
0,2.29002E+13,2.29002E+13,16.772193,0,,,14,60
0,2.29002E+13,2.29003E+13,16.771683,0,,,15,59
0,2.29003E+13,2.29003E+13,16.772042,0,,,16,60
0,2.29003E+13,2.29003E+13,16.772346,0,,,17,59
0,2.29003E+13,2.29003E+13,16.772304,0,,,18,60
0,2.29003E+13,2.29003E+13,16.771869,0,,,19,60
0,2.29003E+13,2.29003E+13,16.772122,0,,,20,59
0,2.29003E+13,2.29004E+13,16.772288,0,,,21,60
0,2.29004E+13,2.29004E+13,16.771918,0,,,22,60
0,2.29004E+13,2.29004E+13,16.771702,0,,,23,59
0,2.29004E+13,2.29004E+13,16.771938,0,,,24,60
0,2.29004E+13,2.29004E+13,16.771919,0,,,25,60
0,2.29004E+13,2.29004E+13,16.771983,0,,,26,59
0,2.29004E+13,2.29005E+13,16.771925,0,,,27,60
0,2.29005E+13,2.29005E+13,16.771909,0,,,28,59
0,2.29005E+13,2.29005E+13,16.771962,0,,,29,60
0,2.29005E+13,2.29005E+13,16.77205,0,,,30,60
0,2.29005E+13,2.29005E+13,16.771946,0,,,31,59
0,2.29005E+13,2.29005E+13,16.772033,0,,,32,60
0,2.29005E+13,2.29006E+13,16.771891,0,,,33,59
0,2.29006E+13,2.29006E+13,16.771986,0,,,34,60
0,2.29006E+13,2.29006E+13,16.77215,0,,,35,60
0,2.29006E+13,2.29006E+13,16.771922,0,,,36,59
0,2.29006E+13,2.29006E+13,16.772003,0,,,37,60
0,2.29006E+13,2.29006E+13,16.771889,0,,,38,60
0,2.29006E+13,2.29007E+13,16.771991,0,,,39,59
0,2.29007E+13,2.29007E+13,16.772073,0,,,40,60
0,2.29007E+13,2.29007E+13,16.772111,0,,,41,59
0,2.29007E+13,2.29007E+13,16.772115,0,,,42,60
0,2.29007E+13,2.29007E+13,16.772144,0,,,43,60
0,2.29007E+13,2.29007E+13,16.772044,0,,,44,59
1,2.29007E+13,2.29008E+13,16.772035,0,,,45,60
1,2.29008E+13,2.29008E+13,16.772015,0,,,46,60
1,2.29008E+13,2.29008E+13,16.771957,0,,,47,59
1,2.29008E+13,2.29008E+13,16.772013,0,,,48,60
1,2.29008E+13,2.29008E+13,16.772073,0,,,49,59
1,2.29008E+13,2.29008E+13,16.771945,0,,,50,60
1,2.29008E+13,2.29009E+13,16.771931,0,,,51,60
1,2.29009E+13,2.29009E+13,16.771912,0,,,52,59
1,2.29009E+13,2.29009E+13,16.771965,0,,,53,60
1,2.29009E+13,2.29009E+13,16.771818,0,,,54,60
1,2.29009E+13,2.29009E+13,16.771944,0,,,55,59
1,2.29009E+13,2.2901E+13,16.771999,0,,,56,60
1,2.2901E+13,2.2901E+13,16.771928,0,,,57,60
1,2.2901E+13,2.2901E+13,16.771747,0,,,58,59
1,2.2901E+13,2.2901E+13,16.771699,0,,,59,60
1,2.2901E+13,2.2901E+13,16.771376,0,,,60,59
1,2.2901E+13,2.2901E+13,16.771901,0,,,61,60
1,2.2901E+13,2.29011E+13,16.771673,0,,,62,60
1,2.29011E+13,2.29011E+13,16.771939,0,,,63,59
1,2.29011E+13,2.29011E+13,16.772021,0,,,64,60
1,2.29011E+13,2.29011E+13,16.771968,0,,,65,60
1,2.29011E+13,2.29011E+13,16.772029,0,,,66,59
1,2.29011E+13,2.29011E+13,16.771943,0,,,67,60
1,2.29011E+13,2.29012E+13,16.771679,0,,,68,59
1,2.29012E+13,2.29012E+13,16.771889,0,,,69,60
1,2.29012E+13,2.29012E+13,16.771821,0,,,70,60
1,2.29012E+13,2.29012E+13,16.77179,0,,,71,59
1,2.29012E+13,2.29012E+13,16.771922,0,,,72,60
1,2.29012E+13,2.29012E+13,16.771925,0,,,73,60
1,2.29012E+13,2.29013E+13,16.771927,0,,,74,59
1,2.29013E+13,2.29013E+13,16.771599,0,,,75,60
1,2.29013E+13,2.29013E+13,16.771825,0,,,76,59
1,2.29013E+13,2.29013E+13,16.771701,0,,,77,60
1,2.29013E+13,2.29013E+13,16.771867,0,,,78,60
1,2.29013E+13,2.29013E+13,16.771979,0,,,79,59
1,2.29013E+13,2.29014E+13,16.771747,0,,,80,60
1,2.29014E+13,2.29014E+13,16.771922,0,,,81,60
1,2.29014E+13,2.29014E+13,16.771804,0,,,82,59
1,2.29014E+13,2.29014E+13,16.772154,0,,,83,60
1,2.29014E+13,2.29014E+13,16.771807,0,,,84,60
1,2.29014E+13,2.29014E+13,16.771978,0,,,85,59
1,2.29014E+13,2.29015E+13,16.771796,0,,,86,60
1,2.29015E+13,2.29015E+13,16.772116,0,,,87,59
1,2.29015E+13,2.29015E+13,16.772053,0,,,88,60
1,2.29015E+13,2.29015E+13,16.771808,0,,,89,60
1,2.29015E+13,2.29015E+13,16.771949,0,,,90,59
1,2.29015E+13,2.29015E+13,16.772227,0,,,91,60
1,2.29015E+13,2.29016E+13,16.771788,0,,,92,60
1,2.29016E+13,2.29016E+13,16.771939,0,,,93,59
1,2.29016E+13,2.29016E+13,16.771726,0,,,94,60
1,2.29016E+13,2.29016E+13,16.771882,0,,,95,59
1,2.29016E+13,2.29016E+13,16.77195,0,,,96,60
1,2.29016E+13,2.29016E+13,16.771812,0,,,97,60
1,2.29016E+13,2.29017E+13,16.771807,0,,,98,59
1,2.29017E+13,2.29017E+13,16.771941,0,,,99,60
1,2.29017E+13,2.29017E+13,16.771679,0,,,100,60
1,2.29017E+13,2.29017E+13,16.771911,0,,,101,59
1,2.29017E+13,2.29017E+13,16.771637,0,,,102,60
1,2.29017E+13,2.29017E+13,16.771666,0,,,103,59
1,2.29017E+13,2.29018E+13,16.771764,0,,,104,60
2,2.29018E+13,2.29018E+13,16.771806,0,,,105,60
2,2.29018E+13,2.29018E+13,16.771963,0,,,106,59
2,2.29018E+13,2.29018E+13,16.77212,0,,,107,60
2,2.29018E+13,2.29018E+13,16.771731,0,,,108,60
2,2.29018E+13,2.29018E+13,16.771978,0,,,109,59
2,2.29018E+13,2.29019E+13,16.771748,0,,,110,60
2,2.29019E+13,2.29019E+13,16.771806,0,,,111,60
2,2.29019E+13,2.29019E+13,16.771036,0,,,112,59
2,2.29019E+13,2.29019E+13,16.771877,0,,,113,60
2,2.29019E+13,2.29019E+13,16.772022,0,,,114,59
2,2.29019E+13,2.29019E+13,16.77182,0,,,115,60
2,2.29019E+13,2.2902E+13,16.77197,0,,,116,60
2,2.2902E+13,2.2902E+13,16.771706,0,,,117,59
2,2.2902E+13,2.2902E+13,16.77172,0,,,118,60
2,2.2902E+13,2.2902E+13,16.771823,0,,,119,60
2,2.2902E+13,2.2902E+13,16.771922,0,,,120,59
2,2.2902E+13,2.2902E+13,16.771892,0,,,121,60
2,2.2902E+13,2.29021E+13,16.771932,0,,,122,59
2,2.29021E+13,2.29021E+13,16.772013,0,,,123,60
2,2.29021E+13,2.29021E+13,16.771647,0,,,124,60
2,2.29021E+13,2.29021E+13,16.771902,0,,,125,59
2,2.29021E+13,2.29021E+13,16.771661,0,,,126,60
2,2.29021E+13,2.29021E+13,16.771759,0,,,127,60
2,2.29021E+13,2.29022E+13,16.771723,0,,,128,59
2,2.29022E+13,2.29022E+13,16.771595,0,,,129,60
2,2.29022E+13,2.29022E+13,16.771805,0,,,130,60
2,2.29022E+13,2.29022E+13,16.771721,0,,,131,59
2,2.29022E+13,2.29022E+13,16.771632,0,,,132,60
2,2.29022E+13,2.29022E+13,16.771842,0,,,133,59
2,2.29022E+13,2.29023E+13,16.771395,0,,,134,60
2,2.29023E+13,2.29023E+13,16.771754,0,,,135,60
2,2.29023E+13,2.29023E+13,16.771722,0,,,136,59
2,2.29023E+13,2.29023E+13,16.769191,0,,,137,60
2,2.29023E+13,2.29023E+13,16.770342,0,,,138,60
