Previous Frame (ns),Current Frame (ns),Time Elapsed (ms),Dropped Frame Count,,,,Num,FPS
0,2.16259E+13,2.16259E+13,33.901881,1,,,0,48
0,2.16259E+13,2.16261E+13,216.857621,12,,,1,60
0,2.16261E+13,2.16261E+13,34.562657,2,,,2,59
0,2.16261E+13,2.16262E+13,16.85462,0,,,3,60
0,2.16262E+13,2.16262E+13,16.760666,0,,,4,60
0,2.16262E+13,2.16262E+13,16.760796,0,,,5,59
0,2.16262E+13,2.16262E+13,16.760779,0,,,6,60
0,2.16262E+13,2.16262E+13,16.760945,0,,,7,60
0,2.16262E+13,2.16262E+13,16.760775,0,,,8,59
0,2.16262E+13,2.16263E+13,16.7609,0,,,9,60
0,2.16263E+13,2.16263E+13,16.76074,0,,,10,60
0,2.16263E+13,2.16263E+13,16.760583,0,,,11,59
0,2.16263E+13,2.16263E+13,16.760651,0,,,12,60
0,2.16263E+13,2.16263E+13,16.760479,0,,,13,60
0,2.16263E+13,2.16263E+13,16.760619,0,,,14,59
0,2.16263E+13,2.16264E+13,16.760671,0,,,15,60
0,2.16264E+13,2.16264E+13,16.76052,0,,,16,60
0,2.16264E+13,2.16264E+13,16.760484,0,,,17,59
0,2.16264E+13,2.16264E+13,16.760112,0,,,18,60
0,2.16264E+13,2.16264E+13,16.760307,0,,,19,60
0,2.16264E+13,2.16264E+13,16.760067,0,,,20,59
0,2.16264E+13,2.16265E+13,16.760493,0,,,21,60
0,2.16265E+13,2.16265E+13,16.760478,0,,,22,60
0,2.16265E+13,2.16265E+13,16.760227,0,,,23,59
0,2.16265E+13,2.16265E+13,16.76017,0,,,24,60
0,2.16265E+13,2.16265E+13,16.760181,0,,,25,60
0,2.16265E+13,2.16265E+13,16.76035,0,,,26,59
0,2.16265E+13,2.16266E+13,16.760295,0,,,27,60
0,2.16266E+13,2.16266E+13,16.760327,0,,,28,60
0,2.16266E+13,2.16266E+13,16.760304,0,,,29,59
0,2.16266E+13,2.16266E+13,16.760394,0,,,30,60
0,2.16266E+13,2.16266E+13,16.760362,0,,,31,60
0,2.16266E+13,2.16266E+13,16.760259,0,,,32,59
0,2.16266E+13,2.16267E+13,16.760131,0,,,33,60
0,2.16267E+13,2.16267E+13,16.75984,0,,,34,59
0,2.16267E+13,2.16267E+13,16.760405,0,,,35,60
0,2.16267E+13,2.16267E+13,16.760431,0,,,36,60
0,2.16267E+13,2.16267E+13,16.760445,0,,,37,59
0,2.16267E+13,2.16267E+13,16.760354,0,,,38,60
0,2.16267E+13,2.16268E+13,16.760342,0,,,39,60
