Previous Frame (ns),Current Frame (ns),Time Elapsed (ms),Dropped Frame Count
0,21936141145303,21936175280833,34.13553,2
0,21936175280833,21936425582707,250.301874,14
0,21936425582707,21936443652520,18.069813,1
0,21936443652520,21936460418796,16.766276,0
0,21936460418796,21936477184948,16.766152,0
0,21936477184948,21936493951455,16.766507,0
0,21936493951455,21936510717792,16.766337,0
0,21936510717792,21936527484264,16.766472,0
0,21936527484264,21936544250331,16.766067,0
0,21936544250331,21936561016287,16.765956,0
0,21936561016287,21936577782704,16.766417,0
0,21936577782704,21936594548871,16.766167,0
0,21936594548871,21936611315088,16.766217,0
0,21936611315088,21936628081498,16.76641,0
0,21936628081498,21936644848094,16.766596,0
0,21936644848094,21936661614558,16.766464,0
0,21936661614558,21936678380911,16.766353,0
0,21936678380911,21936695147125,16.766214,0
0,21936695147125,21936711912847,16.765722,0
0,21936711912847,21936728678432,16.765585,0
0,21936728678432,21936745444133,16.765701,0
0,21936745444133,21936762210203,16.76607,0
0,21936762210203,21936778976446,16.766243,0
0,21936778976446,21936795742371,16.765925,0
0,21936795742371,21936812508630,16.766259,0
0,21936812508630,21936829274745,16.766115,0
0,21936829274745,21936846040690,16.765945,0
0,21936846040690,21936862806823,16.766133,0
0,21936862806823,21936879573028,16.766205,0
0,21936879573028,21936896339115,16.766087,0
0,21936896339115,21936913105096,16.765981,0
0,21936913105096,21936929871007,16.765911,0
0,21936929871007,21936946636914,16.765907,0
0,21936946636914,21936963402883,16.765969,0
0,21936963402883,21936980168825,16.765942,0
0,21936980168825,21936996934750,16.765925,0
0,21936996934750,21937013700875,16.766125,0
0,21937013700875,21937030466800,16.765925,0
0,21937030466800,21937047232924,16.766124,0
0,21937047232924,21937063999009,16.766085,0
0,21937063999009,21937080765056,16.766047,0
0,21937080765056,21937097531103,16.766047,0
0,21937097531103,21937114297132,16.766029,0
0,21937114297132,21937131062752,16.76562,0
0,21937131062752,21937147828550,16.765798,0
0,21937147828550,21937164594441,16.765891,0
0,21937164594441,21937181360473,16.766032,0
1,21937181360473,21937198126328,16.765855,0
1,21937198126328,21937214892129,16.765801,0
1,21937214892129,21937231657975,16.765846,0
1,21937231657975,21937248423779,16.765804,0
1,21937248423779,21937265189431,16.765652,0
1,21937265189431,21937281955323,16.765892,0
1,21937281955323,21937298721231,16.765908,0
1,21937298721231,21937315486906,16.765675,0
1,21937315486906,21937332252658,16.765752,0
1,21937332252658,21937349018496,16.765838,0
1,21937349018496,21937365784281,16.765785,0
1,21937365784281,21937382550135,16.765854,0
1,21937382550135,21937399315781,16.765646,0
1,21937399315781,21937416081582,16.765801,0
1,21937416081582,21937432847501,16.765919,0
1,21937432847501,21937449613139,16.765638,0
1,21937449613139,21937466378764,16.765625,0
1,21937466378764,21937483144677,16.765913,0
1,21937483144677,21937499910553,16.765876,0
1,21937499910553,21937516676413,16.76586,0
1,21937516676413,21937533442174,16.765761,0
1,21937533442174,21937550208029,16.765855,0
1,21937550208029,21937566973694,16.765665,0
1,21937566973694,21937583739442,16.765748,0
1,21937583739442,21937600505200,16.765758,0
1,21937600505200,21937617271089,16.765889,0
1,21937617271089,21937634036936,16.765847,0
1,21937634036936,21937650802684,16.765748,0
1,21937650802684,21937667568501,16.765817,0
1,21937667568501,21937684334051,16.76555,0
1,21937684334051,21937701099582,16.765531,0
1,21937701099582,21937717865207,16.765625,0
1,21937717865207,21937734631082,16.765875,0
1,21937734631082,21937751396900,16.765818,0
1,21937751396900,21937768162655,16.765755,0
1,21937768162655,21937784928343,16.765688,0
1,21937784928343,21937801693988,16.765645,0
1,21937801693988,21937818459830,16.765842,0
1,21937818459830,21937835225566,16.765736,0
1,21937835225566,21937851991682,16.766116,0
1,21937851991682,21937868757281,16.765599,0
1,21937868757281,21937885522893,16.765612,0
1,21937885522893,21937902288848,16.765955,0
1,21937902288848,21937919054650,16.765802,0
1,21937919054650,21937935820604,16.765954,0
1,21937935820604,21937952586381,16.765777,0
1,21937952586381,21937969351505,16.765124,0
1,21937969351505,21937986117548,16.766043,0
1,21937986117548,21938002883195,16.765647,0
1,21938002883195,21938019648585,16.76539,0
1,21938019648585,21938036414576,16.765991,0
1,21938036414576,21938053179829,16.765253,0
1,21938053179829,21938069945619,16.76579,0
1,21938069945619,21938086711615,16.765996,0
1,21938086711615,21938103477321,16.765706,0
1,21938103477321,21938120242876,16.765555,0
1,21938120242876,21938137008411,16.765535,0
1,21938137008411,21938153773971,16.76556,0
1,21938153773971,21938170539549,16.765578,0
1,21938170539549,21938187305116,16.765567,0
2,21938187305116,21938204070854,16.765738,0
2,21938204070854,21938220836862,16.766008,0
2,21938220836862,21938237602519,16.765657,0
2,21938237602519,21938254368485,16.765966,0
2,21938254368485,21938271134001,16.765516,0
2,21938271134001,21938287899501,16.7655,0
2,21938287899501,21938304665299,16.765798,0
2,21938304665299,21938321430757,16.765458,0
2,21938321430757,21938338196330,16.765573,0
2,21938338196330,21938354962106,16.765776,0
2,21938354962106,21938371727944,16.765838,0
2,21938371727944,21938388493618,16.765674,0
2,21938388493618,21938405259627,16.766009,0
2,21938405259627,21938422025213,16.765586,0
2,21938422025213,21938438791115,16.765902,0
2,21938438791115,21938455556285,16.76517,0
2,21938455556285,21938472322025,16.76574,0
2,21938472322025,21938489087843,16.765818,0
2,21938489087843,21938505853563,16.76572,0
2,21938505853563,21938522619366,16.765803,0
2,21938522619366,21938539385373,16.766007,0
2,21938539385373,21938556151013,16.76564,0
2,21938556151013,21938572916838,16.765825,0
2,21938572916838,21938589681822,16.764984,0
2,21938589681822,21938606445945,16.764123,0
2,21938606445945,21938623211025,16.76508,0
2,21938623211025,21938639976587,16.765562,0
2,21938639976587,21938656740316,16.763729,0
2,21938656740316,21938673505035,16.764719,0
2,21938673505035,21938690270295,16.76526,0
2,21938690270295,21938707036130,16.765835,0
2,21938707036130,21938723801055,16.764925,0
2,21938723801055,21938740566776,16.765721,0
2,21938740566776,21938757332660,16.765884,0
2,21938757332660,21938774097988,16.765328,0
2,21938774097988,21938790862488,16.7645,0
2,21938790862488,21938807628152,16.765664,0
2,21938807628152,21938824393640,16.765488,0
2,21938824393640,21938841159256,16.765616,0
2,21938841159256,21938857924398,16.765142,0
2,21938857924398,21938874689935,16.765537,0
2,21938874689935,21938891455472,16.765537,0
2,21938891455472,21938908220231,16.764759,0
2,21938908220231,21938924985701,16.76547,0
2,21938924985701,21938941751620,16.765919,0
2,21938941751620,21938958517312,16.765692,0
2,21938958517312,21938975283138,16.765826,0
2,21938975283138,21938992048356,16.765218,0
2,21938992048356,21939008814026,16.76567,0
2,21939008814026,21939025579658,16.765632,0
2,21939025579658,21939042344316,16.764658,0
2,21939042344316,21939059107258,16.762942,0
2,21939059107258,21939075872428,16.76517,0
2,21939075872428,21939092638121,16.765693,0
2,21939092638121,21939109403751,16.76563,0
2,21939109403751,21939126168302,16.764551,0
2,21939126168302,21939142931414,16.763112,0
2,21939142931414,21939159695365,16.763951,0
2,21939159695365,21939176460399,16.765034,0
3,21939176460399,21939193225899,16.7655,0
3,21939193225899,21939209991794,16.765895,0
3,21939209991794,21939226757712,16.765918,0
3,21939226757712,21939243523730,16.766018,0
3,21939243523730,21939260289668,16.765938,0
3,21939260289668,21939277055632,16.765964,0
3,21939277055632,21939293821407,16.765775,0
3,21939293821407,21939310586800,16.765393,0
3,21939310586800,21939327351216,16.764416,0
3,21939327351216,21939344117046,16.76583,0
3,21939344117046,21939360882623,16.765577,0
3,21939360882623,21939377648503,16.76588,0
3,21939377648503,21939394413978,16.765475,0
3,21939394413978,21939411179911,16.765933,0
3,21939411179911,21939427945198,16.765287,0
3,21939427945198,21939444711049,16.765851,0
3,21939444711049,21939461476460,16.765411,0
3,21939461476460,21939478242217,16.765757,0
3,21939478242217,21939495007860,16.765643,0
3,21939495007860,21939511773686,16.765826,0
3,21939511773686,21939528539097,16.765411,0
3,21939528539097,21939545304975,16.765878,0
