Previous Frame (ns),Current Frame (ns),Time Elapsed (ms),Dropped Frame Count,,,,Time (sec),FPS
1,2.13163E+13,2.13163E+13,16.750348,0,,,101,60
1,2.13163E+13,2.13163E+13,16.75097,0,,,102,60
1,2.13163E+13,2.13164E+13,16.751053,0,,,103,59
1,2.13164E+13,2.13164E+13,16.750622,0,,,104,60
1,2.13164E+13,2.13164E+13,16.750673,0,,,105,60
1,2.13164E+13,2.13164E+13,16.750546,0,,,106,59
2,2.13164E+13,2.13164E+13,16.750819,0,,,107,60
2,2.13164E+13,2.13165E+13,16.750394,0,,,108,60
2,2.13165E+13,2.13165E+13,16.750367,0,,,109,59
2,2.13165E+13,2.13165E+13,16.75039,0,,,110,60
2,2.13165E+13,2.13165E+13,16.750916,0,,,111,60
2,2.13165E+13,2.13165E+13,16.750222,0,,,112,60
2,2.13165E+13,2.13165E+13,16.750749,0,,,113,59
2,2.13165E+13,2.13166E+13,16.750627,0,,,114,60
2,2.13166E+13,2.13166E+13,16.750778,0,,,115,60
2,2.13166E+13,2.13166E+13,16.750668,0,,,116,59
2,2.13166E+13,2.13166E+13,16.750396,0,,,117,60
2,2.13166E+13,2.13166E+13,16.750775,0,,,118,60
2,2.13166E+13,2.13166E+13,16.750608,0,,,119,59
2,2.13166E+13,2.13167E+13,16.750782,0,,,120,60
2,2.13167E+13,2.13167E+13,16.750811,0,,,121,60
2,2.13167E+13,2.13167E+13,16.751017,0,,,122,59
2,2.13167E+13,2.13167E+13,16.751098,0,,,123,60
2,2.13167E+13,2.13167E+13,16.750697,0,,,124,60
2,2.13167E+13,2.13167E+13,16.750704,0,,,125,59
2,2.13167E+13,2.13168E+13,16.750456,0,,,126,60
2,2.13168E+13,2.13168E+13,16.750924,0,,,127,60
2,2.13168E+13,2.13168E+13,16.750492,0,,,128,60
2,2.13168E+13,2.13168E+13,16.750211,0,,,129,59
2,2.13168E+13,2.13168E+13,16.750105,0,,,130,60
2,2.13168E+13,2.13168E+13,16.749953,0,,,131,60
2,2.13168E+13,2.13169E+13,16.750493,0,,,132,59
2,2.13169E+13,2.13169E+13,16.749794,0,,,133,60
2,2.13169E+13,2.13169E+13,16.75057,0,,,134,60
2,2.13169E+13,2.13169E+13,16.750308,0,,,135,59
2,2.13169E+13,2.13169E+13,16.750432,0,,,136,60
2,2.13169E+13,2.13169E+13,16.750463,0,,,137,60
2,2.13169E+13,2.1317E+13,16.749679,0,,,138,59
2,2.1317E+13,2.1317E+13,16.74981,0,,,139,60
2,2.1317E+13,2.1317E+13,16.750013,0,,,140,60
2,2.1317E+13,2.1317E+13,16.750135,0,,,141,60
2,2.1317E+13,2.1317E+13,16.75014,0,,,142,59
2,2.1317E+13,2.1317E+13,16.750712,0,,,143,60
2,2.1317E+13,2.13171E+13,16.750384,0,,,144,60
2,2.13171E+13,2.13171E+13,16.750575,0,,,145,59
2,2.13171E+13,2.13171E+13,16.749905,0,,,146,60
2,2.13171E+13,2.13171E+13,16.749894,0,,,147,60
2,2.13171E+13,2.13171E+13,16.749783,0,,,148,59
2,2.13171E+13,2.13171E+13,16.749148,0,,,149,60
2,2.13171E+13,2.13172E+13,16.750438,0,,,150,60
2,2.13172E+13,2.13172E+13,16.75056,0,,,151,59
2,2.13172E+13,2.13172E+13,16.749599,0,,,152,60
2,2.13172E+13,2.13172E+13,16.750057,0,,,153,60
2,2.13172E+13,2.13172E+13,16.749185,0,,,154,60
2,2.13172E+13,2.13172E+13,16.749372,0,,,155,59
2,2.13172E+13,2.13173E+13,16.748998,0,,,156,60
2,2.13173E+13,2.13173E+13,16.749811,0,,,157,60
2,2.13173E+13,2.13173E+13,16.750348,0,,,158,59
2,2.13173E+13,2.13173E+13,16.75029,0,,,159,60
2,2.13173E+13,2.13173E+13,16.750859,0,,,160,60
2,2.13173E+13,2.13173E+13,16.751131,0,,,161,59
2,2.13173E+13,2.13174E+13,16.750039,0,,,162,60
2,2.13174E+13,2.13174E+13,16.750266,0,,,163,60
2,2.13174E+13,2.13174E+13,16.745745,0,,,164,59
2,2.13174E+13,2.13174E+13,16.750598,0,,,165,60
3,2.13174E+13,2.13174E+13,16.750561,0,,,166,60
3,2.13174E+13,2.13174E+13,16.751596,0,,,167,59
3,2.13174E+13,2.13175E+13,16.750584,0,,,168,60
3,2.13175E+13,2.13175E+13,16.75085,0,,,169,60
3,2.13175E+13,2.13175E+13,16.750655,0,,,170,60
3,2.13175E+13,2.13175E+13,16.750048,0,,,171,59
3,2.13175E+13,2.13175E+13,16.749816,0,,,172,60
3,2.13175E+13,2.13175E+13,16.749881,0,,,173,60
3,2.13175E+13,2.13176E+13,16.750076,0,,,174,59
3,2.13176E+13,2.13176E+13,16.750945,0,,,175,60
3,2.13176E+13,2.13176E+13,16.750853,0,,,176,60
3,2.13176E+13,2.13176E+13,16.751156,0,,,177,59
3,2.13176E+13,2.13176E+13,16.751298,0,,,178,60
3,2.13176E+13,2.13176E+13,16.748924,0,,,179,60
3,2.13176E+13,2.13177E+13,16.748309,0,,,180,59
3,2.13177E+13,2.13177E+13,16.750964,0,,,181,60
3,2.13177E+13,2.13177E+13,16.750736,0,,,182,60
3,2.13177E+13,2.13177E+13,16.750932,0,,,183,59
3,2.13177E+13,2.13177E+13,16.750749,0,,,184,60
3,2.13177E+13,2.13177E+13,16.750468,0,,,185,60
3,2.13177E+13,2.13178E+13,16.7502,0,,,186,59
3,2.13178E+13,2.13178E+13,16.750487,0,,,187,60
3,2.13178E+13,2.13178E+13,16.749921,0,,,188,60
3,2.13178E+13,2.13178E+13,16.750932,0,,,189,60
3,2.13178E+13,2.13178E+13,16.751286,0,,,190,59
3,2.13178E+13,2.13178E+13,16.751006,0,,,191,60
3,2.13178E+13,2.13179E+13,16.751191,0,,,192,60
3,2.13179E+13,2.13179E+13,16.751259,0,,,193,59
3,2.13179E+13,2.13179E+13,16.750954,0,,,194,60
3,2.13179E+13,2.13179E+13,16.751007,0,,,195,60
3,2.13179E+13,2.13179E+13,16.751083,0,,,196,59
3,2.13179E+13,2.13179E+13,16.751172,0,,,197,60
3,2.13179E+13,2.1318E+13,16.750522,0,,,198,60
3,2.1318E+13,2.1318E+13,16.750366,0,,,199,59
3,2.1318E+13,2.1318E+13,16.750969,0,,,200,60
3,2.1318E+13,2.1318E+13,16.750481,0,,,201,60
3,2.1318E+13,2.1318E+13,16.75139,0,,,202,59
3,2.1318E+13,2.1318E+13,16.750479,0,,,203,60
3,2.1318E+13,2.13181E+13,16.749926,0,,,204,60
3,2.13181E+13,2.13181E+13,16.750541,0,,,205,59
3,2.13181E+13,2.13181E+13,16.750891,0,,,206,60
3,2.13181E+13,2.13181E+13,16.750756,0,,,207,60
3,2.13181E+13,2.13181E+13,16.749381,0,,,208,60
3,2.13181E+13,2.13181E+13,16.748106,0,,,209,59
3,2.13181E+13,2.13182E+13,16.749684,0,,,210,60
3,2.13182E+13,2.13182E+13,16.750581,0,,,211,60
3,2.13182E+13,2.13182E+13,16.749727,0,,,212,59
3,2.13182E+13,2.13182E+13,16.750132,0,,,213,60
3,2.13182E+13,2.13182E+13,16.750308,0,,,214,60
3,2.13182E+13,2.13182E+13,16.751013,0,,,215,59
3,2.13182E+13,2.13183E+13,16.750926,0,,,216,60
3,2.13183E+13,2.13183E+13,16.751334,0,,,217,60
3,2.13183E+13,2.13183E+13,16.750874,0,,,218,59
3,2.13183E+13,2.13183E+13,16.750695,0,,,219,60
3,2.13183E+13,2.13183E+13,16.750635,0,,,220,60
3,2.13183E+13,2.13183E+13,16.750585,0,,,221,59
3,2.13183E+13,2.13184E+13,16.750347,0,,,222,60
3,2.13184E+13,2.13184E+13,16.751012,0,,,223,60
3,2.13184E+13,2.13184E+13,16.750612,0,,,224,59
3,2.13184E+13,2.13184E+13,16.750362,0,,,225,60
4,2.13184E+13,2.13184E+13,16.750346,0,,,226,60
4,2.13184E+13,2.13184E+13,16.750693,0,,,227,59
4,2.13184E+13,2.13185E+13,16.747455,0,,,228,60
4,2.13185E+13,2.13185E+13,16.750136,0,,,229,60
4,2.13185E+13,2.13185E+13,16.750595,0,,,230,60
4,2.13185E+13,2.13185E+13,16.750949,0,,,231,59
4,2.13185E+13,2.13185E+13,16.75083,0,,,232,60
4,2.13185E+13,2.13185E+13,16.750674,0,,,233,60
4,2.13185E+13,2.13186E+13,16.750155,0,,,234,59
4,2.13186E+13,2.13186E+13,16.750384,0,,,235,60
4,2.13186E+13,2.13186E+13,16.749473,0,,,236,60
4,2.13186E+13,2.13186E+13,16.751118,0,,,237,59
4,2.13186E+13,2.13186E+13,16.750627,0,,,238,60
4,2.13186E+13,2.13186E+13,16.751482,0,,,239,60
4,2.13186E+13,2.13187E+13,16.750969,0,,,240,59
4,2.13187E+13,2.13187E+13,16.750686,0,,,241,60
4,2.13187E+13,2.13187E+13,16.750556,0,,,242,60
4,2.13187E+13,2.13187E+13,16.750116,0,,,243,59
4,2.13187E+13,2.13187E+13,16.750114,0,,,244,60
4,2.13187E+13,2.13187E+13,16.750651,0,,,245,60
4,2.13187E+13,2.13188E+13,16.75065,0,,,246,59
4,2.13188E+13,2.13188E+13,16.750678,0,,,247,60
4,2.13188E+13,2.13188E+13,16.750702,0,,,248,60
4,2.13188E+13,2.13188E+13,16.748969,0,,,249,59
4,2.13188E+13,2.13188E+13,16.749048,0,,,250,60
4,2.13188E+13,2.13188E+13,16.750732,0,,,251,60
4,2.13188E+13,2.13189E+13,16.751258,0,,,252,59
4,2.13189E+13,2.13189E+13,16.751026,0,,,253,60
4,2.13189E+13,2.13189E+13,16.750392,0,,,254,60
4,2.13189E+13,2.13189E+13,16.750985,0,,,255,59
4,2.13189E+13,2.13189E+13,16.750885,0,,,256,60
4,2.13189E+13,2.13189E+13,16.751257,0,,,257,60
4,2.13189E+13,2.1319E+13,16.751258,0,,,258,59
4,2.1319E+13,2.1319E+13,16.749843,0,,,259,60
4,2.1319E+13,2.1319E+13,16.748473,0,,,260,60
4,2.1319E+13,2.1319E+13,16.750864,0,,,261,59
4,2.1319E+13,2.1319E+13,16.750289,0,,,262,60
4,2.1319E+13,2.1319E+13,16.751371,0,,,263,60
4,2.1319E+13,2.13191E+13,16.750651,0,,,264,59
4,2.13191E+13,2.13191E+13,16.749975,0,,,265,60
4,2.13191E+13,2.13191E+13,16.750266,0,,,266,60
4,2.13191E+13,2.13191E+13,16.750964,0,,,267,59
4,2.13191E+13,2.13191E+13,16.750683,0,,,268,60
4,2.13191E+13,2.13191E+13,16.750598,0,,,269,60
4,2.13191E+13,2.13192E+13,16.750129,0,,,270,59
4,2.13192E+13,2.13192E+13,16.750964,0,,,271,60
4,2.13192E+13,2.13192E+13,16.750628,0,,,272,60
4,2.13192E+13,2.13192E+13,16.750034,0,,,273,59
4,2.13192E+13,2.13192E+13,16.750696,0,,,274,60
4,2.13192E+13,2.13192E+13,16.750248,0,,,275,60
4,2.13192E+13,2.13193E+13,16.75076,0,,,276,59
4,2.13193E+13,2.13193E+13,16.750491,0,,,277,60
4,2.13193E+13,2.13193E+13,16.750633,0,,,278,60
4,2.13193E+13,2.13193E+13,16.751196,0,,,279,59
4,2.13193E+13,2.13193E+13,16.749611,0,,,280,60
4,2.13193E+13,2.13193E+13,16.750028,0,,,281,60
4,2.13193E+13,2.13194E+13,16.750423,0,,,282,59
4,2.13194E+13,2.13194E+13,16.751211,0,,,283,60
4,2.13194E+13,2.13194E+13,16.751332,0,,,284,60
4,2.13194E+13,2.13194E+13,16.750603,0,,,285,60
5,2.13194E+13,2.13194E+13,16.750595,0,,,286,59
5,2.13194E+13,2.13194E+13,16.750987,0,,,287,60
5,2.13194E+13,2.13195E+13,16.750578,0,,,288,60
5,2.13195E+13,2.13195E+13,16.751207,0,,,289,59
5,2.13195E+13,2.13195E+13,16.751064,0,,,290,60
5,2.13195E+13,2.13195E+13,16.75059,0,,,291,60
5,2.13195E+13,2.13195E+13,16.7492,0,,,292,59
5,2.13195E+13,2.13195E+13,16.750285,0,,,293,60
5,2.13195E+13,2.13196E+13,16.750647,0,,,294,60
5,2.13196E+13,2.13196E+13,16.750673,0,,,295,59
5,2.13196E+13,2.13196E+13,16.750404,0,,,296,60
5,2.13196E+13,2.13196E+13,16.750224,0,,,297,60
5,2.13196E+13,2.13196E+13,16.750317,0,,,298,59
5,2.13196E+13,2.13196E+13,16.75032,0,,,299,54
5,2.13196E+13,2.13197E+13,16.749059,0,,,300,19
5,2.13197E+13,2.13197E+13,16.750798,0,,,,
5,2.13197E+13,2.13197E+13,16.750406,0,,,,
5,2.13197E+13,2.13197E+13,16.751126,0,,,,
5,2.13197E+13,2.13197E+13,16.750499,0,,,,
5,2.13197E+13,2.13198E+13,16.750483,0,,,,
5,2.13198E+13,2.13198E+13,16.748374,0,,,,
5,2.13198E+13,2.13198E+13,16.75091,0,,,,
5,2.13198E+13,2.13198E+13,16.751131,0,,,,
5,2.13198E+13,2.13198E+13,16.751188,0,,,,
5,2.13198E+13,2.13198E+13,16.750381,0,,,,
5,2.13198E+13,2.13199E+13,16.75083,0,,,,
5,2.13199E+13,2.13199E+13,16.750421,0,,,,
5,2.13199E+13,2.13199E+13,16.751107,0,,,,
5,2.13199E+13,2.13199E+13,16.751163,0,,,,
5,2.13199E+13,2.13199E+13,16.75073,0,,,,
5,2.13199E+13,2.13199E+13,16.750657,0,,,,
5,2.13199E+13,2.132E+13,16.750557,0,,,,
5,2.132E+13,2.132E+13,16.750101,0,,,,
5,2.132E+13,2.132E+13,16.750883,0,,,,
5,2.132E+13,2.132E+13,16.750627,0,,,,
5,2.132E+13,2.132E+13,16.750953,0,,,,
5,2.132E+13,2.132E+13,16.751102,0,,,,
5,2.132E+13,2.13201E+13,16.750984,0,,,,
5,2.13201E+13,2.13201E+13,16.750351,0,,,,
5,2.13201E+13,2.13201E+13,16.749796,0,,,,
5,2.13201E+13,2.13201E+13,16.750476,0,,,,
5,2.13201E+13,2.13201E+13,16.750932,0,,,,
5,2.13201E+13,2.13201E+13,16.750661,0,,,,
5,2.13201E+13,2.13202E+13,16.751138,0,,,,
5,2.13202E+13,2.13202E+13,16.750762,0,,,,
5,2.13202E+13,2.13202E+13,16.750399,0,,,,
5,2.13202E+13,2.13202E+13,16.746143,0,,,,
5,2.13202E+13,2.13202E+13,16.750569,0,,,,
5,2.13202E+13,2.13202E+13,16.750682,0,,,,
5,2.13202E+13,2.13203E+13,16.751134,0,,,,
5,2.13203E+13,2.13203E+13,16.750378,0,,,,
5,2.13203E+13,2.13203E+13,16.750459,0,,,,
5,2.13203E+13,2.13203E+13,16.750661,0,,,,
5,2.13203E+13,2.13203E+13,16.749597,0,,,,
5,2.13203E+13,2.13203E+13,16.749735,0,,,,
5,2.13203E+13,2.13204E+13,16.751553,0,,,,
5,2.13204E+13,2.13204E+13,16.75039,0,,,,
5,2.13204E+13,2.13204E+13,16.750909,0,,,,
5,2.13204E+13,2.13204E+13,16.749753,0,,,,
6,2.13204E+13,2.13204E+13,16.747937,0,,,,
6,2.13204E+13,2.13204E+13,16.74917,0,,,,
6,2.13204E+13,2.13205E+13,16.750199,0,,,,
6,2.13205E+13,2.13205E+13,16.750396,0,,,,
6,2.13205E+13,2.13205E+13,16.750507,0,,,,
6,2.13205E+13,2.13205E+13,16.750274,0,,,,
6,2.13205E+13,2.13205E+13,16.751218,0,,,,
6,2.13205E+13,2.13205E+13,16.750948,0,,,,
6,2.13205E+13,2.13206E+13,16.751393,0,,,,
6,2.13206E+13,2.13206E+13,16.751246,0,,,,
6,2.13206E+13,2.13206E+13,16.749321,0,,,,
6,2.13206E+13,2.13206E+13,16.750511,0,,,,
6,2.13206E+13,2.13206E+13,16.750501,0,,,,
6,2.13206E+13,2.13206E+13,16.750244,0,,,,
6,2.13206E+13,2.13207E+13,16.750736,0,,,,
6,2.13207E+13,2.13207E+13,16.750734,0,,,,
6,2.13207E+13,2.13207E+13,16.751612,0,,,,
6,2.13207E+13,2.13207E+13,16.750626,0,,,,
6,2.13207E+13,2.13207E+13,16.750687,0,,,,
6,2.13207E+13,2.13207E+13,16.750781,0,,,,
6,2.13207E+13,2.13208E+13,16.750519,0,,,,
6,2.13208E+13,2.13208E+13,16.750704,0,,,,
6,2.13208E+13,2.13208E+13,16.751022,0,,,,
6,2.13208E+13,2.13208E+13,16.751265,0,,,,
6,2.13208E+13,2.13208E+13,16.750051,0,,,,
6,2.13208E+13,2.13208E+13,16.749917,0,,,,
6,2.13208E+13,2.13209E+13,16.750674,0,,,,
6,2.13209E+13,2.13209E+13,16.750635,0,,,,
6,2.13209E+13,2.13209E+13,16.750534,0,,,,
6,2.13209E+13,2.13209E+13,16.750367,0,,,,
6,2.13209E+13,2.13209E+13,16.751608,0,,,,
6,2.13209E+13,2.13209E+13,16.751203,0,,,,
6,2.13209E+13,2.1321E+13,16.751366,0,,,,
6,2.1321E+13,2.1321E+13,16.751116,0,,,,
6,2.1321E+13,2.1321E+13,16.750685,0,,,,
6,2.1321E+13,2.1321E+13,16.750554,0,,,,
6,2.1321E+13,2.1321E+13,16.75044,0,,,,
6,2.1321E+13,2.1321E+13,16.751039,0,,,,
6,2.1321E+13,2.13211E+13,16.750451,0,,,,
6,2.13211E+13,2.13211E+13,16.75004,0,,,,
6,2.13211E+13,2.13211E+13,16.750026,0,,,,
6,2.13211E+13,2.13211E+13,16.750382,0,,,,
6,2.13211E+13,2.13211E+13,16.7501,0,,,,
6,2.13211E+13,2.13211E+13,16.749745,0,,,,
6,2.13211E+13,2.13212E+13,16.75048,0,,,,
6,2.13212E+13,2.13212E+13,16.750348,0,,,,
6,2.13212E+13,2.13212E+13,16.750965,0,,,,
6,2.13212E+13,2.13212E+13,16.750964,0,,,,
6,2.13212E+13,2.13212E+13,16.751026,0,,,,
6,2.13212E+13,2.13212E+13,16.75061,0,,,,
6,2.13212E+13,2.13213E+13,16.751292,0,,,,
6,2.13213E+13,2.13213E+13,16.750342,0,,,,
6,2.13213E+13,2.13213E+13,16.750858,0,,,,
6,2.13213E+13,2.13213E+13,16.750423,0,,,,
6,2.13213E+13,2.13213E+13,16.750577,0,,,,
6,2.13213E+13,2.13213E+13,16.751028,0,,,,
6,2.13213E+13,2.13214E+13,16.750412,0,,,,
6,2.13214E+13,2.13214E+13,16.750706,0,,,,
6,2.13214E+13,2.13214E+13,16.750907,0,,,,
6,2.13214E+13,2.13214E+13,16.750464,0,,,,
7,2.13214E+13,2.13214E+13,16.750153,0,,,,
7,2.13214E+13,2.13214E+13,16.75042,0,,,,
7,2.13214E+13,2.13215E+13,16.750372,0,,,,
7,2.13215E+13,2.13215E+13,16.750575,0,,,,
7,2.13215E+13,2.13215E+13,16.750139,0,,,,
7,2.13215E+13,2.13215E+13,16.750101,0,,,,
7,2.13215E+13,2.13215E+13,16.749978,0,,,,
7,2.13215E+13,2.13215E+13,16.749698,0,,,,
7,2.13215E+13,2.13216E+13,16.750533,0,,,,
7,2.13216E+13,2.13216E+13,16.750468,0,,,,
7,2.13216E+13,2.13216E+13,16.751169,0,,,,
7,2.13216E+13,2.13216E+13,16.750583,0,,,,
7,2.13216E+13,2.13216E+13,16.750453,0,,,,
7,2.13216E+13,2.13216E+13,16.7506,0,,,,
7,2.13216E+13,2.13217E+13,16.750955,0,,,,
7,2.13217E+13,2.13217E+13,16.750909,0,,,,
7,2.13217E+13,2.13217E+13,16.750562,0,,,,
7,2.13217E+13,2.13217E+13,16.750086,0,,,,
7,2.13217E+13,2.13217E+13,16.751342,0,,,,
7,2.13217E+13,2.13217E+13,16.751231,0,,,,
7,2.13217E+13,2.13218E+13,16.750822,0,,,,
7,2.13218E+13,2.13218E+13,16.750526,0,,,,
7,2.13218E+13,2.13218E+13,16.750535,0,,,,
7,2.13218E+13,2.13218E+13,16.750576,0,,,,
7,2.13218E+13,2.13218E+13,16.750884,0,,,,
7,2.13218E+13,2.13218E+13,16.749553,0,,,,
7,2.13218E+13,2.13219E+13,16.750816,0,,,,
7,2.13219E+13,2.13219E+13,16.750672,0,,,,
7,2.13219E+13,2.13219E+13,16.750121,0,,,,
7,2.13219E+13,2.13219E+13,16.750387,0,,,,
7,2.13219E+13,2.13219E+13,16.750993,0,,,,
7,2.13219E+13,2.13219E+13,16.750671,0,,,,
7,2.13219E+13,2.1322E+13,16.750894,0,,,,
7,2.1322E+13,2.1322E+13,16.750114,0,,,,
7,2.1322E+13,2.1322E+13,16.750537,0,,,,
7,2.1322E+13,2.1322E+13,16.750142,0,,,,
7,2.1322E+13,2.1322E+13,16.749649,0,,,,
7,2.1322E+13,2.1322E+13,16.750741,0,,,,
7,2.1322E+13,2.13221E+13,16.750422,0,,,,
7,2.13221E+13,2.13221E+13,16.750817,0,,,,
7,2.13221E+13,2.13221E+13,16.750616,0,,,,
7,2.13221E+13,2.13221E+13,16.750338,0,,,,
7,2.13221E+13,2.13221E+13,16.750636,0,,,,
7,2.13221E+13,2.13221E+13,16.751274,0,,,,
7,2.13221E+13,2.13222E+13,16.750689,0,,,,
7,2.13222E+13,2.13222E+13,16.750593,0,,,,
7,2.13222E+13,2.13222E+13,16.750571,0,,,,
7,2.13222E+13,2.13222E+13,16.750546,0,,,,
7,2.13222E+13,2.13222E+13,16.750074,0,,,,
7,2.13222E+13,2.13222E+13,16.750373,0,,,,
7,2.13222E+13,2.13223E+13,16.750892,0,,,,
