T,Attempt No,Time to Preprocess (millis),Time to Classify (millis),,,,
,4,34,2,,,,36
,30,31,3,,,,34
,55,35,1,,,,36
,80,31,0,,,,31
,104,34,1,,,,35
,127,38,5,,,,43
,147,32,0,,,,32
,167,62,2,,,,64
,186,41,1,,,,42
,204,36,3,,,,39
,222,36,3,,,,39
,240,83,2,,,,85
,259,47,0,,,,47
,276,45,0,,,,45
,296,42,5,,,,47
,317,57,1,,,,58
,336,41,1,,,,42
,355,42,0,,,,42
,372,42,0,,,,42
,394,37,1,,,,38
,412,43,1,,,,44
,434,52,1,,,,53
,453,42,1,,,,43
,472,82,1,,,,83
,491,38,0,,,,38
,512,58,2,,,,60
,530,72,1,,,,73
,549,43,1,,,,44
,568,52,0,,,,52
,589,79,0,,,,79
,608,45,1,,,,46
,626,77,1,,,,78
,646,65,0,,,,65
,667,39,0,,,,39
,687,51,1,,,,52
,707,48,1,,,,49
,727,61,1,,,,62
,746,51,1,,,,52
,766,56,0,,,,56
,784,43,2,,,,45
,802,47,0,,,,47
,824,45,2,,,,47
,843,39,1,,,,40
,862,61,1,,,,62
,883,40,1,,,,41
,903,41,0,,,,41
,923,59,0,,,,59
,943,35,0,,,,35
,964,40,3,,,,43
,986,35,1,,,,36
,1007,44,4,,,,48
,1026,42,0,,,,42
,1044,42,1,,,,43
,1063,45,1,,,,46
,1080,43,0,,,,43
,1098,47,0,,,,47
,1117,45,0,,,,45
,1136,40,1,,,,41
,1154,43,1,,,,44
,1173,45,0,,,,45
,1191,49,1,,,,50
,1207,46,0,,,,46
,1223,76,0,,,,76
,1239,66,0,,,,66
,1255,46,0,,,,46
,1273,57,2,,,,59
,1291,58,0,,,,58
,1309,46,0,,,,46
,1327,46,1,,,,47
,1342,95,0,,,,95
,1361,46,0,,,,46
,1379,57,1,,,,58
,1398,44,1,,,,45
,1414,87,0,,,,87
,1431,49,1,,,,50
,1451,45,1,,,,46
,1467,69,1,,,,70
,1487,89,1,,,,90
,1506,47,0,,,,47
,1525,45,1,,,,46
,1542,74,1,,,,75
,1559,41,0,,,,41
,1579,73,1,,,,74
,1599,68,1,,,,69
,1617,43,0,,,,43
,1637,60,1,,,,61
,1658,49,0,,,,49
,1676,36,5,,,,41
,1696,38,0,,,,38
,1718,50,2,,,,52
,1738,65,1,,,,66
,1758,54,0,,,,54
,1778,43,0,,,,43
,1798,39,0,,,,39
,1818,63,2,,,,65
,1837,41,0,,,,41
,1855,45,0,,,,45
,1873,61,0,,,,61
,1897,37,0,,,,37
,1916,55,1,,,,56
,1936,44,1,,,,45
,1955,53,0,,,,53
,1975,57,1,,,,58
,1995,49,0,,,,49
,2015,38,1,,,,39
,2033,74,1,,,,75
,2055,42,1,,,,43
,2075,40,4,,,,44
,2096,60,1,,,,61
,2115,42,1,,,,43
,2134,44,1,,,,45
,2152,73,3,,,,76
,2169,44,0,,,,44
,2188,45,0,,,,45
,2205,46,0,,,,46
,2224,50,3,,,,53
,2242,50,1,,,,51
,2258,61,0,,,,61
,2275,69,1,,,,70
,2291,49,1,,,,50
,2309,43,1,,,,44
,2327,43,0,,,,43
,2344,61,0,,,,61
,2362,43,0,,,,43
,2382,42,7,,,,49
,2400,45,2,,,,47
,2419,55,1,,,,56
,2437,59,1,,,,60
,2455,45,1,,,,46
,2472,87,0,,,,87
,2492,44,0,,,,44
,2511,44,1,,,,45
,2528,49,0,,,,49
,2547,51,1,,,,52
,2564,59,0,,,,59
,2582,44,1,,,,45
,2597,96,0,,,,96
,2615,55,0,,,,55
,2631,45,0,,,,45
,2650,42,0,,,,42
,2669,49,0,,,,49
,2690,40,1,,,,41
,2707,38,0,,,,38
,2725,61,1,,,,62
,2742,40,0,,,,40
,2761,46,1,,,,47
,2781,38,0,,,,38
,2802,41,1,,,,42
,2821,42,0,,,,42
,2842,58,0,,,,58
,2862,50,2,,,,52
,2880,95,0,,,,95
,2901,41,1,,,,42
,2921,60,0,,,,60
,2940,59,1,,,,60
,2961,45,1,,,,46
