Start Time (ns),End Time (ns),Time Elapsed (ms),Result
6.24625E+12,6.2464E+12,152.062411,roses
6.24643E+12,6.24648E+12,50.265994,roses
6.2465E+12,6.24655E+12,48.891359,daisy
6.2466E+12,6.24667E+12,65.205996,daisy
6.2467E+12,6.24674E+12,45.117244,daisy
6.24676E+12,6.24681E+12,45.792296,daisy
6.24683E+12,6.24688E+12,50.85188,daisy
6.2469E+12,6.24695E+12,47.302297,daisy
6.24696E+12,6.24702E+12,50.967661,daisy
6.24706E+12,6.24711E+12,44.780005,daisy
6.24713E+12,6.24718E+12,49.394171,daisy
6.2472E+12,6.24725E+12,53.658651,daisy
6.2473E+12,6.24735E+12,54.151776,daisy
6.2474E+12,6.24745E+12,51.641203,daisy
6.2475E+12,6.24755E+12,55.425005,daisy
6.2476E+12,6.24766E+12,56.256568,daisy
6.2477E+12,6.24775E+12,48.65438,daisy
6.24777E+12,6.24781E+12,47.144224,daisy
6.24783E+12,6.24788E+12,46.079484,daisy
6.24791E+12,6.24796E+12,48.33089,daisy
6.248E+12,6.24805E+12,54.324849,daisy
6.2481E+12,6.24814E+12,45.618546,daisy
6.24816E+12,6.24822E+12,53.637923,daisy
6.24827E+12,6.24835E+12,71.669955,daisy
6.24837E+12,6.24844E+12,66.750944,daisy
6.24847E+12,6.24853E+12,63.838392,daisy
6.24857E+12,6.24864E+12,65.843496,daisy
6.24867E+12,6.24874E+12,66.180371,daisy
6.24877E+12,6.24883E+12,55.66761,daisy
6.24888E+12,6.24893E+12,56.18188,daisy
6.24897E+12,6.24903E+12,64.035788,daisy
6.24907E+12,6.24913E+12,63.704902,daisy
6.24917E+12,6.24923E+12,61.089849,daisy
6.24927E+12,6.24933E+12,56.317349,daisy
6.24937E+12,6.24943E+12,60.580214,daisy
6.24947E+12,6.24953E+12,62.840787,daisy
6.2496E+12,6.24966E+12,65.398548,daisy
6.24971E+12,6.24976E+12,57.666672,daisy
6.24983E+12,6.24989E+12,59.830267,daisy
6.24994E+12,6.25E+12,60.389277,daisy
6.25003E+12,6.25009E+12,59.105683,daisy
6.25014E+12,6.2502E+12,60.43662,daisy
6.25024E+12,6.25029E+12,58.424485,daisy
6.25033E+12,6.25039E+12,59.167714,daisy
6.25044E+12,6.2505E+12,58.700527,daisy
6.25056E+12,6.25062E+12,60.969694,daisy
6.2507E+12,6.25075E+12,58.922037,daisy
6.2508E+12,6.25087E+12,63.444173,daisy
6.2509E+12,6.25096E+12,55.063911,daisy
6.25102E+12,6.25109E+12,67.075007,daisy
6.25114E+12,6.25119E+12,55.647036,daisy
6.25123E+12,6.25129E+12,55.171308,daisy
6.25134E+12,6.2514E+12,60.227558,daisy
6.25144E+12,6.25149E+12,54.681516,daisy
6.25153E+12,6.25159E+12,58.73761,daisy
6.25163E+12,6.2517E+12,62.831568,daisy
6.25176E+12,6.25181E+12,57.381776,daisy
6.2519E+12,6.25196E+12,54.845006,daisy
6.252E+12,6.25206E+12,60.159485,daisy
6.2521E+12,6.25216E+12,59.540579,daisy
6.25223E+12,6.25229E+12,55.56287,daisy
6.25234E+12,6.2524E+12,61.986308,daisy
6.25243E+12,6.25249E+12,59.863548,daisy
6.25253E+12,6.2526E+12,62.725319,daisy
6.25263E+12,6.25269E+12,57.945579,daisy
6.25276E+12,6.25282E+12,59.731048,daisy
6.25287E+12,6.25293E+12,56.828391,daisy
6.25297E+12,6.25303E+12,60.75235,daisy
6.25307E+12,6.25314E+12,65.068132,daisy
6.25317E+12,6.25323E+12,63.058913,daisy
6.2533E+12,6.25335E+12,56.953703,daisy
6.2534E+12,6.25347E+12,64.169173,daisy
6.2535E+12,6.25357E+12,71.066153,daisy
6.25362E+12,6.25368E+12,57.615474,daisy
6.2537E+12,6.25376E+12,60.664486,daisy
6.2538E+12,6.25387E+12,66.765215,daisy
6.2539E+12,6.25396E+12,57.016568,daisy
6.25401E+12,6.25406E+12,53.189901,daisy
6.25412E+12,6.25418E+12,61.229173,daisy
6.2542E+12,6.25425E+12,53.63563,daisy
6.25434E+12,6.25439E+12,58.829277,daisy
6.25443E+12,6.25449E+12,58.045422,daisy
