Timestamp,Attempt No,Result,Time to Preprocess (millis),Time to Classify (millis)
20181109_084151,3,prayer rug,11,119
20181109_084152,10,prayer rug,12,121
20181109_084153,16,prayer rug,28,146
20181109_084154,22,prayer rug,18,147
20181109_084155,27,prayer rug,30,145
20181109_084156,32,prayer rug,16,150
20181109_084157,38,prayer rug,17,140
20181109_084158,44,prayer rug,34,139
20181109_084159,49,prayer rug,15,151
20181109_084200,55,prayer rug,19,144
20181109_084201,60,prayer rug,31,138
20181109_084202,66,prayer rug,18,148
20181109_084203,71,prayer rug,20,137
20181109_084204,77,prayer rug,36,139
20181109_084205,82,prayer rug,36,137
20181109_084206,87,prayer rug,35,138
20181109_084207,93,prayer rug,30,152
20181109_084208,98,prayer rug,14,134
20181109_084209,104,prayer rug,19,133
20181109_084210,110,prayer rug,22,138
20181109_084211,115,prayer rug,30,167
20181109_084212,121,prayer rug,27,145
20181109_084213,126,prayer rug,15,137
20181109_084214,132,prayer rug,31,147
20181109_084215,137,prayer rug,28,141
20181109_084216,143,prayer rug,14,136
20181109_084217,148,prayer rug,22,143
20181109_084218,154,prayer rug,15,135
20181109_084219,159,prayer rug,15,158
20181109_084220,165,prayer rug,15,137
20181109_084221,171,prayer rug,14,137
20181109_084222,177,prayer rug,15,151
20181109_084223,182,prayer rug,15,140
20181109_084224,187,prayer rug,14,139
20181109_084225,193,prayer rug,35,138
20181109_084226,198,prayer rug,30,142
20181109_084227,204,prayer rug,15,138
20181109_084228,209,prayer rug,18,143
20181109_084229,215,prayer rug,13,133
20181109_084230,220,prayer rug,16,150
20181109_084231,226,prayer rug,32,135
20181109_084232,231,prayer rug,13,140
20181109_084233,236,prayer rug,16,150
20181109_084234,242,prayer rug,15,156
20181109_084235,247,prayer rug,23,147
20181109_084236,251,prayer rug,25,170
20181109_084237,256,prayer rug,33,151
20181109_084238,261,prayer rug,25,170
20181109_084239,266,prayer rug,14,158
20181109_084240,271,prayer rug,30,174
20181109_084241,276,prayer rug,18,172
20181109_084242,281,prayer rug,16,154
20181109_084243,286,prayer rug,17,169
20181109_084244,291,prayer rug,15,151
20181109_084245,297,prayer rug,16,158
20181109_084246,302,prayer rug,19,172
20181109_084247,307,prayer rug,21,156
