Timestamp,Attempt No,Time to Preprocess (millis),Time to Classify (millis),,,,
,1333,13,144,,,,157
,1336,18,146,,,,164
,1338,29,139,,,,168
,1340,42,134,,,,176
,1344,15,141,,,,156
,1349,43,141,,,,184
,1354,14,141,,,,155
,1359,19,141,,,,160
,1365,32,140,,,,172
,1370,13,139,,,,152
,1375,19,151,,,,170
,1380,26,140,,,,166
,1385,27,140,,,,167
,1390,20,149,,,,169
,1395,25,172,,,,197
,1400,24,136,,,,160
,1405,16,150,,,,166
,1410,31,141,,,,172
,1415,21,153,,,,174
,1420,15,148,,,,163
,1425,20,139,,,,159
,1430,30,144,,,,174
,1435,23,147,,,,170
,1440,32,138,,,,170
,1445,23,140,,,,163
,1450,13,141,,,,154
,1455,13,132,,,,145
,1460,15,150,,,,165
,1465,29,139,,,,168
,1470,25,175,,,,200
,1475,15,137,,,,152
,1480,13,144,,,,157
,1484,15,154,,,,169
,1490,22,147,,,,169
,1495,28,142,,,,170
,1500,24,155,,,,179
,1505,23,140,,,,163
,1510,20,138,,,,158
,1515,28,162,,,,190
,1518,30,142,,,,172
