Time (sec),Previous Frame (ns),Current Frame (ns),Time Elapsed (ms),Dropped Frame Count,,,Num,FPS,Min FPS,Max FPS,Avg FPS
0,1.14472E+14,1.14472E+14,67.35594,3,,,0,41,41,60,59.48504983
0,1.14472E+14,1.14472E+14,250.459029,14,,,1,60,,,
0,1.14472E+14,1.14472E+14,101.701702,5,,,2,59,,,
0,1.14472E+14,1.14472E+14,17.338973,0,,,3,60,,,
0,1.14472E+14,1.14472E+14,16.779027,0,,,4,60,,,
0,1.14472E+14,1.14472E+14,16.778994,0,,,5,59,,,
0,1.14472E+14,1.14472E+14,16.777981,0,,,6,60,,,
0,1.14472E+14,1.14472E+14,16.77863,0,,,7,59,,,
0,1.14472E+14,1.14472E+14,16.778696,0,,,8,60,,,
0,1.14472E+14,1.14472E+14,16.778562,0,,,9,60,,,
0,1.14472E+14,1.14472E+14,16.778426,0,,,10,59,,,
0,1.14472E+14,1.14472E+14,16.778105,0,,,11,60,,,
0,1.14472E+14,1.14472E+14,16.778148,0,,,12,59,,,
0,1.14472E+14,1.14472E+14,16.778307,0,,,13,60,,,
0,1.14472E+14,1.14472E+14,16.778159,0,,,14,60,,,
0,1.14472E+14,1.14472E+14,16.778182,0,,,15,59,,,
0,1.14472E+14,1.14472E+14,16.777702,0,,,16,60,,,
0,1.14472E+14,1.14472E+14,16.778064,0,,,17,59,,,
0,1.14472E+14,1.14472E+14,16.777916,0,,,18,60,,,
0,1.14472E+14,1.14472E+14,16.777905,0,,,19,60,,,
0,1.14472E+14,1.14472E+14,16.777698,0,,,20,59,,,
0,1.14472E+14,1.14472E+14,16.777727,0,,,21,60,,,
0,1.14472E+14,1.14472E+14,16.777956,0,,,22,59,,,
0,1.14472E+14,1.14472E+14,16.777731,0,,,23,60,,,
0,1.14472E+14,1.14472E+14,16.777495,0,,,24,60,,,
0,1.14472E+14,1.14472E+14,16.777857,0,,,25,59,,,
0,1.14472E+14,1.14472E+14,16.777818,0,,,26,60,,,
0,1.14472E+14,1.14472E+14,16.777979,0,,,27,59,,,
0,1.14472E+14,1.14473E+14,16.777682,0,,,28,60,,,
0,1.14473E+14,1.14473E+14,16.777588,0,,,29,60,,,
0,1.14473E+14,1.14473E+14,16.77778,0,,,30,59,,,
0,1.14473E+14,1.14473E+14,16.777709,0,,,31,60,,,
0,1.14473E+14,1.14473E+14,16.777538,0,,,32,60,,,
0,1.14473E+14,1.14473E+14,16.77794,0,,,33,59,,,
0,1.14473E+14,1.14473E+14,16.777859,0,,,34,60,,,
0,1.14473E+14,1.14473E+14,16.777542,0,,,35,59,,,
0,1.14473E+14,1.14473E+14,16.777478,0,,,36,60,,,
0,1.14473E+14,1.14473E+14,16.777422,0,,,37,60,,,
0,1.14473E+14,1.14473E+14,16.777141,0,,,38,59,,,
0,1.14473E+14,1.14473E+14,16.777078,0,,,39,60,,,
0,1.14473E+14,1.14473E+14,16.776966,0,,,40,59,,,
1,1.14473E+14,1.14473E+14,16.777147,0,,,41,60,,,
1,1.14473E+14,1.14473E+14,16.777526,0,,,42,60,,,
1,1.14473E+14,1.14473E+14,16.777524,0,,,43,59,,,
1,1.14473E+14,1.14473E+14,16.777399,0,,,44,60,,,
1,1.14473E+14,1.14473E+14,16.777576,0,,,45,59,,,
1,1.14473E+14,1.14473E+14,16.777547,0,,,46,60,,,
1,1.14473E+14,1.14473E+14,16.776794,0,,,47,60,,,
1,1.14473E+14,1.14473E+14,16.777375,0,,,48,59,,,
1,1.14473E+14,1.14473E+14,16.777279,0,,,49,60,,,
1,1.14473E+14,1.14473E+14,16.777308,0,,,50,59,,,
1,1.14473E+14,1.14473E+14,16.777451,0,,,51,60,,,
1,1.14473E+14,1.14473E+14,16.777387,0,,,52,60,,,
1,1.14473E+14,1.14473E+14,16.777446,0,,,53,59,,,
1,1.14473E+14,1.14473E+14,16.777254,0,,,54,60,,,
1,1.14473E+14,1.14473E+14,16.777434,0,,,55,59,,,
1,1.14473E+14,1.14473E+14,16.777354,0,,,56,60,,,
1,1.14473E+14,1.14473E+14,16.777242,0,,,57,60,,,
1,1.14473E+14,1.14473E+14,16.77741,0,,,58,59,,,
1,1.14473E+14,1.14473E+14,16.777213,0,,,59,60,,,
1,1.14473E+14,1.14473E+14,16.777301,0,,,60,59,,,
1,1.14473E+14,1.14473E+14,16.777184,0,,,61,60,,,
1,1.14473E+14,1.14473E+14,16.777218,0,,,62,60,,,
1,1.14473E+14,1.14473E+14,16.777133,0,,,63,59,,,
1,1.14473E+14,1.14473E+14,16.777234,0,,,64,60,,,
1,1.14473E+14,1.14473E+14,16.777145,0,,,65,60,,,
1,1.14473E+14,1.14473E+14,16.777296,0,,,66,59,,,
1,1.14473E+14,1.14473E+14,16.777204,0,,,67,60,,,
1,1.14473E+14,1.14473E+14,16.777106,0,,,68,59,,,
1,1.14473E+14,1.14473E+14,16.777148,0,,,69,60,,,
1,1.14473E+14,1.14473E+14,16.777262,0,,,70,60,,,
1,1.14473E+14,1.14473E+14,16.77724,0,,,71,59,,,
1,1.14473E+14,1.14473E+14,16.776899,0,,,72,60,,,
1,1.14473E+14,1.14473E+14,16.776755,0,,,73,59,,,
1,1.14473E+14,1.14473E+14,16.777099,0,,,74,60,,,
1,1.14473E+14,1.14473E+14,16.777093,0,,,75,60,,,
1,1.14473E+14,1.14473E+14,16.776946,0,,,76,59,,,
1,1.14473E+14,1.14473E+14,16.77655,0,,,77,60,,,
1,1.14473E+14,1.14473E+14,16.777126,0,,,78,59,,,
1,1.14473E+14,1.14473E+14,16.777146,0,,,79,60,,,
1,1.14473E+14,1.14473E+14,16.777062,0,,,80,60,,,
1,1.14473E+14,1.14473E+14,16.77712,0,,,81,59,,,
1,1.14473E+14,1.14473E+14,16.777073,0,,,82,60,,,
1,1.14473E+14,1.14473E+14,16.77679,0,,,83,59,,,
1,1.14473E+14,1.14473E+14,16.777048,0,,,84,60,,,
1,1.14473E+14,1.14473E+14,16.776458,0,,,85,60,,,
1,1.14473E+14,1.14473E+14,16.777009,0,,,86,59,,,
1,1.14473E+14,1.14474E+14,16.776326,0,,,87,60,,,
1,1.14474E+14,1.14474E+14,16.777038,0,,,88,59,,,
1,1.14474E+14,1.14474E+14,16.776623,0,,,89,60,,,
1,1.14474E+14,1.14474E+14,16.776438,0,,,90,60,,,
1,1.14474E+14,1.14474E+14,16.776132,0,,,91,59,,,
1,1.14474E+14,1.14474E+14,16.777034,0,,,92,60,,,
1,1.14474E+14,1.14474E+14,16.776752,0,,,93,60,,,
1,1.14474E+14,1.14474E+14,16.777091,0,,,94,59,,,
1,1.14474E+14,1.14474E+14,16.776683,0,,,95,60,,,
1,1.14474E+14,1.14474E+14,16.77684,0,,,96,59,,,
1,1.14474E+14,1.14474E+14,16.776744,0,,,97,60,,,
1,1.14474E+14,1.14474E+14,16.776974,0,,,98,60,,,
1,1.14474E+14,1.14474E+14,16.776829,0,,,99,59,,,
1,1.14474E+14,1.14474E+14,16.777073,0,,,100,60,,,
2,1.14474E+14,1.14474E+14,16.776761,0,,,101,59,,,
2,1.14474E+14,1.14474E+14,16.776564,0,,,102,60,,,
2,1.14474E+14,1.14474E+14,16.776646,0,,,103,60,,,
2,1.14474E+14,1.14474E+14,16.776846,0,,,104,59,,,
2,1.14474E+14,1.14474E+14,16.776716,0,,,105,60,,,
2,1.14474E+14,1.14474E+14,16.777088,0,,,106,59,,,
2,1.14474E+14,1.14474E+14,16.77681,0,,,107,60,,,
2,1.14474E+14,1.14474E+14,16.776734,0,,,108,60,,,
2,1.14474E+14,1.14474E+14,16.776498,0,,,109,59,,,
2,1.14474E+14,1.14474E+14,16.77653,0,,,110,60,,,
2,1.14474E+14,1.14474E+14,16.776588,0,,,111,59,,,
2,1.14474E+14,1.14474E+14,16.77663,0,,,112,60,,,
2,1.14474E+14,1.14474E+14,16.776643,0,,,113,60,,,
2,1.14474E+14,1.14474E+14,16.776942,0,,,114,59,,,
2,1.14474E+14,1.14474E+14,16.776675,0,,,115,60,,,
2,1.14474E+14,1.14474E+14,16.776946,0,,,116,59,,,
