Time (sec),Previous Frame (ns),Current Frame (ns),Time Elapsed (ms),Dropped Frame Count,,Num,FPS,,Min FPS,Max FPS,Avg FPS
0,1.70378E+14,1.70378E+14,84.23744,4,,0,57,,9,60,59.48504983
0,1.70378E+14,1.70378E+14,67.118037,3,,1,59,,,,
0,1.70378E+14,1.70378E+14,17.027747,0,,2,60,,,,
0,1.70378E+14,1.70378E+14,16.756856,0,,3,59,,,,
0,1.70378E+14,1.70378E+14,16.756885,0,,4,60,,,,
0,1.70378E+14,1.70378E+14,16.756621,0,,5,60,,,,
0,1.70378E+14,1.70378E+14,16.756874,0,,6,59,,,,
0,1.70378E+14,1.70378E+14,16.756951,0,,7,60,,,,
0,1.70378E+14,1.70378E+14,16.756801,0,,8,60,,,,
0,1.70378E+14,1.70378E+14,16.756372,0,,9,59,,,,
0,1.70378E+14,1.70378E+14,16.756311,0,,10,60,,,,
0,1.70378E+14,1.70378E+14,16.756681,0,,11,60,,,,
0,1.70378E+14,1.70378E+14,16.756912,0,,12,60,,,,
0,1.70378E+14,1.70378E+14,16.756443,0,,13,59,,,,
0,1.70378E+14,1.70378E+14,16.756673,0,,14,60,,,,
0,1.70378E+14,1.70378E+14,16.756835,0,,15,60,,,,
0,1.70378E+14,1.70378E+14,16.756717,0,,16,59,,,,
0,1.70378E+14,1.70378E+14,16.756499,0,,17,60,,,,
0,1.70378E+14,1.70378E+14,16.756643,0,,18,60,,,,
0,1.70378E+14,1.70378E+14,16.756557,0,,19,59,,,,
0,1.70378E+14,1.70378E+14,16.75668,0,,20,60,,,,
0,1.70378E+14,1.70378E+14,16.7567,0,,21,60,,,,
0,1.70378E+14,1.70378E+14,16.756661,0,,22,59,,,,
0,1.70378E+14,1.70378E+14,16.756659,0,,23,60,,,,
0,1.70378E+14,1.70378E+14,16.756424,0,,24,59,,,,
0,1.70378E+14,1.70378E+14,16.756575,0,,25,60,,,,
0,1.70378E+14,1.70378E+14,16.756544,0,,26,60,,,,
0,1.70378E+14,1.70378E+14,16.756339,0,,27,60,,,,
0,1.70378E+14,1.70378E+14,16.756521,0,,28,59,,,,
0,1.70378E+14,1.70378E+14,16.756507,0,,29,60,,,,
0,1.70378E+14,1.70378E+14,16.756398,0,,30,59,,,,
0,1.70378E+14,1.70378E+14,16.756412,0,,31,60,,,,
0,1.70378E+14,1.70378E+14,16.756523,0,,32,60,,,,
0,1.70378E+14,1.70378E+14,16.756415,0,,33,60,,,,
0,1.70378E+14,1.70378E+14,16.756484,0,,34,59,,,,
0,1.70378E+14,1.70378E+14,16.756616,0,,35,60,,,,
0,1.70378E+14,1.70378E+14,16.756337,0,,36,59,,,,
0,1.70378E+14,1.70379E+14,16.75596,0,,37,60,,,,
0,1.70379E+14,1.70379E+14,16.756287,0,,38,60,,,,
0,1.70379E+14,1.70379E+14,16.756359,0,,39,59,,,,
0,1.70379E+14,1.70379E+14,16.756388,0,,40,60,,,,
0,1.70379E+14,1.70379E+14,16.756276,0,,41,60,,,,
0,1.70379E+14,1.70379E+14,16.756145,0,,42,60,,,,
0,1.70379E+14,1.70379E+14,16.756217,0,,43,59,,,,
0,1.70379E+14,1.70379E+14,16.75625,0,,44,60,,,,
0,1.70379E+14,1.70379E+14,16.75618,0,,45,60,,,,
0,1.70379E+14,1.70379E+14,16.756284,0,,46,59,,,,
0,1.70379E+14,1.70379E+14,16.756282,0,,47,60,,,,
0,1.70379E+14,1.70379E+14,16.755856,0,,48,60,,,,
0,1.70379E+14,1.70379E+14,16.756124,0,,49,59,,,,
0,1.70379E+14,1.70379E+14,16.756092,0,,50,60,,,,
0,1.70379E+14,1.70379E+14,16.756204,0,,51,60,,,,
0,1.70379E+14,1.70379E+14,16.755866,0,,52,59,,,,
0,1.70379E+14,1.70379E+14,16.75606,0,,53,60,,,,
0,1.70379E+14,1.70379E+14,16.755747,0,,54,60,,,,
0,1.70379E+14,1.70379E+14,16.756112,0,,55,59,,,,
0,1.70379E+14,1.70379E+14,16.756171,0,,56,60,,,,
1,1.70379E+14,1.70379E+14,16.75615,0,,57,60,,,,
1,1.70379E+14,1.70379E+14,16.756103,0,,58,59,,,,
1,1.70379E+14,1.70379E+14,16.756154,0,,59,60,,,,
1,1.70379E+14,1.70379E+14,16.755801,0,,60,60,,,,
1,1.70379E+14,1.70379E+14,16.756033,0,,61,59,,,,
1,1.70379E+14,1.70379E+14,16.756143,0,,62,60,,,,
1,1.70379E+14,1.70379E+14,16.756149,0,,63,60,,,,
1,1.70379E+14,1.70379E+14,16.756733,0,,64,59,,,,
1,1.70379E+14,1.70379E+14,16.755799,0,,65,60,,,,
1,1.70379E+14,1.70379E+14,16.755995,0,,66,60,,,,
1,1.70379E+14,1.70379E+14,16.754069,0,,67,59,,,,
1,1.70379E+14,1.70379E+14,16.751017,0,,68,60,,,,
1,1.70379E+14,1.70379E+14,16.753646,0,,69,60,,,,
1,1.70379E+14,1.70379E+14,16.755096,0,,70,59,,,,
1,1.70379E+14,1.70379E+14,16.75552,0,,71,60,,,,
1,1.70379E+14,1.70379E+14,16.755482,0,,72,60,,,,
1,1.70379E+14,1.70379E+14,16.754764,0,,73,59,,,,
1,1.70379E+14,1.70379E+14,16.754794,0,,74,60,,,,
1,1.70379E+14,1.70379E+14,16.753689,0,,75,60,,,,
1,1.70379E+14,1.70379E+14,16.755279,0,,76,59,,,,
1,1.70379E+14,1.70379E+14,16.755501,0,,77,60,,,,
1,1.70379E+14,1.70379E+14,16.755379,0,,78,60,,,,
1,1.70379E+14,1.70379E+14,16.754121,0,,79,59,,,,
1,1.70379E+14,1.70379E+14,16.753075,0,,80,60,,,,
1,1.70379E+14,1.70379E+14,16.755133,0,,81,60,,,,
1,1.70379E+14,1.70379E+14,16.755705,0,,82,59,,,,
1,1.70379E+14,1.70379E+14,16.756103,0,,83,60,,,,
1,1.70379E+14,1.70379E+14,16.755163,0,,84,60,,,,
1,1.70379E+14,1.70379E+14,16.754753,0,,85,59,,,,
1,1.70379E+14,1.70379E+14,16.755362,0,,86,60,,,,
1,1.70379E+14,1.70379E+14,16.755154,0,,87,60,,,,
1,1.70379E+14,1.70379E+14,16.755696,0,,88,60,,,,
1,1.70379E+14,1.70379E+14,16.755816,0,,89,59,,,,
1,1.70379E+14,1.70379E+14,16.75454,0,,90,60,,,,
1,1.70379E+14,1.70379E+14,16.753746,0,,91,60,,,,
1,1.70379E+14,1.70379E+14,16.75281,0,,92,59,,,,
1,1.70379E+14,1.70379E+14,16.754238,0,,93,60,,,,
1,1.70379E+14,1.70379E+14,16.755129,0,,94,59,,,,
1,1.70379E+14,1.70379E+14,16.756299,0,,95,60,,,,
1,1.70379E+14,1.70379E+14,16.756673,0,,96,60,,,,
1,1.70379E+14,1.7038E+14,16.756838,0,,97,60,,,,
1,1.7038E+14,1.7038E+14,16.754799,0,,98,59,,,,
1,1.7038E+14,1.7038E+14,16.755783,0,,99,60,,,,
1,1.7038E+14,1.7038E+14,16.756019,0,,100,60,,,,
1,1.7038E+14,1.7038E+14,16.75664,0,,101,59,,,,
1,1.7038E+14,1.7038E+14,16.756595,0,,102,60,,,,
1,1.7038E+14,1.7038E+14,16.755311,0,,103,60,,,,
1,1.7038E+14,1.7038E+14,16.755801,0,,104,59,,,,
1,1.7038E+14,1.7038E+14,16.756311,0,,105,60,,,,
1,1.7038E+14,1.7038E+14,16.756345,0,,106,59,,,,
