Record, Frame Rate,,,,,,,,Min FPS,Max FPS,Avg FPS
1,60.41869,,,,,,,,59.6119,60.41869,59.6648901
2,59.65852,,,,,,,,,,
3,59.6603,,,,,,,,,,
4,59.66055,,,,,,,,,,
5,59.66154,,,,,,,,,,
6,59.65989,,,,,,,,,,
7,59.66036,,,,,,,,,,
8,59.66014,,,,,,,,,,
9,59.66002,,,,,,,,,,
10,59.66089,,,,,,,,,,
11,59.65977,,,,,,,,,,
12,59.66016,,,,,,,,,,
13,59.66002,,,,,,,,,,
14,59.66007,,,,,,,,,,
15,59.6605,,,,,,,,,,
16,59.65937,,,,,,,,,,
17,59.65947,,,,,,,,,,
18,59.66037,,,,,,,,,,
19,59.65953,,,,,,,,,,
20,59.65941,,,,,,,,,,
21,59.66049,,,,,,,,,,
22,59.66103,,,,,,,,,,
23,59.66042,,,,,,,,,,
24,59.65984,,,,,,,,,,
25,59.65961,,,,,,,,,,
26,59.65996,,,,,,,,,,
27,59.66039,,,,,,,,,,
28,59.66038,,,,,,,,,,
29,59.66089,,,,,,,,,,
30,59.66013,,,,,,,,,,
31,59.65968,,,,,,,,,,
32,59.71241,,,,,,,,,,
33,59.66178,,,,,,,,,,
34,59.66137,,,,,,,,,,
35,59.66187,,,,,,,,,,
36,59.66054,,,,,,,,,,
37,59.66046,,,,,,,,,,
38,59.66166,,,,,,,,,,
39,59.66215,,,,,,,,,,
40,59.66128,,,,,,,,,,
41,59.66138,,,,,,,,,,
42,59.66175,,,,,,,,,,
43,59.66232,,,,,,,,,,
44,59.66112,,,,,,,,,,
45,59.66135,,,,,,,,,,
46,59.66132,,,,,,,,,,
47,59.66082,,,,,,,,,,
48,59.66169,,,,,,,,,,
49,59.66145,,,,,,,,,,
50,59.66175,,,,,,,,,,
51,59.66116,,,,,,,,,,
52,59.66261,,,,,,,,,,
53,59.66161,,,,,,,,,,
54,59.6619,,,,,,,,,,
55,59.66251,,,,,,,,,,
56,59.66144,,,,,,,,,,
57,59.66159,,,,,,,,,,
58,59.6616,,,,,,,,,,
59,59.66138,,,,,,,,,,
60,59.66224,,,,,,,,,,
61,59.66156,,,,,,,,,,
62,59.66208,,,,,,,,,,
63,59.66146,,,,,,,,,,
64,59.66113,,,,,,,,,,
65,59.66239,,,,,,,,,,
66,59.66157,,,,,,,,,,
67,59.6612,,,,,,,,,,
68,59.6616,,,,,,,,,,
69,59.66129,,,,,,,,,,
70,59.66139,,,,,,,,,,
71,59.6619,,,,,,,,,,
72,59.66184,,,,,,,,,,
73,59.66156,,,,,,,,,,
74,59.6614,,,,,,,,,,
75,59.65705,,,,,,,,,,
76,59.66116,,,,,,,,,,
77,59.66125,,,,,,,,,,
78,59.6618,,,,,,,,,,
79,59.66205,,,,,,,,,,
80,59.66149,,,,,,,,,,
81,59.66099,,,,,,,,,,
82,59.66147,,,,,,,,,,
83,59.66167,,,,,,,,,,
84,59.66218,,,,,,,,,,
85,59.66164,,,,,,,,,,
86,59.66134,,,,,,,,,,
87,59.66203,,,,,,,,,,
88,59.66188,,,,,,,,,,
89,59.66157,,,,,,,,,,
90,59.66114,,,,,,,,,,
91,59.66272,,,,,,,,,,
92,59.66135,,,,,,,,,,
93,59.66143,,,,,,,,,,
94,59.66333,,,,,,,,,,
95,59.66147,,,,,,,,,,
96,59.66214,,,,,,,,,,
97,59.6622,,,,,,,,,,
98,59.66213,,,,,,,,,,
99,59.66291,,,,,,,,,,
100,59.66039,,,,,,,,,,
101,59.661,,,,,,,,,,
102,59.65954,,,,,,,,,,
103,59.66212,,,,,,,,,,
104,59.66321,,,,,,,,,,
105,59.6607,,,,,,,,,,
106,59.66107,,,,,,,,,,
107,59.66254,,,,,,,,,,
108,59.66166,,,,,,,,,,
109,59.66262,,,,,,,,,,
110,59.66142,,,,,,,,,,
111,59.66209,,,,,,,,,,
112,59.66208,,,,,,,,,,
113,59.66154,,,,,,,,,,
114,59.6614,,,,,,,,,,
115,59.66093,,,,,,,,,,
116,59.66186,,,,,,,,,,
117,59.66146,,,,,,,,,,
118,59.66209,,,,,,,,,,
119,59.66222,,,,,,,,,,
120,59.66106,,,,,,,,,,
121,59.66197,,,,,,,,,,
122,59.66761,,,,,,,,,,
123,59.66151,,,,,,,,,,
124,59.66183,,,,,,,,,,
125,59.66151,,,,,,,,,,
126,59.6618,,,,,,,,,,
127,59.66113,,,,,,,,,,
128,59.66195,,,,,,,,,,
129,59.66142,,,,,,,,,,
130,59.66112,,,,,,,,,,
131,59.66155,,,,,,,,,,
132,59.66139,,,,,,,,,,
133,59.66184,,,,,,,,,,
134,59.66122,,,,,,,,,,
135,59.66086,,,,,,,,,,
136,59.66204,,,,,,,,,,
137,59.66187,,,,,,,,,,
138,59.6619,,,,,,,,,,
139,59.66064,,,,,,,,,,
140,59.66131,,,,,,,,,,
141,59.66204,,,,,,,,,,
142,59.71233,,,,,,,,,,
143,59.66466,,,,,,,,,,
144,59.6642,,,,,,,,,,
145,59.66356,,,,,,,,,,
146,59.66435,,,,,,,,,,
147,59.66497,,,,,,,,,,
148,59.66427,,,,,,,,,,
149,59.66616,,,,,,,,,,
150,59.66314,,,,,,,,,,
151,59.66488,,,,,,,,,,
152,59.66367,,,,,,,,,,
153,59.66507,,,,,,,,,,
154,59.6643,,,,,,,,,,
155,59.66458,,,,,,,,,,
156,59.66452,,,,,,,,,,
157,59.66463,,,,,,,,,,
158,59.66501,,,,,,,,,,
159,59.66419,,,,,,,,,,
160,59.66471,,,,,,,,,,
161,59.66447,,,,,,,,,,
162,59.66555,,,,,,,,,,
163,59.66401,,,,,,,,,,
164,59.66406,,,,,,,,,,
165,59.66396,,,,,,,,,,
166,59.66466,,,,,,,,,,
167,59.666,,,,,,,,,,
168,59.66463,,,,,,,,,,
169,59.66595,,,,,,,,,,
170,59.62154,,,,,,,,,,
171,59.66816,,,,,,,,,,
172,59.66833,,,,,,,,,,
173,59.66826,,,,,,,,,,
174,59.6694,,,,,,,,,,
175,59.66714,,,,,,,,,,
176,59.66766,,,,,,,,,,
177,59.62418,,,,,,,,,,
178,59.66969,,,,,,,,,,
179,59.66931,,,,,,,,,,
180,59.66892,,,,,,,,,,
181,59.67015,,,,,,,,,,
182,59.61709,,,,,,,,,,
183,59.66222,,,,,,,,,,
184,59.64249,,,,,,,,,,
185,59.6605,,,,,,,,,,
186,59.66228,,,,,,,,,,
187,59.66195,,,,,,,,,,
188,59.66169,,,,,,,,,,
189,59.66154,,,,,,,,,,
190,59.66118,,,,,,,,,,
191,59.66193,,,,,,,,,,
192,59.66249,,,,,,,,,,
193,59.66184,,,,,,,,,,
194,59.66156,,,,,,,,,,
195,59.66079,,,,,,,,,,
196,59.66224,,,,,,,,,,
197,59.66194,,,,,,,,,,
198,59.66213,,,,,,,,,,
199,59.66146,,,,,,,,,,
200,59.66068,,,,,,,,,,
201,59.66219,,,,,,,,,,
202,59.66177,,,,,,,,,,
203,59.6619,,,,,,,,,,
204,59.66308,,,,,,,,,,
205,59.66091,,,,,,,,,,
206,59.66231,,,,,,,,,,
207,59.66208,,,,,,,,,,
208,59.6619,,,,,,,,,,
209,59.66125,,,,,,,,,,
