Time (sec),Preproc Start Time (ns),Preproc End Time (ns),Preproc Time Elapsed (ms),Class Start Time (ns),Class End Time (ns),Class Time Elapsed (ms),Result,Confidence,,,Total Proc Time (ms),,Num,Classifications Per Second,,TOTAL Proc Time (ms),, ((TESTING LABEL))
15,1.78E+14,1.78E+14,217.469866,1.78E+14,1.78E+14,61.135788,roses,0.62720597,,,278.605654,,44,3,,,,
15,1.78E+14,1.78E+14,224.472106,1.78E+14,1.78E+14,70.044746,roses,0.74909496,,,294.516852,,45,3,,,,
16,1.78E+14,1.78E+14,216.290439,1.78E+14,1.78E+14,60.873496,roses,0.6782727,,,277.163935,,46,3,,,,
16,1.78E+14,1.78E+14,225.211012,1.78E+14,1.78E+14,65.349537,roses,0.64766455,,,290.560549,,47,3,,,,
16,1.78E+14,1.78E+14,215.048563,1.78E+14,1.78E+14,65.69235,tulips,0.517357,,,280.740913,,48,3,,,,
17,1.78E+14,1.78E+14,217.550855,1.78E+14,1.78E+14,58.83886,roses,0.5105372,,,276.389715,,49,3,,,,
17,1.78E+14,1.78E+14,218.811428,1.78E+14,1.78E+14,56.123182,roses,0.6578363,,,274.93461,,50,3,,,,
17,1.78E+14,1.78E+14,220.849084,1.78E+14,1.78E+14,60.103808,roses,0.7540847,,,280.952892,,51,2,,,,
18,1.78E+14,1.78E+14,213.728823,1.78E+14,1.78E+14,59.788808,tulips,0.5853954,,,273.517631,,52,3,,,,
18,1.78E+14,1.78E+14,224.208616,1.78E+14,1.78E+14,60.67735,roses,0.5398429,,,284.885966,,53,3,,,,
18,1.78E+14,1.78E+14,219.506167,1.78E+14,1.78E+14,71.206465,roses,0.57819355,,,290.712632,,54,3,,,,
19,1.78E+14,1.78E+14,222.857574,1.78E+14,1.78E+14,62.080214,tulips,0.51669204,,,284.937788,,55,2,,,,
19,1.78E+14,1.78E+14,221.379605,1.78E+14,1.78E+14,67.354799,roses,0.50940734,,,288.734404,,56,3,,,,
19,1.78E+14,1.78E+14,214.599917,1.78E+14,1.78E+14,67.871309,roses,0.733953,,,282.471226,,57,3,,,,
20,1.78E+14,1.78E+14,216.293198,1.78E+14,1.78E+14,64.995892,roses,0.51349133,,,281.28909,,58,3,,,,
20,1.78E+14,1.78E+14,218.096896,1.78E+14,1.78E+14,59.623548,roses,0.7425969,,,277.720444,,59,2,,,,
20,1.78E+14,1.78E+14,217.757105,1.78E+14,1.78E+14,63.292089,tulips,0.5483478,,,281.049194,,60,3,,,,
