Time (sec),Preproc Start Time (ns),Preproc End Time (ns),Preproc Time Elapsed (ms),Class Start Time (ns),Class SEnd Time (ns),Class STime Elapsed (ms),Result,,Total Proc Time (ms),Avg Proc Time (ms),,Num,Classifications Per Second,Avg Class per Sec,,Total Classifications
0,1.66E+14,1.66E+14,33.96000417,,1.66E+14,236.906014,daisy,,270.8660182,83.69652934,,0,4,9.813953488,,2954
0,1.66E+14,1.66E+14,16.81552217,,1.66E+14,69.996101,daisy,,86.81162317,,,1,10,,,
0,1.66E+14,1.66E+14,9.305731658,,1.66E+14,72.822351,daisy,,82.12808266,,,2,9,,,True Positives
0,1.66E+14,1.66E+14,19.89646166,,1.66E+14,71.63959,daisy,,91.53605166,,,3,10,,,2431
1,1.66E+14,1.66E+14,9.129741166,,1.66E+14,74.908029,daisy,,84.03777017,,,4,9,,,
1,1.66E+14,1.66E+14,16.91427217,,1.66E+14,70.371413,daisy,,87.28568517,,,5,10,,,False Negatives
1,1.66E+14,1.66E+14,9.036512166,,1.66E+14,68.698497,daisy,,77.73500917,,,6,10,,,523
1,1.66E+14,1.66E+14,8.951824166,,1.66E+14,80.184383,daisy,,89.13620717,,,7,10,,,
1,1.66E+14,1.66E+14,19.34083617,,1.66E+14,69.215475,daisy,,88.55631117,,,8,10,,,Recall
1,1.66E+14,1.66E+14,17.17265817,,1.66E+14,72.59683,daisy,,89.76948817,,,9,10,,,0.82295193
1,1.66E+14,1.66E+14,8.912657166,,1.66E+14,72.13282,daisy,,81.04547717,,,10,9,,,
1,1.66E+14,1.66E+14,8.899637166,,1.66E+14,70.666725,daisy,,79.56636217,,,11,10,,,
1,1.66E+14,1.66E+14,8.941824166,,1.66E+14,76.876675,daisy,,85.81849917,,,12,10,,,
1,1.66E+14,1.66E+14,9.301981658,,1.66E+14,75.92032,daisy,,85.22230166,,,13,10,,,
2,1.66E+14,1.66E+14,17.19015817,,1.66E+14,70.456882,daisy,,87.64704017,,,14,10,,,
2,1.66E+14,1.66E+14,9.123074166,,1.66E+14,70.96256,daisy,,80.08563417,,,15,10,,,
2,1.66E+14,1.66E+14,9.283386166,,1.66E+14,70.010944,daisy,,79.29433017,,,16,10,,,
2,1.66E+14,1.66E+14,9.564221658,,1.66E+14,69.48782,daisy,,79.05204166,,,17,10,,,
2,1.66E+14,1.66E+14,24.95890817,,1.66E+14,80.372768,daisy,,105.3316762,,,18,10,,,
2,1.66E+14,1.66E+14,9.412241166,,1.66E+14,76.977821,daisy,,86.39006217,,,19,10,,,
2,1.66E+14,1.66E+14,9.099428166,,1.66E+14,69.463392,daisy,,78.56282017,,,20,9,,,
2,1.66E+14,1.66E+14,28.01130417,,1.66E+14,73.061258,daisy,,101.0725622,,,21,10,,,
2,1.66E+14,1.66E+14,14.26838617,,1.66E+14,71.908392,daisy,,86.17677817,,,22,10,,,
3,1.66E+14,1.66E+14,24.69531517,,1.66E+14,69.991726,daisy,,94.68704117,,,23,10,,,
3,1.66E+14,1.66E+14,9.379064166,,1.66E+14,72.678393,daisy,,82.05745717,,,24,9,,,
3,1.66E+14,1.66E+14,9.373542166,,1.66E+14,73.484852,daisy,,82.85839417,,,25,10,,,
3,1.66E+14,1.66E+14,9.147033166,,1.66E+14,70.805789,daisy,,79.95282217,,,26,10,,,
3,1.66E+14,1.66E+14,27.12562817,,1.66E+14,73.729851,daisy,,100.8554792,,,27,9,,,
3,1.66E+14,1.66E+14,23.67000317,,1.66E+14,74.778237,daisy,,98.44824017,,,28,10,,,
3,1.66E+14,1.66E+14,8.865731658,,1.66E+14,76.681466,daisy,,85.54719766,,,29,9,,,
3,1.66E+14,1.66E+14,23.50588817,,1.66E+14,68.509538,daisy,,92.01542617,,,30,10,,,
3,1.66E+14,1.66E+14,24.63937817,,1.66E+14,70.304539,daisy,,94.94391717,,,31,10,,,
3,1.66E+14,1.66E+14,9.012918166,,1.66E+14,70.933236,daisy,,79.94615417,,,32,10,,,
4,1.66E+14,1.66E+14,9.696251166,,1.66E+14,73.417508,daisy,,83.11375917,,,33,10,,,
4,1.66E+14,1.66E+14,8.934115166,,1.66E+14,70.290215,daisy,,79.22433017,,,34,10,,,
4,1.66E+14,1.66E+14,24.81625217,,1.66E+14,73.315477,daisy,,98.13172917,,,35,10,,,
4,1.66E+14,1.66E+14,9.177084166,,1.66E+14,77.897977,daisy,,87.07506117,,,36,10,,,
4,1.66E+14,1.66E+14,9.361928166,,1.66E+14,70.94584,daisy,,80.30776817,,,37,9,,,
4,1.66E+14,1.66E+14,23.09557517,,1.66E+14,75.856518,daisy,,98.95209317,,,38,10,,,
