Record, Frame Rate,,,,,,,,Min FPS,Max FPS,Avg FPS
1,54.67407,,,,,,,,54.67407,59.70764,59.64066697
2,59.6548,,,,,,,,,,
3,59.65678,,,,,,,,,,
4,59.65808,,,,,,,,,,
5,59.65699,,,,,,,,,,
6,59.65632,,,,,,,,,,
7,59.66461,,,,,,,,,,
8,59.65611,,,,,,,,,,
9,59.65666,,,,,,,,,,
10,59.65667,,,,,,,,,,
11,59.65532,,,,,,,,,,
12,59.65586,,,,,,,,,,
13,59.70764,,,,,,,,,,
14,59.65992,,,,,,,,,,
15,59.66085,,,,,,,,,,
16,59.65975,,,,,,,,,,
17,59.65937,,,,,,,,,,
18,59.65944,,,,,,,,,,
19,59.66005,,,,,,,,,,
20,59.66045,,,,,,,,,,
21,59.66059,,,,,,,,,,
22,59.65987,,,,,,,,,,
23,59.66072,,,,,,,,,,
24,59.65959,,,,,,,,,,
25,59.6606,,,,,,,,,,
26,59.66049,,,,,,,,,,
27,59.65935,,,,,,,,,,
28,59.66027,,,,,,,,,,
29,59.65996,,,,,,,,,,
30,59.66112,,,,,,,,,,
31,59.6603,,,,,,,,,,
32,59.65916,,,,,,,,,,
33,59.66054,,,,,,,,,,
34,59.66065,,,,,,,,,,
35,59.66016,,,,,,,,,,
36,59.65965,,,,,,,,,,
37,59.65891,,,,,,,,,,
38,59.66002,,,,,,,,,,
39,59.66111,,,,,,,,,,
40,59.661,,,,,,,,,,
41,59.66016,,,,,,,,,,
42,59.65944,,,,,,,,,,
43,59.65902,,,,,,,,,,
44,59.65982,,,,,,,,,,
45,59.65988,,,,,,,,,,
46,59.66039,,,,,,,,,,
47,59.65916,,,,,,,,,,
48,59.6604,,,,,,,,,,
49,59.66052,,,,,,,,,,
50,59.6602,,,,,,,,,,
51,59.65869,,,,,,,,,,
52,59.65974,,,,,,,,,,
53,59.66048,,,,,,,,,,
54,59.66054,,,,,,,,,,
55,59.66027,,,,,,,,,,
56,59.60786,,,,,,,,,,
57,59.64627,,,,,,,,,,
58,59.64769,,,,,,,,,,
59,59.647,,,,,,,,,,
60,59.6469,,,,,,,,,,
61,59.64678,,,,,,,,,,
62,59.70315,,,,,,,,,,
63,59.65852,,,,,,,,,,
64,59.65858,,,,,,,,,,
65,59.65877,,,,,,,,,,
66,59.65827,,,,,,,,,,
67,59.65688,,,,,,,,,,
68,59.65862,,,,,,,,,,
69,59.65918,,,,,,,,,,
70,59.65833,,,,,,,,,,
71,59.65731,,,,,,,,,,
72,59.65801,,,,,,,,,,
73,59.65845,,,,,,,,,,
74,59.65861,,,,,,,,,,
75,59.65881,,,,,,,,,,
76,59.65749,,,,,,,,,,
