Num,Time (sec),Total Mem (kB),Used Mem (kB),Free Mem (kB),Buffer Size (kB),Mem Usage (%),CPU Total (%),CPU User (%),CPU User Actual (%),CPU System (%),CPU System Actual (%)
69,342,3731608,3465372,266236,163952,0.928653814,800,258,0.3225,55,0.06875
70,347,3731608,3465956,265652,163952,0.928810314,800,309,0.38625,59,0.07375
71,352,3731608,3466104,265504,163952,0.928849976,800,303,0.37875,47,0.05875
72,357,3731608,3469208,262400,163952,0.929681789,800,297,0.37125,53,0.06625
73,362,3731608,3465404,266204,163952,0.928662389,800,269,0.33625,50,0.0625
74,367,3731608,3455560,276048,163952,0.926024384,800,266,0.3325,56,0.07
75,372,3731608,3455736,275872,163952,0.926071549,800,361,0.45125,61,0.07625
76,377,3731608,3457824,273784,163952,0.926631093,800,353,0.44125,59,0.07375
77,382,3731608,3457736,273872,163952,0.926607511,800,278,0.3475,50,0.0625
78,387,3731608,3454920,276688,163952,0.925852876,800,315,0.39375,45,0.05625
79,392,3731608,3456584,275024,163952,0.926298797,800,244,0.305,53,0.06625
80,397,3731608,3455980,275628,163952,0.926136936,800,310,0.3875,61,0.07625
81,402,3731608,3458432,273176,163952,0.926794026,800,297,0.37125,59,0.07375
82,407,3731608,3453732,277876,163952,0.925534515,800,300,0.375,48,0.06
83,412,3731608,3455200,276408,163952,0.925927911,800,334,0.4175,59,0.07375
84,417,3731608,3454588,277020,163952,0.925763907,800,281,0.35125,44,0.055
85,422,3731608,3456796,274812,163952,0.926355609,800,275,0.34375,63,0.07875
86,427,3731608,3458164,273444,163952,0.926722207,800,281,0.35125,52,0.065
87,432,3731608,3453308,278300,163952,0.925420891,800,259,0.32375,56,0.07
88,437,3731608,3453356,278252,163952,0.925433754,800,303,0.37875,59,0.07375
89,442,3731608,3456648,274960,163952,0.926315947,800,262,0.3275,59,0.07375
90,448,3731608,3455900,275708,163952,0.926115498,800,261,0.32625,58,0.0725
91,453,3731608,3457236,274372,163952,0.92647352,800,316,0.395,41,0.05125
92,458,3731608,3452356,279252,163952,0.925165773,800,284,0.355,47,0.05875
93,463,3731608,3454980,276628,163952,0.925868955,800,297,0.37125,66,0.0825
94,468,3731608,3455184,276424,163952,0.925923623,800,294,0.3675,66,0.0825
95,473,3731608,3457144,274464,163952,0.926448866,800,294,0.3675,68,0.085
96,478,3731608,3453956,277652,163952,0.925594543,800,278,0.3475,56,0.07
97,483,3731608,3455156,276452,163960,0.92591612,800,294,0.3675,47,0.05875
98,488,3731608,3455996,275612,163960,0.926141224,800,271,0.33875,48,0.06
99,493,3731608,3456344,275264,163960,0.926234481,800,247,0.30875,34,0.0425
