T,Attempt No,Time to Preprocess (millis),Time to Classify (millis),,,,
,1,32,225,,,,257
,7,11,119,,,,130
,13,26,136,,,,162
,18,16,136,,,,152
,24,22,137,,,,159
,30,15,137,,,,152
,35,14,138,,,,152
,40,14,139,,,,153
,46,13,161,,,,174
,51,27,139,,,,166
,56,31,162,,,,193
,61,20,139,,,,159
,66,23,182,,,,205
,71,36,139,,,,175
,77,22,139,,,,161
,82,30,139,,,,169
,87,32,144,,,,176
,93,25,142,,,,167
,98,15,136,,,,151
,103,24,145,,,,169
,109,13,134,,,,147
,114,20,136,,,,156
,119,45,137,,,,182
,125,37,142,,,,179
,130,21,144,,,,165
,135,36,140,,,,176
,141,24,139,,,,163
,146,14,153,,,,167
,151,32,141,,,,173
,156,14,157,,,,171
,162,17,141,,,,158
,167,19,141,,,,160
,172,26,136,,,,162
,177,19,147,,,,166
,182,23,146,,,,169
,188,14,131,,,,145
,193,16,135,,,,151
,198,23,162,,,,185
,203,14,136,,,,150
,209,17,145,,,,162
,214,26,139,,,,165
,220,25,134,,,,159
,225,29,143,,,,172
,230,28,150,,,,178
,235,13,137,,,,150
,241,14,162,,,,176
,246,45,137,,,,182
,251,32,149,,,,181
,257,35,147,,,,182
,262,24,169,,,,193
,267,18,141,,,,159
,273,33,153,,,,186
,278,28,147,,,,175
,283,24,139,,,,163
,288,29,152,,,,181
,294,28,177,,,,205
,299,39,156,,,,195
,304,14,157,,,,171
,309,30,143,,,,173
,314,33,176,,,,209
,319,42,150,,,,192
,324,26,145,,,,171
,330,23,157,,,,180
,335,20,142,,,,162
,340,13,144,,,,157
,346,26,135,,,,161
,351,27,147,,,,174
,356,19,146,,,,165
,361,15,142,,,,157
,367,21,143,,,,164
,372,32,140,,,,172
,377,22,134,,,,156
,382,13,152,,,,165
,388,39,140,,,,179
,393,25,147,,,,172
,398,23,152,,,,175
,402,26,145,,,,171
,407,27,147,,,,174
,412,30,165,,,,195
,417,22,147,,,,169
,422,15,144,,,,159
,427,23,160,,,,183
,432,32,148,,,,180
,436,18,151,,,,169
,441,15,150,,,,165
,446,27,172,,,,199
,452,16,147,,,,163
,457,18,145,,,,163
,462,36,147,,,,183
,467,14,171,,,,185
,472,35,166,,,,201
,477,29,148,,,,177
,482,26,172,,,,198
,486,25,144,,,,169
,491,19,142,,,,161
,496,36,143,,,,179
,501,26,141,,,,167
,506,18,151,,,,169
,511,43,153,,,,196
,516,27,148,,,,175
,521,17,146,,,,163
,526,18,145,,,,163
,531,34,169,,,,203
,536,14,153,,,,167
,541,21,159,,,,180
,546,27,153,,,,180
,551,22,148,,,,170
,556,35,161,,,,196
,561,24,155,,,,179
,566,30,157,,,,187
,571,34,198,,,,232
,576,25,153,,,,178
,581,28,168,,,,196
,586,27,150,,,,177
,591,14,180,,,,194
,596,41,170,,,,211
,600,24,151,,,,175
,605,24,148,,,,172
,610,25,162,,,,187
,615,23,149,,,,172
,620,17,166,,,,183
,625,35,158,,,,193
,630,28,144,,,,172
,635,15,158,,,,173
,640,39,207,,,,246
,645,16,146,,,,162
,650,25,163,,,,188
,655,28,144,,,,172
,660,35,169,,,,204
,665,34,141,,,,175
,670,16,151,,,,167
,675,26,159,,,,185
,680,20,161,,,,181
,685,18,183,,,,201
,690,35,149,,,,184
,695,14,146,,,,160
,700,14,148,,,,162
,705,16,155,,,,171
,710,21,147,,,,168
,715,15,143,,,,158
,721,20,148,,,,168
,725,24,145,,,,169
,730,33,165,,,,198
,735,16,151,,,,167
,740,18,175,,,,193
,745,16,146,,,,162
,750,38,156,,,,194
,755,32,151,,,,183
,760,16,151,,,,167
,765,23,158,,,,181
,770,14,143,,,,157
,775,18,145,,,,163
,780,30,145,,,,175
,785,16,173,,,,189
,790,34,161,,,,195
,795,28,180,,,,208
,800,29,149,,,,178
,805,16,148,,,,164
,810,18,148,,,,166
,815,37,151,,,,188
,820,17,181,,,,198
,825,16,161,,,,177
,830,25,147,,,,172
,835,23,179,,,,202
,840,38,156,,,,194
,845,22,149,,,,171
,850,28,155,,,,183
,855,28,153,,,,181
,860,25,149,,,,174
,864,20,148,,,,168
,870,35,152,,,,187
,875,17,149,,,,166
,880,14,159,,,,173
,885,21,146,,,,167
,890,14,152,,,,166
,895,40,145,,,,185
,899,25,179,,,,204
,904,21,174,,,,195
,910,33,149,,,,182
,914,15,165,,,,180
,919,41,154,,,,195
,924,16,168,,,,184
,929,40,152,,,,192
,934,15,158,,,,173
,939,15,154,,,,169
,944,19,157,,,,176
,949,30,164,,,,194
,954,22,166,,,,188
,959,28,154,,,,182
,964,14,171,,,,185
,969,24,191,,,,215
,974,29,179,,,,208
,979,25,151,,,,176
,984,15,165,,,,180
