Timestamp,Frame Count,Total Frame Time (millis),Avg Frame Time (millis)
20181109_085834,594,10010.0,16.85185185185185
20181109_085844,596,10015.0,16.803691275167786
20181109_085854,597,10014.0,16.77386934673367
20181109_085904,597,10016.0,16.77721943048576
20181109_085914,597,10014.0,16.77386934673367
20181109_085924,597,10014.0,16.77386934673367
20181109_085934,596,10014.0,16.802013422818792
20181109_085944,596,10001.0,16.780201342281877
20181109_085954,597,10011.0,16.768844221105528
20181109_090004,596,10000.0,16.778523489932887
20181109_090014,597,10014.0,16.77386934673367
20181109_090024,597,10014.0,16.77386934673367
20181109_090034,597,10015.0,16.775544388609717
20181109_090044,597,10017.0,16.77889447236181
20181109_090054,597,10014.0,16.77386934673367
20181109_090104,596,10002.0,16.78187919463087
20181109_090114,596,10009.0,16.793624161073826
20181109_090124,597,10016.0,16.77721943048576
20181109_090134,596,10014.0,16.802013422818792
20181109_090144,597,10015.0,16.775544388609717
20181109_090154,597,10014.0,16.77386934673367
20181109_090204,597,10015.0,16.775544388609717
20181109_090214,597,10014.0,16.77386934673367
20181109_090224,597,10016.0,16.77721943048576
20181109_090234,597,10012.0,16.770519262981576
20181109_090244,597,10016.0,16.77721943048576
20181109_090254,597,10014.0,16.77386934673367
20181109_090304,597,10014.0,16.77386934673367
20181109_090314,597,10014.0,16.77386934673367
