Num,Time (sec),Raw Mem,Total Mem (kB),Used Mem (kB),Free Mem (kB),Buffer Size (kB),Mem Usage (%),Raw CPU,CPU Total (%),CPU User (%),CPU User Actual (%),CPU System (%),CPU System Actual (%)
30,146, Mem: 3731608k total 3530080k used 201528k free 143772k buffers ,3731608,3530080,201528,143772,, 800%cpu 245%user 3%nice 55%sys 490%idle 0%iow 6%irq 0%sirq 0%host ,800,245,,55,,
31,151, Mem: 3731608k total 3526440k used 205168k free 143772k buffers ,3731608,3526440,205168,143772,, 800%cpu 281%user 0%nice 55%sys 455%idle 0%iow 6%irq 3%sirq 0%host ,800,281,,55,,
32,156, Mem: 3731608k total 3528864k used 202744k free 143776k buffers ,3731608,3528864,202744,143776,, 800%cpu 222%user 0%nice 63%sys 506%idle 0%iow 6%irq 3%sirq 0%host ,800,222,,63,,
33,161, Mem: 3731608k total 3527192k used 204416k free 143776k buffers ,3731608,3527192,204416,143776,, 800%cpu 281%user 13%nice 72%sys 425%idle 0%iow 6%irq 3%sirq 0%host ,800,281,,72,,
34,166, Mem: 3731608k total 3534424k used 197184k free 143776k buffers ,3731608,3534424,197184,143776,, 800%cpu 212%user 0%nice 52%sys 527%idle 0%iow 6%irq 3%sirq 0%host ,800,212,,52,,
35,171, Mem: 3731608k total 3536848k used 194760k free 143776k buffers ,3731608,3536848,194760,143776,, 800%cpu 294%user 0%nice 48%sys 445%idle 0%iow 10%irq 3%sirq 0%host ,800,294,,48,,
36,176, Mem: 3731608k total 3529736k used 201872k free 143776k buffers ,3731608,3529736,201872,143776,, 800%cpu 245%user 3%nice 52%sys 494%idle 0%iow 3%irq 3%sirq 0%host ,800,245,,52,,
37,181, Mem: 3731608k total 3530552k used 201056k free 143776k buffers ,3731608,3530552,201056,143776,, 800%cpu 227%user 3%nice 55%sys 509%idle 0%iow 6%irq 0%sirq 0%host ,800,227,,55,,
38,186, Mem: 3731608k total 3534176k used 197432k free 143776k buffers ,3731608,3534176,197432,143776,, 800%cpu 247%user 0%nice 56%sys 491%idle 0%iow 3%irq 3%sirq 0%host ,800,247,,56,,
39,191, Mem: 3731608k total 3528140k used 203468k free 143776k buffers ,3731608,3528140,203468,143776,, 800%cpu 297%user 6%nice 69%sys 419%idle 0%iow 9%irq 0%sirq 0%host ,800,297,,69,,
40,196, Mem: 3731608k total 3533332k used 198276k free 143776k buffers ,3731608,3533332,198276,143776,, 800%cpu 231%user 0%nice 63%sys 497%idle 0%iow 6%irq 3%sirq 0%host ,800,231,,63,,
41,201, Mem: 3731608k total 3527032k used 204576k free 143776k buffers ,3731608,3527032,204576,143776,, 800%cpu 250%user 13%nice 59%sys 469%idle 0%iow 6%irq 3%sirq 0%host ,800,250,,59,,
42,206, Mem: 3731608k total 3527352k used 204256k free 143776k buffers ,3731608,3527352,204256,143776,, 800%cpu 309%user 0%nice 53%sys 431%idle 0%iow 6%irq 0%sirq 0%host ,800,309,,53,,
43,211, Mem: 3731608k total 3526324k used 205284k free 143776k buffers ,3731608,3526324,205284,143776,, 800%cpu 241%user 0%nice 41%sys 509%idle 0%iow 9%irq 0%sirq 0%host ,800,241,,41,,
44,216, Mem: 3731608k total 3528832k used 202776k free 143776k buffers ,3731608,3528832,202776,143776,, 800%cpu 261%user 3%nice 71%sys 452%idle 0%iow 10%irq 3%sirq 0%host ,800,261,,71,,
45,221, Mem: 3731608k total 3527064k used 204544k free 143776k buffers ,3731608,3527064,204544,143776,, 800%cpu 247%user 13%nice 66%sys 466%idle 0%iow 6%irq 3%sirq 0%host ,800,247,,66,,
46,226, Mem: 3731608k total 3530428k used 201180k free 143776k buffers ,3731608,3530428,201180,143776,, 800%cpu 234%user 0%nice 59%sys 500%idle 0%iow 6%irq 0%sirq 0%host ,800,234,,59,,
47,231, Mem: 3731608k total 3531840k used 199768k free 143776k buffers ,3731608,3531840,199768,143776,, 800%cpu 300%user 0%nice 53%sys 441%idle 0%iow 3%irq 3%sirq 0%host ,800,300,,53,,
48,236, Mem: 3731608k total 3530508k used 201100k free 143776k buffers ,3731608,3530508,201100,143776,, 800%cpu 241%user 0%nice 59%sys 488%idle 0%iow 9%irq 3%sirq 0%host ,800,241,,59,,
49,241, Mem: 3731608k total 3525292k used 206316k free 143776k buffers ,3731608,3525292,206316,143776,, 800%cpu 265%user 10%nice 61%sys 458%idle 0%iow 6%irq 0%sirq 0%host ,800,265,,61,,
50,246, Mem: 3731608k total 3532064k used 199544k free 143776k buffers ,3731608,3532064,199544,143776,, 800%cpu 269%user 3%nice 50%sys 475%idle 0%iow 3%irq 0%sirq 0%host ,800,269,,50,,
51,251, Mem: 3731608k total 3525728k used 205880k free 143776k buffers ,3731608,3525728,205880,143776,, 800%cpu 228%user 9%nice 59%sys 488%idle 0%iow 9%irq 6%sirq 0%host ,800,228,,59,,
52,256, Mem: 3731608k total 3527760k used 203848k free 143776k buffers ,3731608,3527760,203848,143776,, 800%cpu 238%user 0%nice 47%sys 509%idle 0%iow 6%irq 0%sirq 0%host ,800,238,,47,,
53,261, Mem: 3731608k total 3527644k used 203964k free 143776k buffers ,3731608,3527644,203964,143776,, 800%cpu 244%user 3%nice 56%sys 484%idle 0%iow 9%irq 3%sirq 0%host ,800,244,,56,,
54,266, Mem: 3731608k total 3531280k used 200328k free 143776k buffers ,3731608,3531280,200328,143776,, 800%cpu 238%user 0%nice 56%sys 500%idle 0%iow 6%irq 0%sirq 0%host ,800,238,,56,,
55,271, Mem: 3731608k total 3529360k used 202248k free 143776k buffers ,3731608,3529360,202248,143776,, 800%cpu 284%user 0%nice 59%sys 453%idle 0%iow 3%irq 0%sirq 0%host ,800,284,,59,,
56,276, Mem: 3731608k total 3532588k used 199020k free 143776k buffers ,3731608,3532588,199020,143776,, 800%cpu 224%user 0%nice 52%sys 515%idle 0%iow 6%irq 3%sirq 0%host ,800,224,,52,,
57,281, Mem: 3731608k total 3529376k used 202232k free 143776k buffers ,3731608,3529376,202232,143776,, 800%cpu 271%user 3%nice 65%sys 448%idle 0%iow 10%irq 3%sirq 0%host ,800,271,,65,,
58,286, Mem: 3731608k total 3526768k used 204840k free 143780k buffers ,3731608,3526768,204840,143780,, 800%cpu 258%user 13%nice 68%sys 448%idle 0%iow 10%irq 3%sirq 0%host ,800,258,,68,,
59,291, Mem: 3731608k total 3529816k used 201792k free 143780k buffers ,3731608,3529816,201792,143780,, 800%cpu 242%user 0%nice 52%sys 500%idle 0%iow 6%irq 0%sirq 0%host ,800,242,,52,,
60,296, Mem: 3731608k total 3528436k used 203172k free 143780k buffers ,3731608,3528436,203172,143780,, 800%cpu 303%user 3%nice 68%sys 423%idle 0%iow 3%irq 0%sirq 0%host ,800,303,,68,,
