Timestamp,Frame Count,Total Frame Time (millis),Avg Frame Time (millis)
20181113_080239,593,10011.0,16.88195615514334
20181113_080249,594,10010.0,16.85185185185185
20181113_080259,594,10000.0,16.835016835016834
20181113_080309,593,10004.0,16.870151770657674
20181113_080319,595,10011.0,16.825210084033614
20181113_080329,597,10009.0,16.765494137353432
20181113_080339,595,10009.0,16.8218487394958
20181113_080349,594,10011.0,16.853535353535353
20181113_080359,595,10011.0,16.825210084033614
20181113_080409,595,10010.0,16.823529411764707
20181113_080419,594,10012.0,16.855218855218855
20181113_080429,596,10011.0,16.796979865771814
20181113_080439,597,10010.0,16.76716917922948
20181113_080449,595,10009.0,16.8218487394958
20181113_080459,597,10012.0,16.770519262981576
20181113_080509,593,10009.0,16.87858347386172
20181113_080519,597,10012.0,16.770519262981576
20181113_080529,596,10009.0,16.793624161073826
20181113_080539,593,10010.0,16.88026981450253
20181113_080549,596,10012.0,16.798657718120804
20181113_080559,596,10009.0,16.793624161073826
20181113_080609,597,10014.0,16.77386934673367
20181113_080619,597,10007.0,16.76214405360134
20181113_080629,597,10010.0,16.76716917922948
20181113_080639,593,10010.0,16.88026981450253
20181113_080649,595,10010.0,16.823529411764707
20181113_080659,597,10008.0,16.763819095477388
20181113_080709,595,10010.0,16.823529411764707
20181113_080719,596,10009.0,16.793624161073826
