Time (sec),Preproc Start Time (ns),Preproc End Time (ns),Preproc Time Elapsed (ms),Class Start Time (ns),Class End Time (ns),Class Time Elapsed (ms),
0,3.70E+14,3.70E+14,-21.357138,3.70E+14,3.70E+14,49.202557,7.06E+01
0,3.70E+14,3.70E+14,-21.696669,3.70E+14,3.70E+14,39.749743,6.14E+01
0,3.70E+14,3.70E+14,-31.507295,3.70E+14,3.70E+14,36.894847,6.84E+01
0,3.70E+14,3.70E+14,-3.983073,3.70E+14,3.70E+14,38.26016,4.22E+01
0,3.70E+14,3.70E+14,-15.414637,3.70E+14,3.70E+14,39.658545,5.51E+01
0,3.70E+14,3.70E+14,-25.162763,3.70E+14,3.70E+14,36.015993,6.12E+01
0,3.70E+14,3.70E+14,1.337396,3.70E+14,3.70E+14,34.84417,3.62E+01
0,3.70E+14,3.70E+14,-13.463282,3.70E+14,3.70E+14,35.234222,4.87E+01
0,3.70E+14,3.70E+14,-27.724117,3.70E+14,3.70E+14,38.304795,6.60E+01
0,3.70E+14,3.70E+14,1.086563,3.70E+14,3.70E+14,34.793701,3.59E+01
0,3.70E+14,3.70E+14,-13.68172,3.70E+14,3.70E+14,34.949691,4.86E+01
0,3.70E+14,3.70E+14,-28.329534,3.70E+14,3.70E+14,35.010524,6.33E+01
0,3.70E+14,3.70E+14,-2.791146,3.70E+14,3.70E+14,35.185993,3.80E+01
0,3.70E+14,3.70E+14,-17.089742,3.70E+14,3.70E+14,37.81891,5.49E+01
1,3.70E+14,3.70E+14,-28.772971,3.70E+14,3.70E+14,34.979795,6.38E+01
1,3.70E+14,3.70E+14,-3.28276,3.70E+14,3.70E+14,36.075108,3.94E+01
1,3.70E+14,3.70E+14,-16.915002,3.70E+14,3.70E+14,35.156098,5.21E+01
1,3.70E+14,3.70E+14,-31.555629,3.70E+14,3.70E+14,51.996568,8.36E+01
1,3.70E+14,3.70E+14,-29.029222,3.70E+14,3.70E+14,59.800318,8.88E+01
1,3.70E+14,3.70E+14,-58.733496,3.70E+14,3.70E+14,76.422455,1.35E+02
1,3.70E+14,3.70E+14,-71.28959,3.70E+14,3.70E+14,76.106779,1.47E+02
1,3.70E+14,3.70E+14,-44.510056,3.70E+14,3.70E+14,64.395527,1.09E+02
1,3.70E+14,3.70E+14,-29.315836,3.70E+14,3.70E+14,49.674536,7.90E+01
1,3.70E+14,3.70E+14,-29.227711,3.70E+14,3.70E+14,52.099589,8.13E+01
1,3.70E+14,3.70E+14,-26.307867,3.70E+14,3.70E+14,56.229954,8.25E+01
1,3.70E+14,3.70E+14,-59.870058,3.70E+14,3.70E+14,61.703235,1.22E+02
2,3.70E+14,3.70E+14,-47.86188,3.70E+14,3.70E+14,55.124484,1.03E+02
2,3.70E+14,3.70E+14,-80.717248,3.70E+14,3.70E+14,85.037925,1.66E+02
2,3.70E+14,3.70E+14,-5.719219,3.70E+14,3.70E+14,39.787504,4.55E+01
2,3.70E+14,3.70E+14,-55.758755,3.70E+14,3.70E+14,59.509069,1.15E+02
2,3.70E+14,3.70E+14,-45.311307,3.70E+14,3.70E+14,70.065163,1.15E+02
