T,Attempt No,Time to Preprocess (millis),Time to Classify (millis),,,,
,17,34,4,,,,38
,41,33,2,,,,35
,66,38,2,,,,40
,90,31,2,,,,33
,111,38,5,,,,43
,132,45,1,,,,46
,150,44,1,,,,45
,166,52,2,,,,54
,183,38,1,,,,39
,201,33,1,,,,34
,220,44,2,,,,46
,239,45,1,,,,46
,259,41,0,,,,41
,279,74,1,,,,75
,299,34,1,,,,35
,318,43,1,,,,44
,336,35,1,,,,36
,355,34,2,,,,36
,372,58,1,,,,59
,389,85,0,,,,85
,410,54,2,,,,56
,429,37,0,,,,37
,448,44,1,,,,45
,468,65,1,,,,66
,487,66,1,,,,67
,505,61,0,,,,61
,523,41,0,,,,41
,543,58,1,,,,59
,562,51,0,,,,51
,581,41,1,,,,42
,601,38,0,,,,38
,618,40,0,,,,40
,636,60,1,,,,61
,656,38,0,,,,38
,676,52,3,,,,55
,694,38,2,,,,40
,714,42,2,,,,44
,734,63,0,,,,63
,753,41,0,,,,41
,773,39,2,,,,41
,793,87,1,,,,88
,811,52,0,,,,52
,830,40,1,,,,41
,851,44,0,,,,44
,867,42,1,,,,43
,886,43,0,,,,43
,901,69,0,,,,69
,919,42,0,,,,42
,937,46,1,,,,47
,955,58,0,,,,58
,972,54,0,,,,54
,991,45,2,,,,47
,1008,51,2,,,,53
,1024,49,0,,,,49
,1041,49,0,,,,49
,1057,102,1,,,,103
,1076,51,1,,,,52
,1094,52,0,,,,52
,1110,70,1,,,,71
,1127,61,0,,,,61
,1147,46,1,,,,47
,1165,53,0,,,,53
,1183,60,0,,,,60
,1199,51,2,,,,53
,1216,48,0,,,,48
,1234,67,0,,,,67
,1252,61,0,,,,61
,1269,52,0,,,,52
,1286,55,0,,,,55
,1303,99,1,,,,100
,1321,45,0,,,,45
,1338,110,1,,,,111
,1355,52,1,,,,53
,1372,47,1,,,,48
,1389,65,1,,,,66
,1407,51,1,,,,52
,1424,46,0,,,,46
,1443,45,2,,,,47
,1459,46,1,,,,47
,1477,46,0,,,,46
,1495,52,2,,,,54
,1512,50,0,,,,50
,1531,42,1,,,,43
,1551,57,0,,,,57
,1570,79,0,,,,79
,1590,61,0,,,,61
,1610,52,0,,,,52
,1633,38,0,,,,38
,1652,44,0,,,,44
,1675,58,1,,,,59
,1695,42,0,,,,42
,1714,64,1,,,,65
,1735,37,1,,,,38
,1756,38,1,,,,39
,1778,41,1,,,,42
,1800,34,0,,,,34
,1820,35,1,,,,36
,1839,36,1,,,,37
,1859,40,2,,,,42
,1879,38,1,,,,39
,1900,43,0,,,,43
,1919,38,0,,,,38
,1938,43,1,,,,44
,1956,43,0,,,,43
,1972,53,6,,,,59
,1991,41,1,,,,42
,2009,45,0,,,,45
,2027,39,2,,,,41
,2045,41,1,,,,42
,2063,43,1,,,,44
,2081,42,1,,,,43
,2100,44,1,,,,45
,2117,45,2,,,,47
,2135,47,1,,,,48
,2153,65,0,,,,65
,2170,85,0,,,,85
,2186,61,1,,,,62
,2203,63,2,,,,65
,2222,52,1,,,,53
,2240,65,0,,,,65
,2259,50,0,,,,50
,2276,49,0,,,,49
,2296,65,0,,,,65
,2312,49,0,,,,49
,2330,47,1,,,,48
,2346,48,0,,,,48
,2361,50,2,,,,52
,2377,66,1,,,,67
,2396,49,0,,,,49
,2414,46,0,,,,46
,2430,46,1,,,,47
,2447,49,0,,,,49
,2464,49,1,,,,50
,2479,51,0,,,,51
,2496,50,0,,,,50
,2511,45,1,,,,46
,2531,56,0,,,,56
,2546,82,0,,,,82
,2563,60,0,,,,60
,2580,54,3,,,,57
