Timestamp,Frame Count,Total Frame Time (millis),Avg Frame Time (millis)
20181101_014942,594,10002.0,16.838383838383837
20181101_014952,597,10012.0,16.770519262981576
20181101_015002,597,10012.0,16.770519262981576
20181101_015012,597,10014.0,16.77386934673367
20181101_015022,597,10012.0,16.770519262981576
20181101_015032,597,10012.0,16.770519262981576
20181101_015042,597,10011.0,16.768844221105528
20181101_015052,597,10012.0,16.770519262981576
20181101_015102,597,10012.0,16.770519262981576
20181101_015112,597,10011.0,16.768844221105528
20181101_015122,597,10012.0,16.770519262981576
20181101_015132,597,10012.0,16.770519262981576
20181101_015142,597,10012.0,16.770519262981576
20181101_015152,597,10011.0,16.768844221105528
20181101_015202,597,10012.0,16.770519262981576
20181101_015212,597,10011.0,16.768844221105528
20181101_015222,597,10012.0,16.770519262981576
20181101_015232,597,10013.0,16.77219430485762
20181101_015242,597,10012.0,16.770519262981576
20181101_015252,597,10013.0,16.77219430485762
20181101_015302,597,10011.0,16.768844221105528
20181101_015312,597,10013.0,16.77219430485762
20181101_015322,597,10012.0,16.770519262981576
20181101_015332,597,10012.0,16.770519262981576
20181101_015342,597,10013.0,16.77219430485762
20181101_015352,597,10012.0,16.770519262981576
20181101_015402,597,10013.0,16.77219430485762
20181101_015412,597,10012.0,16.770519262981576
20181101_015422,597,10012.0,16.770519262981576
