Num,Time (sec),Total Mem (kB),Used Mem (kB),Free Mem (kB),Buffer Size (kB),Mem Usage (%),CPU Total (%),CPU User (%),CPU User Actual (%),CPU System (%),CPU System Actual (%)
1,0,3731608,3292076,439532,137432,0.88221378,800,209,0.26125,66,0.0825
26,126,3731608,3485264,246344,137468,0.933984491,800,285,0.35625,52,0.065
27,131,3731608,3437852,293756,137468,0.921278977,800,328,0.41,47,0.05875
28,136,3731608,3434272,297336,137468,0.920319605,800,270,0.3375,67,0.08375
29,141,3731608,3436552,295056,137468,0.920930601,800,294,0.3675,55,0.06875
30,146,3731608,3432648,298960,137468,0.919884404,800,284,0.355,59,0.07375
31,151,3731608,3434648,296960,137468,0.920420366,800,238,0.2975,56,0.07
32,156,3731608,3437672,293936,137468,0.92123074,800,242,0.3025,58,0.0725
33,161,3731608,3438308,293300,137468,0.921401176,800,282,0.3525,70,0.0875
34,166,3731608,3434340,297268,137468,0.920337828,800,263,0.32875,59,0.07375
35,171,3731608,3433996,297612,137468,0.920245642,800,300,0.375,52,0.065
36,176,3731608,3433192,298416,137472,0.920030185,800,273,0.34125,61,0.07625
37,181,3731608,3618228,113380,137472,0.969616316,800,56,0.07,88,0.11
38,186,3731608,3477140,254468,137472,0.931807414,800,256,0.32,53,0.06625
39,191,3731608,3435912,295696,137472,0.920759094,800,255,0.31875,55,0.06875
40,196,3731608,3438052,293556,137472,0.921332573,800,272,0.34,66,0.0825
41,201,3731608,3439976,291632,137472,0.921848168,800,272,0.34,59,0.07375
42,206,3731608,3436692,294916,137472,0.920968119,800,328,0.41,66,0.0825
43,211,3731608,3438444,293164,137472,0.921437622,800,327,0.40875,52,0.065
44,216,3731608,3441264,290344,137472,0.922193328,800,334,0.4175,59,0.07375
45,221,3731608,3436048,295560,137472,0.920795539,800,288,0.36,44,0.055
46,226,3731608,3440336,291272,137472,0.921944642,800,309,0.38625,64,0.08
47,231,3731608,3438600,293008,137472,0.921479427,800,300,0.375,63,0.07875
48,236,3731608,3439640,291968,137472,0.921758127,800,303,0.37875,78,0.0975
49,241,3731608,3449740,281868,137472,0.924464735,800,109,0.13625,31,0.03875
50,246,3731608,3433640,297968,137472,0.920150241,800,259,0.32375,69,0.08625
51,251,3731608,3436384,295224,137472,0.920885581,800,328,0.41,47,0.05875
52,256,3731608,3433424,298184,137476,0.920092357,800,284,0.355,53,0.06625
53,261,3731608,3433144,298464,137476,0.920017322,800,291,0.36375,66,0.0825
54,266,3731608,3436332,295276,137476,0.920871646,800,316,0.395,63,0.07875
55,271,3731608,3433184,298424,137476,0.920028042,800,294,0.3675,59,0.07375
56,276,3731608,3438300,293308,137476,0.921399032,800,328,0.41,63,0.07875
57,281,3731608,3437124,294484,137476,0.921083887,800,334,0.4175,63,0.07875
58,286,3731608,3439264,292344,137480,0.921657366,800,303,0.37875,58,0.0725
59,291,3731608,3433780,297828,137480,0.920187758,800,273,0.34125,61,0.07625
60,296,3731608,3436880,294728,137480,0.921018499,800,285,0.35625,52,0.065
61,301,3731608,3467792,263816,137480,0.929302328,800,97,0.12125,38,0.0475
62,307,3731608,3443244,288364,137480,0.92272393,800,309,0.38625,81,0.10125
63,312,3731608,3443524,288084,137488,0.922798965,800,294,0.3675,44,0.055
64,317,3731608,3444284,287324,137488,0.923002631,800,306,0.3825,56,0.07
65,322,3731608,3444488,287120,137488,0.923057299,800,331,0.41375,81,0.10125
66,327,3731608,3445388,286220,137488,0.923298482,800,285,0.35625,58,0.0725
67,333,3731608,3440444,291164,137488,0.921973584,800,313,0.39125,63,0.07875
68,338,3731608,3440832,290776,137488,0.92207756,800,294,0.3675,53,0.06625
69,343,3731608,3442260,289348,137488,0.922460237,800,322,0.4025,47,0.05875
70,348,3731608,3443176,288432,137488,0.922705708,800,268,0.335,59,0.07375
71,353,3731608,3443672,287936,137488,0.922838626,800,248,0.31,48,0.06
72,358,3731608,3439924,291684,137488,0.921834233,800,224,0.28,59,0.07375
73,363,3731608,3573432,158176,137492,0.957611839,800,256,0.32,65,0.08125
74,368,3731608,3439788,291820,137496,0.921797788,800,300,0.375,52,0.065
75,373,3731608,3440348,291260,137496,0.921947857,800,256,0.32,44,0.055
76,378,3731608,3443588,288020,137496,0.922816116,800,341,0.42625,72,0.09
77,383,3731608,3440276,291332,137496,0.921928563,800,247,0.30875,41,0.05125
78,388,3731608,3439844,291764,137496,0.921812795,800,276,0.345,58,0.0725
79,393,3731608,3441628,289980,137496,0.922290873,800,259,0.32375,66,0.0825
80,399,3731608,3441768,289840,137496,0.92232839,800,288,0.36,59,0.07375
81,404,3731608,3440808,290800,137496,0.922071129,800,263,0.32875,47,0.05875
82,409,3731608,3441088,290520,137496,0.922146163,800,303,0.37875,63,0.07875
83,414,3731608,3443260,288348,137496,0.922728218,800,272,0.34,59,0.07375
84,419,3731608,3438952,292656,137496,0.921573756,800,313,0.39125,72,0.09
85,424,3731608,3576728,154880,137508,0.958495105,800,359,0.44875,59,0.07375
86,429,3731608,3448476,283132,137508,0.924126007,800,266,0.3325,50,0.0625
87,434,3731608,3449252,282356,137508,0.92433396,800,300,0.375,47,0.05875
88,439,3731608,3449640,281968,137508,0.924437937,800,331,0.41375,53,0.06625
89,444,3731608,3447348,284260,137512,0.923823724,800,284,0.355,59,0.07375
90,449,3731608,3447504,284104,137512,0.923865529,800,306,0.3825,56,0.07
91,454,3731608,3448620,282988,137512,0.924164596,800,263,0.32875,56,0.07
92,459,3731608,3450420,281188,137512,0.924646962,800,270,0.3375,64,0.08
93,464,3731608,3451492,280116,137512,0.924934237,800,297,0.37125,65,0.08125
94,469,3731608,3446100,285508,137516,0.923489284,800,297,0.37125,66,0.0825
95,474,3731608,3445976,285632,137516,0.923456054,800,338,0.4225,56,0.07
96,479,3731608,3448256,283352,137516,0.924067051,800,316,0.395,56,0.07
97,484,3731608,3581780,149828,137516,0.959848944,800,281,0.35125,59,0.07375
98,489,3731608,3448268,283340,137516,0.924070267,800,300,0.375,61,0.07625
99,494,3731608,3443556,288052,137516,0.92280754,800,347,0.43375,66,0.0825
100,499,3731608,3446596,285012,137520,0.923622203,800,303,0.37875,71,0.08875
101,504,3731608,3447652,283956,137528,0.92390519,800,290,0.3625,52,0.065
102,509,3731608,3432384,299224,137528,0.919813657,800,275,0.34375,47,0.05875
103,514,3731608,3433888,297720,137532,0.9202167,800,294,0.3675,53,0.06625
104,519,3731608,3437548,294060,137532,0.921197511,800,294,0.3675,66,0.0825
105,524,3731608,3437456,294152,137532,0.921172856,800,313,0.39125,58,0.0725
106,529,3731608,3438836,292772,137532,0.92154267,800,272,0.34,63,0.07875
107,534,3731608,3433196,298412,137532,0.920031257,800,242,0.3025,48,0.06
108,539,3731608,3491264,240344,137652,0.935592377,800,344,0.43,78,0.0975
109,544,3731608,3624060,107548,136196,0.971179181,800,258,0.3225,61,0.07625
110,549,3731608,3484556,247052,136196,0.933794761,800,319,0.39875,63,0.07875
111,555,3731608,3489640,241968,136196,0.935157176,800,303,0.37875,52,0.065
112,560,3731608,3479436,252172,136204,0.932422698,800,325,0.40625,56,0.07
113,565,3731608,3481940,249668,136204,0.933093723,800,328,0.41,59,0.07375
114,570,3731608,3477840,253768,136208,0.931995001,800,306,0.3825,56,0.07
115,575,3731608,3482000,249608,136212,0.933109801,800,306,0.3825,56,0.07
116,581,3731608,3477476,254132,136216,0.931897455,800,319,0.39875,53,0.06625
117,586,3731608,3479556,252052,136216,0.932454856,800,300,0.375,50,0.0625
118,591,3731608,3482472,249136,136216,0.933236288,800,341,0.42625,72,0.09
119,596,3731608,3467028,264580,136216,0.92909759,800,325,0.40625,63,0.07875
120,601,3731608,3618044,113564,136216,0.969567007,800,97,0.12125,41,0.05125
121,606,3731608,3449428,282180,136224,0.924381125,800,269,0.33625,44,0.055
122,611,3731608,3392032,339576,136228,0.909000088,800,284,0.355,69,0.08625
123,616,3731608,3388376,343232,136228,0.908020349,800,272,0.34,66,0.0825
124,621,3731608,3392684,338924,136228,0.909174812,800,269,0.33625,56,0.07
125,626,3731608,3397068,334540,136228,0.91034964,800,303,0.37875,66,0.0825
126,631,3731608,3392464,339144,136228,0.909115856,800,306,0.3825,47,0.05875
127,636,3731608,3395052,336556,136228,0.90980939,800,353,0.44125,78,0.0975
128,641,3731608,3391604,340004,136228,0.908885392,800,288,0.36,53,0.06625
129,646,3731608,3393064,338544,136228,0.909276644,800,318,0.3975,52,0.065
130,651,3731608,3396072,335536,136228,0.910082731,800,313,0.39125,66,0.0825
131,656,3731608,3391940,339668,136228,0.908975434,800,355,0.44375,68,0.085
132,661,3731608,3575208,156400,136228,0.958087773,800,59,0.07375,84,0.105
133,666,3731608,3444524,287084,136232,0.923066946,800,252,0.315,45,0.05625
134,671,3731608,3400024,331584,136236,0.911141792,800,253,0.31625,59,0.07375
135,676,3731608,3395624,335984,136236,0.909962676,800,284,0.355,53,0.06625
136,681,3731608,3399144,332464,136236,0.910905969,800,291,0.36375,55,0.06875
137,686,3731608,3401504,330104,136236,0.911538404,800,279,0.34875,50,0.0625
138,691,3731608,3399536,332072,136236,0.911011017,800,321,0.40125,48,0.06
139,696,3731608,3400540,331068,136240,0.91128007,800,278,0.3475,66,0.0825
140,701,3731608,3397536,334072,136240,0.910475055,800,288,0.36,53,0.06625
141,706,3731608,3401816,329792,136240,0.911622014,800,269,0.33625,53,0.06625
142,711,3731608,3395028,336580,136240,0.909802959,800,294,0.3675,47,0.05875
143,716,3731608,3398532,333076,136240,0.910741964,800,250,0.3125,69,0.08625
144,721,3731608,3404172,327436,136240,0.912253377,800,139,0.17375,27,0.03375
145,726,3731608,3378824,352784,136240,0.905460595,800,319,0.39875,59,0.07375
146,731,3731608,3392132,339476,136240,0.909026886,800,279,0.34875,59,0.07375
147,736,3731608,3393764,337844,136244,0.909464231,800,278,0.3475,69,0.08625
148,741,3731608,3391872,339736,136244,0.908957211,800,315,0.39375,61,0.07625
149,746,3731608,3395372,336236,136244,0.909895144,800,263,0.32875,47,0.05875
150,751,3731608,3392724,338884,136248,0.909185531,800,256,0.32,72,0.09
151,756,3731608,3396568,335040,136248,0.91021565,800,272,0.34,56,0.07
152,762,3731608,3397436,334172,136248,0.910448257,800,326,0.4075,58,0.0725
153,767,3731608,3392196,339412,136248,0.909044037,800,297,0.37125,77,0.09625
154,772,3731608,3395980,335628,136248,0.910058077,800,258,0.3225,52,0.065
155,777,3731608,3398344,333264,136248,0.910691584,800,306,0.3825,53,0.06625
156,782,3731608,3582160,149448,136248,0.959950777,800,264,0.33,48,0.06
157,787,3731608,3400656,330952,136248,0.911311156,800,316,0.395,59,0.07375
158,792,3731608,3400164,331444,136248,0.911179309,800,278,0.3475,59,0.07375
159,797,3731608,3403748,327860,136248,0.912139753,800,259,0.32375,50,0.0625
160,802,3731608,3397764,333844,136248,0.910536155,800,274,0.3425,59,0.07375
161,807,3731608,3402260,329348,136248,0.911740997,800,288,0.36,75,0.09375
162,812,3731608,3404632,326976,136248,0.912376648,800,259,0.32375,47,0.05875
163,817,3731608,3400500,331108,136248,0.911269351,800,338,0.4225,59,0.07375
164,822,3731608,3400688,330920,136248,0.911319731,800,300,0.375,63,0.07875
165,827,3731608,3399064,332544,136248,0.91088453,800,241,0.30125,47,0.05875
166,832,3731608,3399676,331932,136248,0.911048535,800,297,0.37125,61,0.07625
167,837,3731608,3398988,332620,136248,0.910864164,800,291,0.36375,59,0.07375
168,842,3731608,3522168,209440,136256,0.943874062,800,248,0.31,76,0.095
169,847,3731608,3401668,329940,136260,0.911582353,800,272,0.34,72,0.09
170,852,3731608,3398816,332792,136260,0.910818071,800,303,0.37875,72,0.09
171,857,3731608,3404384,327224,136264,0.912310189,800,245,0.30625,61,0.07625
172,862,3731608,3404264,327344,136264,0.912278031,800,282,0.3525,79,0.09875
173,867,3731608,3398516,333092,136264,0.910737677,800,313,0.39125,81,0.10125
174,872,3731608,3399340,332268,136264,0.910958493,800,309,0.38625,53,0.06625
175,877,3731608,3399912,331696,136268,0.911111778,800,272,0.34,50,0.0625
176,882,3731608,3397432,334176,136268,0.910447185,800,344,0.43,69,0.08625
177,887,3731608,3397588,334020,136268,0.91048899,800,288,0.36,84,0.105
178,892,3731608,3401696,329912,136268,0.911589856,800,284,0.355,63,0.07875
179,897,3731608,3402876,328732,136268,0.911906074,800,275,0.34375,56,0.07
180,902,3731608,3588944,142664,136268,0.96176876,800,331,0.41375,66,0.0825
181,907,3731608,3402628,328980,136268,0.911839614,800,329,0.41125,71,0.08875
182,912,3731608,3400348,331260,136268,0.911228618,800,275,0.34375,59,0.07375
183,917,3731608,3399576,332032,136268,0.911021736,800,282,0.3525,70,0.0875
184,922,3731608,3399920,331688,136272,0.911113922,800,284,0.355,44,0.055
185,927,3731608,3399332,332276,136272,0.910956349,800,256,0.32,72,0.09
186,932,3731608,3404264,327344,136272,0.912278031,800,309,0.38625,66,0.0825
187,937,3731608,3403412,328196,136272,0.912049712,800,263,0.32875,53,0.06625
188,942,3731608,3394604,337004,136272,0.909689335,800,306,0.3825,61,0.07625
189,947,3731608,3395288,336320,136272,0.909872634,800,316,0.395,75,0.09375
190,952,3731608,3393708,337900,136272,0.909449224,800,266,0.3325,53,0.06625
191,957,3731608,3399136,332472,136272,0.910903825,800,281,0.35125,53,0.06625
192,962,3731608,3579804,151804,136276,0.959319414,800,319,0.39875,50,0.0625
193,967,3731608,3399852,331756,136276,0.911095699,800,269,0.33625,53,0.06625
194,972,3731608,3395856,335752,136280,0.910024847,800,300,0.375,63,0.07875
195,977,3731608,3394196,337412,136280,0.909579999,800,306,0.3825,53,0.06625
196,982,3731608,3393196,338412,136280,0.909312018,800,297,0.37125,56,0.07
197,987,3731608,3394252,337356,136280,0.909595006,800,316,0.395,116,0.145
198,992,3731608,3393872,337736,136280,0.909493173,800,334,0.4175,69,0.08625
199,997,3731608,3392940,338668,136280,0.909243415,800,344,0.43,63,0.07875
200,1002,3731608,3391596,340012,136280,0.908883248,800,306,0.3825,69,0.08625
201,1007,3731608,3396360,335248,136280,0.91015991,800,325,0.40625,66,0.0825
202,1012,3731608,3396292,335316,136280,0.910141687,800,288,0.36,59,0.07375
203,1017,3731608,3397296,334312,136280,0.91041074,800,291,0.36375,69,0.08625
204,1022,3731608,3517140,214468,136288,0.942526653,800,288,0.36,50,0.0625
205,1027,3731608,3399040,332568,136288,0.910878099,800,312,0.39,64,0.08
206,1032,3731608,3403520,328088,136288,0.912078653,800,327,0.40875,73,0.09125
207,1037,3731608,3404484,327124,136288,0.912336987,800,303,0.37875,53,0.06625
208,1042,3731608,3404568,327040,136288,0.912359498,800,315,0.39375,55,0.06875
209,1047,3731608,3401876,329732,136288,0.911638093,800,264,0.33,58,0.0725
210,1052,3731608,3399508,332100,136288,0.911003514,800,339,0.42375,64,0.08
211,1057,3731608,3403336,328272,136288,0.912029345,800,285,0.35625,55,0.06875
212,1062,3731608,3399072,332536,136288,0.910886674,800,279,0.34875,48,0.06
213,1067,3731608,3407692,323916,136288,0.91319667,800,306,0.3825,58,0.0725
214,1072,3731608,3401680,329928,136288,0.911585568,800,319,0.39875,47,0.05875
215,1077,3731608,3401416,330192,136288,0.911514821,800,281,0.35125,50,0.0625
216,1082,3731608,3590576,141032,136292,0.962206105,800,366,0.4575,72,0.09
217,1087,3731608,3404788,326820,136292,0.912418453,800,327,0.40875,76,0.095
218,1092,3731608,3402504,329104,136292,0.911806385,800,288,0.36,72,0.09
219,1097,3731608,3404832,326776,136296,0.912430245,800,313,0.39125,59,0.07375
220,1102,3731608,3410248,321360,136300,0.91388163,800,275,0.34375,56,0.07
221,1107,3731608,3406100,325508,136300,0.912770044,800,263,0.32875,53,0.06625
222,1112,3731608,3407672,323936,136300,0.913191311,800,281,0.35125,53,0.06625
223,1117,3731608,3404960,326648,136300,0.912464546,800,309,0.38625,45,0.05625
224,1122,3731608,3406944,324664,136300,0.91299622,800,294,0.3675,63,0.07875
225,1127,3731608,3403968,327640,136300,0.912198709,800,275,0.34375,59,0.07375
226,1132,3731608,3408584,323024,136316,0.913435709,800,275,0.34375,50,0.0625
