Timestamp,Attempt No,Result,Time to Preprocess (millis),Time to Classify (millis)
20181109_083906,921,prayer rug,21,142
20181109_083907,926,prayer rug,16,138
20181109_083908,932,prayer rug,13,137
20181109_083909,938,prayer rug,17,144
20181109_083910,944,prayer rug,26,145
20181109_083911,949,prayer rug,23,150
20181109_083912,954,prayer rug,32,144
20181109_083913,959,prayer rug,21,143
20181109_083914,965,prayer rug,15,138
20181109_083915,970,prayer rug,31,173
20181109_083916,976,prayer rug,34,137
20181109_083917,982,prayer rug,34,136
20181109_083918,987,prayer rug,13,134
20181109_083919,993,prayer rug,15,136
20181109_083920,998,prayer rug,13,137
20181109_083921,1004,prayer rug,39,140
20181109_083922,1009,prayer rug,23,151
20181109_083923,1015,prayer rug,13,137
20181109_083924,1021,prayer rug,19,134
20181109_083925,1026,prayer rug,13,137
20181109_083926,1032,prayer rug,32,137
20181109_083927,1037,prayer rug,32,136
20181109_083928,1042,prayer rug,18,137
20181109_083929,1048,prayer rug,14,135
20181109_083930,1054,prayer rug,31,139
20181109_083931,1060,prayer rug,15,140
20181109_083932,1066,prayer rug,18,140
20181109_083933,1071,prayer rug,14,160
20181109_083934,1076,prayer rug,42,175
20181109_083935,1082,prayer rug,32,133
20181109_083936,1087,prayer rug,13,133
20181109_083937,1092,prayer rug,13,158
20181109_083938,1098,prayer rug,33,144
20181109_083939,1103,prayer rug,31,149
20181109_083940,1109,prayer rug,14,131
20181109_083941,1114,prayer rug,24,163
20181109_083942,1120,prayer rug,32,142
20181109_083943,1125,prayer rug,27,157
20181109_083944,1131,prayer rug,39,143
20181109_083945,1136,prayer rug,13,137
20181109_083946,1142,prayer rug,14,138
20181109_083947,1148,prayer rug,34,155
20181109_083948,1153,prayer rug,25,140
20181109_083949,1159,prayer rug,24,146
20181109_083950,1164,prayer rug,30,164
20181109_083951,1169,prayer rug,29,176
20181109_083952,1175,prayer rug,14,141
20181109_083953,1181,prayer rug,15,137
20181109_083954,1186,prayer rug,26,160
20181109_083955,1192,prayer rug,13,156
20181109_083956,1198,prayer rug,34,138
20181109_083957,1203,prayer rug,28,148
20181109_083958,1208,prayer rug,14,141
20181109_083959,1213,prayer rug,19,138
20181109_084000,1219,prayer rug,21,148
20181109_084001,1225,prayer rug,15,137
20181109_084002,1231,prayer rug,34,161
20181109_084003,1236,prayer rug,43,166
20181109_084004,1242,prayer rug,31,132
20181109_084005,1247,prayer rug,14,141
20181109_084006,1253,prayer rug,19,166
20181109_084007,1258,prayer rug,13,140
20181109_084008,1263,prayer rug,32,159
20181109_084009,1269,prayer rug,29,163
20181109_084010,1275,prayer rug,14,144
20181109_084011,1280,prayer rug,13,139
20181109_084012,1286,prayer rug,13,142
20181109_084013,1292,prayer rug,20,146
20181109_084014,1297,prayer rug,31,152
20181109_084015,1303,prayer rug,19,133
20181109_084016,1308,prayer rug,16,134
20181109_084017,1314,prayer rug,32,139
20181109_084018,1319,prayer rug,30,148
20181109_084019,1325,prayer rug,19,140
20181109_084020,1331,prayer rug,30,143
20181109_084021,1336,prayer rug,14,141
20181109_084022,1341,prayer rug,14,144
20181109_084023,1347,prayer rug,30,145
20181109_084024,1352,prayer rug,25,140
20181109_084025,1357,prayer rug,20,167
20181109_084026,1363,prayer rug,16,153
20181109_084027,1368,prayer rug,32,160
20181109_084028,1374,prayer rug,28,148
20181109_084029,1379,prayer rug,31,149
20181109_084030,1384,prayer rug,15,149
20181109_084031,1389,prayer rug,16,144
20181109_084032,1394,prayer rug,31,170
20181109_084033,1399,prayer rug,25,151
20181109_084034,1404,prayer rug,16,157
20181109_084035,1409,prayer rug,22,156
20181109_084036,1415,prayer rug,18,143
20181109_084037,1420,prayer rug,20,152
20181109_084038,1425,prayer rug,17,143
20181109_084039,1430,prayer rug,25,146
20181109_084040,1435,prayer rug,21,145
20181109_084041,1441,prayer rug,25,180
20181109_084042,1446,prayer rug,15,158
20181109_084043,1451,prayer rug,31,143
20181109_084044,1457,prayer rug,30,148
20181109_084045,1462,prayer rug,15,146
20181109_084046,1467,prayer rug,20,151
20181109_084047,1472,prayer rug,32,145
20181109_084048,1477,prayer rug,20,152
20181109_084049,1482,prayer rug,15,150
20181109_084050,1487,prayer rug,28,158
20181109_084051,1493,prayer rug,17,145
20181109_084052,1498,prayer rug,20,152
20181109_084053,1504,prayer rug,32,159
20181109_084054,1509,prayer rug,18,147
20181109_084055,1514,prayer rug,15,165
20181109_084056,1520,prayer rug,15,142
20181109_084057,1525,prayer rug,23,150
20181109_084058,1530,prayer rug,29,145
20181109_084059,1535,prayer rug,15,161
20181109_084100,1540,prayer rug,15,147
20181109_084101,1545,prayer rug,16,174
20181109_084102,1550,prayer rug,15,147
20181109_084103,1556,prayer rug,22,153
20181109_084104,1561,prayer rug,16,155
20181109_084105,1566,prayer rug,23,149
20181109_084106,1571,prayer rug,14,170
20181109_084107,1576,prayer rug,27,162
20181109_084108,1581,prayer rug,16,145
20181109_084109,1586,prayer rug,30,145
20181109_084110,1592,prayer rug,14,164
20181109_084111,1597,prayer rug,14,147
20181109_084112,1602,prayer rug,16,162
20181109_084113,1607,prayer rug,21,154
20181109_084114,1612,prayer rug,34,149
20181109_084115,1618,prayer rug,16,161
20181109_084116,1623,prayer rug,17,172
20181109_084117,1628,prayer rug,25,151
20181109_084118,1633,prayer rug,16,149
20181109_084119,1637,prayer rug,26,155
