Timestamp,Frame Count,Total Frame Time (millis),Avg Frame Time (millis)
20181109_083630,597,10011.0,16.768844221105528
20181109_083640,594,10006.0,16.845117845117844
20181109_083650,597,10004.0,16.7571189279732
20181109_083700,596,10005.0,16.786912751677853
20181109_083710,595,10006.0,16.816806722689076
20181109_083720,597,10005.0,16.758793969849247
20181109_083730,597,10006.0,16.76046901172529
20181109_083740,597,10005.0,16.758793969849247
20181109_083750,597,10005.0,16.758793969849247
20181109_083800,597,10006.0,16.76046901172529
20181109_083810,597,10006.0,16.76046901172529
20181109_083820,597,10006.0,16.76046901172529
20181109_083830,597,10007.0,16.76214405360134
20181109_083840,597,10006.0,16.76046901172529
20181109_083850,597,10006.0,16.76046901172529
20181109_083900,597,10006.0,16.76046901172529
20181109_083910,597,10007.0,16.76214405360134
20181109_083920,597,10006.0,16.76046901172529
20181109_083930,596,10007.0,16.790268456375838
20181109_083940,597,10006.0,16.76046901172529
20181109_083950,597,10008.0,16.763819095477388
20181109_084000,597,10007.0,16.76214405360134
20181109_084010,597,10007.0,16.76214405360134
20181109_084020,597,10007.0,16.76214405360134
20181109_084030,597,10008.0,16.763819095477388
20181109_084040,597,10007.0,16.76214405360134
20181109_084050,597,10008.0,16.763819095477388
20181109_084100,597,10010.0,16.76716917922948
20181109_084110,597,10008.0,16.763819095477388
