T,Attempt No,Time to Preprocess (millis),Time to Classify (millis),,,,
,20,0,24,,,,24
,41,0,24,,,,24
,62,0,23,,,,23
,83,1,23,,,,24
,104,0,23,,,,23
,126,0,23,,,,23
,147,0,23,,,,23
,168,0,23,,,,23
,189,0,23,,,,23
,210,0,23,,,,23
,231,1,22,,,,23
,253,1,22,,,,23
,274,0,23,,,,23
,295,1,22,,,,23
,316,0,24,,,,24
,337,0,23,,,,23
,359,0,23,,,,23
,380,0,23,,,,23
,402,0,22,,,,22
,424,0,23,,,,23
,445,0,23,,,,23
,467,0,22,,,,22
,489,1,22,,,,23
,511,0,22,,,,22
,533,0,22,,,,22
,555,0,22,,,,22
,577,0,23,,,,23
,599,0,22,,,,22
,620,0,24,,,,24
,642,0,23,,,,23
,664,0,22,,,,22
,686,0,22,,,,22
,708,0,23,,,,23
,730,0,23,,,,23
,752,0,23,,,,23
,774,0,22,,,,22
,796,0,23,,,,23
,818,0,22,,,,22
,840,1,22,,,,23
,862,0,23,,,,23
,885,1,22,,,,23
,907,0,23,,,,23
,929,0,22,,,,22
,951,0,23,,,,23
,974,0,23,,,,23
,997,0,22,,,,22
,1020,0,23,,,,23
,1042,0,22,,,,22
,1065,0,22,,,,22
,1088,0,23,,,,23
,1111,1,22,,,,23
,1134,0,23,,,,23
,1157,0,23,,,,23
,1180,0,23,,,,23
,1203,0,22,,,,22
,1226,0,23,,,,23
,1248,0,22,,,,22
,1271,0,23,,,,23
,1294,0,23,,,,23
,1317,0,23,,,,23
,1340,1,22,,,,23
,1363,0,23,,,,23
,1385,0,24,,,,24
,1408,0,22,,,,22
,1430,0,24,,,,24
,1453,0,23,,,,23
,1475,0,23,,,,23
,1498,0,23,,,,23
,1520,1,23,,,,24
,1543,0,23,,,,23
,1566,0,22,,,,22
,1588,0,23,,,,23
,1611,0,23,,,,23
,1634,0,23,,,,23
,1656,1,22,,,,23
,1679,0,23,,,,23
,1702,0,23,,,,23
,1725,0,23,,,,23
,1747,0,23,,,,23
,1770,0,23,,,,23
,1793,0,23,,,,23
,1815,1,23,,,,24
,1838,1,22,,,,23
,1861,0,23,,,,23
,1884,0,23,,,,23
,1906,0,22,,,,22
,1929,0,23,,,,23
,1952,0,22,,,,22
,1974,0,23,,,,23
,1997,0,23,,,,23
,2020,0,24,,,,24
,2042,0,23,,,,23
,2065,0,23,,,,23
,2088,0,23,,,,23
,2111,0,22,,,,22
,2134,0,23,,,,23
,2156,0,23,,,,23
,2179,0,23,,,,23
,2202,0,23,,,,23
,2225,0,22,,,,22
,2248,0,22,,,,22
,2271,0,23,,,,23
,2294,0,22,,,,22
,2317,0,22,,,,22
,2340,0,23,,,,23
,2363,0,23,,,,23
,2386,0,22,,,,22
,2409,0,23,,,,23
,2432,0,22,,,,22
,2456,0,22,,,,22
,2479,0,22,,,,22
,2502,0,23,,,,23
,2525,0,23,,,,23
,2548,0,23,,,,23
,2571,0,23,,,,23
,2594,0,23,,,,23
,2617,0,23,,,,23
,2640,0,23,,,,23
,2663,0,23,,,,23
,2686,0,23,,,,23
,2709,0,22,,,,22
,2732,0,22,,,,22
,2756,0,23,,,,23
,2779,0,22,,,,22
,2802,0,22,,,,22
,2825,1,22,,,,23
,2848,0,22,,,,22
,2871,0,23,,,,23
,2894,0,23,,,,23
,2917,0,23,,,,23
,2940,0,22,,,,22
,2963,0,23,,,,23
,2986,1,22,,,,23
,3010,0,23,,,,23
,3033,0,22,,,,22
,3056,0,23,,,,23
,3079,0,23,,,,23
,3102,0,23,,,,23
,3125,0,22,,,,22
,3148,0,23,,,,23
,3171,0,23,,,,23
,3194,0,22,,,,22
,3218,0,22,,,,22
,3241,1,22,,,,23
,3264,0,22,,,,22
,3287,0,22,,,,22
,3310,0,23,,,,23
,3333,0,22,,,,22
,3356,0,23,,,,23
,3379,0,22,,,,22
,3402,0,22,,,,22
,3425,0,23,,,,23
,3448,0,23,,,,23
,3471,0,23,,,,23
,3494,0,23,,,,23
,3517,1,22,,,,23
,3540,0,23,,,,23
,3563,0,23,,,,23
,3586,0,23,,,,23
,3609,0,22,,,,22
,3632,0,23,,,,23
,3655,0,23,,,,23
,3678,0,23,,,,23
,3701,0,22,,,,22
,3724,0,23,,,,23
,3747,0,23,,,,23
,3770,1,22,,,,23
