Num,Time (sec),Raw Mem,Total Mem (kB),Used Mem (kB),Free Mem (kB),Buffer Size (kB),Mem Usage (%),Raw CPU,CPU Total (%),CPU User (%),CPU User Actual (%),CPU System (%),CPU System Actual (%)
1,0, Mem: 3731608k total 3605732k used 125876k free 110052k buffers ,3731608,3605732,125876,110052,0.966267625, 800%cpu 172%user 0%nice 75%sys 541%idle 0%iow 9%irq 3%sirq 0%host ,800,172,0.215,75,0.09375
2,5, Mem: 3731608k total 3616616k used 114992k free 110056k buffers ,3731608,3616616,114992,110056,0.96918433, 800%cpu 169%user 0%nice 56%sys 569%idle 0%iow 3%irq 3%sirq 0%host ,800,169,0.21125,56,0.07
3,10, Mem: 3731608k total 3609256k used 122352k free 110064k buffers ,3731608,3609256,122352,110064,0.96721199, 800%cpu 166%user 13%nice 72%sys 541%idle 0%iow 9%irq 0%sirq 0%host ,800,166,0.2075,72,0.09
4,15, Mem: 3731608k total 3604176k used 127432k free 110072k buffers ,3731608,3604176,127432,110072,0.965850647, 800%cpu 181%user 0%nice 61%sys 548%idle 0%iow 6%irq 3%sirq 0%host ,800,181,0.22625,61,0.07625
5,20, Mem: 3731608k total 3612964k used 118644k free 110072k buffers ,3731608,3612964,118644,110072,0.968205664, 800%cpu 166%user 0%nice 56%sys 569%idle 0%iow 6%irq 3%sirq 0%host ,800,166,0.2075,56,0.07
6,25, Mem: 3731608k total 3621656k used 109952k free 110072k buffers ,3731608,3621656,109952,110072,0.970534954, 800%cpu 187%user 0%nice 71%sys 532%idle 0%iow 10%irq 0%sirq 0%host ,800,187,0.23375,71,0.08875
7,30, Mem: 3731608k total 3600732k used 130876k free 110072k buffers ,3731608,3600732,130876,110072,0.96492772, 800%cpu 190%user 3%nice 68%sys 529%idle 0%iow 10%irq 0%sirq 0%host ,800,190,0.2375,68,0.085
8,35, Mem: 3731608k total 3611652k used 119956k free 110072k buffers ,3731608,3611652,119956,110072,0.967854073, 800%cpu 184%user 0%nice 61%sys 542%idle 0%iow 10%irq 3%sirq 0%host ,800,184,0.23,61,0.07625
9,40, Mem: 3731608k total 3621204k used 110404k free 110080k buffers ,3731608,3621204,110404,110080,0.970413827, 800%cpu 184%user 9%nice 66%sys 528%idle 0%iow 9%irq 3%sirq 0%host ,800,184,0.23,66,0.0825
10,45, Mem: 3731608k total 3598612k used 132996k free 110088k buffers ,3731608,3598612,132996,110088,0.9643596, 800%cpu 159%user 0%nice 59%sys 572%idle 0%iow 6%irq 3%sirq 0%host ,800,159,0.19875,59,0.07375
11,50, Mem: 3731608k total 3605740k used 125868k free 110088k buffers ,3731608,3605740,125868,110088,0.966269769, 800%cpu 184%user 0%nice 63%sys 544%idle 0%iow 9%irq 0%sirq 0%host ,800,184,0.23,63,0.07875
12,55, Mem: 3731608k total 3613376k used 118232k free 110088k buffers ,3731608,3613376,118232,110088,0.968316072, 800%cpu 194%user 0%nice 53%sys 541%idle 0%iow 9%irq 3%sirq 0%host ,800,194,0.2425,53,0.06625
