Num,Time (sec),Raw Mem,Total Mem (kB),Used Mem (kB),Free Mem (kB),Buffer Size (kB),Mem Usage (%),Raw CPU,CPU Total (%),CPU User (%),CPU User Actual (%),CPU System (%),CPU System Actual (%)
1,0, Mem: 3731608k total 3599824k used 131784k free 109752k buffers ,3731608,3599824,131784,109752,0.964684393, 800%cpu 190%user 3%nice 68%sys 529%idle 0%iow 6%irq 3%sirq 0%host ,800,190,0.2375,68,0.085
2,5, Mem: 3731608k total 3603788k used 127820k free 109752k buffers ,3731608,3603788,127820,109752,0.96574667, 800%cpu 170%user 0%nice 70%sys 553%idle 0%iow 7%irq 0%sirq 0%host ,800,170,0.2125,70,0.0875
3,10, Mem: 3731608k total 3615544k used 116064k free 109752k buffers ,3731608,3615544,116064,109752,0.968897055, 800%cpu 165%user 0%nice 65%sys 561%idle 0%iow 6%irq 3%sirq 0%host ,800,165,0.20625,65,0.08125
4,15, Mem: 3731608k total 3592160k used 139448k free 109752k buffers ,3731608,3592160,139448,109752,0.962630587, 800%cpu 187%user 6%nice 65%sys 532%idle 0%iow 6%irq 3%sirq 0%host ,800,187,0.23375,65,0.08125
5,20, Mem: 3731608k total 3601040k used 130568k free 109752k buffers ,3731608,3601040,130568,109752,0.965010258, 800%cpu 187%user 0%nice 58%sys 545%idle 0%iow 6%irq 3%sirq 0%host ,800,187,0.23375,58,0.0725
6,25, Mem: 3731608k total 3612972k used 118636k free 109752k buffers ,3731608,3612972,118636,109752,0.968207807, 800%cpu 139%user 0%nice 65%sys 587%idle 0%iow 6%irq 3%sirq 0%host ,800,139,0.17375,65,0.08125
7,30, Mem: 3731608k total 3591936k used 139672k free 109756k buffers ,3731608,3591936,139672,109756,0.962570559, 800%cpu 187%user 0%nice 50%sys 557%idle 0%iow 7%irq 0%sirq 0%host ,800,187,0.23375,50,0.0625
8,35, Mem: 3731608k total 3600464k used 131144k free 109788k buffers ,3731608,3600464,131144,109788,0.964855901, 800%cpu 163%user 3%nice 70%sys 547%idle 0%iow 13%irq 3%sirq 0%host ,800,163,0.20375,70,0.0875
9,40, Mem: 3731608k total 3611936k used 119672k free 109788k buffers ,3731608,3611936,119672,109788,0.967930179, 800%cpu 153%user 0%nice 73%sys 563%idle 0%iow 10%irq 0%sirq 0%host ,800,153,0.19125,73,0.09125
10,45, Mem: 3731608k total 3592568k used 139040k free 109792k buffers ,3731608,3592568,139040,109792,0.962739923, 800%cpu 167%user 0%nice 50%sys 577%idle 0%iow 3%irq 3%sirq 0%host ,800,167,0.20875,50,0.0625
11,50, Mem: 3731608k total 3600248k used 131360k free 109804k buffers ,3731608,3600248,131360,109804,0.964798017, 800%cpu 170%user 7%nice 60%sys 553%idle 0%iow 7%irq 3%sirq 0%host ,800,170,0.2125,60,0.075
12,56, Mem: 3731608k total 3613208k used 118400k free 109812k buffers ,3731608,3613208,118400,109812,0.968271051, 800%cpu 153%user 3%nice 70%sys 567%idle 0%iow 7%irq 0%sirq 0%host ,800,153,0.19125,70,0.0875
13,61, Mem: 3731608k total 3593832k used 137776k free 109812k buffers ,3731608,3593832,137776,109812,0.963078651, 800%cpu 150%user 3%nice 60%sys 573%idle 0%iow 13%irq 0%sirq 0%host ,800,150,0.1875,60,0.075
14,66, Mem: 3731608k total 3600264k used 131344k free 109812k buffers ,3731608,3600264,131344,109812,0.964802305, 800%cpu 150%user 0%nice 73%sys 567%idle 0%iow 7%irq 3%sirq 0%host ,800,150,0.1875,73,0.09125
15,71, Mem: 3731608k total 3609344k used 122264k free 109812k buffers ,3731608,3609344,122264,109812,0.967235572, 800%cpu 173%user 0%nice 77%sys 540%idle 0%iow 7%irq 3%sirq 0%host ,800,173,0.21625,77,0.09625
