Num,Time (sec),Raw Mem,Total Mem (kB),Used Mem (kB),Free Mem (kB),Buffer Size (kB),Mem Usage (%),Raw CPU,CPU Total (%),CPU User (%),CPU User Actual (%),CPU System (%),CPU System Actual (%)
1,0, Mem: 3731608k total 3576600k used 155008k free 110740k buffers ,3731608,3576600,155008,110740,0.958460803, 800%cpu 175%user 3%nice 47%sys 559%idle 0%iow 13%irq 3%sirq 0%host ,800,175,0.21875,47,0.05875
2,5, Mem: 3731608k total 3592112k used 139496k free 110744k buffers ,3731608,3592112,139496,110744,0.962617724, 800%cpu 191%user 3%nice 66%sys 534%idle 0%iow 6%irq 0%sirq 0%host ,800,191,0.23875,66,0.0825
3,10, Mem: 3731608k total 3565592k used 166016k free 110744k buffers ,3731608,3565592,166016,110744,0.955510868, 800%cpu 174%user 0%nice 65%sys 555%idle 0%iow 6%irq 0%sirq 0%host ,800,174,0.2175,65,0.08125
4,16, Mem: 3731608k total 3577416k used 154192k free 110744k buffers ,3731608,3577416,154192,110744,0.958679475, 800%cpu 191%user 3%nice 75%sys 522%idle 0%iow 6%irq 3%sirq 0%host ,800,191,0.23875,75,0.09375
5,21, Mem: 3731608k total 3587952k used 143656k free 110744k buffers ,3731608,3587952,143656,110744,0.961502923, 800%cpu 203%user 0%nice 69%sys 522%idle 0%iow 6%irq 0%sirq 0%host ,800,203,0.25375,69,0.08625
6,26, Mem: 3731608k total 3566368k used 165240k free 110744k buffers ,3731608,3566368,165240,110744,0.955718821, 800%cpu 153%user 0%nice 66%sys 575%idle 0%iow 6%irq 0%sirq 0%host ,800,153,0.19125,66,0.0825
7,31, Mem: 3731608k total 3569896k used 161712k free 110744k buffers ,3731608,3569896,161712,110744,0.956664258, 800%cpu 190%user 3%nice 68%sys 529%idle 0%iow 10%irq 0%sirq 0%host ,800,190,0.2375,68,0.085
8,36, Mem: 3731608k total 3578776k used 152832k free 110744k buffers ,3731608,3578776,152832,110744,0.95904393, 800%cpu 175%user 0%nice 78%sys 541%idle 0%iow 6%irq 0%sirq 0%host ,800,175,0.21875,78,0.0975
9,41, Mem: 3731608k total 3560340k used 171268k free 110744k buffers ,3731608,3560340,171268,110744,0.954103432, 800%cpu 172%user 0%nice 66%sys 553%idle 0%iow 6%irq 3%sirq 0%host ,800,172,0.215,66,0.0825
10,46, Mem: 3731608k total 3570824k used 160784k free 110748k buffers ,3731608,3570824,160784,110748,0.956912945, 800%cpu 158%user 10%nice 58%sys 568%idle 0%iow 6%irq 0%sirq 0%host ,800,158,0.1975,58,0.0725
11,51, Mem: 3731608k total 3578420k used 153188k free 110752k buffers ,3731608,3578420,153188,110752,0.958948528, 800%cpu 184%user 0%nice 66%sys 544%idle 0%iow 6%irq 0%sirq 0%host ,800,184,0.23,66,0.0825
12,56, Mem: 3731608k total 3585968k used 145640k free 110764k buffers ,3731608,3585968,145640,110764,0.960971249, 800%cpu 177%user 3%nice 61%sys 548%idle 0%iow 6%irq 3%sirq 0%host ,800,177,0.22125,61,0.07625
13,61, Mem: 3731608k total 3567552k used 164056k free 110764k buffers ,3731608,3567552,164056,110764,0.956036111, 800%cpu 197%user 0%nice 74%sys 513%idle 0%iow 13%irq 3%sirq 0%host ,800,197,0.24625,74,0.0925
14,66, Mem: 3731608k total 3574276k used 157332k free 110764k buffers ,3731608,3574276,157332,110764,0.957838015, 800%cpu 203%user 3%nice 63%sys 519%idle 0%iow 9%irq 3%sirq 0%host ,800,203,0.25375,63,0.07875
15,71, Mem: 3731608k total 3584268k used 147340k free 110792k buffers ,3731608,3584268,147340,110792,0.960515681, 800%cpu 184%user 6%nice 84%sys 513%idle 3%iow 9%irq 0%sirq 0%host ,800,184,0.23,84,0.105
16,76, Mem: 3731608k total 3563288k used 168320k free 110792k buffers ,3731608,3563288,168320,110792,0.95489344, 800%cpu 190%user 3%nice 55%sys 542%idle 0%iow 6%irq 3%sirq 0%host ,800,190,0.2375,55,0.06875
17,81, Mem: 3731608k total 3573288k used 158320k free 110796k buffers ,3731608,3573288,158320,110796,0.95757325, 800%cpu 169%user 0%nice 59%sys 563%idle 0%iow 9%irq 0%sirq 0%host ,800,169,0.21125,59,0.07375
18,86, Mem: 3731608k total 3582332k used 149276k free 110796k buffers ,3731608,3582332,149276,110796,0.95999687, 800%cpu 174%user 0%nice 58%sys 555%idle 0%iow 10%irq 3%sirq 0%host ,800,174,0.2175,58,0.0725
19,91, Mem: 3731608k total 3563988k used 167620k free 110800k buffers ,3731608,3563988,167620,110800,0.955081027, 800%cpu 153%user 0%nice 81%sys 553%idle 0%iow 13%irq 0%sirq 0%host ,800,153,0.19125,81,0.10125
20,96, Mem: 3731608k total 3568776k used 162832k free 110800k buffers ,3731608,3568776,162832,110800,0.95636412, 800%cpu 169%user 0%nice 72%sys 550%idle 0%iow 6%irq 3%sirq 0%host ,800,169,0.21125,72,0.09
21,101, Mem: 3731608k total 3575976k used 155632k free 110800k buffers ,3731608,3575976,155632,110800,0.958293583, 800%cpu 159%user 0%nice 63%sys 566%idle 0%iow 9%irq 3%sirq 0%host ,800,159,0.19875,63,0.07875
22,106, Mem: 3731608k total 3586264k used 145344k free 110820k buffers ,3731608,3586264,145344,110820,0.961050571, 800%cpu 163%user 6%nice 69%sys 547%idle 0%iow 13%irq 3%sirq 0%host ,800,163,0.20375,69,0.08625
23,111, Mem: 3731608k total 3566176k used 165432k free 110848k buffers ,3731608,3566176,165432,110848,0.955667369, 800%cpu 172%user 0%nice 69%sys 547%idle 0%iow 9%irq 3%sirq 0%host ,800,172,0.215,69,0.08625
24,116, Mem: 3731608k total 3581508k used 150100k free 110892k buffers ,3731608,3581508,150100,110892,0.959776054, 800%cpu 209%user 9%nice 72%sys 500%idle 0%iow 6%irq 3%sirq 0%host ,800,209,0.26125,72,0.09
25,121, Mem: 3731608k total 3591144k used 140464k free 110892k buffers ,3731608,3591144,140464,110892,0.962358318, 800%cpu 219%user 0%nice 77%sys 494%idle 3%iow 6%irq 0%sirq 0%host ,800,219,0.27375,77,0.09625
26,126, Mem: 3731608k total 3570940k used 160668k free 110892k buffers ,3731608,3570940,160668,110892,0.956944031, 800%cpu 200%user 0%nice 61%sys 532%idle 0%iow 6%irq 0%sirq 0%host ,800,200,0.25,61,0.07625
27,131, Mem: 3731608k total 3578036k used 153572k free 110896k buffers ,3731608,3578036,153572,110896,0.958845624, 800%cpu 206%user 0%nice 61%sys 523%idle 0%iow 6%irq 3%sirq 0%host ,800,206,0.2575,61,0.07625
28,136, Mem: 3731608k total 3583944k used 147664k free 110912k buffers ,3731608,3583944,147664,110912,0.960428855, 800%cpu 175%user 3%nice 63%sys 550%idle 0%iow 6%irq 3%sirq 0%host ,800,175,0.21875,63,0.07875
29,141, Mem: 3731608k total 3564588k used 167020k free 110912k buffers ,3731608,3564588,167020,110912,0.955241815, 800%cpu 216%user 3%nice 61%sys 510%idle 0%iow 6%irq 3%sirq 0%host ,800,216,0.27,61,0.07625
30,146, Mem: 3731608k total 3574340k used 157268k free 110944k buffers ,3731608,3574340,157268,110944,0.957855166, 800%cpu 203%user 97%nice 72%sys 419%idle 0%iow 6%irq 3%sirq 0%host ,800,203,0.25375,72,0.09
31,151, Mem: 3731608k total 3588576k used 143032k free 110972k buffers ,3731608,3588576,143032,110972,0.961670143, 800%cpu 210%user 19%nice 58%sys 500%idle 0%iow 10%irq 3%sirq 0%host ,800,210,0.2625,58,0.0725
32,156, Mem: 3731608k total 3600516k used 131092k free 110976k buffers ,3731608,3600516,131092,110976,0.964869836, 800%cpu 197%user 0%nice 66%sys 528%idle 0%iow 6%irq 3%sirq 0%host ,800,197,0.24625,66,0.0825
33,161, Mem: 3731608k total 3577068k used 154540k free 110980k buffers ,3731608,3577068,154540,110980,0.958586218, 800%cpu 174%user 0%nice 65%sys 548%idle 0%iow 10%irq 3%sirq 0%host ,800,174,0.2175,65,0.08125
34,166, Mem: 3731608k total 3583048k used 148560k free 110992k buffers ,3731608,3583048,148560,110992,0.960188744, 800%cpu 226%user 3%nice 55%sys 510%idle 0%iow 6%irq 0%sirq 0%host ,800,226,0.2825,55,0.06875
35,171, Mem: 3731608k total 3591740k used 139868k free 110996k buffers ,3731608,3591740,139868,110996,0.962518035, 800%cpu 184%user 0%nice 52%sys 552%idle 0%iow 10%irq 3%sirq 0%host ,800,184,0.23,52,0.065
36,176, Mem: 3731608k total 3573120k used 158488k free 110996k buffers ,3731608,3573120,158488,110996,0.957528229, 800%cpu 203%user 3%nice 61%sys 523%idle 0%iow 10%irq 0%sirq 0%host ,800,203,0.25375,61,0.07625
37,181, Mem: 3731608k total 3580344k used 151264k free 110996k buffers ,3731608,3580344,151264,110996,0.959464124, 800%cpu 194%user 3%nice 66%sys 525%idle 0%iow 9%irq 3%sirq 0%host ,800,194,0.2425,66,0.0825
38,187, Mem: 3731608k total 3593212k used 138396k free 110996k buffers ,3731608,3593212,138396,110996,0.962912503, 800%cpu 203%user 3%nice 58%sys 526%idle 0%iow 10%irq 0%sirq 0%host ,800,203,0.25375,58,0.0725
39,192, Mem: 3731608k total 3575420k used 156188k free 111040k buffers ,3731608,3575420,156188,111040,0.958144585, 800%cpu 181%user 0%nice 66%sys 544%idle 0%iow 6%irq 3%sirq 0%host ,800,181,0.22625,66,0.0825
40,197, Mem: 3731608k total 3586100k used 145508k free 111040k buffers ,3731608,3586100,145508,111040,0.961006622, 800%cpu 219%user 0%nice 68%sys 506%idle 0%iow 6%irq 0%sirq 0%host ,800,219,0.27375,68,0.085
41,202, Mem: 3731608k total 3597688k used 133920k free 111048k buffers ,3731608,3597688,133920,111048,0.964111986, 800%cpu 200%user 3%nice 81%sys 506%idle 0%iow 6%irq 3%sirq 0%host ,800,200,0.25,81,0.10125
42,207, Mem: 3731608k total 3597312k used 134296k free 111056k buffers ,3731608,3597312,134296,111056,0.964011225, 800%cpu 222%user 3%nice 59%sys 500%idle 0%iow 13%irq 3%sirq 0%host ,800,222,0.2775,59,0.07375
43,212, Mem: 3731608k total 3582068k used 149540k free 111056k buffers ,3731608,3582068,149540,111056,0.959926123, 800%cpu 197%user 0%nice 66%sys 528%idle 0%iow 9%irq 0%sirq 0%host ,800,197,0.24625,66,0.0825
44,217, Mem: 3731608k total 3584824k used 146784k free 111064k buffers ,3731608,3584824,146784,111064,0.960664679, 800%cpu 213%user 0%nice 55%sys 519%idle 0%iow 10%irq 3%sirq 0%host ,800,213,0.26625,55,0.06875
45,222, Mem: 3731608k total 3594224k used 137384k free 111064k buffers ,3731608,3594224,137384,111064,0.9631837, 800%cpu 169%user 3%nice 56%sys 563%idle 0%iow 6%irq 3%sirq 0%host ,800,169,0.21125,56,0.07
46,227, Mem: 3731608k total 3571704k used 159904k free 111072k buffers ,3731608,3571704,159904,111072,0.957148768, 800%cpu 210%user 6%nice 58%sys 510%idle 0%iow 13%irq 3%sirq 0%host ,800,210,0.2625,58,0.0725
47,232, Mem: 3731608k total 3579680k used 151928k free 111072k buffers ,3731608,3579680,151928,111072,0.959286184, 800%cpu 194%user 0%nice 90%sys 506%idle 0%iow 6%irq 3%sirq 0%host ,800,194,0.2425,90,0.1125
48,237, Mem: 3731608k total 3585012k used 146596k free 111072k buffers ,3731608,3585012,146596,111072,0.960715059, 800%cpu 181%user 3%nice 47%sys 563%idle 0%iow 6%irq 0%sirq 0%host ,800,181,0.22625,47,0.05875
49,242, Mem: 3731608k total 3563724k used 167884k free 111072k buffers ,3731608,3563724,167884,111072,0.95501028, 800%cpu 159%user 3%nice 72%sys 556%idle 0%iow 9%irq 0%sirq 0%host ,800,159,0.19875,72,0.09
50,248, Mem: 3731608k total 3573212k used 158396k free 111084k buffers ,3731608,3573212,158396,111084,0.957552883, 800%cpu 197%user 3%nice 68%sys 526%idle 0%iow 6%irq 0%sirq 0%host ,800,197,0.24625,68,0.085
51,253, Mem: 3731608k total 3584964k used 146644k free 111096k buffers ,3731608,3584964,146644,111096,0.960702196, 800%cpu 210%user 0%nice 68%sys 513%idle 0%iow 10%irq 0%sirq 0%host ,800,210,0.2625,68,0.085
52,258, Mem: 3731608k total 3568448k used 163160k free 111140k buffers ,3731608,3568448,163160,111140,0.956276222, 800%cpu 175%user 13%nice 75%sys 522%idle 6%iow 6%irq 3%sirq 0%host ,800,175,0.21875,75,0.09375
53,263, Mem: 3731608k total 3575832k used 155776k free 111148k buffers ,3731608,3575832,155776,111148,0.958254994, 800%cpu 177%user 3%nice 65%sys 548%idle 0%iow 3%irq 3%sirq 0%host ,800,177,0.22125,65,0.08125
54,268, Mem: 3731608k total 3586508k used 145100k free 111148k buffers ,3731608,3586508,145100,111148,0.961115959, 800%cpu 206%user 0%nice 50%sys 531%idle 0%iow 9%irq 3%sirq 0%host ,800,206,0.2575,50,0.0625
55,273, Mem: 3731608k total 3599468k used 132140k free 111156k buffers ,3731608,3599468,132140,111156,0.964588992, 800%cpu 156%user 3%nice 63%sys 566%idle 0%iow 6%irq 6%sirq 0%host ,800,156,0.195,63,0.07875
56,278, Mem: 3731608k total 3575784k used 155824k free 111156k buffers ,3731608,3575784,155824,111156,0.95824213, 800%cpu 184%user 3%nice 55%sys 555%idle 0%iow 3%irq 0%sirq 0%host ,800,184,0.23,55,0.06875
57,283, Mem: 3731608k total 3579736k used 151872k free 111156k buffers ,3731608,3579736,151872,111156,0.959301191, 800%cpu 177%user 0%nice 65%sys 548%idle 0%iow 6%irq 3%sirq 0%host ,800,177,0.22125,65,0.08125
58,288, Mem: 3731608k total 3590580k used 141028k free 111156k buffers ,3731608,3590580,141028,111156,0.962207177, 800%cpu 184%user 0%nice 68%sys 535%idle 0%iow 10%irq 3%sirq 0%host ,800,184,0.23,68,0.085
59,293, Mem: 3731608k total 3572264k used 159344k free 111156k buffers ,3731608,3572264,159344,111156,0.957298837, 800%cpu 169%user 0%nice 59%sys 563%idle 0%iow 6%irq 3%sirq 0%host ,800,169,0.21125,59,0.07375
60,298, Mem: 3731608k total 3580348k used 151260k free 111156k buffers ,3731608,3580348,151260,111156,0.959465196, 800%cpu 187%user 3%nice 87%sys 510%idle 0%iow 10%irq 3%sirq 0%host ,800,187,0.23375,87,0.10875
