Num,Time (sec),Raw Mem,Total Mem (kB),Used Mem (kB),Free Mem (kB),Buffer Size (kB),Mem Usage (%),Raw CPU,CPU Total (%),CPU User (%),CPU User Actual (%),CPU System (%),CPU System Actual (%)
1,0, Mem: 3731608k total 3607868k used 123740k free 110320k buffers ,3731608,3607868,123740,110320,0.966840033, 800%cpu 210%user 0%nice 74%sys 506%idle 0%iow 6%irq 3%sirq 0%host ,800,210,0.2625,74,0.0925
2,5, Mem: 3731608k total 3616720k used 114888k free 110320k buffers ,3731608,3616720,114888,110320,0.9692122, 800%cpu 191%user 0%nice 63%sys 538%idle 0%iow 9%irq 0%sirq 0%host ,800,191,0.23875,63,0.07875
3,10, Mem: 3731608k total 3604400k used 127208k free 110320k buffers ,3731608,3604400,127208,110320,0.965910674, 800%cpu 206%user 0%nice 47%sys 544%idle 0%iow 3%irq 0%sirq 0%host ,800,206,0.2575,47,0.05875
4,15, Mem: 3731608k total 3606128k used 125480k free 110328k buffers ,3731608,3606128,125480,110328,0.966373746, 800%cpu 194%user 3%nice 56%sys 534%idle 0%iow 13%irq 0%sirq 0%host ,800,194,0.2425,56,0.07
5,20, Mem: 3731608k total 3612916k used 118692k free 110332k buffers ,3731608,3612916,118692,110332,0.968192801, 800%cpu 191%user 3%nice 47%sys 553%idle 0%iow 3%irq 3%sirq 0%host ,800,191,0.23875,47,0.05875
6,25, Mem: 3731608k total 3624040k used 107568k free 110332k buffers ,3731608,3624040,107568,110332,0.971173821, 800%cpu 163%user 0%nice 63%sys 572%idle 0%iow 3%irq 0%sirq 0%host ,800,163,0.20375,63,0.07875
7,30, Mem: 3731608k total 3601536k used 130072k free 110332k buffers ,3731608,3601536,130072,110332,0.965143177, 800%cpu 194%user 3%nice 59%sys 538%idle 0%iow 6%irq 0%sirq 0%host ,800,194,0.2425,59,0.07375
8,35, Mem: 3731608k total 3609744k used 121864k free 110388k buffers ,3731608,3609744,121864,110388,0.967342765, 800%cpu 172%user 3%nice 56%sys 556%idle 0%iow 6%irq 6%sirq 0%host ,800,172,0.215,56,0.07
9,40, Mem: 3731608k total 3620480k used 111128k free 110388k buffers ,3731608,3620480,111128,110388,0.970219809, 800%cpu 194%user 0%nice 59%sys 538%idle 0%iow 6%irq 3%sirq 0%host ,800,194,0.2425,59,0.07375
10,45, Mem: 3731608k total 3600740k used 130868k free 110388k buffers ,3731608,3600740,130868,110388,0.964929864, 800%cpu 184%user 3%nice 65%sys 535%idle 0%iow 10%irq 3%sirq 0%host ,800,184,0.23,65,0.08125
11,50, Mem: 3731608k total 3611884k used 119724k free 110400k buffers ,3731608,3611884,119724,110400,0.967916244, 800%cpu 197%user 0%nice 66%sys 528%idle 0%iow 6%irq 3%sirq 0%host ,800,197,0.24625,66,0.0825
12,55, Mem: 3731608k total 3620608k used 111000k free 110400k buffers ,3731608,3620608,111000,110400,0.97025411, 800%cpu 169%user 0%nice 69%sys 553%idle 0%iow 9%irq 0%sirq 0%host ,800,169,0.21125,69,0.08625
13,60, Mem: 3731608k total 3628976k used 102632k free 110404k buffers ,3731608,3628976,102632,110404,0.972496575, 800%cpu 168%user 10%nice 58%sys 552%idle 0%iow 10%irq 3%sirq 0%host ,800,168,0.21,58,0.0725
14,65, Mem: 3731608k total 3609756k used 121852k free 110404k buffers ,3731608,3609756,121852,110404,0.967345981, 800%cpu 178%user 3%nice 66%sys 541%idle 0%iow 9%irq 3%sirq 0%host ,800,178,0.2225,66,0.0825
15,70, Mem: 3731608k total 3616568k used 115040k free 110404k buffers ,3731608,3616568,115040,110404,0.969171467, 800%cpu 203%user 3%nice 53%sys 531%idle 0%iow 9%irq 0%sirq 0%host ,800,203,0.25375,53,0.06625
16,75, Mem: 3731608k total 3626080k used 105528k free 110404k buffers ,3731608,3626080,105528,110404,0.971720502, 800%cpu 194%user 3%nice 68%sys 523%idle 0%iow 13%irq 0%sirq 0%host ,800,194,0.2425,68,0.085
17,80, Mem: 3731608k total 3603504k used 128104k free 110420k buffers ,3731608,3603504,128104,110420,0.965670563, 800%cpu 166%user 3%nice 63%sys 563%idle 0%iow 3%irq 3%sirq 0%host ,800,166,0.2075,63,0.07875
18,85, Mem: 3731608k total 3614456k used 117152k free 110520k buffers ,3731608,3614456,117152,110520,0.968605491, 800%cpu 184%user 0%nice 68%sys 539%idle 0%iow 6%irq 3%sirq 0%host ,800,184,0.23,68,0.085
19,90, Mem: 3731608k total 3622828k used 108780k free 110524k buffers ,3731608,3622828,108780,110524,0.970849028, 800%cpu 197%user 0%nice 68%sys 526%idle 0%iow 6%irq 3%sirq 0%host ,800,197,0.24625,68,0.085
20,95, Mem: 3731608k total 3600048k used 131560k free 110524k buffers ,3731608,3600048,131560,110524,0.964744421, 800%cpu 166%user 0%nice 78%sys 547%idle 0%iow 9%irq 0%sirq 0%host ,800,166,0.2075,78,0.0975
21,100, Mem: 3731608k total 3610672k used 120936k free 110524k buffers ,3731608,3610672,120936,110524,0.967591451, 800%cpu 159%user 0%nice 59%sys 572%idle 0%iow 9%irq 0%sirq 0%host ,800,159,0.19875,59,0.07375
22,105, Mem: 3731608k total 3620112k used 111496k free 110524k buffers ,3731608,3620112,111496,110524,0.970121192, 800%cpu 175%user 3%nice 72%sys 538%idle 3%iow 6%irq 3%sirq 0%host ,800,175,0.21875,72,0.09
23,110, Mem: 3731608k total 3625568k used 106040k free 110532k buffers ,3731608,3625568,106040,110532,0.971583296, 800%cpu 161%user 10%nice 55%sys 568%idle 0%iow 6%irq 0%sirq 0%host ,800,161,0.20125,55,0.06875
24,115, Mem: 3731608k total 3606428k used 125180k free 110552k buffers ,3731608,3606428,125180,110552,0.96645414, 800%cpu 175%user 0%nice 59%sys 556%idle 0%iow 6%irq 3%sirq 0%host ,800,175,0.21875,59,0.07375
25,120, Mem: 3731608k total 3616168k used 115440k free 110560k buffers ,3731608,3616168,115440,110560,0.969064275, 800%cpu 174%user 0%nice 77%sys 532%idle 0%iow 10%irq 6%sirq 0%host ,800,174,0.2175,77,0.09625
26,125, Mem: 3731608k total 3628464k used 103144k free 110572k buffers ,3731608,3628464,103144,110572,0.972359369, 800%cpu 163%user 0%nice 72%sys 556%idle 3%iow 6%irq 0%sirq 0%host ,800,163,0.20375,72,0.09
27,130, Mem: 3731608k total 3605668k used 125940k free 110572k buffers ,3731608,3605668,125940,110572,0.966250474, 800%cpu 200%user 3%nice 63%sys 525%idle 0%iow 6%irq 3%sirq 0%host ,800,200,0.25,63,0.07875
28,135, Mem: 3731608k total 3610960k used 120648k free 110572k buffers ,3731608,3610960,120648,110572,0.96766863, 800%cpu 172%user 0%nice 66%sys 553%idle 0%iow 9%irq 0%sirq 0%host ,800,172,0.215,66,0.0825
29,140, Mem: 3731608k total 3622996k used 108612k free 110576k buffers ,3731608,3622996,108612,110576,0.970894049, 800%cpu 177%user 3%nice 74%sys 535%idle 0%iow 10%irq 0%sirq 0%host ,800,177,0.22125,74,0.0925
30,145, Mem: 3731608k total 3564760k used 166848k free 110596k buffers ,3731608,3564760,166848,110596,0.955287908, 800%cpu 174%user 0%nice 71%sys 548%idle 0%iow 6%irq 0%sirq 0%host ,800,174,0.2175,71,0.08875
31,150, Mem: 3731608k total 3574804k used 156804k free 110596k buffers ,3731608,3574804,156804,110596,0.957979509, 800%cpu 197%user 3%nice 71%sys 516%idle 0%iow 10%irq 3%sirq 0%host ,800,197,0.24625,71,0.08875
32,155, Mem: 3731608k total 3584560k used 147048k free 110596k buffers ,3731608,3584560,147048,110596,0.960593932, 800%cpu 175%user 0%nice 56%sys 556%idle 0%iow 9%irq 3%sirq 0%host ,800,175,0.21875,56,0.07
33,160, Mem: 3731608k total 3593460k used 138148k free 110596k buffers ,3731608,3593460,138148,110596,0.962978962, 800%cpu 200%user 0%nice 72%sys 519%idle 0%iow 9%irq 0%sirq 0%host ,800,200,0.25,72,0.09
34,165, Mem: 3731608k total 3571900k used 159708k free 110596k buffers ,3731608,3571900,159708,110596,0.957201292, 800%cpu 197%user 0%nice 59%sys 531%idle 0%iow 9%irq 3%sirq 0%host ,800,197,0.24625,59,0.07375
35,170, Mem: 3731608k total 3580080k used 151528k free 110604k buffers ,3731608,3580080,151528,110604,0.959393377, 800%cpu 150%user 0%nice 69%sys 569%idle 0%iow 9%irq 3%sirq 0%host ,800,150,0.1875,69,0.08625
36,175, Mem: 3731608k total 3593016k used 138592k free 110604k buffers ,3731608,3593016,138592,110604,0.962859979, 800%cpu 190%user 0%nice 61%sys 539%idle 0%iow 6%irq 3%sirq 0%host ,800,190,0.2375,61,0.07625
37,180, Mem: 3731608k total 3566084k used 165524k free 110604k buffers ,3731608,3566084,165524,110604,0.955642715, 800%cpu 197%user 0%nice 63%sys 531%idle 0%iow 6%irq 3%sirq 0%host ,800,197,0.24625,63,0.07875
