Num,Time (sec),Total Mem (kB),Used Mem (kB),Free Mem (kB),Buffer Size (kB),Mem Usage (%),CPU Total (%),CPU User (%),CPU User Actual (%),CPU System (%),CPU System Actual (%)
1,0,3731608,3434788,296820,135448,0.920457883,800,316,0.395,63,0.07875
2,5,3731608,3436572,295036,135448,0.920935961,800,263,0.32875,56,0.07
3,10,3731608,3439240,292368,135448,0.921650934,800,334,0.4175,59,0.07375
4,15,3731608,3445700,285908,135456,0.923382092,800,319,0.39875,56,0.07
5,20,3731608,3446792,284816,135460,0.923674727,800,322,0.4025,56,0.07
6,25,3731608,3453676,277932,135460,0.925519508,800,256,0.32,47,0.05875
7,30,3731608,3454908,276700,135464,0.925849661,800,273,0.34125,64,0.08
8,35,3731608,3456184,275424,135464,0.926191604,800,242,0.3025,45,0.05625
9,40,3731608,3439988,291620,135464,0.921851384,800,325,0.40625,63,0.07875
10,45,3731608,3441224,290384,135464,0.922182609,800,234,0.2925,60,0.075
11,50,3731608,3444008,287600,135464,0.922928668,800,279,0.34875,55,0.06875
12,55,3731608,3575036,156572,135468,0.958041681,800,275,0.34375,53,0.06625
13,60,3731608,3457588,274020,135472,0.92656785,800,319,0.39875,59,0.07375
14,65,3731608,3439912,291696,135476,0.921831018,800,306,0.3825,47,0.05875
15,70,3731608,3441356,290252,135476,0.922217982,800,244,0.305,53,0.06625
16,75,3731608,3442656,288952,135476,0.922566357,800,253,0.31625,59,0.07375
17,80,3731608,3447360,284248,135476,0.92382694,800,259,0.32375,59,0.07375
18,85,3731608,3448024,283584,135476,0.924004879,800,270,0.3375,48,0.06
19,90,3731608,3454924,276684,135476,0.925853948,800,327,0.40875,52,0.065
20,95,3731608,3457436,274172,135476,0.926527116,800,253,0.31625,53,0.06625
21,100,3731608,3458720,272888,135476,0.926871204,800,309,0.38625,59,0.07375
22,105,3731608,3441188,290420,135476,0.922172961,800,335,0.41875,61,0.07625
23,110,3731608,3442980,288628,135476,0.922653183,800,294,0.3675,70,0.0875
24,115,3731608,3581756,149852,135488,0.959842513,800,263,0.32875,50,0.0625
25,120,3731608,3441188,290420,135496,0.922172961,800,325,0.40625,66,0.0825
26,125,3731608,3443308,288300,135496,0.922741081,800,287,0.35875,65,0.08125
27,130,3731608,3450580,281028,135496,0.924689839,800,247,0.30875,50,0.0625
28,135,3731608,3451916,279692,135496,0.925047861,800,313,0.39125,63,0.07875
29,141,3731608,3460184,271424,135496,0.927263528,800,259,0.32375,63,0.07875
30,146,3731608,3441804,289804,135500,0.922338038,800,281,0.35125,59,0.07375
31,151,3731608,3442980,288628,135500,0.922653183,800,276,0.345,55,0.06875
32,156,3731608,3449256,282352,135500,0.924335032,800,256,0.32,53,0.06625
33,161,3731608,3450028,281580,135504,0.924541913,800,297,0.37125,55,0.06875
34,166,3731608,3447100,284508,135504,0.923757265,800,288,0.36,59,0.07375
35,171,3731608,3429288,302320,135512,0.918983988,800,118,0.1475,74,0.0925
48,236,3731608,3585300,146308,135528,0.960792238,800,263,0.32875,59,0.07375
49,241,3731608,3441848,289760,135528,0.922349829,800,294,0.3675,69,0.08625
50,246,3731608,3444704,286904,135528,0.923115183,800,294,0.3675,53,0.06625
51,251,3731608,3451832,279776,135532,0.925025351,800,291,0.36375,56,0.07
52,256,3731608,3452048,279560,135536,0.925083235,800,294,0.3675,69,0.08625
53,261,3731608,3457676,273932,135536,0.926591432,800,328,0.41,53,0.06625
54,266,3731608,3459628,271980,135536,0.927114531,800,278,0.3475,53,0.06625
55,271,3731608,3459644,271964,135536,0.927118818,800,287,0.35875,55,0.06875
56,276,3731608,3441408,290200,135536,0.922231917,800,281,0.35125,63,0.07875
57,281,3731608,3442328,289280,135536,0.92247846,800,300,0.375,63,0.07875
58,286,3731608,3451580,280028,135536,0.92495782,800,253,0.31625,63,0.07875
59,291,3731608,3429764,301844,135544,0.919111547,800,225,0.28125,78,0.0975
60,296,3731608,3586700,144908,135548,0.961167411,800,259,0.32375,63,0.07875
61,301,3731608,3448228,283380,135552,0.924059548,800,306,0.3825,56,0.07
62,306,3731608,3448032,283576,135556,0.924007023,800,319,0.39875,59,0.07375
63,311,3731608,3449560,282048,135556,0.924416498,800,335,0.41875,77,0.09625
64,316,3731608,3456244,275364,135556,0.926207683,800,284,0.355,50,0.0625
65,321,3731608,3458328,273280,135556,0.926766156,800,316,0.395,59,0.07375
66,326,3731608,3466736,264872,135556,0.92901934,800,264,0.33,61,0.07625
67,331,3731608,3443612,287996,135556,0.922822547,800,297,0.37125,56,0.07
68,336,3731608,3445724,285884,135556,0.923388523,800,316,0.395,69,0.08625
69,341,3731608,3450676,280932,135556,0.924715565,800,272,0.34,59,0.07375
70,346,3731608,3454040,277568,135556,0.925617053,800,252,0.315,61,0.07625
71,351,3731608,3442696,288912,135560,0.922577077,800,103,0.12875,38,0.0475
72,356,3731608,3497920,233688,135564,0.937376059,800,274,0.3425,59,0.07375
73,361,3731608,3431944,299664,135568,0.919695745,800,278,0.3475,66,0.0825
74,366,3731608,3437912,293696,135568,0.921295056,800,331,0.41375,34,0.0425
75,371,3731608,3440716,290892,135568,0.922046474,800,266,0.3325,59,0.07375
76,377,3731608,3446920,284688,135568,0.923709028,800,284,0.355,44,0.055
77,382,3731608,3463724,267884,135608,0.928212181,800,227,0.28375,70,0.0875
78,387,3731608,3439380,292228,135608,0.921688452,800,291,0.36375,63,0.07875
79,392,3731608,3447180,284428,135608,0.923778703,800,313,0.39125,59,0.07375
80,397,3731608,3447396,284212,135608,0.923836587,800,269,0.33625,59,0.07375
81,403,3731608,3454072,277536,135608,0.925625628,800,281,0.35125,59,0.07375
82,408,3731608,3462576,269032,135620,0.927904539,800,334,0.4175,69,0.08625
83,413,3731608,3668920,62688,135624,0.983200808,800,319,0.39875,50,0.0625
