Time (sec),Previous Frame (ns),Current Frame (ns),Time Elapsed (ms),Dropped Frame Count,,,Num,FPS,Min FPS
2,1.14E+14,1.14E+14,16.774931,0,,,104,60,
2,1.14E+14,1.14E+14,16.774973,0,,,105,59,
2,1.14E+14,1.14E+14,16.775028,0,,,106,60,
2,1.14E+14,1.14E+14,16.774962,0,,,107,60,
2,1.14E+14,1.14E+14,16.774828,0,,,108,59,
2,1.14E+14,1.14E+14,16.774807,0,,,109,60,
2,1.14E+14,1.14E+14,16.775104,0,,,110,59,
2,1.14E+14,1.14E+14,16.77478,0,,,111,60,
2,1.14E+14,1.14E+14,16.774752,0,,,112,60,
2,1.14E+14,1.14E+14,16.774867,0,,,113,59,
2,1.14E+14,1.14E+14,16.774746,0,,,114,60,
2,1.14E+14,1.14E+14,16.774338,0,,,115,59,
2,1.14E+14,1.14E+14,16.774528,0,,,116,60,
2,1.14E+14,1.14E+14,16.774544,0,,,117,60,
2,1.14E+14,1.14E+14,16.77447,0,,,118,59,
2,1.14E+14,1.14E+14,16.774931,0,,,119,60,
2,1.14E+14,1.14E+14,16.774618,0,,,120,59,
2,1.14E+14,1.14E+14,16.77454,0,,,121,60,
2,1.14E+14,1.14E+14,16.774493,0,,,122,60,
2,1.14E+14,1.14E+14,16.774558,0,,,123,59,
2,1.14E+14,1.14E+14,16.774515,0,,,124,60,
2,1.14E+14,1.14E+14,16.774515,0,,,125,59,
2,1.14E+14,1.14E+14,16.772288,0,,,126,60,
2,1.14E+14,1.14E+14,16.773806,0,,,127,60,
2,1.14E+14,1.14E+14,16.774368,0,,,128,59,
2,1.14E+14,1.14E+14,16.774394,0,,,129,60,
2,1.14E+14,1.14E+14,16.773299,0,,,130,59,
2,1.14E+14,1.14E+14,16.77321,0,,,131,60,
2,1.14E+14,1.14E+14,16.773991,0,,,132,60,
2,1.14E+14,1.14E+14,16.774127,0,,,133,59,
2,1.14E+14,1.14E+14,16.773089,0,,,134,60,
2,1.14E+14,1.14E+14,16.773574,0,,,135,59,
2,1.14E+14,1.14E+14,16.771197,0,,,136,60,
2,1.14E+14,1.14E+14,16.773954,0,,,137,60,
2,1.14E+14,1.14E+14,16.773918,0,,,138,59,
2,1.14E+14,1.14E+14,16.774119,0,,,139,60,
2,1.14E+14,1.14E+14,16.773961,0,,,140,59,
2,1.14E+14,1.14E+14,16.774921,0,,,141,60,
2,1.14E+14,1.14E+14,16.774689,0,,,142,60,
2,1.14E+14,1.14E+14,16.775034,0,,,143,59,
2,1.14E+14,1.14E+14,16.774601,0,,,144,60,
2,1.14E+14,1.14E+14,16.774333,0,,,145,59,
2,1.14E+14,1.14E+14,16.774828,0,,,146,60,
2,1.14E+14,1.14E+14,16.77434,0,,,147,60,
2,1.14E+14,1.14E+14,16.774345,0,,,148,59,
2,1.14E+14,1.14E+14,16.773998,0,,,149,60,
2,1.14E+14,1.14E+14,16.774825,0,,,150,60,
2,1.14E+14,1.14E+14,16.774872,0,,,151,59,
2,1.14E+14,1.14E+14,16.774871,0,,,152,60,
2,1.14E+14,1.14E+14,16.774245,0,,,153,59,
2,1.14E+14,1.14E+14,16.773794,0,,,154,60,
2,1.14E+14,1.14E+14,16.773974,0,,,155,60,
2,1.14E+14,1.14E+14,16.774212,0,,,156,59,
2,1.14E+14,1.14E+14,16.774353,0,,,157,60,
2,1.14E+14,1.14E+14,16.774746,0,,,158,59,
2,1.14E+14,1.14E+14,16.774484,0,,,159,60,
3,1.14E+14,1.14E+14,16.773903,0,,,160,60,
3,1.14E+14,1.14E+14,16.774321,0,,,161,59,
3,1.14E+14,1.14E+14,16.774455,0,,,162,60,
3,1.14E+14,1.14E+14,16.774988,0,,,163,59,
3,1.14E+14,1.14E+14,16.77469,0,,,164,60,
3,1.14E+14,1.14E+14,16.77414,0,,,165,60,
3,1.14E+14,1.14E+14,16.772111,0,,,166,59,
3,1.14E+14,1.14E+14,16.770296,0,,,167,60,
3,1.14E+14,1.14E+14,16.772244,0,,,168,59,
3,1.14E+14,1.14E+14,16.772054,0,,,169,60,
3,1.14E+14,1.14E+14,16.77289,0,,,170,60,
3,1.14E+14,1.14E+14,16.768445,0,,,171,59,
3,1.14E+14,1.14E+14,16.772212,0,,,172,60,
3,1.14E+14,1.14E+14,16.772082,0,,,173,59,
3,1.14E+14,1.14E+14,16.774493,0,,,174,60,
3,1.14E+14,1.14E+14,16.772664,0,,,175,60,
3,1.14E+14,1.14E+14,16.774761,0,,,176,59,
3,1.14E+14,1.14E+14,16.771177,0,,,177,60,
3,1.14E+14,1.14E+14,16.770011,0,,,178,59,
3,1.14E+14,1.14E+14,16.772094,0,,,179,60,
3,1.14E+14,1.14E+14,16.77493,0,,,180,60,
3,1.14E+14,1.14E+14,16.774994,0,,,181,59,
3,1.14E+14,1.14E+14,16.775029,0,,,182,60,
3,1.14E+14,1.14E+14,16.774931,0,,,183,59,
3,1.14E+14,1.14E+14,16.775069,0,,,184,60,
3,1.14E+14,1.14E+14,16.773672,0,,,185,60,
3,1.14E+14,1.14E+14,16.773211,0,,,186,59,
3,1.14E+14,1.14E+14,16.773362,0,,,187,60,
3,1.14E+14,1.14E+14,16.775539,0,,,188,59,
3,1.14E+14,1.14E+14,16.776263,0,,,189,60,
3,1.14E+14,1.14E+14,16.775284,0,,,190,60,
3,1.14E+14,1.14E+14,16.775858,0,,,191,59,
3,1.14E+14,1.14E+14,16.775374,0,,,192,60,
3,1.14E+14,1.14E+14,16.775917,0,,,193,59,
3,1.14E+14,1.14E+14,16.775866,0,,,194,60,
3,1.14E+14,1.14E+14,16.775487,0,,,195,60,
3,1.14E+14,1.14E+14,16.775077,0,,,196,59,
3,1.14E+14,1.14E+14,16.775537,0,,,197,60,
3,1.14E+14,1.14E+14,16.77525,0,,,198,59,
3,1.14E+14,1.14E+14,16.774965,0,,,199,60,
3,1.14E+14,1.14E+14,16.774408,0,,,200,60,
3,1.14E+14,1.14E+14,16.77498,0,,,201,59,
3,1.14E+14,1.14E+14,16.77581,0,,,202,60,
3,1.14E+14,1.14E+14,16.774948,0,,,203,59,
3,1.14E+14,1.14E+14,16.775243,0,,,204,60,
