Time (sec),Preproc Start Time (ns),Preproc End Time (ns),Preproc Time Elapsed (ms),Class Start Time (ns),Class End Time (ns),Class Time Elapsed (ms),Result,Confidence
10,115620888787516,115620919399863,30.612347,115620919531530,115621057680085,138.148555,prayer rug,0.5616869
11,115621090717901,115621115673997,24.956096,115621115783997,115621270831357,155.04736,prayer rug,0.6053373
11,115621289870421,115621302786724,12.916303,115621302876828,115621444306530,141.429702,prayer rug,0.60055506
11,115621457926636,115621470442470,12.515834,115621470530543,115621610427901,139.897358,prayer rug,0.59301627
11,115621625675611,115621662294833,36.619222,115621662363114,115621800693909,138.330795,prayer rug,0.5771328
11,115621825273964,115621841812507,16.538543,115621841905841,115621981504969,139.599128,prayer rug,0.67604893
12,115621993677054,115622034373672,40.696618,115622034599453,115622192602594,158.003141,prayer rug,0.60525423
12,115622425933503,115622451346057,25.412554,115622451436735,115622595030863,143.594128,nematode,0.109661214
12,115622629277429,115622659927224,30.649795,115622660045714,115622811152916,151.107202,nematode,0.15015408
12,115622828994793,115622860922661,31.927868,115622861047036,115623023243042,162.196006,nematode,0.11392425
13,115623027329500,115623065071014,37.741514,115623065168150,115623204667851,139.499701,nematode,0.1488378
13,115623228931031,115623267947858,39.016827,115623268086660,115623429255894,161.169234,nematode,0.12310539
13,115623496663922,115623520319810,23.655888,115623520415487,115623656432532,136.017045,nematode,0.12643841
13,115623697106442,115623721697069,24.590627,115623721795976,115623859403125,137.607149,nematode,0.14016004
13,115623895593181,115623925563496,29.970315,115623925638288,115624087037939,161.399651,nematode,0.10081347
14,115624096119398,115624127634558,31.51516,115624127818777,115624279967385,152.148608,nematode,0.14444378
14,115624296849887,115624310070826,13.220939,115624310147649,115624450863288,140.715639,nematode,0.15124364
14,115624497745428,115624515086315,17.340887,115624515193242,115624652950443,137.757201,nematode,0.15526232
14,115624698255500,115624723273992,25.018492,115624723375711,115624862166141,138.79043,nematode,0.13065031
14,115624898847083,115624925374221,26.527138,115624925471304,115625079858976,154.387672,nematode,0.18357208
15,115625098897050,115625111493354,12.596304,115625111583354,115625250876701,139.293347,nematode,0.21750411
15,115625300279779,115625323819364,23.539585,115625323924729,115625466276983,142.352254,nematode,0.16825834
15,115625499209226,115625512301675,13.092449,115625512392873,115625655556429,143.163556,nematode,0.18510772
15,115625701633100,115625741401646,39.768546,115625741483312,115625879112753,137.629441,nematode,0.21742299
15,115625899623380,115625912098642,12.475262,115625912186871,115626051042510,138.855639,nematode,0.22396153
