Num,Time (sec),Total Mem (kB),Used Mem (kB),Free Mem (kB),Buffer Size (kB),Mem Usage (%),CPU Total (%),CPU User (%),CPU User Actual (%),CPU System (%),CPU System Actual (%)
69,340,3731608,3478640,252968,143544,0.932209385,800,291,0.36375,50,0.0625
70,345,3731608,3479056,252552,143544,0.932320865,800,297,0.37125,58,0.0725
71,350,3731608,3481732,249876,143544,0.933037983,800,331,0.41375,56,0.07
72,355,3731608,3482736,248872,143544,0.933307035,800,300,0.375,56,0.07
73,360,3731608,3477944,253664,143544,0.932022871,800,347,0.43375,50,0.0625
74,365,3731608,3479732,251876,143548,0.932502021,800,261,0.32625,55,0.06875
75,370,3731608,3481956,249652,143548,0.93309801,800,313,0.39125,59,0.07375
76,375,3731608,3483788,247820,143548,0.933588951,800,310,0.3875,55,0.06875
77,380,3731608,3480316,251292,143548,0.932658521,800,279,0.34875,61,0.07625
78,385,3731608,3481236,250372,143548,0.932905064,800,288,0.36,50,0.0625
79,391,3731608,3481940,249668,143548,0.933093723,800,278,0.3475,63,0.07875
80,396,3731608,3483520,248088,143548,0.933517133,800,266,0.3325,53,0.06625
81,401,3731608,3484040,247568,143548,0.933656483,800,300,0.375,66,0.0825
82,406,3731608,3483196,248412,143580,0.933430307,800,345,0.43125,77,0.09625
83,411,3731608,3483540,248068,143580,0.933522492,800,319,0.39875,59,0.07375
84,416,3731608,3484488,247120,143580,0.933776538,800,269,0.33625,53,0.06625
85,421,3731608,3484392,247216,143580,0.933750812,800,281,0.35125,63,0.07875
86,426,3731608,3485328,246280,143580,0.934001642,800,297,0.37125,63,0.07875
87,431,3731608,3484924,246684,143580,0.933893378,800,306,0.3825,68,0.085
88,436,3731608,3481200,250408,143580,0.932895417,800,341,0.42625,63,0.07875
89,441,3731608,3483356,248252,143580,0.933473184,800,309,0.38625,56,0.07
90,446,3731608,3483972,247636,143580,0.93363826,800,294,0.3675,53,0.06625
91,451,3731608,3479772,251836,143580,0.93251274,800,272,0.34,72,0.09
92,456,3731608,3479832,251776,143584,0.932528819,800,297,0.37125,66,0.0825
93,461,3731608,3483276,248332,143584,0.933451745,800,284,0.355,61,0.07625
94,466,3731608,3479800,251808,143592,0.932520243,800,281,0.35125,58,0.0725
95,471,3731608,3483148,248460,143592,0.933417444,800,294,0.3675,58,0.0725
96,476,3731608,3477972,253636,143592,0.932030374,800,256,0.32,44,0.055
