Record, Frame Rate,,,,,,,,Min FPS,Max FPS,Avg FPS
1,51.38437,,,,,,,,51.38437,59.67806,59.60700418
2,59.61623,,,,,,,,,,
3,59.61778,,,,,,,,,,
4,59.61838,,,,,,,,,,
5,59.61848,,,,,,,,,,
6,59.61813,,,,,,,,,,
7,59.61765,,,,,,,,,,
8,59.61719,,,,,,,,,,
9,59.67138,,,,,,,,,,
10,59.62414,,,,,,,,,,
11,59.62324,,,,,,,,,,
12,59.6235,,,,,,,,,,
13,59.62329,,,,,,,,,,
14,59.62457,,,,,,,,,,
15,59.62349,,,,,,,,,,
16,59.62334,,,,,,,,,,
17,59.62225,,,,,,,,,,
18,59.62344,,,,,,,,,,
19,59.6235,,,,,,,,,,
20,59.62403,,,,,,,,,,
21,59.62203,,,,,,,,,,
22,59.62324,,,,,,,,,,
23,59.62359,,,,,,,,,,
24,59.62345,,,,,,,,,,
25,59.62334,,,,,,,,,,
26,59.62315,,,,,,,,,,
27,59.6236,,,,,,,,,,
28,59.62353,,,,,,,,,,
29,59.6242,,,,,,,,,,
30,59.62365,,,,,,,,,,
31,59.62308,,,,,,,,,,
32,59.62408,,,,,,,,,,
33,59.62379,,,,,,,,,,
34,59.62312,,,,,,,,,,
35,59.62312,,,,,,,,,,
36,59.62445,,,,,,,,,,
37,59.62344,,,,,,,,,,
38,59.6232,,,,,,,,,,
39,59.62226,,,,,,,,,,
40,59.62226,,,,,,,,,,
41,59.62392,,,,,,,,,,
42,59.62352,,,,,,,,,,
43,59.6231,,,,,,,,,,
44,59.62331,,,,,,,,,,
45,59.62339,,,,,,,,,,
46,59.62274,,,,,,,,,,
47,59.62321,,,,,,,,,,
48,59.62335,,,,,,,,,,
49,59.62364,,,,,,,,,,
50,59.62388,,,,,,,,,,
51,59.62399,,,,,,,,,,
52,59.62402,,,,,,,,,,
53,59.62242,,,,,,,,,,
54,59.62392,,,,,,,,,,
55,59.62363,,,,,,,,,,
56,59.62361,,,,,,,,,,
57,59.62359,,,,,,,,,,
58,59.6218,,,,,,,,,,
