Timestamp,Attempt No,Time to Preprocess (millis),Time to Classify (millis),,,,
,5,11,123,,,,134
,11,23,131,,,,154
,16,29,155,,,,184
,22,38,139,,,,177
,27,17,137,,,,154
,32,19,139,,,,158
,38,33,144,,,,177
,43,16,141,,,,157
,48,31,139,,,,170
,54,20,142,,,,162
,59,22,141,,,,163
,64,36,141,,,,177
,69,13,142,,,,155
,75,23,139,,,,162
,80,18,139,,,,157
,85,28,161,,,,189
,91,23,158,,,,181
,96,25,151,,,,176
,101,39,140,,,,179
,106,20,148,,,,168
,111,13,176,,,,189
,116,29,159,,,,188
,122,15,142,,,,157
,127,13,140,,,,153
,133,16,167,,,,183
,138,22,143,,,,165
,142,35,138,,,,173
,148,13,160,,,,173
,154,14,156,,,,170
,159,20,137,,,,157
,164,14,140,,,,154
,170,30,154,,,,184
,175,20,146,,,,166
,180,32,164,,,,196
,185,29,161,,,,190
,191,31,141,,,,172
,196,14,143,,,,157
,202,35,156,,,,191
,207,30,140,,,,170
,213,31,149,,,,180
,218,40,142,,,,182
,223,29,153,,,,182
,229,24,147,,,,171
,233,35,139,,,,174
,238,17,137,,,,154
,243,17,161,,,,178
,248,35,181,,,,216
,253,40,140,,,,180
,258,16,133,,,,149
,264,13,135,,,,148
,269,13,132,,,,145
,275,42,137,,,,179
,280,16,144,,,,160
,285,16,135,,,,151
,290,25,148,,,,173
,295,24,138,,,,162
,300,20,172,,,,192
,306,16,144,,,,160
,311,28,165,,,,193
,317,38,145,,,,183
,322,15,136,,,,151
,328,14,139,,,,153
,333,21,144,,,,165
,339,34,140,,,,174
,344,30,148,,,,178
,349,33,151,,,,184
,354,14,136,,,,150
,359,13,135,,,,148
,365,15,138,,,,153
,370,16,137,,,,153
,375,30,138,,,,168
,381,15,140,,,,155
,386,15,137,,,,152
,391,39,138,,,,177
,396,19,139,,,,158
,401,37,161,,,,198
,407,33,139,,,,172
,412,35,150,,,,185
,418,20,137,,,,157
,423,23,142,,,,165
,429,13,137,,,,150
,434,32,146,,,,178
,439,33,133,,,,166
,445,26,166,,,,192
,451,14,136,,,,150
,456,29,143,,,,172
,462,19,134,,,,153
,467,37,138,,,,175
,472,13,168,,,,181
,477,23,139,,,,162
,483,30,144,,,,174
,488,14,139,,,,153
,494,14,136,,,,150
,500,14,140,,,,154
,505,14,140,,,,154
,511,24,143,,,,167
,516,14,158,,,,172
,521,15,141,,,,156
,526,22,150,,,,172
,532,20,167,,,,187
,537,32,149,,,,181
,542,28,151,,,,179
,547,23,146,,,,169
,552,24,148,,,,172
,556,21,149,,,,170
,562,19,149,,,,168
,567,15,145,,,,160
,572,24,149,,,,173
,577,23,180,,,,203
,581,23,162,,,,185
,586,25,146,,,,171
,591,26,169,,,,195
,596,36,146,,,,182
,601,14,149,,,,163
,606,33,159,,,,192
,611,20,147,,,,167
,616,23,156,,,,179
,620,25,169,,,,194
,625,25,152,,,,177
,630,15,147,,,,162
,635,15,155,,,,170
,640,21,152,,,,173
,645,15,142,,,,157
