Timestamp,Attempt No,Result,Time to Preprocess (millis),Time to Classify (millis)
20181101_012307,5,dandelion,17,48
20181101_012308,16,dandelion,17,46
20181101_012309,24,dandelion,40,65
20181101_012310,31,dandelion,31,62
20181101_012311,39,dandelion,21,55
20181101_012312,46,dandelion,46,57
20181101_012313,54,dandelion,35,60
20181101_012314,61,dandelion,43,61
20181101_012315,69,dandelion,41,63
20181101_012316,76,dandelion,41,58
20181101_012317,84,dandelion,29,61
20181101_012318,91,dandelion,40,59
20181101_012319,98,dandelion,21,52
20181101_012320,106,dandelion,22,53
20181101_012321,113,dandelion,39,59
20181101_012322,121,dandelion,26,58
20181101_012323,128,dandelion,35,59
20181101_012324,136,dandelion,19,56
20181101_012325,143,dandelion,30,58
20181101_012326,151,dandelion,33,57
20181101_012327,159,dandelion,21,55
20181101_012328,166,dandelion,31,60
20181101_012329,173,dandelion,40,64
20181101_012330,181,dandelion,21,57
20181101_012331,189,dandelion,20,55
20181101_012332,196,dandelion,49,60
20181101_012333,203,dandelion,37,54
20181101_012334,211,dandelion,20,59
20181101_012335,218,dandelion,28,57
20181101_012336,226,dandelion,21,50
20181101_012337,233,dandelion,47,56
20181101_012338,241,dandelion,29,82
20181101_012339,248,dandelion,41,61
20181101_012340,256,dandelion,22,58
20181101_012341,263,dandelion,31,57
20181101_012342,271,dandelion,37,65
20181101_012343,278,dandelion,35,55
20181101_012344,286,dandelion,49,61
20181101_012345,293,dandelion,24,53
20181101_012346,301,dandelion,41,59
20181101_012347,308,dandelion,28,52
20181101_012348,316,dandelion,22,54
20181101_012349,323,dandelion,53,55
20181101_012350,330,dandelion,23,54
20181101_012351,338,dandelion,37,55
20181101_012352,346,dandelion,43,58
20181101_012353,353,dandelion,37,66
20181101_012354,360,dandelion,28,61
20181101_012355,368,dandelion,33,58
20181101_012356,376,dandelion,21,62
20181101_012357,383,dandelion,41,56
20181101_012358,391,dandelion,22,55
20181101_012359,398,dandelion,53,56
20181101_012400,405,dandelion,24,61
20181101_012401,413,dandelion,35,59
20181101_012402,420,dandelion,20,53
20181101_012403,428,dandelion,34,55
20181101_012404,435,dandelion,40,61
20181101_012405,443,dandelion,28,55
20181101_012406,450,dandelion,25,54
20181101_012407,458,dandelion,36,55
20181101_012408,465,dandelion,39,59
20181101_012409,473,dandelion,20,63
20181101_012410,480,dandelion,33,65
20181101_012411,488,dandelion,34,58
20181101_012412,495,dandelion,27,62
20181101_012413,503,dandelion,35,57
20181101_012414,510,dandelion,29,53
20181101_012415,518,dandelion,34,61
20181101_012416,525,dandelion,22,64
20181101_012417,533,dandelion,42,61
20181101_012418,540,dandelion,39,57
20181101_012419,548,dandelion,40,59
20181101_012420,555,dandelion,27,55
20181101_012421,563,dandelion,36,57
20181101_012422,570,dandelion,20,62
20181101_012423,578,dandelion,34,60
20181101_012424,585,dandelion,28,51
20181101_012425,592,dandelion,21,57
20181101_012426,600,dandelion,41,61
20181101_012427,608,dandelion,30,57
20181101_012428,615,dandelion,22,60
20181101_012429,622,dandelion,39,61
20181101_012430,630,dandelion,31,58
20181101_012431,638,dandelion,21,62
20181101_012432,645,dandelion,37,59
20181101_012433,652,dandelion,26,53
20181101_012434,660,dandelion,40,60
20181101_012435,667,dandelion,32,56
20181101_012436,675,dandelion,38,67
20181101_012437,682,dandelion,35,60
20181101_012438,690,dandelion,22,57
20181101_012439,697,dandelion,32,55
20181101_012440,705,dandelion,24,55
20181101_012441,712,dandelion,38,56
20181101_012442,720,dandelion,33,58
20181101_012443,727,dandelion,28,60
20181101_012444,735,dandelion,48,59
20181101_012445,742,dandelion,20,54
20181101_012446,750,dandelion,29,54
20181101_012447,757,dandelion,27,56
20181101_012448,765,dandelion,37,60
20181101_012449,772,dandelion,38,63
20181101_012450,780,dandelion,38,57
20181101_012451,787,dandelion,39,57
20181101_012452,795,dandelion,25,56
20181101_012453,802,dandelion,32,58
20181101_012454,810,dandelion,31,53
20181101_012455,817,dandelion,38,56
20181101_012456,825,dandelion,32,58
20181101_012457,832,dandelion,40,61
20181101_012458,839,dandelion,27,58
20181101_012459,847,dandelion,39,58
20181101_012500,854,dandelion,33,52
20181101_012501,862,dandelion,33,58
20181101_012502,870,dandelion,30,56
20181101_012503,877,dandelion,20,69
20181101_012504,884,dandelion,41,60
20181101_012505,892,dandelion,26,55
20181101_012506,899,dandelion,22,56
20181101_012507,907,dandelion,39,63
20181101_012508,914,dandelion,25,57
20181101_012509,922,dandelion,41,68
20181101_012510,929,dandelion,32,52
20181101_012511,937,dandelion,32,54
20181101_012512,944,dandelion,42,59
20181101_012513,952,dandelion,29,61
20181101_012514,959,dandelion,35,56
20181101_012515,967,dandelion,40,64
20181101_012516,974,dandelion,38,62
20181101_012517,982,dandelion,19,56
20181101_012518,989,dandelion,39,64
20181101_012519,997,dandelion,30,65
20181101_012520,1004,dandelion,27,53
20181101_012521,1012,dandelion,28,61
20181101_012522,1019,dandelion,38,64
20181101_012523,1027,dandelion,29,62
20181101_012524,1034,dandelion,31,58
20181101_012525,1042,dandelion,31,53
20181101_012526,1049,dandelion,38,58
20181101_012527,1057,dandelion,30,65
20181101_012528,1064,dandelion,24,57
20181101_012529,1071,dandelion,31,59
20181101_012530,1079,dandelion,42,58
20181101_012531,1087,dandelion,27,64
20181101_012532,1094,dandelion,33,62
20181101_012533,1101,dandelion,39,58
20181101_012534,1109,dandelion,21,69
20181101_012535,1117,dandelion,29,54
20181101_012536,1124,dandelion,21,54
20181101_012537,1131,dandelion,35,62
20181101_012538,1139,dandelion,40,63
20181101_012539,1146,dandelion,26,59
20181101_012540,1154,dandelion,33,54
20181101_012541,1161,dandelion,27,59
20181101_012542,1169,dandelion,32,58
20181101_012543,1176,dandelion,36,61
20181101_012544,1184,dandelion,31,56
20181101_012545,1191,dandelion,30,82
20181101_012546,1199,dandelion,20,59
20181101_012547,1206,dandelion,26,59
20181101_012548,1214,dandelion,42,62
20181101_012549,1221,dandelion,40,62
20181101_012550,1229,dandelion,34,56
20181101_012551,1236,dandelion,36,60
20181101_012552,1244,dandelion,35,67
20181101_012553,1251,dandelion,34,56
20181101_012554,1259,dandelion,36,57
20181101_012555,1266,dandelion,37,63
20181101_012556,1273,dandelion,24,55
20181101_012557,1281,dandelion,43,65
20181101_012558,1289,dandelion,42,54
20181101_012559,1296,dandelion,31,55
20181101_012600,1304,dandelion,39,51
20181101_012601,1311,dandelion,34,52
20181101_012602,1319,dandelion,20,67
20181101_012603,1326,dandelion,34,63
20181101_012604,1334,dandelion,22,60
20181101_012605,1341,dandelion,31,58
20181101_012606,1348,dandelion,24,55
20181101_012607,1356,dandelion,32,53
20181101_012608,1363,dandelion,19,60
20181101_012609,1371,dandelion,32,60
20181101_012610,1378,dandelion,32,60
20181101_012611,1386,dandelion,36,60
20181101_012612,1393,dandelion,30,56
20181101_012613,1401,dandelion,20,73
20181101_012614,1408,dandelion,45,65
20181101_012615,1416,dandelion,20,52
20181101_012616,1423,dandelion,40,57
20181101_012617,1431,dandelion,46,53
20181101_012618,1438,dandelion,23,56
20181101_012619,1446,dandelion,42,61
20181101_012620,1453,dandelion,44,59
20181101_012621,1461,dandelion,37,58
20181101_012622,1468,dandelion,41,59
20181101_012623,1476,dandelion,33,68
20181101_012624,1483,dandelion,39,55
20181101_012625,1491,dandelion,33,58
20181101_012626,1498,dandelion,21,58
20181101_012627,1506,dandelion,22,55
20181101_012628,1513,dandelion,23,61
20181101_012629,1520,dandelion,27,53
20181101_012630,1528,dandelion,21,61
20181101_012631,1536,dandelion,29,52
20181101_012632,1543,dandelion,23,54
20181101_012633,1550,dandelion,37,51
20181101_012634,1558,dandelion,32,62
20181101_012635,1566,dandelion,22,61
20181101_012636,1573,dandelion,20,61
20181101_012637,1580,dandelion,36,60
20181101_012638,1588,dandelion,31,57
20181101_012639,1595,dandelion,32,57
20181101_012640,1603,dandelion,38,59
20181101_012641,1610,dandelion,26,58
20181101_012642,1618,dandelion,33,58
20181101_012643,1625,dandelion,42,59
20181101_012644,1633,dandelion,19,58
20181101_012645,1640,dandelion,47,59
20181101_012646,1648,dandelion,26,57
20181101_012647,1655,dandelion,23,61
20181101_012648,1663,dandelion,40,60
20181101_012649,1670,dandelion,27,62
20181101_012650,1678,dandelion,25,62
20181101_012651,1685,dandelion,24,64
20181101_012652,1693,dandelion,45,67
20181101_012653,1700,dandelion,37,59
20181101_012654,1708,dandelion,29,62
20181101_012655,1715,dandelion,25,55
20181101_012656,1723,dandelion,22,61
20181101_012657,1730,dandelion,32,56
20181101_012658,1737,dandelion,29,57
20181101_012659,1745,dandelion,41,60
20181101_012700,1753,dandelion,30,56
20181101_012701,1760,dandelion,34,54
20181101_012702,1768,dandelion,35,56
20181101_012703,1775,dandelion,41,58
20181101_012704,1783,dandelion,22,52
20181101_012705,1790,dandelion,32,54
