Timestamp,Attempt No,Result,Time to Preprocess (millis),Time to Classify (millis)
20181101_012818,2,roses,20,59
20181101_012819,10,dandelion,17,62
20181101_012820,19,dandelion,22,62
20181101_012821,26,dandelion,45,58
20181101_012822,33,dandelion,49,60
20181101_012823,41,dandelion,29,56
20181101_012824,48,dandelion,26,62
20181101_012825,56,dandelion,30,58
20181101_012826,64,dandelion,21,60
20181101_012827,71,dandelion,20,58
20181101_012828,79,dandelion,35,63
20181101_012829,86,dandelion,21,60
20181101_012830,94,dandelion,25,60
20181101_012831,101,dandelion,48,59
20181101_012832,108,dandelion,36,55
20181101_012833,116,dandelion,41,62
20181101_012834,123,dandelion,40,61
20181101_012835,131,dandelion,31,59
20181101_012836,138,dandelion,35,54
20181101_012837,146,dandelion,25,61
20181101_012838,154,dandelion,25,54
20181101_012839,161,dandelion,28,56
20181101_012840,168,dandelion,54,54
20181101_012841,175,dandelion,27,57
20181101_012842,183,dandelion,40,59
20181101_012843,190,dandelion,42,58
20181101_012844,198,dandelion,43,66
20181101_012845,205,dandelion,43,62
20181101_012846,213,dandelion,21,60
20181101_012847,220,dandelion,29,55
20181101_012848,228,dandelion,21,61
20181101_012849,235,dandelion,24,59
20181101_012850,243,dandelion,21,62
20181101_012851,250,dandelion,33,67
20181101_012852,258,dandelion,30,61
20181101_012853,265,dandelion,31,66
20181101_012854,273,dandelion,52,58
20181101_012855,280,dandelion,38,56
20181101_012856,288,dandelion,28,57
20181101_012857,295,dandelion,36,58
20181101_012858,303,dandelion,21,58
20181101_012859,310,dandelion,37,56
20181101_012900,318,dandelion,32,55
20181101_012901,325,dandelion,31,54
20181101_012902,333,dandelion,32,59
20181101_012903,340,dandelion,38,52
20181101_012904,347,dandelion,22,52
20181101_012905,355,dandelion,45,60
20181101_012906,362,dandelion,35,60
20181101_012907,370,dandelion,27,64
20181101_012908,377,dandelion,33,55
20181101_012909,385,dandelion,21,62
20181101_012910,392,dandelion,27,53
20181101_012911,400,dandelion,24,62
20181101_012912,407,dandelion,52,60
20181101_012913,415,dandelion,35,58
20181101_012914,422,dandelion,38,64
20181101_012915,430,dandelion,36,57
20181101_012916,437,dandelion,42,59
20181101_012917,445,dandelion,27,54
20181101_012918,452,dandelion,33,60
20181101_012919,460,dandelion,25,61
20181101_012920,467,dandelion,38,58
20181101_012921,475,dandelion,41,62
20181101_012922,482,dandelion,27,59
20181101_012923,490,dandelion,37,56
20181101_012924,497,dandelion,30,55
20181101_012925,505,dandelion,37,54
20181101_012926,512,dandelion,29,55
20181101_012927,520,dandelion,30,60
20181101_012928,527,dandelion,28,60
20181101_012929,535,dandelion,34,58
20181101_012930,542,dandelion,26,60
20181101_012931,550,dandelion,35,57
20181101_012932,557,dandelion,32,56
20181101_012933,565,dandelion,36,57
20181101_012934,572,dandelion,22,51
20181101_012935,580,dandelion,31,55
20181101_012936,587,dandelion,35,58
20181101_012937,595,dandelion,26,57
20181101_012938,602,dandelion,33,66
20181101_012939,609,dandelion,29,57
20181101_012940,617,dandelion,32,57
20181101_012941,624,dandelion,26,62
20181101_012942,632,dandelion,39,64
20181101_012943,639,dandelion,24,58
20181101_012944,647,dandelion,26,59
20181101_012945,654,dandelion,27,57
20181101_012946,662,dandelion,35,56
20181101_012947,669,dandelion,21,58
20181101_012948,677,dandelion,32,59
20181101_012949,684,dandelion,26,57
20181101_012950,692,dandelion,27,66
20181101_012951,699,dandelion,26,58
20181101_012952,707,dandelion,39,54
20181101_012953,714,dandelion,21,58
20181101_012954,721,dandelion,28,55
20181101_012955,729,dandelion,35,59
20181101_012956,736,dandelion,39,62
20181101_012957,744,dandelion,28,63
20181101_012958,751,dandelion,27,56
20181101_012959,758,dandelion,21,62
20181101_013000,766,dandelion,27,59
20181101_013001,774,dandelion,26,57
20181101_013002,781,dandelion,42,52
