Timestamp,Attempt No,Result,Time to Preprocess (millis),Time to Classify (millis)
20181101_013329,5,dandelion,22,63
20181101_013330,13,dandelion,22,60
20181101_013331,20,dandelion,32,60
20181101_013332,28,dandelion,45,60
20181101_013333,35,dandelion,51,61
20181101_013334,43,dandelion,39,65
20181101_013335,50,dandelion,29,59
20181101_013336,58,dandelion,39,70
20181101_013337,65,dandelion,27,58
20181101_013338,73,dandelion,29,63
20181101_013339,80,dandelion,34,63
20181101_013340,88,dandelion,38,65
20181101_013341,95,dandelion,27,71
20181101_013342,102,dandelion,21,55
20181101_013343,110,dandelion,48,60
20181101_013344,117,dandelion,41,63
20181101_013345,125,dandelion,25,59
20181101_013346,133,dandelion,34,55
20181101_013347,140,dandelion,29,60
20181101_013348,147,dandelion,23,57
20181101_013349,155,dandelion,52,58
20181101_013350,162,dandelion,25,66
20181101_013351,170,dandelion,50,65
20181101_013352,177,dandelion,29,60
20181101_013353,185,dandelion,37,70
20181101_013354,192,dandelion,32,68
20181101_013355,200,dandelion,31,67
20181101_013356,207,dandelion,24,64
20181101_013357,215,dandelion,22,62
20181101_013358,222,dandelion,22,66
20181101_013359,230,dandelion,33,63
20181101_013400,237,dandelion,57,58
20181101_013401,245,dandelion,22,68
20181101_013402,252,dandelion,25,65
20181101_013403,260,dandelion,22,65
20181101_013404,267,dandelion,53,61
20181101_013405,275,dandelion,46,62
20181101_013406,282,dandelion,24,60
20181101_013407,290,dandelion,54,59
20181101_013408,297,dandelion,47,64
20181101_013409,305,dandelion,23,66
20181101_013410,312,dandelion,21,56
20181101_013411,320,dandelion,36,68
20181101_013412,327,dandelion,23,65
20181101_013413,334,dandelion,31,61
20181101_013414,341,dandelion,25,62
20181101_013415,349,dandelion,21,67
20181101_013416,356,dandelion,30,57
20181101_013417,364,dandelion,48,66
20181101_013418,371,dandelion,32,62
20181101_013419,379,dandelion,23,59
20181101_013420,386,dandelion,23,66
20181101_013421,394,dandelion,22,58
20181101_013422,401,dandelion,41,62
20181101_013423,409,dandelion,25,68
20181101_013424,416,dandelion,37,63
20181101_013425,424,dandelion,23,64
20181101_013426,431,dandelion,39,60
20181101_013427,439,dandelion,38,60
20181101_013428,446,dandelion,27,58
20181101_013429,454,dandelion,22,64
20181101_013430,461,dandelion,38,58
20181101_013431,469,dandelion,24,63
20181101_013432,476,dandelion,35,64
20181101_013433,484,dandelion,35,66
20181101_013434,491,dandelion,29,70
20181101_013435,499,dandelion,32,65
20181101_013436,506,dandelion,27,66
20181101_013437,514,dandelion,21,57
20181101_013438,521,dandelion,40,63
20181101_013439,529,dandelion,32,60
20181101_013440,536,dandelion,41,62
20181101_013441,544,dandelion,28,58
20181101_013442,551,dandelion,35,57
20181101_013443,559,dandelion,29,57
20181101_013444,566,dandelion,33,69
20181101_013445,573,dandelion,35,56
20181101_013446,581,dandelion,39,68
20181101_013447,589,dandelion,28,66
20181101_013448,596,dandelion,22,61
20181101_013449,604,dandelion,23,63
20181101_013450,611,dandelion,41,70
20181101_013451,618,dandelion,38,70
20181101_013452,626,dandelion,31,67
20181101_013453,633,dandelion,36,56
20181101_013454,641,dandelion,28,67
20181101_013455,648,dandelion,22,61
20181101_013456,656,dandelion,37,57
20181101_013457,663,dandelion,22,66
20181101_013458,671,dandelion,39,65
20181101_013459,678,dandelion,47,58
20181101_013500,686,dandelion,23,58
20181101_013501,693,dandelion,36,65
20181101_013502,701,dandelion,54,58
20181101_013503,708,dandelion,36,70
20181101_013504,716,dandelion,43,60
20181101_013505,723,dandelion,24,57
20181101_013506,731,dandelion,23,60
20181101_013507,738,dandelion,24,63
20181101_013508,746,dandelion,22,63
20181101_013509,753,dandelion,26,62
20181101_013510,761,dandelion,33,68
20181101_013511,768,dandelion,25,66
20181101_013512,776,dandelion,43,65
20181101_013513,783,dandelion,29,60
20181101_013514,791,dandelion,37,64
20181101_013515,798,dandelion,24,59
20181101_013516,805,dandelion,31,64
20181101_013517,813,dandelion,39,67
20181101_013518,820,dandelion,32,64
20181101_013519,828,dandelion,37,71
20181101_013520,835,dandelion,25,66
20181101_013521,843,dandelion,40,57
20181101_013522,850,dandelion,39,75
20181101_013523,858,dandelion,36,62
20181101_013524,865,dandelion,40,64
20181101_013525,873,dandelion,35,65
20181101_013526,880,dandelion,31,90
20181101_013527,888,dandelion,37,60
20181101_013528,895,dandelion,27,66
20181101_013529,903,dandelion,42,61
20181101_013530,910,dandelion,36,56
20181101_013531,918,dandelion,35,58
20181101_013532,925,dandelion,41,71
20181101_013533,933,dandelion,23,61
20181101_013534,940,dandelion,26,55
20181101_013535,948,dandelion,39,61
20181101_013536,955,dandelion,32,58
20181101_013537,963,dandelion,25,54
20181101_013538,970,dandelion,34,69
20181101_013539,978,dandelion,21,63
20181101_013540,985,dandelion,40,59
20181101_013541,993,dandelion,29,63
20181101_013542,1000,dandelion,35,59
20181101_013543,1008,dandelion,33,58
20181101_013544,1015,dandelion,22,61
20181101_013545,1023,dandelion,32,65
20181101_013546,1030,dandelion,29,58
20181101_013547,1037,dandelion,37,62
20181101_013548,1045,dandelion,27,61
20181101_013549,1053,dandelion,27,61
20181101_013550,1060,dandelion,31,94
20181101_013551,1068,dandelion,32,62
20181101_013552,1075,dandelion,39,61
20181101_013553,1082,dandelion,40,64
20181101_013554,1090,dandelion,30,66
20181101_013555,1097,dandelion,52,61
20181101_013556,1104,dandelion,36,59
20181101_013557,1112,dandelion,27,60
20181101_013558,1119,dandelion,31,61
20181101_013559,1127,dandelion,25,66
20181101_013600,1134,dandelion,39,57
20181101_013601,1142,dandelion,34,67
20181101_013602,1149,dandelion,24,61
20181101_013603,1157,dandelion,23,57
20181101_013604,1164,dandelion,39,61
20181101_013605,1172,dandelion,22,63
20181101_013606,1179,dandelion,55,58
20181101_013607,1187,dandelion,29,56
20181101_013608,1194,dandelion,37,66
20181101_013609,1202,dandelion,38,62
20181101_013610,1209,dandelion,35,65
20181101_013611,1217,dandelion,31,58
