Timestamp,Attempt No,Result,Time to Preprocess (millis),Time to Classify (millis)
20181101_015204,1132,dandelion,27,73
20181101_015205,1140,dandelion,37,67
20181101_015206,1147,dandelion,30,71
20181101_015207,1154,dandelion,25,68
20181101_015208,1162,dandelion,30,76
20181101_015209,1169,dandelion,39,71
20181101_015210,1177,dandelion,27,76
20181101_015211,1184,dandelion,28,77
20181101_015212,1192,dandelion,42,66
20181101_015213,1199,dandelion,28,75
20181101_015214,1207,dandelion,39,70
20181101_015215,1214,dandelion,29,74
20181101_015216,1222,dandelion,26,71
20181101_015217,1229,dandelion,27,73
20181101_015218,1237,dandelion,26,73
20181101_015219,1244,dandelion,27,69
20181101_015220,1252,dandelion,26,65
20181101_015221,1259,dandelion,27,68
20181101_015222,1266,dandelion,33,70
20181101_015223,1274,dandelion,32,69
20181101_015224,1282,dandelion,27,70
20181101_015225,1289,dandelion,31,76
20181101_015226,1296,dandelion,39,72
20181101_015227,1304,dandelion,28,66
20181101_015228,1311,dandelion,33,72
20181101_015229,1319,dandelion,33,77
20181101_015230,1326,dandelion,39,71
20181101_015231,1334,dandelion,29,75
20181101_015232,1341,dandelion,33,80
20181101_015233,1349,dandelion,26,74
20181101_015234,1356,dandelion,39,74
20181101_015235,1364,dandelion,28,70
20181101_015236,1371,dandelion,31,73
20181101_015237,1378,dandelion,30,71
20181101_015238,1386,dandelion,28,78
20181101_015239,1393,dandelion,39,73
20181101_015240,1401,dandelion,29,68
20181101_015241,1408,dandelion,27,90
20181101_015242,1416,dandelion,27,64
20181101_015243,1423,dandelion,26,75
20181101_015244,1431,dandelion,26,78
20181101_015245,1438,dandelion,33,74
20181101_015246,1446,dandelion,28,78
20181101_015247,1453,dandelion,27,81
20181101_015248,1460,dandelion,31,75
20181101_015249,1468,dandelion,34,68
20181101_015250,1475,dandelion,26,71
20181101_015251,1483,dandelion,29,64
20181101_015252,1490,dandelion,26,74
20181101_015253,1497,dandelion,38,70
20181101_015254,1505,dandelion,41,74
20181101_015255,1513,dandelion,27,74
20181101_015256,1520,dandelion,27,74
20181101_015257,1527,dandelion,26,66
20181101_015258,1535,dandelion,54,74
20181101_015259,1542,dandelion,32,75
20181101_015300,1550,dandelion,25,70
20181101_015301,1557,dandelion,27,79
20181101_015302,1565,dandelion,27,72
20181101_015303,1572,dandelion,42,79
20181101_015304,1579,dandelion,35,78
20181101_015305,1587,dandelion,28,69
20181101_015306,1594,dandelion,39,77
20181101_015307,1601,dandelion,27,70
20181101_015308,1609,dandelion,32,72
20181101_015309,1616,dandelion,25,80
20181101_015310,1624,dandelion,33,67
20181101_015311,1631,dandelion,25,69
20181101_015312,1639,dandelion,29,71
20181101_015313,1646,dandelion,30,73
20181101_015314,1654,dandelion,28,70
20181101_015315,1661,dandelion,39,80
20181101_015316,1669,dandelion,39,70
20181101_015317,1676,dandelion,48,74
20181101_015318,1684,dandelion,27,71
20181101_015319,1691,dandelion,26,63
20181101_015320,1699,dandelion,28,74
20181101_015321,1706,dandelion,27,68
20181101_015322,1714,dandelion,28,75
20181101_015323,1721,dandelion,31,76
20181101_015324,1728,dandelion,38,66
20181101_015325,1736,dandelion,29,107
20181101_015326,1743,dandelion,28,70
20181101_015327,1750,dandelion,26,76
20181101_015328,1758,dandelion,29,71
20181101_015329,1765,dandelion,25,69
20181101_015330,1773,dandelion,25,64
20181101_015331,1780,dandelion,28,66
20181101_015332,1788,dandelion,26,72
20181101_015333,1795,dandelion,25,74
20181101_015334,1803,dandelion,29,73
20181101_015335,1810,dandelion,33,77
20181101_015336,1818,dandelion,28,73
20181101_015337,1825,dandelion,39,71
20181101_015338,1833,dandelion,37,73
20181101_015339,1840,dandelion,32,103
20181101_015340,1847,dandelion,26,72
20181101_015341,1855,dandelion,36,78
20181101_015342,1862,dandelion,27,79
