Time (sec),Preproc Start Time (ns),Preproc End Time (ns),Preproc Time Elapsed (ms),Class Start Time (ns),Class End Time (ns),Class Time Elapsed (ms),
3,6.43E+14,6.43E+14,17.205314,6.43E+14,6.43E+14,23.46193,40.667244
3,6.43E+14,6.43E+14,17.205314,6.43E+14,6.43E+14,22.377763,39.583077
3,6.43E+14,6.43E+14,17.205314,6.43E+14,6.43E+14,22.708648,39.913962
3,6.43E+14,6.43E+14,17.205314,6.43E+14,6.43E+14,22.874065,40.079379
3,6.43E+14,6.43E+14,17.205314,6.43E+14,6.43E+14,23.4237,40.629014
3,6.43E+14,6.43E+14,17.205314,6.43E+14,6.43E+14,22.968909,40.174223
3,6.43E+14,6.43E+14,17.205314,6.43E+14,6.43E+14,22.599846,39.80516
3,6.43E+14,6.43E+14,17.205314,6.43E+14,6.43E+14,22.677034,39.882348
3,6.43E+14,6.43E+14,17.205314,6.43E+14,6.43E+14,23.207554,40.412868
3,6.43E+14,6.43E+14,17.205314,6.43E+14,6.43E+14,22.931356,40.13667
3,6.43E+14,6.43E+14,17.205314,6.43E+14,6.43E+14,22.720055,39.925369
3,6.43E+14,6.43E+14,17.205314,6.43E+14,6.43E+14,22.68495,39.890264
3,6.43E+14,6.43E+14,17.205314,6.43E+14,6.43E+14,23.434325,40.639639
3,6.43E+14,6.43E+14,17.205314,6.43E+14,6.43E+14,22.736929,39.942243
3,6.43E+14,6.43E+14,17.205314,6.43E+14,6.43E+14,22.678857,39.884171
3,6.43E+14,6.43E+14,17.205314,6.43E+14,6.43E+14,22.85219,40.057504
3,6.43E+14,6.43E+14,17.205314,6.43E+14,6.43E+14,22.735471,39.940785
3,6.43E+14,6.43E+14,17.205314,6.43E+14,6.43E+14,22.558023,39.763337
3,6.43E+14,6.43E+14,17.205314,6.43E+14,6.43E+14,22.604637,39.809951
3,6.43E+14,6.43E+14,17.205314,6.43E+14,6.43E+14,22.953492,40.158806
3,6.43E+14,6.43E+14,17.205314,6.43E+14,6.43E+14,22.84969,40.055004
3,6.43E+14,6.43E+14,17.205314,6.43E+14,6.43E+14,24.7212,41.926514
4,6.43E+14,6.43E+14,17.205314,6.43E+14,6.43E+14,23.094377,40.299691
4,6.43E+14,6.43E+14,17.205314,6.43E+14,6.43E+14,23.200888,40.406202
4,6.43E+14,6.43E+14,17.205314,6.43E+14,6.43E+14,23.725471,40.930785
4,6.43E+14,6.43E+14,17.205314,6.43E+14,6.43E+14,23.273596,40.47891
4,6.43E+14,6.43E+14,17.205314,6.43E+14,6.43E+14,23.04219,40.247504
4,6.43E+14,6.43E+14,17.205314,6.43E+14,6.43E+14,22.996304,40.201618
4,6.43E+14,6.43E+14,17.205314,6.43E+14,6.43E+14,23.422658,40.627972
4,6.43E+14,6.43E+14,17.205314,6.43E+14,6.43E+14,23.38818,40.593494
4,6.43E+14,6.43E+14,17.205314,6.43E+14,6.43E+14,22.645315,39.850629
4,6.43E+14,6.43E+14,17.205314,6.43E+14,6.43E+14,23.278753,40.484067
4,6.43E+14,6.43E+14,17.205314,6.43E+14,6.43E+14,22.854117,40.059431
4,6.43E+14,6.43E+14,17.205314,6.43E+14,6.43E+14,22.373179,39.578493
4,6.43E+14,6.43E+14,17.205314,6.43E+14,6.43E+14,22.999429,40.204743
4,6.43E+14,6.43E+14,17.205314,6.43E+14,6.43E+14,23.300679,40.505993
4,6.43E+14,6.43E+14,17.205314,6.43E+14,6.43E+14,22.795314,40.000628
4,6.43E+14,6.43E+14,17.205314,6.43E+14,6.43E+14,22.762554,39.967868
4,6.43E+14,6.43E+14,17.205314,6.43E+14,6.43E+14,23.137606,40.34292
4,6.43E+14,6.43E+14,17.205314,6.43E+14,6.43E+14,23.005419,40.210733
4,6.43E+14,6.43E+14,17.205314,6.43E+14,6.43E+14,23.191461,40.396775
4,6.43E+14,6.43E+14,17.205314,6.43E+14,6.43E+14,22.812085,40.017399
4,6.43E+14,6.43E+14,17.205314,6.43E+14,6.43E+14,22.930263,40.135577
4,6.43E+14,6.43E+14,17.205314,6.43E+14,6.43E+14,23.027033,40.232347
5,6.43E+14,6.43E+14,17.205314,6.43E+14,6.43E+14,22.460887,39.666201
5,6.43E+14,6.43E+14,17.205314,6.43E+14,6.43E+14,22.716877,39.922191
5,6.43E+14,6.43E+14,17.205314,6.43E+14,6.43E+14,23.607502,40.812816
5,6.43E+14,6.43E+14,17.205314,6.43E+14,6.43E+14,22.696044,39.901358
5,6.43E+14,6.43E+14,17.205314,6.43E+14,6.43E+14,21.460002,38.665316
5,6.43E+14,6.43E+14,17.205314,6.43E+14,6.43E+14,18.975523,36.180837
