Timestamp,Attempt No,Result,Time to Preprocess (millis),Time to Classify (millis)
20181113_073640,11,com.archie.tf_speech_mod.RecognizeCommands$RecognitionResult@236016c,33,1
20181113_073641,38,com.archie.tf_speech_mod.RecognizeCommands$RecognitionResult@d3e2fa0,29,1
20181113_073642,62,com.archie.tf_speech_mod.RecognizeCommands$RecognitionResult@2eca801,37,0
20181113_073643,86,com.archie.tf_speech_mod.RecognizeCommands$RecognitionResult@4db3fa9,31,2
20181113_073644,110,com.archie.tf_speech_mod.RecognizeCommands$RecognitionResult@8369e51,34,0
20181113_073645,130,com.archie.tf_speech_mod.RecognizeCommands$RecognitionResult@ec474fd,43,0
20181113_073646,150,com.archie.tf_speech_mod.RecognizeCommands$RecognitionResult@12d3d69,44,1
20181113_073647,169,com.archie.tf_speech_mod.RecognizeCommands$RecognitionResult@fba174c,43,1
20181113_073648,187,com.archie.tf_speech_mod.RecognizeCommands$RecognitionResult@f4c445a,64,1
20181113_073649,207,com.archie.tf_speech_mod.RecognizeCommands$RecognitionResult@40ad6,78,0
20181113_073650,229,com.archie.tf_speech_mod.RecognizeCommands$RecognitionResult@ea955e0,29,0
20181113_073651,247,com.archie.tf_speech_mod.RecognizeCommands$RecognitionResult@2760c0e,47,1
20181113_073652,266,com.archie.tf_speech_mod.RecognizeCommands$RecognitionResult@10dda35,60,0
20181113_073653,284,com.archie.tf_speech_mod.RecognizeCommands$RecognitionResult@f53e62b,52,0
20181113_073654,305,com.archie.tf_speech_mod.RecognizeCommands$RecognitionResult@a9d2564,56,1
20181113_073655,326,com.archie.tf_speech_mod.RecognizeCommands$RecognitionResult@4f80d39,35,0
20181113_073656,347,com.archie.tf_speech_mod.RecognizeCommands$RecognitionResult@7f3a53a,39,0
20181113_073657,364,com.archie.tf_speech_mod.RecognizeCommands$RecognitionResult@62f6fdb,68,0
20181113_073658,386,com.archie.tf_speech_mod.RecognizeCommands$RecognitionResult@78bbfd,37,0
20181113_073659,405,com.archie.tf_speech_mod.RecognizeCommands$RecognitionResult@d9e36f0,73,1
20181113_073700,427,com.archie.tf_speech_mod.RecognizeCommands$RecognitionResult@a0577aa,36,1
20181113_073701,447,com.archie.tf_speech_mod.RecognizeCommands$RecognitionResult@583d726,38,1
20181113_073702,467,com.archie.tf_speech_mod.RecognizeCommands$RecognitionResult@869f962,69,1
20181113_073703,487,com.archie.tf_speech_mod.RecognizeCommands$RecognitionResult@c5a7a5e,40,1
20181113_073704,505,com.archie.tf_speech_mod.RecognizeCommands$RecognitionResult@7f5173c,45,0
20181113_073705,523,com.archie.tf_speech_mod.RecognizeCommands$RecognitionResult@bd6d9ca,38,0
20181113_073706,542,com.archie.tf_speech_mod.RecognizeCommands$RecognitionResult@34b321,37,1
