Time (sec),Preproc Start Time (ns),Preproc End Time (ns),Preproc Time Elapsed (ms),Class Start Time (ns),Class End Time (ns),Class Time Elapsed (ms),Result,Confidence
6,367883865505020,367883809426056,-56.078964,367883809447254,367883892076845,82.629591,up,0.5873832
6,367883945980132,367883923524244,-22.455888,367883923529557,367883984206073,60.676516,up,0.79112875
6,367884065640561,367884015046076,-50.594485,367884015064670,367884101479106,86.414436,up,0.56774884
6,367884185006197,367884132408223,-52.597974,367884132425411,367884201891720,69.466309,up,0.43007916
6,367884307641522,367884232990056,-74.651466,367884233008911,367884322868867,89.859956,up,0.41231757
6,367884425637680,367884354336683,-71.300997,367884354356266,367884437344973,82.988707,up,0.3781312
7,367884545057379,367884468659142,-76.398237,367884468678361,367884553474515,84.796154,up,0.40004992
7,367884625016554,367884583902123,-41.114431,367884583909518,367884639534837,55.625319,up,0.49947548
7,367884705143958,367884670008694,-35.135264,367884670013069,367884717222188,47.209119,up,0.57064086
7,367884785783705,367884747586722,-38.196983,367884747591045,367884796471988,48.880943,up,0.6748452
7,367884865105744,367884826784907,-38.320837,367884826788553,367884867450172,40.661619,up,0.60119593
7,367884946443773,367884897984550,-48.459223,367884897996529,367884978629662,80.633133,up,0.55676395
7,367885066586389,367885009866592,-56.719797,367885009883675,367885103273633,93.389958,up,0.5767336
7,367885186470620,367885134975511,-51.495109,367885134981969,367885188599058,53.617089,up,0.6089976
7,367885266783545,367885220232915,-46.55063,367885220241717,367885280908442,60.666725,up,0.56506157
7,367885386410901,367885313024331,-73.38657,367885313040685,367885402002152,88.961467,up,0.50707996
7,367885506470808,367885432364759,-74.106049,367885432368405,367885512366955,79.99855,up,0.60185903
8,367885586094410,367885543744302,-42.350108,367885543763833,367885616612382,72.848549,up,0.55931735
8,367885665145720,367885647112124,-18.033596,367885647115301,367885685981243,38.865942,up,0.7492547
8,367885785076878,367885716520881,-68.555997,367885716531298,367885794520316,77.989018,up,0.6084166
8,367885865074490,367885825122923,-39.951567,367885825129173,367885870811626,45.682453,up,0.8775078
8,367885945090539,367885901216108,-43.874431,367885901220900,367885958238770,57.01787,up,0.7695099
8,367886025855860,367885988592992,-37.262868,367885988596325,367886035083726,46.487401,up,0.6481012
8,367886105045191,367886065429354,-39.615837,367886065432791,367886110285452,44.852661,up,0.7852899
8,367886185204990,367886140959882,-44.245108,367886140973840,367886198316398,57.342558,up,0.50520456
8,367886265110676,367886228665307,-36.445369,367886228669318,367886270225780,41.556462,up,0.59802276
8,367886345318340,367886300677606,-44.640734,367886300683596,367886350421101,49.737505,up,0.4803394
8,367886425111056,367886380865947,-44.245109,367886380872458,367886439042360,58.169902,up,0.4945895
8,367886505465647,367886469373560,-36.092087,367886469378508,367886509834762,40.456254,up,0.55069244
9,367886585656801,367886541709193,-43.947608,367886541719766,367886601147792,59.428026,up,0.5911263
9,367886705288428,367886632320035,-72.968393,367886632339202,367886721255825,88.916623,up,0.6457919
9,367886785685727,367886751763953,-33.921774,367886751767912,367886812025105,60.257193,up,0.7970659
9,367886905986573,367886844301775,-61.684798,367886844320264,367886919631991,75.311727,up,0.7999938
9,367887025327314,367886950564806,-74.762508,367886950583244,367887047199295,96.616051,up,0.6767556
9,367887147348055,367887078855027,-68.493028,367887078874194,367887153546597,74.672403,up,0.8043451
9,367887266086817,367887185582538,-80.504279,367887185601548,367887274786766,89.185218,up,0.79642653
9,367887345056929,367887305538852,-39.518077,367887305542029,367887371808650,66.266621,up,0.65556353
9,367887465161003,367887402208393,-62.95261,367887402214591,367887468602410,66.387819,up,0.6597799
10,367887545494136,367887499126684,-46.367452,367887499138507,367887558257992,59.119485,up,0.5766138
10,367887664997221,367887588787995,-76.209226,367887588798828,367887665404982,76.606154,up,0.5137025
10,367887705111965,367887695764672,-9.347293,367887695769256,367887741167020,45.397764,up,0.6115205
10,367887785886192,367887771527388,-14.358804,367887771575982,367887824117081,52.541099,up,0.4768497
10,367887905494849,367887854785261,-50.709588,367887854795261,367887938037769,83.242508,up,0.41141436
10,367888025127518,367887969001835,-56.125683,367887969020897,367888032085174,63.064277,up,0.43250334
10,367888104955911,367888062422053,-42.533858,367888062426740,367888117381902,54.955162,up,0.66183835
10,367888225331704,367888150443624,-74.88808,367888150464093,367888240492695,90.028602,up,0.594211
10,367888345384945,367888272634834,-72.750111,367888272653376,367888366904895,94.251519,up,0.47436994
10,367888465929228,367888399136878,-66.79235,367888399155940,367888490069543,90.913603,up,0.7034984
11,367888585141219,367888522345432,-62.795787,367888522359130,367888595212314,72.853184,up,0.611514
11,367888665592425,367888625747786,-39.844639,367888625750807,367888674799457,49.04865,up,0.56745964
11,367888786018635,367888706383002,-79.635633,367888706390190,367888799084574,92.694384,up,0.54568124
11,367888905952449,367888830858171,-75.094278,367888830871192,367888916554169,85.682977,up,0.64238393
11,367888985336155,367888946983443,-38.352712,367888946987557,367889002903136,55.915579,up,0.55691516
11,367889106699917,367889033962410,-72.737507,367889033982358,367889116818772,82.836414,up,0.5463614
11,367889186281904,367889147695494,-38.58641,367889147701952,367889214384355,66.682403,up,0.56492555
11,367889304990249,367889246152223,-58.838026,367889246165035,367889316055407,69.890372,up,0.6692768
11,367889385447601,367889346406764,-39.040837,367889346411399,367889401696405,55.285006,up,0.67283225
11,367889465840838,367889432782918,-33.05792,367889432788127,367889492088497,59.30037,up,0.60798514
12,367889586030798,367889523606156,-62.424642,367889523614177,367889593615174,70.000997,up,0.53156894
12,367889666976431,367889626070229,-40.906202,367889626078667,367889703776122,77.697455,up,0.50747263
12,367889785444412,367889734527636,-50.916776,367889734531854,367889806728164,72.19631,up,0.4286771
12,367889906641767,367889837954990,-68.686777,367889837974261,367889924332863,86.358602,up,0.39758968
12,367890025250894,367889955098179,-70.152715,367889955102970,367890027375842,72.272872,up,0.5446471
12,367890105702308,367890058474387,-47.227921,367890058491731,367890137241790,78.750059,up,0.45271188
12,367890225606070,367890168197366,-57.408704,367890168275075,367890257961855,89.68678,up,0.3675624
12,367890346427853,367890288797066,-57.630787,367890288803160,367890357403114,68.599954,up,0.44397438
12,367890466707292,367890389598222,-77.10907,367890389618222,367890477872866,88.254644,up,0.40224725
13,367890586826314,367890510283234,-76.54308,367890510304796,367890600293712,89.988916,up,0.4579724
13,367890705498982,367890632545277,-72.953705,367890632565590,367890726691172,94.125582,up,0.40784952
13,367890785042376,367890757369873,-27.672503,367890757375498,367890810623368,53.24787,up,0.42196208
13,367890866787801,367890841869621,-24.91818,367890841879569,367890903301346,61.421777,up,0.43656483
13,367890985519844,367890934662443,-50.857401,367890934683380,367891025407608,90.724228,up,0.45052618
13,367891105958397,367891056270684,-49.687713,367891056276049,367891111898606,55.622557,up,0.4009328
13,367891187221114,367891142517307,-44.703807,367891142523609,367891198728719,56.20511,up,0.50103086
13,367891266782528,367891230624660,-36.157868,367891230632576,367891299798104,69.165528,up,0.37535992
13,367891385812123,367891331596232,-54.215891,367891331604253,367891397511135,65.906882,up,0.37597862
13,367891505089270,367891428658898,-76.430372,367891428678221,367891519231720,90.553499,up,0.42140064
14,367891544987139,367891549529327,4.542188,367891549532087,367891585234226,35.702139,up,0.3869068
14,367891667087932,367891616192459,-50.895473,367891616207459,367891704218978,88.011519,up,0.30393088
14,367891786676486,367891735235075,-51.441411,367891735240960,367891823192427,87.951467,up,0.33003175
14,367891905972904,367891854720191,-51.252713,367891854735034,367891943605564,88.87053,up,0.44638073
14,367892026234531,367891976578692,-49.655839,367891976597859,367892053336981,76.739122,up,0.42401895
14,367892107010737,367892084100578,-22.910159,367892084105630,367892135604750,51.49912,up,0.3622191
14,367892225306686,367892166790013,-58.516673,367892166793763,367892241717625,74.923862,up,0.2797163
14,367892306269090,367892272050493,-34.218597,367892272054816,367892319573831,47.519015,up,0.4554741
14,367892426723529,367892350557063,-76.166466,367892350571230,367892442076708,91.505478,up,0.30688637
15,367892547049791,367892474013273,-73.036518,367892474022336,367892555516719,81.494383,up,0.2319456
15,367892625432299,367892586794899,-38.6374,367892586804378,367892655232666,68.428288,up,0.38623157
15,367892745729238,367892685967617,-59.761621,367892685975274,367892758433927,72.458653,up,0.41914794
15,367892866092219,367892789596273,-76.495946,367892789612523,367892879893574,90.281051,up,0.56604844
15,367892946726237,367892911398369,-35.327868,367892911402171,367892976160563,64.758392,up,0.5095008
15,367893065892447,367893006487180,-59.405267,367893006490618,367893071401614,64.910996,up,0.57256967
15,367893146680111,367893103592242,-43.087869,367893103607971,367893183807771,80.1998,up,0.5902713
15,367893266270227,367893215597305,-50.672922,367893215604910,367893274178978,58.574068,up,0.6661941
15,367893346911381,367893305860908,-41.050473,367893305868564,367893376066957,70.198393,up,0.7263536
15,367893425311805,367893406803939,-18.507866,367893406811908,367893456685246,49.873338,up,0.5508488
15,367893505255824,367893487041812,-18.214012,367893487046447,367893530761295,43.714848,up,0.57732487
16,367893585833124,367893561729215,-24.103909,367893561735830,367893619626408,57.890578,up,0.52502006
16,367893665786048,367893649960474,-15.825574,367893649964067,367893699013812,49.049745,up,0.5587606
16,367893745239702,367893729422877,-15.816825,367893729426367,367893777605434,48.179067,up,0.57741326
16,367893825134970,367893808152521,-16.982449,367893808157885,367893854355338,46.197453,up,0.6315317
16,367893905131020,367893884757008,-20.374012,367893884761226,367893928834876,44.07365,up,0.53217214
16,367894025061917,367893959495869,-65.566048,367893959506650,367894035291554,75.784904,up,0.45534268
16,367894105123384,367894065659057,-39.464327,367894065663901,367894130768126,65.104225,up,0.6186006
16,367894185285944,367894161637296,-23.648648,367894161646046,367894222561624,60.915578,up,0.6279447
16,367894306167258,367894253745742,-52.421516,367894253750690,367894317320019,63.569329,up,0.60474026
16,367894385077109,367894348091950,-36.985159,367894348099918,367894425584666,77.484748,up,0.62766063
16,367894505713944,367894456088992,-49.624952,367894456093887,367894525280196,69.186309,up,0.52409536
17,367894625668279,367894558157387,-67.510892,367894558177439,367894648753490,90.576051,up,0.40987462
17,367894706093443,367894680484170,-25.609273,367894680489795,367894743752249,63.262454,up,0.34045762
17,367894827129185,367894775788138,-51.341047,367894775807096,367894858623094,82.815998,up,0.29275155
17,367894945728936,367894890736066,-54.99287,367894890755701,367894979732846,88.977145,up,0.29925358
17,367895065314208,367895011140922,-54.173286,367895011161547,367895099742024,88.580477,up,0.20418748
17,367895185164950,367895130435100,-54.72985,367895130440309,367895202077347,71.637038,up,0.23073213
17,367895265618135,367895232612246,-33.005889,367895232618704,367895297106888,64.488184,up,0.24322292
17,367895386897053,367895327639964,-59.257089,367895327646370,367895402249398,74.603028,up,0.25463068
17,367895506588732,367895432817370,-73.771362,367895432820808,367895506612638,73.79183,up,0.20669913
18,367895585758635,367895537907901,-47.850734,367895537928058,367895617747857,79.819799,up,0.18381983
18,367895705857189,367895650500360,-55.356829,367895650518121,367895740611672,90.093551,up,0.23028097
18,367895825710534,367895771618966,-54.091568,367895771624227,367895853929652,82.305425,up,0.2333842
18,367895945054296,367895885642988,-59.411308,367895885657103,367895973720914,88.063811,stop,0.2669953
18,367896066735037,367896005064771,-61.670266,367896005074667,367896078448893,73.374226,stop,0.25097436
18,367896145159004,367896109124990,-36.034014,367896109133062,367896177054423,67.921361,up,0.33979875
18,367896225961980,367896207609999,-18.351981,367896207615885,367896261654640,54.038755,up,0.4413779
18,367896306050947,367896292511883,-13.539064,367896292516674,367896346399388,53.882714,up,0.54629827
18,367896465939452,367896378970121,-86.969331,367896378990746,367896466954452,87.963706,up,0.5259985
19,367896546027741,367896498491643,-47.536098,367896498496955,367896561494097,62.997142,up,0.60276973
19,367896665055982,367896593612746,-71.443236,367896593633215,367896676612546,82.979331,up,0.6542619
19,367896745700053,367896706974789,-38.725264,367896706981195,367896769896045,62.91485,up,0.54830956
19,367896866111002,367896802096204,-64.014798,367896802111256,367896882787775,80.676519,up,0.68929183
19,367896985707369,367896914852257,-70.855112,367896915114341,367897000936016,85.821675,up,0.653633
