T,Attempt No,Time to Preprocess (millis),Time to Classify (millis),,,,
,4866,57,1,,,,58
,4885,56,0,,,,56
,4903,64,1,,,,65
,4923,47,2,,,,49
,4943,84,1,,,,85
,4962,65,0,,,,65
,4981,55,0,,,,55
,4997,71,0,,,,71
,5014,55,0,,,,55
,5031,45,1,,,,46
,5048,59,0,,,,59
,5066,50,1,,,,51
,5083,69,1,,,,70
,5099,46,0,,,,46
,5118,106,0,,,,106
,5136,58,0,,,,58
,5154,50,1,,,,51
,5171,50,0,,,,50
,5188,57,0,,,,57
,5204,58,0,,,,58
,5222,68,0,,,,68
,5237,91,1,,,,92
,5252,77,0,,,,77
,5271,63,1,,,,64
,5289,67,1,,,,68
,5306,66,1,,,,67
,5324,54,0,,,,54
,5341,46,2,,,,48
,5358,60,1,,,,61
,5378,50,0,,,,50
,5397,43,1,,,,44
,5418,45,5,,,,50
,5439,36,0,,,,36
,5459,40,0,,,,40
,5479,44,0,,,,44
,5499,40,1,,,,41
,5517,43,0,,,,43
,5540,55,0,,,,55
,5559,65,1,,,,66
,5581,44,1,,,,45
,5599,63,0,,,,63
,5620,41,0,,,,41
,5638,38,0,,,,38
,5657,32,0,,,,32
,5677,41,1,,,,42
,5696,49,0,,,,49
,5715,35,0,,,,35
,5735,42,2,,,,44
,5755,38,0,,,,38
,5777,40,0,,,,40
,5797,41,2,,,,43
,5817,35,3,,,,38
,5837,36,1,,,,37
,5840,57,1,,,,58
