Timestamp,Attempt No,Result,Time to Preprocess (millis),Time to Classify (millis)
20181113_073721,18,com.archie.tf_speech_mod.RecognizeCommands$RecognitionResult@f8d1204,34,1
20181113_073722,43,com.archie.tf_speech_mod.RecognizeCommands$RecognitionResult@680f015,34,1
20181113_073723,68,com.archie.tf_speech_mod.RecognizeCommands$RecognitionResult@b42dc83,32,5
20181113_073724,93,com.archie.tf_speech_mod.RecognizeCommands$RecognitionResult@d966c48,32,2
20181113_073725,116,com.archie.tf_speech_mod.RecognizeCommands$RecognitionResult@fa8a053,38,1
20181113_073726,138,com.archie.tf_speech_mod.RecognizeCommands$RecognitionResult@7c246b5,37,5
20181113_073727,160,com.archie.tf_speech_mod.RecognizeCommands$RecognitionResult@d18e287,40,0
20181113_073728,176,com.archie.tf_speech_mod.RecognizeCommands$RecognitionResult@9997b77,40,0
20181113_073729,198,com.archie.tf_speech_mod.RecognizeCommands$RecognitionResult@b9f31b9,37,13
20181113_073730,216,com.archie.tf_speech_mod.RecognizeCommands$RecognitionResult@b2dc44f,56,0
20181113_073731,238,com.archie.tf_speech_mod.RecognizeCommands$RecognitionResult@6bc29d1,75,1
20181113_073732,256,com.archie.tf_speech_mod.RecognizeCommands$RecognitionResult@1ba1c27,41,0
20181113_073733,275,com.archie.tf_speech_mod.RecognizeCommands$RecognitionResult@f99dd22,39,4
20181113_073734,292,com.archie.tf_speech_mod.RecognizeCommands$RecognitionResult@48cefa3,38,1
20181113_073735,310,com.archie.tf_speech_mod.RecognizeCommands$RecognitionResult@7849fc9,39,0
20181113_073736,331,com.archie.tf_speech_mod.RecognizeCommands$RecognitionResult@456c58a,53,1
20181113_073737,351,com.archie.tf_speech_mod.RecognizeCommands$RecognitionResult@7e6db06,40,0
20181113_073738,371,com.archie.tf_speech_mod.RecognizeCommands$RecognitionResult@359342,41,1
20181113_073739,391,com.archie.tf_speech_mod.RecognizeCommands$RecognitionResult@86b8a3e,43,0
20181113_073740,411,com.archie.tf_speech_mod.RecognizeCommands$RecognitionResult@bee1bfa,40,0
20181113_073741,430,com.archie.tf_speech_mod.RecognizeCommands$RecognitionResult@ec49b11,36,4
20181113_073742,449,com.archie.tf_speech_mod.RecognizeCommands$RecognitionResult@8683114,64,1
20181113_073743,468,com.archie.tf_speech_mod.RecognizeCommands$RecognitionResult@2e73af3,45,0
20181113_073744,489,com.archie.tf_speech_mod.RecognizeCommands$RecognitionResult@e10d30c,40,6
20181113_073745,508,com.archie.tf_speech_mod.RecognizeCommands$RecognitionResult@ca9a54b,53,1
20181113_073746,527,com.archie.tf_speech_mod.RecognizeCommands$RecognitionResult@c70c896,33,0
20181113_073747,546,com.archie.tf_speech_mod.RecognizeCommands$RecognitionResult@f88605d,39,3
20181113_073748,564,com.archie.tf_speech_mod.RecognizeCommands$RecognitionResult@f5f6693,82,1
20181113_073749,584,com.archie.tf_speech_mod.RecognizeCommands$RecognitionResult@38edbdf,37,5
20181113_073750,605,com.archie.tf_speech_mod.RecognizeCommands$RecognitionResult@65d1248,42,2
20181113_073751,625,com.archie.tf_speech_mod.RecognizeCommands$RecognitionResult@8cb1924,37,2
20181113_073752,641,com.archie.tf_speech_mod.RecognizeCommands$RecognitionResult@3b91354,91,1
20181113_073753,659,com.archie.tf_speech_mod.RecognizeCommands$RecognitionResult@4bcd5a2,69,1
20181113_073754,680,com.archie.tf_speech_mod.RecognizeCommands$RecognitionResult@c28b97f,38,1
20181113_073755,699,com.archie.tf_speech_mod.RecognizeCommands$RecognitionResult@308ffe,39,2
20181113_073756,718,com.archie.tf_speech_mod.RecognizeCommands$RecognitionResult@30ceee5,59,1
