Time (sec),Previous Frame (ns),Current Frame (ns),Time Elapsed (ms),Dropped Frame Count,,Num,FPS,,Min FPS,Max FPS,Avg FPS
0,3.20037E+14,3.20037E+14,134.434065,7,,0,60,,3,60,59.37873754
0,3.20037E+14,3.20037E+14,34.211746,2,,1,59,,,,
0,3.20037E+14,3.20037E+14,16.885066,0,,2,60,,,,
0,3.20037E+14,3.20037E+14,16.775886,0,,3,59,,,,
0,3.20037E+14,3.20037E+14,16.775967,0,,4,60,,,,
0,3.20037E+14,3.20038E+14,16.77622,0,,5,60,,,,
0,3.20038E+14,3.20038E+14,16.776332,0,,6,59,,,,
0,3.20038E+14,3.20038E+14,16.776258,0,,7,60,,,,
0,3.20038E+14,3.20038E+14,16.776236,0,,8,59,,,,
0,3.20038E+14,3.20038E+14,16.776039,0,,9,60,,,,
0,3.20038E+14,3.20038E+14,16.775959,0,,10,60,,,,
0,3.20038E+14,3.20038E+14,16.775529,0,,11,59,,,,
0,3.20038E+14,3.20038E+14,16.775892,0,,12,60,,,,
0,3.20038E+14,3.20038E+14,16.775482,0,,13,60,,,,
0,3.20038E+14,3.20038E+14,16.775536,0,,14,59,,,,
0,3.20038E+14,3.20038E+14,16.775728,0,,15,60,,,,
0,3.20038E+14,3.20038E+14,16.776053,0,,16,59,,,,
0,3.20038E+14,3.20038E+14,16.775515,0,,17,60,,,,
0,3.20038E+14,3.20038E+14,16.775811,0,,18,60,,,,
0,3.20038E+14,3.20038E+14,16.775763,0,,19,59,,,,
0,3.20038E+14,3.20038E+14,16.775812,0,,20,60,,,,
0,3.20038E+14,3.20038E+14,16.775484,0,,21,59,,,,
0,3.20038E+14,3.20038E+14,16.775154,0,,22,60,,,,
0,3.20038E+14,3.20038E+14,16.775794,0,,23,60,,,,
0,3.20038E+14,3.20038E+14,16.775526,0,,24,59,,,,
0,3.20038E+14,3.20038E+14,16.775573,0,,25,60,,,,
0,3.20038E+14,3.20038E+14,16.775803,0,,26,60,,,,
0,3.20038E+14,3.20038E+14,16.775597,0,,27,59,,,,
0,3.20038E+14,3.20038E+14,16.77523,0,,28,60,,,,
0,3.20038E+14,3.20038E+14,16.775766,0,,29,59,,,,
0,3.20038E+14,3.20038E+14,16.776137,0,,30,60,,,,
0,3.20038E+14,3.20038E+14,16.775813,0,,31,60,,,,
0,3.20038E+14,3.20038E+14,16.77566,0,,32,59,,,,
0,3.20038E+14,3.20038E+14,16.775667,0,,33,60,,,,
0,3.20038E+14,3.20038E+14,16.776098,0,,34,60,,,,
0,3.20038E+14,3.20038E+14,16.775696,0,,35,59,,,,
0,3.20038E+14,3.20038E+14,16.776096,0,,36,60,,,,
0,3.20038E+14,3.20038E+14,16.775718,0,,37,59,,,,
0,3.20038E+14,3.20038E+14,16.7761,0,,38,60,,,,
0,3.20038E+14,3.20038E+14,16.775661,0,,39,60,,,,
0,3.20038E+14,3.20038E+14,16.776056,0,,40,59,,,,
0,3.20038E+14,3.20038E+14,16.775888,0,,41,60,,,,
0,3.20038E+14,3.20038E+14,16.775978,0,,42,60,,,,
0,3.20038E+14,3.20038E+14,16.775341,0,,43,59,,,,
0,3.20038E+14,3.20038E+14,16.775998,0,,44,60,,,,
0,3.20038E+14,3.20038E+14,16.775994,0,,45,59,,,,
0,3.20038E+14,3.20038E+14,16.77595,0,,46,60,,,,
0,3.20038E+14,3.20038E+14,16.77599,0,,47,60,,,,
0,3.20038E+14,3.20038E+14,16.775402,0,,48,59,,,,
0,3.20038E+14,3.20038E+14,16.775815,0,,49,60,,,,
0,3.20038E+14,3.20038E+14,16.775544,0,,50,60,,,,
0,3.20038E+14,3.20038E+14,16.776069,0,,51,59,,,,
0,3.20038E+14,3.20038E+14,16.775455,0,,52,60,,,,
0,3.20038E+14,3.20038E+14,16.775749,0,,53,59,,,,
0,3.20038E+14,3.20038E+14,16.775427,0,,54,60,,,,
0,3.20038E+14,3.20038E+14,16.775973,0,,55,60,,,,
0,3.20038E+14,3.20038E+14,16.775511,0,,56,59,,,,
0,3.20038E+14,3.20038E+14,16.775764,0,,57,60,,,,
0,3.20038E+14,3.20038E+14,16.77542,0,,58,60,,,,
0,3.20038E+14,3.20038E+14,16.775661,0,,59,59,,,,
1,3.20038E+14,3.20038E+14,16.775369,0,,60,60,,,,
1,3.20038E+14,3.20038E+14,16.776028,0,,61,59,,,,
1,3.20038E+14,3.20038E+14,16.775909,0,,62,60,,,,
1,3.20038E+14,3.20038E+14,16.775698,0,,63,60,,,,
1,3.20038E+14,3.20039E+14,16.775916,0,,64,59,,,,
1,3.20039E+14,3.20039E+14,16.775937,0,,65,60,,,,
1,3.20039E+14,3.20039E+14,16.775721,0,,66,60,,,,
1,3.20039E+14,3.20039E+14,16.77583,0,,67,59,,,,
1,3.20039E+14,3.20039E+14,16.775794,0,,68,60,,,,
1,3.20039E+14,3.20039E+14,16.775946,0,,69,59,,,,
1,3.20039E+14,3.20039E+14,16.775187,0,,70,60,,,,
1,3.20039E+14,3.20039E+14,16.77571,0,,71,60,,,,
1,3.20039E+14,3.20039E+14,16.774799,0,,72,59,,,,
1,3.20039E+14,3.20039E+14,16.775902,0,,73,60,,,,
1,3.20039E+14,3.20039E+14,16.775089,0,,74,59,,,,
1,3.20039E+14,3.20039E+14,16.775954,0,,75,60,,,,
1,3.20039E+14,3.20039E+14,16.775974,0,,76,60,,,,
1,3.20039E+14,3.20039E+14,16.775854,0,,77,59,,,,
1,3.20039E+14,3.20039E+14,16.775965,0,,78,60,,,,
1,3.20039E+14,3.20039E+14,16.775794,0,,79,60,,,,
1,3.20039E+14,3.20039E+14,16.775726,0,,80,59,,,,
1,3.20039E+14,3.20039E+14,16.775519,0,,81,60,,,,
1,3.20039E+14,3.20039E+14,16.775792,0,,82,59,,,,
1,3.20039E+14,3.20039E+14,16.775831,0,,83,60,,,,
1,3.20039E+14,3.20039E+14,16.775483,0,,84,60,,,,
1,3.20039E+14,3.20039E+14,16.775818,0,,85,59,,,,
1,3.20039E+14,3.20039E+14,16.77549,0,,86,60,,,,
1,3.20039E+14,3.20039E+14,16.775392,0,,87,60,,,,
1,3.20039E+14,3.20039E+14,16.775753,0,,88,59,,,,
