,BT 1,BT 2,BT 3,BT 4,BT 5,AT 1,AT 2,AT 3,AT 4,AT 5
Num,Time Elapsed (ms),Time Elapsed (ms),Time Elapsed (ms),Time Elapsed (ms),Time Elapsed (ms),,,,,
1,151.182046,190.629915,149.573296,183.72606,152.062411,,,,,
2,48.452453,60.320163,47.354327,68.574903,50.265994,,,,,
3,51.814849,58.957453,53.329588,81.868914,48.891359,,,,,
4,56.441672,55.263443,54.466776,60.969641,65.205996,,,,,
5,46.261567,60.842454,53.811672,60.885162,45.117244,,,,,
6,48.158234,59.360162,52.419276,59.8786,45.792296,,,,,
7,45.932192,59.57959,44.98589,62.702975,50.85188,,,,,
8,50.802089,61.659329,47.273182,59.048339,47.302297,,,,,
9,48.591411,61.625266,48.098286,67.275111,50.967661,,,,,
10,49.278911,61.975944,48.298911,63.1186,44.780005,,,,,
11,55.427609,58.700839,54.70162,60.38334,49.394171,,,,,
12,48.366463,62.218028,48.193442,56.983964,53.658651,,,,,
13,44.478859,56.599954,47.760317,63.613183,54.151776,,,,,
14,52.330995,57.947037,45.434796,59.660995,51.641203,,,,,
15,46.323494,60.228183,51.659901,62.964068,55.425005,,,,,
16,53.308443,58.15261,52.050683,57.962766,56.256568,,,,,
17,45.154536,61.269537,54.412974,56.221568,48.65438,,,,,
18,47.96089,57.990318,52.217453,54.72438,47.144224,,,,,
19,52.328287,62.093235,51.332713,54.510162,46.079484,,,,,
20,44.286723,56.952245,49.333234,61.185006,48.33089,,,,,
21,48.902036,58.427715,44.761619,57.411724,54.324849,,,,,
22,48.714328,63.924433,49.626412,55.384276,45.618546,,,,,
23,47.802765,56.193443,56.777454,56.204069,53.637923,,,,,
24,63.5886,55.404068,60.40136,55.527662,71.669955,,,,,
25,61.281829,56.954589,57.053599,57.340631,66.750944,,,,,
26,60.796412,61.177871,65.63558,80.300738,63.838392,,,,,
27,55.25662,69.589799,61.649798,57.572558,65.843496,,,,,
28,59.191881,56.126881,62.370006,69.730163,66.180371,,,,,
29,58.810891,57.475787,59.748183,57.237142,55.66761,,,,,
30,62.200683,67.212403,58.571204,59.177401,56.18188,,,,,
31,59.730996,56.093756,54.475631,55.498755,64.035788,,,,,
32,64.463496,63.9186,59.10688,55.796308,63.704902,,,,,
33,57.214381,52.976828,62.853392,58.620006,61.089849,,,,,
34,56.833599,57.63813,57.063964,57.32636,56.317349,,,,,
35,60.194537,56.085579,55.300213,60.775162,60.580214,,,,,
36,64.2136,55.674329,58.257141,58.50511,62.840787,,,,,
37,64.061673,70.900736,63.050631,59.853756,65.398548,,,,,
38,55.376724,49.626827,60.780839,58.158756,57.666672,,,,,
39,93.081624,64.474173,62.086725,67.360111,59.830267,,,,,
40,64.32709,64.174538,60.367454,63.173965,60.389277,,,,,
41,101.436937,58.954902,62.305891,60.189225,59.105683,,,,,
42,58.153703,56.992193,61.887089,66.673028,60.43662,,,,,
43,53.135005,58.858183,57.368495,63.084746,58.424485,,,,,
44,57.052141,58.255423,69.189122,63.085423,59.167714,,,,,
45,59.782402,61.625996,58.75162,65.48985,58.700527,,,,,
46,56.8061,63.884278,62.629798,53.796724,60.969694,,,,,
47,55.568079,55.326828,56.134328,58.88636,58.922037,,,,,
48,56.394485,58.896985,65.069382,60.886516,63.444173,,,,,
49,54.386985,62.127246,56.047401,53.123652,55.063911,,,,,
50,65.099694,57.927506,59.53985,62.819173,67.075007,,,,,
51,59.019016,58.050006,54.631672,53.725995,55.647036,,,,,
52,56.281985,56.798339,62.647819,55.751256,55.171308,,,,,
53,56.393599,60.513287,61.97761,61.774381,60.227558,,,,,
54,55.99537,62.698392,57.368495,58.184641,54.681516,,,,,
55,54.581047,57.666673,59.60011,55.27636,58.73761,,,,,
56,56.349224,57.853027,61.960475,55.922089,62.831568,,,,,
57,64.072142,51.617349,66.095267,58.225891,57.381776,,,,,
58,56.373235,61.68459,57.814745,59.885683,54.845006,,,,,
59,53.974901,57.168652,59.202246,62.819121,60.159485,,,,,
