,BT 1,BT 2,BT 3,BT 4,BT 5,AT 1,AT 2,AT 3,AT 4,AT 5
Time (sec),FPS,FPS,FPS,FPS,FPS,FPS,FPS,FPS,FPS,FPS
217,59,60,59,60,59,60,60,60,59,59
218,60,59,60,59,60,59,59,60,60,60
219,60,60,60,60,59,60,60,59,59,59
220,59,59,59,60,60,60,60,60,60,60
221,60,60,60,59,60,59,59,59,60,60
222,60,60,60,60,59,60,60,60,59,59
223,59,59,59,60,60,60,60,60,60,60
224,60,60,60,59,60,59,59,59,60,60
225,60,60,60,60,59,60,60,60,59,59
226,59,59,59,60,60,60,60,60,60,60
227,60,60,60,59,59,59,59,59,60,59
228,59,60,60,60,60,60,60,60,59,60
229,60,59,59,60,60,60,60,60,60,60
230,60,60,60,59,59,60,59,59,59,59
231,59,60,60,60,60,59,60,60,60,60
232,60,59,60,60,60,60,60,59,60,60
233,60,60,59,59,59,60,59,60,59,59
234,59,60,60,60,60,59,60,60,60,60
235,60,59,60,60,59,60,59,59,60,59
236,60,60,59,59,60,60,60,60,59,60
237,59,59,60,60,60,59,60,60,60,60
238,60,60,60,60,59,60,59,59,59,59
239,60,60,59,59,60,60,60,60,60,60
240,59,59,60,60,60,59,60,59,60,60
241,60,60,60,59,59,60,59,60,59,59
242,60,60,59,60,60,60,60,60,60,60
243,59,59,60,60,59,59,60,59,60,59
244,60,60,60,59,60,60,59,60,59,60
245,59,60,59,60,60,60,60,60,60,60
246,60,59,60,60,59,59,60,59,60,59
247,60,60,60,59,60,60,59,60,59,60
248,59,60,59,60,60,60,60,60,60,60
249,60,59,60,60,59,59,59,59,59,59
250,60,60,60,59,60,60,60,60,60,60
251,59,59,60,60,59,60,60,59,60,59
252,60,60,59,60,60,59,59,60,59,60
253,60,60,60,59,60,60,60,60,60,60
254,59,59,60,60,59,60,60,59,60,59
255,60,60,59,60,60,59,59,60,59,60
256,60,60,60,59,60,60,60,60,60,60
257,59,59,60,60,59,60,60,59,59,59
258,60,60,59,60,60,59,59,60,60,60
259,59,60,60,59,60,60,60,60,60,59
260,60,59,60,60,59,60,60,59,59,60
261,60,60,59,59,60,59,59,60,60,60
262,59,60,60,60,59,60,60,59,60,59
263,60,59,60,60,60,60,60,60,59,60
264,60,60,59,59,60,59,59,60,60,60
265,59,60,60,60,59,60,60,59,60,59
266,60,59,60,60,60,60,59,60,59,60
267,60,60,59,59,60,59,60,60,60,60
268,59,59,60,60,59,60,60,59,59,59
269,60,60,60,60,60,60,59,60,60,60
270,59,60,59,59,60,59,60,59,60,59
271,60,59,60,60,59,60,60,60,59,60
272,60,60,60,60,60,60,59,60,60,60
273,59,60,60,59,59,59,60,59,60,59
274,60,59,59,60,60,60,60,60,59,60
275,60,60,60,60,60,60,59,60,60,60
276,59,60,60,59,59,59,60,59,59,59
277,60,59,59,60,60,60,60,60,60,60
278,60,60,60,60,60,60,59,59,60,59
279,59,60,60,59,59,59,60,60,59,60
280,60,59,59,60,60,60,59,60,60,60
281,60,60,60,60,59,60,60,59,60,59
282,59,59,60,59,60,59,60,60,59,60
283,60,60,59,60,60,60,59,60,60,60
284,59,60,60,59,59,60,60,59,59,59
285,60,59,60,60,60,60,60,60,60,60
286,60,60,59,60,60,59,59,60,60,59
287,59,60,60,59,59,60,60,59,59,60
288,60,59,60,60,60,60,60,60,60,60
289,60,60,59,60,59,59,59,59,60,59
290,59,60,60,59,60,60,60,60,59,60
291,60,59,60,60,60,60,60,60,60,60
292,60,60,59,60,59,59,59,59,59,59
293,59,60,60,59,60,60,60,60,60,60
294,60,59,60,60,60,60,59,60,60,59
295,59,60,60,60,59,59,60,59,59,60
296,60,60,59,59,60,60,60,60,60,60
297,60,59,60,60,59,60,59,59,60,59
298,59,60,60,59,60,59,60,60,59,60
299,55,55,55,56,56,54,54,53,55,51
300,18,19,19,18,19,19,19,19,18,19
