Time (sec),Previous Frame (ns),Current Frame (ns),Time Elapsed (ms),Dropped Frame Count,,,Num,FPS,,Min FPS,Max FPS,Avg FPS
0,2.50E+14,2.50E+14,16.777008,0,,,34,60,,,,
0,2.50E+14,2.50E+14,16.777011,0,,,35,59,,,,
0,2.50E+14,2.50E+14,16.777052,0,,,36,60,,,,
0,2.50E+14,2.50E+14,16.777097,0,,,37,60,,,,
0,2.50E+14,2.50E+14,16.777042,0,,,38,59,,,,
0,2.50E+14,2.50E+14,16.776823,0,,,39,60,,,,
0,2.50E+14,2.50E+14,16.776715,0,,,40,60,,,,
0,2.50E+14,2.50E+14,16.776858,0,,,41,59,,,,
0,2.50E+14,2.50E+14,16.776993,0,,,42,60,,,,
0,2.50E+14,2.50E+14,16.776916,0,,,43,59,,,,
0,2.50E+14,2.50E+14,16.776793,0,,,44,60,,,,
0,2.50E+14,2.50E+14,16.777088,0,,,45,60,,,,
0,2.50E+14,2.50E+14,16.777134,0,,,46,59,,,,
0,2.50E+14,2.50E+14,16.776988,0,,,47,60,,,,
0,2.50E+14,2.50E+14,16.776456,0,,,48,59,,,,
0,2.50E+14,2.50E+14,16.777066,0,,,49,60,,,,
0,2.50E+14,2.50E+14,16.77705,0,,,50,60,,,,
0,2.50E+14,2.50E+14,16.776508,0,,,51,59,,,,
0,2.50E+14,2.50E+14,16.776928,0,,,52,60,,,,
0,2.50E+14,2.50E+14,16.77696,0,,,53,60,,,,
0,2.50E+14,2.50E+14,16.776835,0,,,54,59,,,,
0,2.50E+14,2.50E+14,16.776849,0,,,55,60,,,,
0,2.50E+14,2.50E+14,16.776977,0,,,56,59,,,,
0,2.50E+14,2.50E+14,16.776387,0,,,57,60,,,,
0,2.50E+14,2.50E+14,16.77671,0,,,58,60,,,,
1,2.50E+14,2.50E+14,16.776598,0,,,59,59,,,,
1,2.50E+14,2.50E+14,16.776432,0,,,60,60,,,,
1,2.50E+14,2.50E+14,16.776907,0,,,61,59,,,,
1,2.50E+14,2.50E+14,16.776889,0,,,62,60,,,,
1,2.50E+14,2.50E+14,16.776716,0,,,63,60,,,,
1,2.50E+14,2.50E+14,16.776856,0,,,64,59,,,,
1,2.50E+14,2.50E+14,16.776883,0,,,65,60,,,,
1,2.50E+14,2.50E+14,16.776838,0,,,66,60,,,,
1,2.50E+14,2.50E+14,16.776711,0,,,67,59,,,,
1,2.50E+14,2.50E+14,16.776829,0,,,68,60,,,,
1,2.50E+14,2.50E+14,16.776709,0,,,69,59,,,,
1,2.50E+14,2.50E+14,16.776497,0,,,70,60,,,,
1,2.50E+14,2.50E+14,16.776813,0,,,71,60,,,,
1,2.50E+14,2.50E+14,16.776748,0,,,72,59,,,,
1,2.50E+14,2.50E+14,16.77662,0,,,73,60,,,,
1,2.50E+14,2.50E+14,16.776797,0,,,74,59,,,,
1,2.50E+14,2.50E+14,16.776683,0,,,75,60,,,,
1,2.50E+14,2.50E+14,16.776679,0,,,76,60,,,,
1,2.50E+14,2.50E+14,16.776798,0,,,77,59,,,,
1,2.50E+14,2.50E+14,16.776611,0,,,78,60,,,,
1,2.50E+14,2.50E+14,16.776637,0,,,79,59,,,,
1,2.50E+14,2.50E+14,16.776709,0,,,80,60,,,,
1,2.50E+14,2.50E+14,16.77654,0,,,81,60,,,,
1,2.50E+14,2.50E+14,16.776478,0,,,82,59,,,,
1,2.50E+14,2.50E+14,16.776661,0,,,83,60,,,,
1,2.50E+14,2.50E+14,16.776589,0,,,84,60,,,,
