Time (sec),Previous Frame (ns),Current Frame (ns),Time Elapsed (ms),Dropped Frame Count,,,Num,FPS,,Min FPS
0,1.24787E+14,1.24787E+14,34.017636,2,,,0,41,,19
0,1.24787E+14,1.24787E+14,266.896211,15,,,1,60,,
0,1.24787E+14,1.24787E+14,101.824309,5,,,2,59,,Max FPS
0,1.24787E+14,1.24787E+14,17.348453,0,,,3,60,,60
0,1.24787E+14,1.24787E+14,16.780321,0,,,4,59,,
0,1.24787E+14,1.24787E+14,16.780272,0,,,5,60,,Avg FPS
0,1.24787E+14,1.24787E+14,16.780229,0,,,6,59,,59.38538206
0,1.24787E+14,1.24787E+14,16.780197,0,,,7,60,,
0,1.24787E+14,1.24787E+14,16.780241,0,,,8,60,,
0,1.24787E+14,1.24787E+14,16.780208,0,,,9,59,,
0,1.24787E+14,1.24787E+14,16.780344,0,,,10,60,,
0,1.24787E+14,1.24787E+14,16.780304,0,,,11,59,,
0,1.24787E+14,1.24787E+14,16.78025,0,,,12,60,,
0,1.24787E+14,1.24787E+14,16.780137,0,,,13,60,,
0,1.24787E+14,1.24787E+14,16.779912,0,,,14,59,,
0,1.24787E+14,1.24787E+14,16.779935,0,,,15,60,,
0,1.24787E+14,1.24787E+14,16.779801,0,,,16,59,,
0,1.24787E+14,1.24787E+14,16.779658,0,,,17,60,,
0,1.24787E+14,1.24787E+14,16.779854,0,,,18,60,,
0,1.24787E+14,1.24787E+14,16.780128,0,,,19,59,,
0,1.24787E+14,1.24787E+14,16.78,0,,,20,60,,
0,1.24787E+14,1.24787E+14,16.78004,0,,,21,59,,
0,1.24787E+14,1.24787E+14,16.78028,0,,,22,60,,
0,1.24787E+14,1.24787E+14,16.780134,0,,,23,60,,
0,1.24787E+14,1.24787E+14,16.779256,0,,,24,59,,
0,1.24787E+14,1.24787E+14,16.780194,0,,,25,60,,
0,1.24787E+14,1.24787E+14,16.779612,0,,,26,59,,
0,1.24787E+14,1.24787E+14,16.779975,0,,,27,60,,
0,1.24787E+14,1.24787E+14,16.779529,0,,,28,60,,
0,1.24787E+14,1.24788E+14,16.780093,0,,,29,59,,
0,1.24788E+14,1.24788E+14,16.780126,0,,,30,60,,
0,1.24788E+14,1.24788E+14,16.780114,0,,,31,59,,
0,1.24788E+14,1.24788E+14,16.779879,0,,,32,60,,
0,1.24788E+14,1.24788E+14,16.779747,0,,,33,60,,
0,1.24788E+14,1.24788E+14,16.779946,0,,,34,59,,
0,1.24788E+14,1.24788E+14,16.779245,0,,,35,60,,
0,1.24788E+14,1.24788E+14,16.779789,0,,,36,59,,
0,1.24788E+14,1.24788E+14,16.779303,0,,,37,60,,
0,1.24788E+14,1.24788E+14,16.779884,0,,,38,60,,
0,1.24788E+14,1.24788E+14,16.780028,0,,,39,59,,
0,1.24788E+14,1.24788E+14,16.779977,0,,,40,60,,
1,1.24788E+14,1.24788E+14,16.780073,0,,,41,59,,
1,1.24788E+14,1.24788E+14,16.780151,0,,,42,60,,
1,1.24788E+14,1.24788E+14,16.779623,0,,,43,60,,
1,1.24788E+14,1.24788E+14,16.779912,0,,,44,59,,
1,1.24788E+14,1.24788E+14,16.779886,0,,,45,60,,
1,1.24788E+14,1.24788E+14,16.779986,0,,,46,59,,
1,1.24788E+14,1.24788E+14,16.779682,0,,,47,60,,
1,1.24788E+14,1.24788E+14,16.779862,0,,,48,60,,
1,1.24788E+14,1.24788E+14,16.779964,0,,,49,59,,
1,1.24788E+14,1.24788E+14,16.779937,0,,,50,60,,
1,1.24788E+14,1.24788E+14,16.779881,0,,,51,59,,
1,1.24788E+14,1.24788E+14,16.77994,0,,,52,60,,
1,1.24788E+14,1.24788E+14,16.779615,0,,,53,60,,
1,1.24788E+14,1.24788E+14,16.780172,0,,,54,59,,
1,1.24788E+14,1.24788E+14,16.780058,0,,,55,60,,
1,1.24788E+14,1.24788E+14,16.779996,0,,,56,59,,
1,1.24788E+14,1.24788E+14,16.779908,0,,,57,60,,
1,1.24788E+14,1.24788E+14,16.779875,0,,,58,59,,
1,1.24788E+14,1.24788E+14,16.779824,0,,,59,60,,
1,1.24788E+14,1.24788E+14,16.780098,0,,,60,60,,
1,1.24788E+14,1.24788E+14,16.77994,0,,,61,59,,
1,1.24788E+14,1.24788E+14,16.77993,0,,,62,60,,
1,1.24788E+14,1.24788E+14,16.779676,0,,,63,59,,
1,1.24788E+14,1.24788E+14,16.780001,0,,,64,60,,
1,1.24788E+14,1.24788E+14,16.779705,0,,,65,60,,
1,1.24788E+14,1.24788E+14,16.779873,0,,,66,59,,
1,1.24788E+14,1.24788E+14,16.779488,0,,,67,60,,
1,1.24788E+14,1.24788E+14,16.779856,0,,,68,59,,
1,1.24788E+14,1.24788E+14,16.779672,0,,,69,60,,
1,1.24788E+14,1.24788E+14,16.779921,0,,,70,60,,
1,1.24788E+14,1.24788E+14,16.779936,0,,,71,59,,
1,1.24788E+14,1.24788E+14,16.779543,0,,,72,60,,
1,1.24788E+14,1.24788E+14,16.779599,0,,,73,59,,
1,1.24788E+14,1.24788E+14,16.779687,0,,,74,60,,
1,1.24788E+14,1.24788E+14,16.779799,0,,,75,60,,
1,1.24788E+14,1.24788E+14,16.779809,0,,,76,59,,
1,1.24788E+14,1.24788E+14,16.779782,0,,,77,60,,
1,1.24788E+14,1.24788E+14,16.779934,0,,,78,59,,
1,1.24788E+14,1.24788E+14,16.779666,0,,,79,60,,
1,1.24788E+14,1.24788E+14,16.779925,0,,,80,60,,
1,1.24788E+14,1.24788E+14,16.779827,0,,,81,59,,
1,1.24788E+14,1.24788E+14,16.780092,0,,,82,60,,
1,1.24788E+14,1.24788E+14,16.7799,0,,,83,59,,
1,1.24788E+14,1.24788E+14,16.77999,0,,,84,60,,
1,1.24788E+14,1.24788E+14,16.779719,0,,,85,60,,
1,1.24788E+14,1.24788E+14,16.779886,0,,,86,59,,
1,1.24788E+14,1.24788E+14,16.779673,0,,,87,60,,
1,1.24788E+14,1.24788E+14,16.780055,0,,,88,59,,
1,1.24788E+14,1.24789E+14,16.779994,0,,,89,60,,
1,1.24789E+14,1.24789E+14,16.780144,0,,,90,60,,
1,1.24789E+14,1.24789E+14,16.779999,0,,,91,59,,
1,1.24789E+14,1.24789E+14,16.779984,0,,,92,60,,
1,1.24789E+14,1.24789E+14,16.779774,0,,,93,59,,
1,1.24789E+14,1.24789E+14,16.779963,0,,,94,60,,
1,1.24789E+14,1.24789E+14,16.780133,0,,,95,60,,
1,1.24789E+14,1.24789E+14,16.779901,0,,,96,59,,
1,1.24789E+14,1.24789E+14,16.779832,0,,,97,60,,
1,1.24789E+14,1.24789E+14,16.779732,0,,,98,59,,
1,1.24789E+14,1.24789E+14,16.779822,0,,,99,60,,
1,1.24789E+14,1.24789E+14,16.779753,0,,,100,60,,
2,1.24789E+14,1.24789E+14,16.779965,0,,,101,59,,
2,1.24789E+14,1.24789E+14,16.779731,0,,,102,60,,
2,1.24789E+14,1.24789E+14,16.779981,0,,,103,59,,
2,1.24789E+14,1.24789E+14,16.780017,0,,,104,60,,
2,1.24789E+14,1.24789E+14,16.780258,0,,,105,60,,
2,1.24789E+14,1.24789E+14,16.780031,0,,,106,59,,
2,1.24789E+14,1.24789E+14,16.780114,0,,,107,60,,
2,1.24789E+14,1.24789E+14,16.780064,0,,,108,59,,
2,1.24789E+14,1.24789E+14,16.779795,0,,,109,60,,
2,1.24789E+14,1.24789E+14,16.779774,0,,,110,60,,
2,1.24789E+14,1.24789E+14,16.779566,0,,,111,59,,
2,1.24789E+14,1.24789E+14,16.779673,0,,,112,60,,
2,1.24789E+14,1.24789E+14,16.779886,0,,,113,59,,
2,1.24789E+14,1.24789E+14,16.779963,0,,,114,60,,
2,1.24789E+14,1.24789E+14,16.779569,0,,,115,59,,
2,1.24789E+14,1.24789E+14,16.779899,0,,,116,60,,
2,1.24789E+14,1.24789E+14,16.779692,0,,,117,60,,
2,1.24789E+14,1.24789E+14,16.77979,0,,,118,59,,
2,1.24789E+14,1.24789E+14,16.779506,0,,,119,60,,
2,1.24789E+14,1.24789E+14,16.780084,0,,,120,59,,
2,1.24789E+14,1.24789E+14,16.779798,0,,,121,60,,
2,1.24789E+14,1.24789E+14,16.779965,0,,,122,60,,
2,1.24789E+14,1.24789E+14,16.779932,0,,,123,59,,
2,1.24789E+14,1.24789E+14,16.77978,0,,,124,60,,
2,1.24789E+14,1.24789E+14,16.779139,0,,,125,59,,
2,1.24789E+14,1.24789E+14,16.779293,0,,,126,60,,
2,1.24789E+14,1.24789E+14,16.779747,0,,,127,60,,
2,1.24789E+14,1.24789E+14,16.779901,0,,,128,59,,
2,1.24789E+14,1.24789E+14,16.779727,0,,,129,60,,
2,1.24789E+14,1.24789E+14,16.779708,0,,,130,59,,
2,1.24789E+14,1.24789E+14,16.779309,0,,,131,60,,
2,1.24789E+14,1.24789E+14,16.77873,0,,,132,60,,
2,1.24789E+14,1.24789E+14,16.779381,0,,,133,59,,
2,1.24789E+14,1.24789E+14,16.779606,0,,,134,60,,
2,1.24789E+14,1.24789E+14,16.779911,0,,,135,60,,
2,1.24789E+14,1.24789E+14,16.779592,0,,,136,59,,
2,1.24789E+14,1.24789E+14,16.779124,0,,,137,60,,
2,1.24789E+14,1.24789E+14,16.779739,0,,,138,59,,
2,1.24789E+14,1.24789E+14,16.779467,0,,,139,60,,
2,1.24789E+14,1.24789E+14,16.77977,0,,,140,60,,
2,1.24789E+14,1.24789E+14,16.779842,0,,,141,59,,
2,1.24789E+14,1.24789E+14,16.779205,0,,,142,60,,
2,1.24789E+14,1.24789E+14,16.779458,0,,,143,59,,
2,1.24789E+14,1.24789E+14,16.779916,0,,,144,60,,
2,1.24789E+14,1.24789E+14,16.779905,0,,,145,60,,
2,1.24789E+14,1.24789E+14,16.779687,0,,,146,59,,
2,1.24789E+14,1.24789E+14,16.779825,0,,,147,60,,
2,1.24789E+14,1.24789E+14,16.779778,0,,,148,59,,
2,1.24789E+14,1.2479E+14,16.77893,0,,,149,60,,
2,1.2479E+14,1.2479E+14,16.779939,0,,,150,60,,
2,1.2479E+14,1.2479E+14,16.779804,0,,,151,59,,
2,1.2479E+14,1.2479E+14,16.780215,0,,,152,60,,
2,1.2479E+14,1.2479E+14,16.780025,0,,,153,59,,
2,1.2479E+14,1.2479E+14,16.780111,0,,,154,60,,
