Time (sec),Preproc Start Time (ns),Preproc End Time (ns),Preproc Time Elapsed (ms),Class Start Time (ns),Class SEnd Time (ns),Class STime Elapsed (ms),Result,,Total Proc Time (ms),Avg Proc Time (ms),,Num,Classifications Per Second,Avg Class per Sec,,Total Classifications
1,1.65E+14,1.65E+14,725.9725216,,1.65E+14,223.577158,daisy,,949.5496796,671.6004424,,0,0,1.448504983,,436
2,1.65E+14,1.65E+14,603.0586022,,1.65E+14,72.747976,daisy,,675.8065782,,,1,1,,,
2,1.65E+14,1.65E+14,608.1948532,,1.65E+14,78.454486,daisy,,686.6493392,,,2,2,,,True Positives
3,1.65E+14,1.65E+14,526.6974482,,1.65E+14,71.983549,daisy,,598.6809972,,,3,1,,,269
4,1.65E+14,1.65E+14,508.2540612,,1.65E+14,66.89459,daisy,,575.1486512,,,4,2,,,
4,1.65E+14,1.65E+14,510.4959362,,1.65E+14,72.226361,daisy,,582.7222972,,,5,2,,,False Negatives
5,1.65E+14,1.65E+14,512.5140116,,1.65E+14,65.830892,daisy,,578.3449036,,,6,1,,,167
5,1.65E+14,1.65E+14,509.5811972,,1.65E+14,65.69959,daisy,,575.2807872,,,7,2,,,
6,1.65E+14,1.65E+14,509.1181762,,1.65E+14,69.690476,daisy,,578.8086522,,,8,2,,,Recall
7,1.65E+14,1.65E+14,512.5588012,,1.65E+14,68.744851,daisy,,581.3036522,,,9,1,,,0.616972477
7,1.65E+14,1.65E+14,512.9064062,,1.65E+14,68.550111,roses,,581.4565172,,,10,2,,,
8,1.65E+14,1.65E+14,509.8806232,,1.65E+14,70.909851,daisy,,580.7904742,,,11,2,,,
8,1.65E+14,1.65E+14,511.4888012,,1.65E+14,66.561569,daisy,,578.0503702,,,12,1,,,
9,1.65E+14,1.65E+14,503.8030712,,1.65E+14,67.570736,daisy,,571.3738072,,,13,2,,,
10,1.65E+14,1.65E+14,503.2690092,,1.65E+14,78.164435,daisy,,581.4334442,,,14,2,,,
