Start Time (ns),End Time (ns),Time Elapsed (ms),Result
6.91596E+12,6.91615E+12,190.629915,roses
6.91618E+12,6.91624E+12,60.320163,dandelion
6.91627E+12,6.91633E+12,58.957453,daisy
6.91637E+12,6.91643E+12,55.263443,daisy
6.91647E+12,6.91653E+12,60.842454,daisy
6.91657E+12,6.91663E+12,59.360162,daisy
6.91667E+12,6.91673E+12,59.57959,daisy
6.91677E+12,6.91684E+12,61.659329,daisy
6.91688E+12,6.91694E+12,61.625266,daisy
6.91698E+12,6.91704E+12,61.975944,daisy
6.91707E+12,6.91713E+12,58.700839,daisy
6.91718E+12,6.91724E+12,62.218028,daisy
6.91727E+12,6.91733E+12,56.599954,daisy
6.91738E+12,6.91743E+12,57.947037,daisy
6.91748E+12,6.91754E+12,60.228183,daisy
6.91758E+12,6.91763E+12,58.15261,daisy
6.91768E+12,6.91774E+12,61.269537,daisy
6.91778E+12,6.91783E+12,57.990318,daisy
6.91788E+12,6.91794E+12,62.093235,daisy
6.91798E+12,6.91804E+12,56.952245,daisy
6.91808E+12,6.91814E+12,58.427715,daisy
6.91818E+12,6.91825E+12,63.924433,daisy
6.91828E+12,6.91834E+12,56.193443,daisy
6.91838E+12,6.91844E+12,55.404068,daisy
6.91848E+12,6.91854E+12,56.954589,daisy
6.91859E+12,6.91865E+12,61.177871,daisy
6.9187E+12,6.91877E+12,69.589799,daisy
6.91882E+12,6.91888E+12,56.126881,daisy
6.91892E+12,6.91897E+12,57.475787,daisy
6.91902E+12,6.91908E+12,67.212403,daisy
6.91912E+12,6.91917E+12,56.093756,daisy
6.91922E+12,6.91928E+12,63.9186,daisy
6.91934E+12,6.91939E+12,52.976828,daisy
6.91942E+12,6.91947E+12,57.63813,daisy
6.91952E+12,6.91957E+12,56.085579,daisy
6.91964E+12,6.9197E+12,55.674329,daisy
6.91972E+12,6.91979E+12,70.900736,daisy
6.91982E+12,6.91987E+12,49.626827,daisy
6.91992E+12,6.91999E+12,64.474173,daisy
6.92004E+12,6.92011E+12,64.174538,daisy
6.92016E+12,6.92021E+12,58.954902,daisy
6.92026E+12,6.92031E+12,56.992193,daisy
6.92035E+12,6.92041E+12,58.858183,daisy
6.92045E+12,6.92051E+12,58.255423,daisy
6.92056E+12,6.92062E+12,61.625996,daisy
6.92066E+12,6.92072E+12,63.884278,daisy
6.92076E+12,6.92081E+12,55.326828,daisy
6.92086E+12,6.92092E+12,58.896985,daisy
6.92096E+12,6.92102E+12,62.127246,daisy
6.92106E+12,6.92112E+12,57.927506,daisy
6.92116E+12,6.92122E+12,58.050006,daisy
6.92126E+12,6.92132E+12,56.798339,daisy
6.92136E+12,6.92142E+12,60.513287,daisy
6.92148E+12,6.92154E+12,62.698392,daisy
6.9216E+12,6.92166E+12,57.666673,daisy
6.92172E+12,6.92177E+12,57.853027,daisy
6.92184E+12,6.92189E+12,51.617349,daisy
6.92196E+12,6.92202E+12,61.68459,daisy
6.92206E+12,6.92212E+12,57.168652,daisy
6.92216E+12,6.92222E+12,56.234537,daisy
6.92226E+12,6.92232E+12,55.103078,daisy
6.92239E+12,6.92245E+12,60.632402,daisy
6.92252E+12,6.92259E+12,65.422767,daisy
