Start Time (ns),End Time (ns),Time Elapsed (ms),Result
4.33018E+12,4.33036E+12,183.72606,roses
4.33039E+12,4.33046E+12,68.574903,daisy
4.33049E+12,4.33057E+12,81.868914,daisy
4.33062E+12,4.33068E+12,60.969641,daisy
4.33072E+12,4.33078E+12,60.885162,dandelion
4.33082E+12,4.33088E+12,59.8786,dandelion
4.33092E+12,4.33099E+12,62.702975,dandelion
4.33102E+12,4.33108E+12,59.048339,dandelion
4.33114E+12,4.3312E+12,67.275111,daisy
4.33126E+12,4.33132E+12,63.1186,daisy
4.33136E+12,4.33142E+12,60.38334,daisy
4.33146E+12,4.33151E+12,56.983964,daisy
4.33155E+12,4.33162E+12,63.613183,daisy
4.33165E+12,4.33171E+12,59.660995,daisy
4.33175E+12,4.33182E+12,62.964068,daisy
4.33185E+12,4.33191E+12,57.962766,daisy
4.33196E+12,4.33201E+12,56.221568,daisy
4.33205E+12,4.33211E+12,54.72438,daisy
4.33216E+12,4.33221E+12,54.510162,daisy
4.33225E+12,4.33231E+12,61.185006,daisy
4.33236E+12,4.33241E+12,57.411724,daisy
4.33248E+12,4.33254E+12,55.384276,daisy
4.33259E+12,4.33265E+12,56.204069,daisy
4.33269E+12,4.33274E+12,55.527662,daisy
4.33279E+12,4.33285E+12,57.340631,daisy
4.3329E+12,4.33298E+12,80.300738,daisy
4.33302E+12,4.33308E+12,57.572558,daisy
4.33313E+12,4.3332E+12,69.730163,daisy
4.33324E+12,4.33329E+12,57.237142,daisy
4.33332E+12,4.33338E+12,59.177401,daisy
4.33342E+12,4.33348E+12,55.498755,daisy
4.33352E+12,4.33358E+12,55.796308,daisy
4.33362E+12,4.33368E+12,58.620006,daisy
4.33372E+12,4.33378E+12,57.32636,daisy
4.33382E+12,4.33389E+12,60.775162,daisy
4.33394E+12,4.334E+12,58.50511,daisy
4.33406E+12,4.33412E+12,59.853756,daisy
4.33418E+12,4.33424E+12,58.158756,daisy
4.33429E+12,4.33435E+12,67.360111,daisy
4.33439E+12,4.33445E+12,63.173965,daisy
4.3345E+12,4.33456E+12,60.189225,daisy
4.33459E+12,4.33465E+12,66.673028,daisy
4.33469E+12,4.33475E+12,63.084746,daisy
4.33479E+12,4.33485E+12,63.085423,daisy
4.33489E+12,4.33495E+12,65.48985,daisy
4.33499E+12,4.33504E+12,53.796724,daisy
4.33509E+12,4.33515E+12,58.88636,daisy
4.33519E+12,4.33525E+12,60.886516,daisy
4.33529E+12,4.33534E+12,53.123652,daisy
4.3354E+12,4.33546E+12,62.819173,daisy
4.33549E+12,4.33554E+12,53.725995,daisy
4.3356E+12,4.33565E+12,55.751256,daisy
4.33569E+12,4.33575E+12,61.774381,daisy
4.33579E+12,4.33585E+12,58.184641,daisy
4.33589E+12,4.33595E+12,55.27636,daisy
4.33599E+12,4.33604E+12,55.922089,daisy
4.33609E+12,4.33615E+12,58.225891,daisy
4.33619E+12,4.33625E+12,59.885683,daisy
4.33629E+12,4.33635E+12,62.819121,daisy
4.33639E+12,4.33645E+12,60.956516,daisy
4.33649E+12,4.33655E+12,59.236881,daisy
4.33659E+12,4.33665E+12,59.153912,daisy
4.33669E+12,4.33675E+12,61.730631,daisy
4.33679E+12,4.33685E+12,63.237923,daisy
4.33689E+12,4.33695E+12,61.14584,daisy
4.33699E+12,4.33705E+12,63.194746,daisy
4.33709E+12,4.33715E+12,60.116048,daisy
4.33719E+12,4.33725E+12,63.698913,daisy
4.33728E+12,4.33734E+12,56.581985,daisy
4.33739E+12,4.33745E+12,64.543079,daisy
4.33749E+12,4.33755E+12,60.671048,daisy
4.33759E+12,4.33765E+12,66.495007,daisy
4.33769E+12,4.33775E+12,60.354173,daisy
4.33779E+12,4.33786E+12,65.856986,daisy
4.33789E+12,4.33794E+12,58.54412,daisy
4.33799E+12,4.33805E+12,61.887194,daisy
4.33808E+12,4.33814E+12,58.13485,daisy
4.33819E+12,4.33826E+12,61.832402,daisy
4.33829E+12,4.33834E+12,57.475891,daisy
4.33839E+12,4.33845E+12,63.772037,daisy
4.33849E+12,4.33854E+12,59.036829,daisy
4.33859E+12,4.33864E+12,58.336621,daisy
4.33868E+12,4.33874E+12,59.769642,daisy
4.3388E+12,4.33886E+12,60.367974,daisy
4.33888E+12,4.33894E+12,59.56787,daisy
4.33899E+12,4.33904E+12,55.389745,daisy
4.33909E+12,4.33914E+12,59.085683,daisy
4.33919E+12,4.33925E+12,60.023391,daisy
4.33928E+12,4.33934E+12,58.876465,daisy
4.33938E+12,4.33945E+12,62.777662,daisy
4.33949E+12,4.33955E+12,59.942975,daisy
4.33958E+12,4.33965E+12,61.518288,daisy
4.33969E+12,4.33975E+12,62.793339,daisy
4.33979E+12,4.33984E+12,59.003443,daisy
4.33989E+12,4.33995E+12,58.678183,daisy
4.33999E+12,4.34005E+12,65.581569,daisy
