Time (sec),Preproc Start Time (ns),Preproc End Time (ns),Preproc Time Elapsed (ms),Class Start Time (ns),Class SEnd Time (ns),Class STime Elapsed (ms),Result,,Total Proc Time (ms),Avg Proc Time (ms),,Num,Classifications Per Second,Avg Class per Sec,,Total Classifications
11,1.66E+14,1.66E+14,100.3607912,,1.66E+14,73.579539,roses,,173.9403302,,,56,5,,,
12,1.66E+14,1.66E+14,97.66480217,,1.66E+14,72.864382,roses,,170.5291842,,,57,5,,,
12,1.66E+14,1.66E+14,100.7280312,,1.66E+14,72.851101,roses,,173.5791322,,,58,5,,,
12,1.66E+14,1.66E+14,102.9217812,,1.66E+14,79.894696,roses,,182.8164772,,,59,5,,,
12,1.66E+14,1.66E+14,99.07870817,,1.66E+14,74.035164,roses,,173.1138722,,,60,5,,,
12,1.66E+14,1.66E+14,97.60527166,,1.66E+14,69.440007,roses,,167.0452787,,,61,5,,,
13,1.66E+14,1.66E+14,102.1868852,,1.66E+14,77.203497,roses,,179.3903822,,,62,5,,,
13,1.66E+14,1.66E+14,101.4571982,,1.66E+14,74.736517,roses,,176.1937152,,,63,5,,,
13,1.66E+14,1.66E+14,102.5132392,,1.66E+14,76.847299,roses,,179.3605382,,,64,5,,,
13,1.66E+14,1.66E+14,98.91245817,,1.66E+14,77.372195,roses,,176.2846532,,,65,5,,,
13,1.66E+14,1.66E+14,102.1443332,,1.66E+14,70.046257,roses,,172.1905902,,,66,5,,,
14,1.66E+14,1.66E+14,98.88886417,,1.66E+14,70.315059,roses,,169.2039232,,,67,5,,,
14,1.66E+14,1.66E+14,102.7114162,,1.66E+14,74.643705,roses,,177.3551212,,,68,5,,,
14,1.66E+14,1.66E+14,102.0883432,,1.66E+14,71.33334,roses,,173.4216832,,,69,5,,,
14,1.66E+14,1.66E+14,102.8246972,,1.66E+14,74.529903,roses,,177.3546002,,,70,5,,,
14,1.66E+14,1.66E+14,99.70855217,,1.66E+14,80.470945,roses,,180.1794972,,,71,5,,,
15,1.66E+14,1.66E+14,101.0289682,,1.66E+14,69.949435,roses,,170.9784032,,,72,5,,,
15,1.66E+14,1.66E+14,98.65730117,,1.66E+14,72.848861,roses,,171.5061622,,,73,5,,,
15,1.66E+14,1.66E+14,99.47542617,,1.66E+14,71.134486,roses,,170.6099122,,,74,5,,,
15,1.66E+14,1.66E+14,98.80584417,,1.66E+14,71.71959,roses,,170.5254342,,,75,5,,,
15,1.66E+14,1.66E+14,102.0614162,,1.66E+14,65.526309,roses,,167.5877252,,,76,5,,,
16,1.66E+14,1.66E+14,106.9526672,,1.66E+14,72.65157,roses,,179.6042372,,,77,5,,,
16,1.66E+14,1.66E+14,99.02907217,,1.66E+14,70.629173,roses,,169.6582452,,,78,5,,,
16,1.66E+14,1.66E+14,99.50657217,,1.66E+14,74.071206,roses,,173.5777782,,,79,5,,,
16,1.66E+14,1.66E+14,100.8202182,,1.66E+14,72.435163,roses,,173.2553812,,,80,5,,,
16,1.66E+14,1.66E+14,104.2786042,,1.66E+14,73.233392,roses,,177.5119962,,,81,5,,,
17,1.66E+14,1.66E+14,100.7951662,,1.66E+14,70.564695,roses,,171.3598612,,,82,5,,,
17,1.66E+14,1.66E+14,99.18683317,,1.66E+14,74.499747,roses,,173.6865802,,,83,5,,,
17,1.66E+14,1.66E+14,102.9167812,,1.66E+14,71.747924,roses,,174.6647052,,,84,5,,,
17,1.66E+14,1.66E+14,98.86501166,,1.66E+14,70.930267,roses,,169.7952787,,,85,5,,,
17,1.66E+14,1.66E+14,102.7595942,,1.66E+14,73.600216,roses,,176.3598102,,,86,5,,,
18,1.66E+14,1.66E+14,98.01573917,,1.66E+14,71.546309,roses,,169.5620482,,,87,6,,,
18,1.66E+14,1.66E+14,97.84969717,,1.66E+14,76.30532,roses,,174.1550172,,,88,5,,,
18,1.66E+14,1.66E+14,99.32198917,,1.66E+14,71.005685,roses,,170.3276742,,,89,5,,,
18,1.66E+14,1.66E+14,99.73485417,,1.66E+14,69.587559,roses,,169.3224132,,,90,5,,,
18,1.66E+14,1.66E+14,99.42422817,,1.66E+14,72.949486,roses,,172.3737142,,,91,5,,,
