Timestamp,Attempt No,Result,Time to Preprocess (millis),Time to Classify (millis)
20181109_085253,5,prayer rug,19,123
20181109_085254,12,prayer rug,12,121
20181109_085255,17,prayer rug,21,148
20181109_085256,22,prayer rug,27,167
20181109_085257,28,prayer rug,14,140
20181109_085258,34,prayer rug,21,139
20181109_085259,39,prayer rug,27,136
20181109_085300,44,prayer rug,14,136
20181109_085301,50,prayer rug,19,137
20181109_085302,55,prayer rug,31,146
20181109_085303,61,prayer rug,13,139
20181109_085304,66,prayer rug,22,141
20181109_085305,72,prayer rug,35,144
20181109_085306,77,prayer rug,24,138
20181109_085307,83,prayer rug,27,146
20181109_085308,89,prayer rug,15,152
20181109_085309,94,prayer rug,16,157
20181109_085310,99,prayer rug,21,140
20181109_085311,105,prayer rug,29,139
20181109_085312,110,prayer rug,13,140
20181109_085313,116,prayer rug,15,137
20181109_085314,121,prayer rug,32,139
20181109_085315,127,prayer rug,28,134
20181109_085316,133,prayer rug,32,140
20181109_085317,139,prayer rug,38,140
20181109_085318,144,prayer rug,23,135
20181109_085319,149,prayer rug,14,142
20181109_085320,155,prayer rug,29,150
20181109_085321,160,prayer rug,16,137
20181109_085322,166,prayer rug,22,141
20181109_085323,171,prayer rug,19,145
20181109_085324,176,prayer rug,14,140
20181109_085325,182,prayer rug,33,156
20181109_085326,187,prayer rug,32,140
20181109_085327,193,prayer rug,35,135
20181109_085328,198,prayer rug,24,152
20181109_085329,203,prayer rug,26,147
20181109_085330,209,prayer rug,13,136
20181109_085331,214,prayer rug,17,152
20181109_085332,220,prayer rug,30,141
20181109_085333,225,prayer rug,23,142
20181109_085334,230,prayer rug,30,138
20181109_085335,235,prayer rug,14,171
20181109_085336,241,prayer rug,15,142
20181109_085337,247,prayer rug,13,141
20181109_085338,252,prayer rug,28,150
20181109_085339,257,prayer rug,15,144
20181109_085340,263,prayer rug,14,134
20181109_085341,268,prayer rug,14,147
20181109_085342,273,prayer rug,18,152
20181109_085343,279,prayer rug,21,137
20181109_085344,284,prayer rug,36,154
20181109_085345,289,prayer rug,16,146
20181109_085346,294,prayer rug,16,151
20181109_085347,299,prayer rug,16,153
20181109_085348,304,prayer rug,21,149
20181109_085349,309,prayer rug,32,142
20181109_085350,314,prayer rug,19,150
20181109_085351,319,prayer rug,15,160
20181109_085352,324,prayer rug,28,158
20181109_085353,329,prayer rug,17,144
