Timestamp,Attempt No,Time to Preprocess (millis),Time to Classify (millis),,,,
,2,12,135,,,,147
,8,11,123,,,,134
,13,43,185,,,,228
,18,18,136,,,,154
,23,14,160,,,,174
,27,33,140,,,,173
,32,37,144,,,,181
,37,39,153,,,,192
,43,20,153,,,,173
,48,28,140,,,,168
,53,36,151,,,,187
,58,15,138,,,,153
,63,23,146,,,,169
,69,21,143,,,,164
,74,22,138,,,,160
,79,38,138,,,,176
,84,31,139,,,,170
,89,41,138,,,,179
,94,26,139,,,,165
,99,37,138,,,,175
,104,15,144,,,,159
,109,16,141,,,,157
,114,41,161,,,,202
,119,30,155,,,,185
,124,43,138,,,,181
,129,14,139,,,,153
,134,22,152,,,,174
,140,25,140,,,,165
,145,14,159,,,,173
,150,37,141,,,,178
,155,29,159,,,,188
,159,44,139,,,,183
,164,18,142,,,,160
,170,14,134,,,,148
,174,28,156,,,,184
,179,46,140,,,,186
,184,26,140,,,,166
,189,14,135,,,,149
,194,36,138,,,,174
,199,14,133,,,,147
,204,31,143,,,,174
,209,16,183,,,,199
,214,28,142,,,,170
,219,26,157,,,,183
,224,33,152,,,,185
,229,35,138,,,,173
,234,20,141,,,,161
,239,25,165,,,,190
,244,15,141,,,,156
,249,15,158,,,,173
,254,29,148,,,,177
,259,34,137,,,,171
,264,34,159,,,,193
,269,29,163,,,,192
,274,44,138,,,,182
,279,14,144,,,,158
,284,32,141,,,,173
,288,30,166,,,,196
,293,35,139,,,,174
,298,34,143,,,,177
,303,19,145,,,,164
,308,17,165,,,,182
,313,15,137,,,,152
,318,29,147,,,,176
,322,16,144,,,,160
,328,33,139,,,,172
,333,32,146,,,,178
,338,34,138,,,,172
,344,31,154,,,,185
,348,33,142,,,,175
,353,13,145,,,,158
,358,22,144,,,,166
,363,33,171,,,,204
,367,39,172,,,,211
,373,34,137,,,,171
,378,17,139,,,,156
,383,26,177,,,,203
,389,37,157,,,,194
,394,23,142,,,,165
,399,13,146,,,,159
,404,17,141,,,,158
,410,19,145,,,,164
,415,14,138,,,,152
,420,15,134,,,,149
,425,30,162,,,,192
,430,19,133,,,,152
,435,29,146,,,,175
,441,36,137,,,,173
,446,20,152,,,,172
,451,26,137,,,,163
,456,16,145,,,,161
,462,27,139,,,,166
,467,25,139,,,,164
,472,31,140,,,,171
,477,30,139,,,,169
,482,12,165,,,,177
,487,14,163,,,,177
,493,29,141,,,,170
,497,38,147,,,,185
,503,14,165,,,,179
,508,15,156,,,,171
,512,29,147,,,,176
,518,14,161,,,,175
,523,32,159,,,,191
,529,36,145,,,,181
,533,36,142,,,,178
,538,14,155,,,,169
,543,20,143,,,,163
,549,15,138,,,,153
,554,26,140,,,,166
,559,13,149,,,,162
,564,27,140,,,,167
,570,45,137,,,,182
,574,41,135,,,,176
,579,17,145,,,,162
,585,39,139,,,,178
,589,28,152,,,,180
,594,13,155,,,,168
,599,39,137,,,,176
,604,19,137,,,,156
,610,34,139,,,,173
,615,13,141,,,,154
,620,16,135,,,,151
,625,22,139,,,,161
,630,22,156,,,,178
,635,40,139,,,,179
,639,28,162,,,,190
,643,33,149,,,,182
,648,28,147,,,,175
,653,30,142,,,,172
,658,15,137,,,,152
,664,14,134,,,,148
,669,27,155,,,,182
,673,23,139,,,,162
,679,21,151,,,,172
,683,29,149,,,,178
,688,27,131,,,,158
,694,36,134,,,,170
,699,24,148,,,,172
,705,34,151,,,,185
,710,32,138,,,,170
,715,15,185,,,,200
,720,18,135,,,,153
,725,31,140,,,,171
,730,16,137,,,,153
,735,14,133,,,,147
,741,34,142,,,,176
,746,35,141,,,,176
,750,32,144,,,,176
,755,14,135,,,,149
,760,15,159,,,,174
,765,24,138,,,,162
,770,32,142,,,,174
,775,25,137,,,,162
,780,26,144,,,,170
,786,34,136,,,,170
,791,16,154,,,,170
,796,31,151,,,,182
,802,39,148,,,,187
,807,22,142,,,,164
,813,37,139,,,,176
,818,28,153,,,,181
,823,14,152,,,,166
,829,13,149,,,,162
,833,33,153,,,,186
,839,31,141,,,,172
,844,28,139,,,,167
,849,41,140,,,,181
,854,43,135,,,,178
,858,29,152,,,,181
,864,15,146,,,,161
,869,16,138,,,,154
,875,35,163,,,,198
,880,35,145,,,,180
,885,37,149,,,,186
,890,14,179,,,,193
,894,28,169,,,,197
,899,37,137,,,,174
,905,14,147,,,,161
,910,24,146,,,,170
,915,13,138,,,,151
,920,16,136,,,,152
,925,28,139,,,,167
,930,32,169,,,,201
,935,35,142,,,,177
,940,18,152,,,,170
,945,43,151,,,,194
,951,19,141,,,,160
,956,15,139,,,,154
,962,31,139,,,,170
,967,13,138,,,,151
,972,22,137,,,,159
,977,23,147,,,,170
,982,29,137,,,,166
,986,33,140,,,,173
,991,22,140,,,,162
,997,37,138,,,,175
,1001,13,139,,,,152
,1006,29,144,,,,173
,1011,38,143,,,,181
,1016,15,137,,,,152
,1021,26,161,,,,187
,1026,31,152,,,,183
,1031,18,139,,,,157
,1037,40,142,,,,182
,1041,30,142,,,,172
,1046,13,138,,,,151
,1051,22,158,,,,180
,1056,15,167,,,,182
,1061,14,152,,,,166
