Time (sec),Previous Frame (ns),Current Frame (ns),Time Elapsed (ms),Dropped Frame Count,,Num,FPS,,Min FPS,Max FPS,Avg FPS
2,3.67727E+14,3.67727E+14,16.75669,0,,91,60,,,,
2,3.67727E+14,3.67727E+14,16.756965,0,,92,60,,,,
2,3.67727E+14,3.67727E+14,16.756693,0,,93,59,,,,
2,3.67727E+14,3.67727E+14,16.757108,0,,94,60,,,,
2,3.67727E+14,3.67727E+14,16.756951,0,,95,60,,,,
2,3.67727E+14,3.67727E+14,16.75674,0,,96,59,,,,
2,3.67727E+14,3.67727E+14,16.756456,0,,97,60,,,,
2,3.67727E+14,3.67727E+14,16.756827,0,,98,60,,,,
2,3.67727E+14,3.67727E+14,16.757075,0,,99,59,,,,
2,3.67727E+14,3.67727E+14,16.756961,0,,100,60,,,,
2,3.67727E+14,3.67727E+14,16.756606,0,,101,60,,,,
2,3.67727E+14,3.67727E+14,16.75656,0,,102,60,,,,
2,3.67727E+14,3.67727E+14,16.756739,0,,103,59,,,,
2,3.67727E+14,3.67727E+14,16.757162,0,,104,60,,,,
2,3.67727E+14,3.67727E+14,16.75653,0,,105,60,,,,
2,3.67727E+14,3.67727E+14,16.757035,0,,106,59,,,,
2,3.67727E+14,3.67727E+14,16.756698,0,,107,60,,,,
2,3.67727E+14,3.67727E+14,16.756827,0,,108,60,,,,
2,3.67727E+14,3.67727E+14,16.756162,0,,109,59,,,,
2,3.67727E+14,3.67727E+14,16.756587,0,,110,60,,,,
2,3.67727E+14,3.67727E+14,16.756784,0,,111,60,,,,
2,3.67727E+14,3.67727E+14,16.756916,0,,112,59,,,,
2,3.67727E+14,3.67727E+14,16.756806,0,,113,60,,,,
2,3.67727E+14,3.67727E+14,16.756547,0,,114,60,,,,
2,3.67727E+14,3.67727E+14,16.75666,0,,115,59,,,,
2,3.67727E+14,3.67727E+14,16.756984,0,,116,60,,,,
2,3.67727E+14,3.67727E+14,16.756597,0,,117,60,,,,
2,3.67727E+14,3.67727E+14,16.756809,0,,118,59,,,,
2,3.67727E+14,3.67727E+14,16.756698,0,,119,60,,,,
2,3.67727E+14,3.67727E+14,16.757057,0,,120,60,,,,
2,3.67727E+14,3.67727E+14,16.756681,0,,121,59,,,,
2,3.67727E+14,3.67727E+14,16.75703,0,,122,60,,,,
2,3.67727E+14,3.67727E+14,16.756665,0,,123,60,,,,
2,3.67727E+14,3.67727E+14,16.756749,0,,124,59,,,,
2,3.67727E+14,3.67727E+14,16.756485,0,,125,60,,,,
2,3.67727E+14,3.67727E+14,16.756871,0,,126,60,,,,
2,3.67727E+14,3.67728E+14,16.756506,0,,127,59,,,,
2,3.67728E+14,3.67728E+14,16.757054,0,,128,60,,,,
2,3.67728E+14,3.67728E+14,16.756915,0,,129,60,,,,
2,3.67728E+14,3.67728E+14,16.756827,0,,130,59,,,,
2,3.67728E+14,3.67728E+14,16.756325,0,,131,60,,,,
2,3.67728E+14,3.67728E+14,16.756621,0,,132,60,,,,
2,3.67728E+14,3.67728E+14,16.755797,0,,133,59,,,,
2,3.67728E+14,3.67728E+14,16.755411,0,,134,60,,,,
2,3.67728E+14,3.67728E+14,16.756066,0,,135,60,,,,
2,3.67728E+14,3.67728E+14,16.756752,0,,136,59,,,,
2,3.67728E+14,3.67728E+14,16.756502,0,,137,60,,,,
2,3.67728E+14,3.67728E+14,16.757006,0,,138,60,,,,
2,3.67728E+14,3.67728E+14,16.756877,0,,139,59,,,,
2,3.67728E+14,3.67728E+14,16.756324,0,,140,60,,,,
2,3.67728E+14,3.67728E+14,16.755973,0,,141,60,,,,
2,3.67728E+14,3.67728E+14,16.756312,0,,142,59,,,,
3,3.67728E+14,3.67728E+14,16.756416,0,,143,60,,,,
3,3.67728E+14,3.67728E+14,16.756464,0,,144,60,,,,
3,3.67728E+14,3.67728E+14,16.756488,0,,145,59,,,,
3,3.67728E+14,3.67728E+14,16.756411,0,,146,60,,,,
3,3.67728E+14,3.67728E+14,16.756599,0,,147,60,,,,
3,3.67728E+14,3.67728E+14,16.756829,0,,148,59,,,,
3,3.67728E+14,3.67728E+14,16.756665,0,,149,60,,,,
3,3.67728E+14,3.67728E+14,16.756772,0,,150,60,,,,
3,3.67728E+14,3.67728E+14,16.756175,0,,151,59,,,,
3,3.67728E+14,3.67728E+14,16.756758,0,,152,60,,,,
3,3.67728E+14,3.67728E+14,16.756107,0,,153,60,,,,
3,3.67728E+14,3.67728E+14,16.75552,0,,154,59,,,,
3,3.67728E+14,3.67728E+14,16.756317,0,,155,60,,,,
3,3.67728E+14,3.67728E+14,16.756939,0,,156,60,,,,
3,3.67728E+14,3.67728E+14,16.756458,0,,157,59,,,,
3,3.67728E+14,3.67728E+14,16.756193,0,,158,60,,,,
3,3.67728E+14,3.67728E+14,16.752134,0,,159,60,,,,
3,3.67728E+14,3.67728E+14,16.75691,0,,160,59,,,,
3,3.67728E+14,3.67728E+14,16.756739,0,,161,60,,,,
