T,Attempt No,Time to Preprocess (millis),Time to Classify (millis),,,,
,10,0,25,,,,25
,31,1,22,,,,23
,52,0,23,,,,23
,73,0,24,,,,24
,94,0,23,,,,23
,115,1,23,,,,24
,136,1,22,,,,23
,158,1,22,,,,23
,179,0,23,,,,23
,200,0,23,,,,23
,221,0,22,,,,22
,242,0,23,,,,23
,263,0,23,,,,23
,285,0,23,,,,23
,306,0,23,,,,23
,327,0,24,,,,24
,348,0,22,,,,22
,370,0,23,,,,23
,391,0,23,,,,23
,413,0,22,,,,22
,435,0,23,,,,23
,456,0,24,,,,24
,478,0,23,,,,23
,500,0,23,,,,23
,522,0,22,,,,22
,543,0,22,,,,22
,565,0,23,,,,23
,587,0,23,,,,23
,609,0,24,,,,24
,631,1,22,,,,23
,653,0,23,,,,23
,675,0,22,,,,22
,697,0,23,,,,23
,719,0,24,,,,24
,741,1,23,,,,24
,763,0,23,,,,23
,785,0,22,,,,22
,807,0,23,,,,23
,829,0,22,,,,22
,851,0,24,,,,24
,873,0,22,,,,22
,895,0,23,,,,23
,917,0,23,,,,23
,939,0,23,,,,23
,961,0,22,,,,22
,984,0,22,,,,22
,1007,0,23,,,,23
,1030,0,23,,,,23
,1053,1,22,,,,23
,1076,1,22,,,,23
,1099,0,23,,,,23
,1122,0,23,,,,23
,1144,0,22,,,,22
,1167,0,23,,,,23
,1190,0,23,,,,23
,1213,0,22,,,,22
,1236,0,22,,,,22
,1259,0,22,,,,22
,1282,0,23,,,,23
,1305,0,22,,,,22
,1328,0,23,,,,23
,1352,0,23,,,,23
,1375,0,23,,,,23
,1398,0,23,,,,23
,1421,0,22,,,,22
,1444,0,23,,,,23
,1467,0,22,,,,22
,1490,0,23,,,,23
,1513,0,22,,,,22
,1536,0,23,,,,23
,1559,1,22,,,,23
,1582,0,22,,,,22
,1605,0,22,,,,22
,1628,0,23,,,,23
,1651,0,23,,,,23
,1674,0,23,,,,23
,1697,1,22,,,,23
,1720,0,23,,,,23
,1743,0,22,,,,22
,1766,0,23,,,,23
,1789,0,23,,,,23
,1812,0,23,,,,23
,1835,0,23,,,,23
,1858,0,23,,,,23
,1881,0,23,,,,23
,1904,0,23,,,,23
,1927,1,22,,,,23
,1950,0,24,,,,24
,1973,0,23,,,,23
,1996,0,23,,,,23
,2019,0,23,,,,23
,2042,0,23,,,,23
,2065,0,23,,,,23
,2088,1,22,,,,23
,2111,0,22,,,,22
,2134,0,23,,,,23
,2157,0,23,,,,23
,2181,0,22,,,,22
,2204,0,22,,,,22
,2227,0,25,,,,25
,2250,0,22,,,,22
,2273,0,22,,,,22
,2296,0,23,,,,23
,2319,0,22,,,,22
,2342,0,22,,,,22
,2365,0,22,,,,22
,2388,0,23,,,,23
,2411,1,23,,,,24
,2434,0,23,,,,23
,2457,0,22,,,,22
,2480,0,23,,,,23
,2503,0,22,,,,22
,2527,0,23,,,,23
,2550,0,22,,,,22
,2573,1,22,,,,23
,2596,0,22,,,,22
,2619,0,23,,,,23
,2642,0,23,,,,23
,2665,0,23,,,,23
,2688,0,23,,,,23
,2711,0,23,,,,23
,2734,1,22,,,,23
,2757,0,22,,,,22
,2781,0,22,,,,22
,2804,0,22,,,,22
,2827,0,23,,,,23
,2849,0,24,,,,24
,2872,0,23,,,,23
,2896,1,23,,,,24
,2919,0,23,,,,23
,2942,0,23,,,,23
,2965,0,23,,,,23
,2988,0,23,,,,23
,3011,0,23,,,,23
,3034,0,22,,,,22
,3057,0,23,,,,23
,3080,0,23,,,,23
,3103,0,23,,,,23
,3126,0,22,,,,22
,3150,0,23,,,,23
,3173,0,22,,,,22
,3196,0,23,,,,23
,3219,0,23,,,,23
,3242,0,23,,,,23
,3265,0,23,,,,23
,3288,0,22,,,,22
,3311,0,23,,,,23
,3334,0,23,,,,23
,3357,0,22,,,,22
,3380,1,23,,,,24
,3404,0,22,,,,22
,3427,0,23,,,,23
,3450,0,23,,,,23
,3473,1,24,,,,25
,3496,0,23,,,,23
,3519,1,22,,,,23
,3542,0,23,,,,23
,3565,1,22,,,,23
,3588,0,23,,,,23
,3611,0,24,,,,24
,3634,1,22,,,,23
,3657,1,22,,,,23
,3680,0,23,,,,23
,3703,0,23,,,,23
,3727,0,23,,,,23
,3750,0,22,,,,22
,3773,0,23,,,,23
,3796,0,23,,,,23
,3819,0,23,,,,23
,3842,0,22,,,,22
,3865,0,23,,,,23
,3888,0,22,,,,22
,3911,1,22,,,,23
,3935,0,23,,,,23
,3958,0,23,,,,23
,3981,0,23,,,,23
,4004,0,23,,,,23
,4027,0,24,,,,24
,4050,0,22,,,,22
,4073,1,22,,,,23
,4096,0,23,,,,23
,4119,0,23,,,,23
,4142,0,22,,,,22
,4165,0,23,,,,23
,4188,0,23,,,,23
,4211,0,23,,,,23
,4234,0,23,,,,23
,4258,0,23,,,,23
,4281,0,22,,,,22
,4304,0,22,,,,22
,4327,0,23,,,,23
,4350,0,23,,,,23
,4373,0,23,,,,23
,4396,0,23,,,,23
,4419,0,23,,,,23
,4442,0,23,,,,23
,4465,0,23,,,,23
,4488,0,22,,,,22
,4511,0,22,,,,22
,4534,0,23,,,,23
,4557,0,23,,,,23
,4580,0,22,,,,22
,4603,0,23,,,,23
,4627,0,24,,,,24
,4650,0,22,,,,22
,4673,0,23,,,,23
,4696,0,22,,,,22
,4719,0,23,,,,23
,4741,0,23,,,,23
,4765,0,23,,,,23
,4788,0,23,,,,23
,4811,0,23,,,,23
,4834,0,22,,,,22
,4857,0,22,,,,22
,4880,0,22,,,,22
,4903,0,23,,,,23
,4926,0,23,,,,23
,4949,1,22,,,,23
,4972,0,22,,,,22
,4995,0,23,,,,23
,5018,0,22,,,,22
,5041,0,22,,,,22
,5065,0,22,,,,22
,5088,0,22,,,,22
,5111,0,23,,,,23
,5134,0,23,,,,23
,5157,1,22,,,,23
,5180,0,24,,,,24
,5203,0,23,,,,23
,5226,0,23,,,,23
,5249,0,23,,,,23
,5272,0,24,,,,24
,5295,0,23,,,,23
,5318,0,22,,,,22
,5341,0,23,,,,23
,5364,0,23,,,,23
,5387,1,22,,,,23
,5410,0,22,,,,22
,5433,0,22,,,,22
,5457,0,22,,,,22
,5480,0,23,,,,23
,5503,0,22,,,,22
,5526,0,23,,,,23
,5549,0,23,,,,23
,5572,0,22,,,,22
,5595,0,23,,,,23
,5618,0,22,,,,22
,5641,0,22,,,,22
,5664,0,23,,,,23
,5687,1,22,,,,23
,5710,0,22,,,,22
,5733,0,23,,,,23
,5756,1,22,,,,23
,5779,0,23,,,,23
,5802,0,23,,,,23
,5825,0,22,,,,22
,5848,0,22,,,,22
,5871,0,23,,,,23
,5894,1,22,,,,23
,5918,0,23,,,,23
,5941,1,22,,,,23
,5964,0,22,,,,22
,5987,0,23,,,,23
,6010,0,23,,,,23
,6033,0,22,,,,22
,6056,0,22,,,,22
,6079,0,23,,,,23
,6102,0,23,,,,23
,6126,0,23,,,,23
,6149,0,23,,,,23
,6172,0,22,,,,22
,6195,0,23,,,,23
,6218,0,24,,,,24
,6241,1,22,,,,23
,6264,0,23,,,,23
,6287,1,23,,,,24
,6310,0,23,,,,23
,6333,1,22,,,,23
,6356,0,23,,,,23
,6380,0,23,,,,23
,6403,0,22,,,,22
,6426,0,23,,,,23
,6449,0,23,,,,23
